GameDate_2018,FMRTEVersion_2018,Name_2018,UID_2018,NationID_2018,Born_2018,Age_2018,IntCaps_2018,IntGoals_2018,U21Caps_2018,U21Goals_2018,WorldReputation_2018,HomeReputation_2018,CurrentReputation_2018,PA_2018,CA_2018,Price_2018,Height_2018,Weight_2018,PositionsString_2018,GK.AerialAbility_2018,GK.CommandOfArea_2018,GK.Communication_2018,GK.Eccentricity_2018,GK.Handling_2018,GK.Kicking_2018,GK.OneOnOnes_2018,GK.Reflexes_2018,GK.RushingOut_2018,GK.TendencyToPunch_2018,GK.Throwing_2018,Tech.Corners_2018,Tech.Crossing_2018,Tech.Dribbling_2018,Tech.Finishing_2018,Tech.FirstTouch_2018,Tech.Freekicks_2018,Tech.Heading_2018,Tech.LongShots_2018,Tech.Longthrows_2018,Tech.Marking_2018,Tech.Passing_2018,Tech.PenaltyTaking_2018,Tech.Tackling_2018,Tech.Technique_2018,Mental.Aggression_2018,Mental.Anticipation_2018,Mental.Bravery_2018,Mental.Composure_2018,Mental.Concentration_2018,Mental.Vision_2018,Mental.Decisions_2018,Mental.Determination_2018,Mental.Flair_2018,Mental.Leadership_2018,Mental.OffTheBall_2018,Mental.Positioning_2018,Mental.Teamwork_2018,Mental.Workrate_2018,Phy.Acceleration_2018,Phy.Agility_2018,Phy.Balance_2018,Phy.Jumping_2018,Phy.LeftFoot_2018,Phy.NaturalFitness_2018,Phy.Pace_2018,Phy.RightFoot_2018,Phy.Stamina_2018,Phy.Strength_2018,Hidden.Consistency_2018,Hidden.Dirtiness_2018,Hidden.ImportantMatches_2018,Hidden.InjuryProness_2018,Hidden.Versatility_2018,Personality.Adaptability_2018,Personality.Ambition_2018,Personality.Loyalty_2018,Personality.Pressure_2018,Personality.Professional_2018,Personality.Sportsmanship_2018,Personality.Temperament_2018,Personality.Controversy_2018,Positions.Defender_2018,Positions.WingBack_2018,Positions.Midfielder_2018,Positions.AttackingMidfielder_2018,Positions.Right_2018,Positions.Left_2018,Positions.Centre_2018,Positions.PositionsDesc_2018,Positions.PositionsDescVal_2018,Positions.Goalkeeper_2018,Positions.Sweeper_2018,Positions.Striker_2018,Positions.AttackingMidCentral_2018,Positions.AttackingMidLeft_2018,Positions.AttackingMidRight_2018,Positions.DefenderCentral_2018,Positions.DefenderLeft_2018,Positions.DefenderRight_2018,Positions.DefensiveMidfielder_2018,Positions.MidfielderCentral_2018,Positions.MidfielderLeft_2018,Positions.MidfielderRight_2018,Positions.WingBackLeft_2018,Positions.WingBackRight_2018,PPMVal_2018,PPM0_2018,PPM1_2018,PPM2_2018,PPM3_2018,PPM4_2018,PPM5_2018,PPM6_2018,PPM7_2018,PPM8_2018,PPM9_2018,PPM10_2018,PPM11_2018,PPM12_2018,PPM13_2018,PPM14_2018,PPM15_2018,PPM16_2018,PPM17_2018,PPM18_2018,PPM19_2018,PPM20_2018,PPM21_2018,PPM22_2018,PPM23_2018,PPM24_2018,PPM25_2018,PPM26_2018,PPM27_2018,PPM28_2018,PPM29_2018,PPM30_2018,PPM31_2018,PPM32_2018,PPM33_2018,PPM34_2018,PPM35_2018,PPM36_2018,PPM37_2018,PPM38_2018,PPM39_2018,PPM40_2018,PPM41_2018,PPM42_2018,PPM43_2018,PPM44_2018,PPM45_2018,PPM46_2018,PPM47_2018,name_2018,Market Value_2018,age_2018,height_2018,position_2018,foot_2018,current club_2018,16/17 games_2018,16/17 goals/conceded_2018,16/17 assists/clean_2018,16/17 minutes_2018,17/18 games_2018,17/18 goals/conceded_2018,17/18 assists/clean_2018,17/18 minutes_2018,18/19 games_2018,18/19 goals/conceded_2018,18/19 assists/clean_2018,18/19 minutes_2018,19/20 games_2018,19/20 goals/conceded_2018,19/20 assists/clean_2018,19/20 minutes_2018,20/21 games_2018,20/21 goals/conceded_2018,20/21 assists/clean_2018,20/21 minutes_2018,current league_2018,GameDate_2017,FMRTEVersion_2017,Name_2017,UID_2017,NationID_2017,Born_2017,Age_2017,IntCaps_2017,IntGoals_2017,U21Caps_2017,U21Goals_2017,WorldReputation_2017,HomeReputation_2017,CurrentReputation_2017,PA_2017,CA_2017,Price_2017,Height_2017,Weight_2017,PositionsString_2017,GK.AerialAbility_2017,GK.CommandOfArea_2017,GK.Communication_2017,GK.Eccentricity_2017,GK.Handling_2017,GK.Kicking_2017,GK.OneOnOnes_2017,GK.Reflexes_2017,GK.RushingOut_2017,GK.TendencyToPunch_2017,GK.Throwing_2017,Tech.Corners_2017,Tech.Crossing_2017,Tech.Dribbling_2017,Tech.Finishing_2017,Tech.FirstTouch_2017,Tech.Freekicks_2017,Tech.Heading_2017,Tech.LongShots_2017,Tech.Longthrows_2017,Tech.Marking_2017,Tech.Passing_2017,Tech.PenaltyTaking_2017,Tech.Tackling_2017,Tech.Technique_2017,Mental.Aggression_2017,Mental.Anticipation_2017,Mental.Bravery_2017,Mental.Composure_2017,Mental.Concentration_2017,Mental.Vision_2017,Mental.Decisions_2017,Mental.Determination_2017,Mental.Flair_2017,Mental.Leadership_2017,Mental.OffTheBall_2017,Mental.Positioning_2017,Mental.Teamwork_2017,Mental.Workrate_2017,Phy.Acceleration_2017,Phy.Agility_2017,Phy.Balance_2017,Phy.Jumping_2017,Phy.LeftFoot_2017,Phy.NaturalFitness_2017,Phy.Pace_2017,Phy.RightFoot_2017,Phy.Stamina_2017,Phy.Strength_2017,Hidden.Consistency_2017,Hidden.Dirtiness_2017,Hidden.ImportantMatches_2017,Hidden.InjuryProness_2017,Hidden.Versatility_2017,Personality.Adaptability_2017,Personality.Ambition_2017,Personality.Loyalty_2017,Personality.Pressure_2017,Personality.Professional_2017,Personality.Sportsmanship_2017,Personality.Temperament_2017,Personality.Controversy_2017,name_2017,Market Value_2017,current league_2017
19-06-17,18.3.4.28,Gareth Barry,108586,765,23-Feb-81,36,53,3,27,2,5700,6650,6750,155,131,232186002,183,78,DM/M C,1,4,3,3,2,2,3,3,1,3,2,10,13,8,11,14,12,12,10,8,14,16,12,14,15,14,16,13,17,14,12,13,15,8,16,11,17,18,14,8,9,12,11,20,15,9,12,10,13,15,16,14,4,15,2,12,13,13,15,12,14,2,12,1,19,1,1,12,19,DM/M C,311,1,1,1,1,1,1,10,12,1,20,19,6,1,1,1,4718592.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gareth Barry,Â£900Th. ,39.0,184.0,Midfielder - Defensive Midfield,left,Retired,34.0,2.0,1.0,2200.0,30.0,1.0,1.0,2234.0,27.0,1.0,1.0,1586.0,6.0,0.0,0.0,326.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Gareth Barry,108586,765,23-Feb-81,35,53,3,27,2,6100,6650,6950,155,134,232186002,183,78,DM/M C,1,1,3,1,3,1,3,3,3,4,1,10,13,8,11,14,12,12,10,8,14,16,12,14,15,14,16,14,17,15,11,14,15,8,16,11,17,18,14,8,9,12,11,20,15,9,12,11,14,15,16,14,4,15,2,12,13,13,15,12,14,2,Gareth Barry,Â£1.35m ,Premier League
19-06-17,18.3.4.28,Mohamed Elneny,12065054,16,11-Jul-92,24,37,2,5,1,6500,7500,7200,155,142,55947039,180,77,DM/M C,2,2,3,2,2,3,3,2,1,4,1,8,7,11,6,14,8,12,14,8,13,14,14,15,15,12,14,14,16,15,13,14,14,8,11,10,13,16,16,12,12,15,13,8,18,13,20,16,15,13,8,12,6,8,14,14,14,14,15,14,18,4,15,1,20,1,1,1,20,DM/M C,421,1,1,1,1,1,1,15,1,1,19,20,1,1,1,1,525056.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mohamed Elneny,Â£9.00m ,28.0,179.0,Midfielder - Defensive Midfield,right,Arsenal FC,24.0,0.0,2.0,1043.0,32.0,1.0,4.0,2341.0,17.0,0.0,1.0,1013.0,36.0,1.0,4.0,3064.0,7.0,0.0,0.0,562.0,Premier League,15-07-16,17.3.2.23,Mohamed Elneny,12065054,16,11-Jul-92,24,37,2,5,1,6500,7400,7250,155,146,49967890,180,77,DM/M C,1,1,1,3,3,1,3,2,2,1,2,8,7,11,6,14,8,12,14,8,13,14,14,15,15,12,14,14,16,15,13,14,14,8,11,10,13,17,18,12,12,15,13,8,18,13,20,18,15,13,8,12,6,8,14,14,14,15,15,14,18,4,Mohamed Elneny,Â£9.00m ,Premier League
19-06-17,18.3.4.28,Michael Carrick,122025,765,28-Jul-81,35,34,0,14,2,6550,7250,7400,165,142,4501892,188,74,DM ,1,1,3,3,3,3,2,1,3,3,2,13,13,5,8,16,10,12,9,6,14,18,14,14,17,8,16,8,18,16,14,19,16,6,14,7,18,18,10,6,8,14,13,16,14,9,20,9,13,17,7,12,13,8,15,15,14,15,19,18,19,1,10,1,13,6,1,1,13,DM ,300,1,1,1,6,1,1,10,1,1,20,13,1,1,1,1,279178000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15-07-16,17.3.2.23,Michael Carrick,122025,765,28-Jul-81,34,34,0,14,2,6550,7250,7400,165,150,232186002,188,74,DM/M C,1,1,4,3,1,2,2,2,4,2,4,13,13,5,8,16,10,12,9,8,14,18,14,14,17,8,18,8,18,18,14,19,16,6,12,10,18,18,11,7,8,14,13,16,14,9,20,11,13,17,7,12,13,8,19,15,14,15,18,18,19,1,Michael Carrick,Â£1.35m ,Premier League
19-06-17,18.3.4.28,Darren Fletcher,127973,793,01-Feb-84,33,78,5,2,0,5850,7150,6750,160,135,232186002,183,83,DM/M C,2,4,4,2,2,2,1,1,3,1,2,10,15,6,10,13,8,15,6,9,13,14,12,15,14,15,16,18,12,15,11,14,18,6,17,9,17,19,15,9,13,14,13,11,15,10,20,12,12,17,14,20,6,12,18,14,18,16,20,17,18,4,10,8,20,12,13,8,20,DM/M C,421,1,1,1,12,1,10,1,1,10,18,20,8,13,1,8,2147614720.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darren Fletcher,Â£1.80m ,36.0,184.0,Midfielder - Central Midfield,right,Retired,40.0,2.0,3.0,3383.0,29.0,1.0,1.0,2356.0,14.0,1.0,1.0,612.0,nan,nan,nan,nan,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Darren Fletcher,127973,793,01-Feb-84,32,73,5,2,0,6098,7148,7148,160,143,232186002,183,83,DM/M C,2,2,2,2,1,1,2,3,3,4,1,10,15,6,10,13,8,15,6,9,13,14,12,15,14,15,16,18,12,15,11,14,18,6,17,9,17,19,15,11,13,14,13,11,15,12,20,16,12,17,14,20,6,12,10,14,18,16,20,17,18,4,Darren Fletcher,Â£1.80m ,Premier League
19-06-17,18.3.4.28,Claudio Yacob,14000757,1649,18-Jul-87,29,2,1,13,1,5600,6900,6850,150,137,30524157,181,73,DM/M C,3,1,3,1,2,2,1,3,2,3,2,5,10,12,5,13,9,12,6,7,15,12,10,16,12,15,17,18,14,15,12,14,14,10,13,11,16,17,17,10,13,14,11,9,12,10,20,14,14,15,16,15,7,8,10,15,16,17,13,13,8,13,1,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,1,1,1,20,20,1,1,1,1,4503600000000000.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Claudio Yacob,Â£3.15m ,33.0,182.0,Midfielder - Defensive Midfield,right,Club Nacional,34.0,0.0,0.0,2512.0,19.0,1.0,1.0,1042.0,17.0,0.0,0.0,1060.0,18.0,1.0,0.0,1147.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Claudio Yacob,14000757,1649,18-Jul-87,28,2,1,13,1,5600,6900,7050,150,141,26670056,181,73,DM/M C,3,3,3,3,3,3,1,1,2,2,4,5,10,12,5,13,9,12,6,7,16,13,10,16,12,15,17,18,14,15,12,14,14,10,13,11,18,17,17,10,13,14,11,9,12,10,20,14,14,15,16,15,7,8,10,15,16,17,13,13,8,13,Claudio Yacob,Â£3.60m ,Premier League
19-06-17,18.3.4.28,Cheikhou KouyatÃ©,18022052,41,21-Dec-89,27,36,2,0,0,5500,6800,6800,141,133,30568679,193,78,DM/M C,2,2,3,3,2,3,1,3,1,1,3,6,8,13,12,12,5,14,11,10,14,12,10,15,12,18,14,14,13,13,10,11,12,10,12,8,15,16,16,12,13,15,16,7,16,13,20,12,16,14,15,14,8,12,8,12,10,11,8,10,9,8,15,1,18,14,1,1,18,DM/M C,311,1,1,1,14,1,1,15,1,1,20,18,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cheikhou KouyatÃÂ©,Â£10.80m ,30.0,189.0,Midfielder - Defensive Midfield,right,Crystal Palace,36.0,4.0,0.0,3167.0,37.0,2.0,3.0,3089.0,37.0,0.0,3.0,2341.0,36.0,1.0,1.0,2625.0,6.0,1.0,0.0,540.0,Premier League,15-07-16,17.3.2.23,Cheikhou KouyatÃ©,18022052,41,21-Dec-89,26,24,2,0,0,5495,6395,6745,140,139,22749356,193,78,DM C,2,1,3,3,2,3,2,1,1,3,3,8,8,12,12,13,8,15,10,10,14,13,11,16,12,18,15,14,13,13,10,11,13,10,12,8,14,16,16,12,15,17,16,7,17,14,20,12,17,16,15,14,8,12,8,12,10,11,8,10,9,7,Cheikhou KouyatÃÂ©,Â£10.80m ,Premier League
19-06-17,18.3.4.28,Victor Wanyama,18026085,25,25-Jun-91,25,44,4,0,0,6550,8000,7300,156,152,52208972,184,87,DM/M C,2,3,3,2,2,2,2,3,3,3,1,7,10,11,9,13,8,15,9,8,14,13,10,20,12,17,15,18,13,13,10,13,18,9,7,12,15,15,17,12,15,15,11,8,16,12,20,17,18,15,12,15,3,10,16,17,9,16,15,14,14,11,7,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,7,1,1,20,20,1,1,1,1,134217984.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victor Wanyama,Â£27.00m ,29.0,184.0,Midfielder - Defensive Midfield,right,Montreal Impact,47.0,5.0,1.0,3894.0,24.0,1.0,0.0,1198.0,22.0,1.0,0.0,982.0,24.0,1.0,1.0,1922.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Victor Wanyama,18026085,25,25-Jun-91,25,43,4,0,0,6100,8000,7300,156,148,49754751,188,85,DM/M C,2,1,1,1,4,2,3,3,1,1,1,7,10,10,10,10,8,14,10,8,14,12,10,18,11,17,14,19,15,12,10,13,18,10,7,13,16,14,17,12,14,19,15,8,16,12,20,17,19,14,12,15,3,10,16,20,9,16,10,8,10,11,Victor Wanyama,Â£22.50m ,Premier League
19-06-17,18.3.4.28,Wilfred Ndidi,18091791,38,16-Dec-96,20,8,0,3,0,5700,6900,7200,169,138,52156485,186,78,DM/M C,1,3,4,1,1,3,1,1,3,1,1,10,10,12,7,13,10,14,13,7,12,11,5,16,11,14,16,13,14,14,11,13,15,11,10,11,11,14,15,13,13,11,15,8,17,13,20,17,13,14,10,13,6,12,14,16,14,14,14,12,14,5,15,13,19,10,13,11,19,DM/M C,311,1,1,1,10,1,1,15,11,13,20,19,1,1,11,13,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wilfred Ndidi,Â£22.50m ,23.0,183.0,Midfielder - Defensive Midfield,right,Leicester City,57.0,6.0,1.0,5076.0,38.0,1.0,4.0,3295.0,40.0,2.0,1.0,3478.0,39.0,2.0,1.0,3096.0,2.0,0.0,0.0,180.0,Premier League,15-07-16,17.3.2.23,Wilfred Ndidi,18091791,38,16-Dec-96,19,3,0,3,0,5500,6750,7200,154,130,87157019,186,78,DM/M C,1,3,1,2,2,3,1,3,2,2,1,10,10,12,7,13,10,14,13,7,12,11,4,15,11,14,16,13,14,14,11,11,15,11,10,11,11,14,15,13,13,11,15,8,16,13,20,16,13,14,10,13,6,12,14,16,14,14,14,12,14,5,Wilfred Ndidi,Â£12.60m ,Premier League
19-06-17,18.3.4.28,David Luiz,2114068,1651,22-Apr-87,30,57,3,0,0,7500,7900,7500,157,149,232186002,189,86,D/DM C,2,1,3,1,1,2,1,1,1,3,3,8,9,13,12,13,14,15,12,15,15,12,15,16,13,17,16,17,12,10,12,11,17,14,16,12,11,13,16,16,13,16,16,12,16,13,20,14,14,10,12,13,10,13,15,16,18,13,16,11,10,7,20,1,1,1,12,12,20,D/DM C,111,1,1,1,1,1,1,20,12,12,17,1,1,1,1,1,8864810000000.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,David Luiz,Â£22.50m ,33.0,189.0,Defender - Centre-Back,right,Arsenal FC,42.0,1.0,0.0,3754.0,17.0,2.0,0.0,1496.0,50.0,3.0,2.0,4339.0,43.0,2.0,1.0,3644.0,8.0,1.0,0.0,590.0,Premier League,15-07-16,17.3.2.23,David Luiz,2114068,1651,22-Apr-87,29,56,3,0,0,7500,8100,7750,157,155,74800273,189,84,D/DM C,3,2,2,1,1,1,2,2,1,2,1,8,9,13,12,13,14,14,12,18,17,12,15,16,13,17,16,16,12,10,10,11,17,12,15,12,11,13,16,17,15,16,16,10,16,15,20,14,13,10,12,13,10,13,15,16,18,13,16,11,10,7,David Luiz,Â£27.00m ,Premier League
19-06-17,18.3.4.28,Pierre-Emile HÅjbjerg,27058392,764,05-Aug-95,21,21,1,8,4,5155,6006,6650,155,134,46176725,185,84,DM/M/AM C,2,1,3,3,4,1,3,3,2,3,2,12,13,11,12,16,13,8,9,10,10,16,12,11,16,17,11,14,16,9,15,9,16,11,13,14,10,12,17,11,10,16,12,10,16,12,20,14,14,12,13,14,6,17,14,18,9,15,13,7,10,14,13,12,20,17,12,11,20,DM/M/AM C,431,1,1,1,17,11,11,13,1,10,16,20,11,11,1,12,140737000000000.0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pierre-Emile HÃ¶jbjerg,Â£9.00m ,25.0,185.0,Midfielder - Defensive Midfield,right,Tottenham Hotspur,37.0,0.0,1.0,2247.0,32.0,1.0,0.0,2432.0,33.0,4.0,4.0,2944.0,38.0,0.0,1.0,3200.0,9.0,0.0,1.0,692.0,Premier League,15-07-16,17.3.2.23,Pierre-Emile HÅjbjerg,27058392,764,05-Aug-95,20,17,1,8,4,5148,6898,6648,155,137,46354458,185,84,DM/M/AM C,1,3,1,1,1,3,3,2,1,3,1,12,13,11,12,16,13,8,15,10,10,15,12,11,16,17,11,14,16,9,15,9,16,11,13,14,10,12,17,11,10,16,12,10,16,13,20,14,15,12,13,14,6,17,14,18,9,15,13,7,10,14,Pierre-Emile HÃ¶jbjerg,Â£7.20m ,Premier League
