GameDate_2018,FMRTEVersion_2018,Name_2018,UID_2018,NationID_2018,Born_2018,Age_2018,IntCaps_2018,IntGoals_2018,U21Caps_2018,U21Goals_2018,WorldReputation_2018,HomeReputation_2018,CurrentReputation_2018,PA_2018,CA_2018,Price_2018,Height_2018,Weight_2018,PositionsString_2018,GK.AerialAbility_2018,GK.CommandOfArea_2018,GK.Communication_2018,GK.Eccentricity_2018,GK.Handling_2018,GK.Kicking_2018,GK.OneOnOnes_2018,GK.Reflexes_2018,GK.RushingOut_2018,GK.TendencyToPunch_2018,GK.Throwing_2018,Tech.Corners_2018,Tech.Crossing_2018,Tech.Dribbling_2018,Tech.Finishing_2018,Tech.FirstTouch_2018,Tech.Freekicks_2018,Tech.Heading_2018,Tech.LongShots_2018,Tech.Longthrows_2018,Tech.Marking_2018,Tech.Passing_2018,Tech.PenaltyTaking_2018,Tech.Tackling_2018,Tech.Technique_2018,Mental.Aggression_2018,Mental.Anticipation_2018,Mental.Bravery_2018,Mental.Composure_2018,Mental.Concentration_2018,Mental.Vision_2018,Mental.Decisions_2018,Mental.Determination_2018,Mental.Flair_2018,Mental.Leadership_2018,Mental.OffTheBall_2018,Mental.Positioning_2018,Mental.Teamwork_2018,Mental.Workrate_2018,Phy.Acceleration_2018,Phy.Agility_2018,Phy.Balance_2018,Phy.Jumping_2018,Phy.LeftFoot_2018,Phy.NaturalFitness_2018,Phy.Pace_2018,Phy.RightFoot_2018,Phy.Stamina_2018,Phy.Strength_2018,Hidden.Consistency_2018,Hidden.Dirtiness_2018,Hidden.ImportantMatches_2018,Hidden.InjuryProness_2018,Hidden.Versatility_2018,Personality.Adaptability_2018,Personality.Ambition_2018,Personality.Loyalty_2018,Personality.Pressure_2018,Personality.Professional_2018,Personality.Sportsmanship_2018,Personality.Temperament_2018,Personality.Controversy_2018,Positions.Defender_2018,Positions.WingBack_2018,Positions.Midfielder_2018,Positions.AttackingMidfielder_2018,Positions.Right_2018,Positions.Left_2018,Positions.Centre_2018,Positions.PositionsDesc_2018,Positions.PositionsDescVal_2018,Positions.Goalkeeper_2018,Positions.Sweeper_2018,Positions.Striker_2018,Positions.AttackingMidCentral_2018,Positions.AttackingMidLeft_2018,Positions.AttackingMidRight_2018,Positions.DefenderCentral_2018,Positions.DefenderLeft_2018,Positions.DefenderRight_2018,Positions.DefensiveMidfielder_2018,Positions.MidfielderCentral_2018,Positions.MidfielderLeft_2018,Positions.MidfielderRight_2018,Positions.WingBackLeft_2018,Positions.WingBackRight_2018,PPMVal_2018,PPM0_2018,PPM1_2018,PPM2_2018,PPM3_2018,PPM4_2018,PPM5_2018,PPM6_2018,PPM7_2018,PPM8_2018,PPM9_2018,PPM10_2018,PPM11_2018,PPM12_2018,PPM13_2018,PPM14_2018,PPM15_2018,PPM16_2018,PPM17_2018,PPM18_2018,PPM19_2018,PPM20_2018,PPM21_2018,PPM22_2018,PPM23_2018,PPM24_2018,PPM25_2018,PPM26_2018,PPM27_2018,PPM28_2018,PPM29_2018,PPM30_2018,PPM31_2018,PPM32_2018,PPM33_2018,PPM34_2018,PPM35_2018,PPM36_2018,PPM37_2018,PPM38_2018,PPM39_2018,PPM40_2018,PPM41_2018,PPM42_2018,PPM43_2018,PPM44_2018,PPM45_2018,PPM46_2018,PPM47_2018,name_2018,Market Value_2018,age_2018,height_2018,position_2018,foot_2018,current club_2018,16/17 games_2018,16/17 goals/conceded_2018,16/17 assists/clean_2018,16/17 minutes_2018,17/18 games_2018,17/18 goals/conceded_2018,17/18 assists/clean_2018,17/18 minutes_2018,18/19 games_2018,18/19 goals/conceded_2018,18/19 assists/clean_2018,18/19 minutes_2018,19/20 games_2018,19/20 goals/conceded_2018,19/20 assists/clean_2018,19/20 minutes_2018,20/21 games_2018,20/21 goals/conceded_2018,20/21 assists/clean_2018,20/21 minutes_2018,current league_2018,GameDate_2017,FMRTEVersion_2017,Name_2017,UID_2017,NationID_2017,Born_2017,Age_2017,IntCaps_2017,IntGoals_2017,U21Caps_2017,U21Goals_2017,WorldReputation_2017,HomeReputation_2017,CurrentReputation_2017,PA_2017,CA_2017,Price_2017,Height_2017,Weight_2017,PositionsString_2017,GK.AerialAbility_2017,GK.CommandOfArea_2017,GK.Communication_2017,GK.Eccentricity_2017,GK.Handling_2017,GK.Kicking_2017,GK.OneOnOnes_2017,GK.Reflexes_2017,GK.RushingOut_2017,GK.TendencyToPunch_2017,GK.Throwing_2017,Tech.Corners_2017,Tech.Crossing_2017,Tech.Dribbling_2017,Tech.Finishing_2017,Tech.FirstTouch_2017,Tech.Freekicks_2017,Tech.Heading_2017,Tech.LongShots_2017,Tech.Longthrows_2017,Tech.Marking_2017,Tech.Passing_2017,Tech.PenaltyTaking_2017,Tech.Tackling_2017,Tech.Technique_2017,Mental.Aggression_2017,Mental.Anticipation_2017,Mental.Bravery_2017,Mental.Composure_2017,Mental.Concentration_2017,Mental.Vision_2017,Mental.Decisions_2017,Mental.Determination_2017,Mental.Flair_2017,Mental.Leadership_2017,Mental.OffTheBall_2017,Mental.Positioning_2017,Mental.Teamwork_2017,Mental.Workrate_2017,Phy.Acceleration_2017,Phy.Agility_2017,Phy.Balance_2017,Phy.Jumping_2017,Phy.LeftFoot_2017,Phy.NaturalFitness_2017,Phy.Pace_2017,Phy.RightFoot_2017,Phy.Stamina_2017,Phy.Strength_2017,Hidden.Consistency_2017,Hidden.Dirtiness_2017,Hidden.ImportantMatches_2017,Hidden.InjuryProness_2017,Hidden.Versatility_2017,Personality.Adaptability_2017,Personality.Ambition_2017,Personality.Loyalty_2017,Personality.Pressure_2017,Personality.Professional_2017,Personality.Sportsmanship_2017,Personality.Temperament_2017,Personality.Controversy_2017,name_2017,Market Value_2017,current league_2017
19-06-17,18.3.4.28,JesÃºs GÃ¡mez,1501035,796,10-Apr-85,32,0,0,4,2,5509,6800,6500,150,120,6074673,182,77,D/WB RL,4,2,3,1,4,2,2,2,3,1,3,5,11,11,5,12,5,11,7,12,12,12,7,13,14,12,13,13,14,13,10,13,12,6,12,13,13,14,12,11,12,13,12,12,12,12,20,12,12,13,8,12,16,10,6,16,15,11,12,12,8,5,20,18,1,1,20,16,1,D/WB RL,115,1,1,1,1,1,1,1,16,20,1,1,1,1,15,18,154619000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,JesÃºs GÃ¡mez,Â£1.80m ,35.0,177.0,Defender - Right-Back,right,Retired,7.0,0.0,0.0,381.0,3.0,0.0,0.0,217.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Matt Lowton,152936,765,09-Jun-89,28,0,0,0,0,4750,6650,6650,135,133,26534260,181,78,D/WB R,3,3,3,1,1,3,1,3,1,1,1,6,13,12,8,13,6,14,12,7,14,13,6,14,13,13,14,13,16,14,11,12,17,10,8,12,14,16,16,14,15,12,11,6,14,13,20,14,13,14,9,13,8,11,10,13,14,8,9,11,11,7,20,18,10,1,20,1,13,D/WB R,112,1,1,1,1,1,1,13,1,20,1,7,1,10,1,18,34.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew Lowton,Â£4.50m ,31.0,180.0,Defender - Right-Back,right,Burnley FC,36.0,0.0,2.0,3240.0,27.0,0.0,3.0,2384.0,24.0,0.0,0.0,2078.0,20.0,0.0,2.0,1722.0,3.0,0.0,1.0,259.0,Premier League,15-07-16,17.3.2.23,Matt Lowton,152936,765,09-Jun-89,27,0,0,0,0,4196,6246,6246,135,126,10573045,181,78,D/WB R,1,3,2,1,1,4,3,2,3,2,3,6,13,12,8,13,6,14,12,7,12,13,6,13,12,11,14,13,16,13,11,10,17,10,8,12,14,15,15,13,15,12,11,6,14,13,20,14,12,13,9,12,8,11,10,13,14,8,9,11,11,7,Matthew Lowton,Â£2.25m ,Premier League
19-06-17,18.3.4.28,Kyle Naughton,152937,765,17-Nov-88,28,0,0,9,0,5500,6350,6700,135,127,26931133,180,73,D/WB/M RL,3,1,3,3,3,3,3,2,3,2,1,6,11,10,5,13,7,10,12,10,11,11,5,12,12,8,12,11,15,11,10,11,14,11,8,11,12,14,13,14,14,13,10,12,18,14,20,15,11,12,9,12,5,14,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,1,1,1,1,1,15,20,1,5,5,16,13,18,1125900000000000.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Naughton,Â£4.50m ,31.0,181.0,Defender - Right-Back,right,Swansea City,34.0,1.0,0.0,2959.0,39.0,1.0,2.0,3399.0,38.0,1.0,2.0,3025.0,35.0,3.0,0.0,2720.0,2.0,0.0,0.0,171.0,Premier League,15-07-16,17.3.2.23,Kyle Naughton,152937,765,17-Nov-88,27,0,0,9,0,5400,6400,6400,135,130,12687171,180,73,D/WB/M RL,1,2,2,1,1,3,2,2,1,2,1,6,11,11,5,13,7,10,12,13,12,11,5,12,13,8,12,11,15,11,10,11,14,11,8,11,12,14,14,14,14,13,10,12,18,14,20,15,11,14,9,12,5,15,12,15,18,14,16,16,13,4,Kyle Naughton,Â£4.50m ,Premier League
19-06-17,18.3.4.28,Chancel Mbemba,18057323,53,08-Aug-94,22,25,1,0,0,5250,6750,6800,145,132,49225584,182,80,D RLC,3,1,2,2,1,2,1,2,2,2,1,4,10,12,8,12,4,14,10,4,13,12,7,15,13,10,13,14,14,12,8,11,13,10,10,11,15,15,15,15,11,14,13,8,14,15,20,14,14,12,8,13,6,14,14,12,12,14,14,14,16,5,20,1,1,1,17,15,20,D RLC,106,1,1,1,1,1,1,20,15,17,13,1,1,1,1,1,4294967296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chancel Mbemba,Â£5.40m ,26.0,182.0,Defender - Centre-Back,right,FC Porto,13.0,1.0,0.0,1195.0,11.0,0.0,0.0,883.0,8.0,0.0,0.0,485.0,42.0,6.0,1.0,3301.0,6.0,0.0,0.0,531.0,Premier League
19-06-17,18.3.4.28,Danilo,19099575,1651,15-Jul-91,25,15,0,15,2,7000,7500,7250,152,150,44013283,184,78,D/WB RL,2,2,2,3,2,2,3,4,1,2,2,11,13,12,11,12,10,10,13,13,12,12,12,15,13,14,12,14,11,13,10,10,15,14,10,14,11,13,16,13,12,13,12,16,15,17,20,17,14,12,14,12,9,14,12,15,13,12,16,12,12,8,20,18,9,1,20,16,9,D/WB RL,115,1,1,1,1,1,1,1,16,20,11,9,1,9,15,18,2.8823e+17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danilo,Â£18.00m ,29.0,184.0,Defender - Right-Back,right,Juventus FC,25.0,1.0,3.0,2117.0,38.0,3.0,2.0,2476.0,22.0,1.0,1.0,1479.0,32.0,2.0,0.0,2152.0,5.0,0.0,1.0,450.0,Premier League,15-07-16,17.3.2.23,Danilo,320236,1651,10-May-84,32,0,0,0,0,4500,6500,6650,143,133,232186002,185,75,D C,3,4,2,3,3,2,2,1,4,2,3,4,7,8,10,11,3,15,9,14,14,9,10,14,10,16,13,17,12,13,8,14,13,11,15,7,15,14,13,12,10,14,13,9,15,13,20,14,14,13,14,14,7,10,13,14,14,15,12,5,7,14,Danilo,Â£1.80m ,Serie A
19-06-17,18.3.4.28,Emerson,19158043,776,13-Mar-94,23,0,0,0,0,5000,6750,7250,158,145,64378562,176,77,D RL,3,4,3,2,4,2,2,4,1,2,2,12,15,16,7,16,10,9,14,10,12,13,4,14,15,11,13,12,12,12,12,13,14,14,5,15,12,13,14,16,15,15,9,20,13,16,10,14,13,13,11,9,5,13,8,12,13,10,14,13,12,9,20,15,14,1,15,20,10,D RL,105,1,1,1,1,1,1,1,20,15,1,10,14,10,15,12,1100180000000.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Emerson,Â£18.00m ,26.0,181.0,Defender - Left-Back,left,Chelsea FC,36.0,1.0,1.0,2595.0,10.0,0.0,2.0,655.0,27.0,1.0,2.0,2250.0,21.0,0.0,1.0,1523.0,2.0,0.0,0.0,114.0,Premier League
19-06-17,18.3.4.28,Craig Cathcart,28000905,785,06-Feb-89,28,33,2,15,0,5750,6550,6600,138,135,26976197,188,73,D RC,2,1,1,1,2,1,1,3,2,2,1,3,4,8,10,12,4,15,4,7,14,12,4,16,12,11,14,13,14,14,8,15,16,5,11,11,14,13,14,11,9,13,15,13,15,12,20,15,13,15,6,13,13,8,9,12,15,13,18,17,17,3,20,1,1,1,15,9,20,D RC,103,1,1,1,1,1,1,20,9,15,1,1,1,1,1,1,274878000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Craig Cathcart,Â£3.15m ,31.0,189.0,Defender - Centre-Back,right,Watford FC,16.0,0.0,1.0,1177.0,7.0,0.0,0.0,495.0,41.0,3.0,1.0,3578.0,30.0,0.0,0.0,2579.0,7.0,1.0,0.0,559.0,Premier League,15-07-16,17.3.2.23,Craig Cathcart,28000905,785,06-Feb-89,27,32,2,15,0,4600,6550,6500,138,135,19141387,188,73,D RC,1,3,4,3,2,1,3,3,4,3,1,3,4,8,10,12,4,15,4,7,14,12,4,16,12,11,14,13,14,14,8,15,16,5,11,11,14,13,14,11,9,13,15,13,15,12,20,15,13,15,6,13,13,8,9,12,15,13,18,17,17,3,Craig Cathcart,Â£3.60m ,Premier League
19-06-17,18.3.4.28,Joel Ward,28004100,765,29-Oct-89,27,0,0,0,0,5400,6650,6600,136,129,20559807,188,83,D RL,2,2,1,4,1,1,2,2,2,1,3,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,13,9,13,18,5,10,13,13,17,15,13,13,12,13,10,17,12,20,15,13,15,1,10,6,15,14,12,12,9,13,10,13,1,20,10,10,10,20,15,10,D RL,105,1,1,1,1,1,10,10,15,20,1,10,1,10,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Ward,Â£4.50m ,30.0,186.0,Defender - Right-Back,right,Crystal Palace,42.0,0.0,1.0,3778.0,20.0,0.0,1.0,1706.0,12.0,1.0,0.0,939.0,29.0,0.0,0.0,2383.0,5.0,0.0,0.0,450.0,Premier League,15-07-16,17.3.2.23,Joel Ward,28004100,765,29-Oct-89,26,0,0,0,0,5500,6650,6750,136,133,19453020,188,83,D RL,3,3,3,2,2,2,2,2,1,3,2,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,15,9,13,18,5,10,13,14,17,15,13,13,12,13,10,17,12,20,16,13,15,1,10,6,15,14,12,12,9,13,10,13,1,Joel Ward,Â£4.50m ,Premier League
19-06-17,18.3.4.28,Kyle Walker,28009441,765,28-May-90,27,27,0,7,0,7000,7750,7750,157,154,72250405,182,80,D/WB R,1,2,1,3,2,1,2,3,1,2,3,11,13,13,7,12,12,14,7,13,12,13,6,13,13,12,13,15,13,13,11,9,13,10,12,13,12,15,16,18,15,15,12,10,13,18,20,15,15,14,5,12,6,14,19,15,14,7,8,12,11,7,20,18,5,5,20,10,12,D/WB R,112,1,1,1,1,1,5,12,10,20,1,1,1,5,1,18,134217760.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Walker,Â£45.00m ,30.0,183.0,Defender - Right-Back,right,Manchester City,39.0,0.0,5.0,3176.0,48.0,0.0,7.0,3842.0,52.0,2.0,1.0,4301.0,42.0,1.0,6.0,3454.0,8.0,0.0,0.0,684.0,Premier League,15-07-16,17.3.2.23,Kyle Walker,28009441,765,28-May-90,26,19,0,7,0,6000,7500,7500,151,148,76525627,183,74,D/WB R,1,2,3,3,3,1,2,2,2,4,2,13,13,14,7,12,12,15,7,14,12,12,6,13,12,11,13,15,13,13,11,9,13,10,12,12,12,15,16,18,15,15,12,10,13,18,20,15,15,13,5,12,6,14,10,15,14,7,8,12,11,7,Kyle Walker,Â£27.00m ,Premier League
19-06-17,18.3.4.28,Martin Kelly,28010835,765,27-Apr-90,27,1,0,8,3,4900,6500,6250,130,125,13042350,191,78,D RC,2,2,1,3,2,1,1,2,3,2,2,4,8,8,10,12,5,12,2,6,11,12,5,14,12,13,12,16,12,14,13,13,14,5,10,10,14,11,16,12,13,13,13,11,10,13,20,15,14,7,17,11,14,13,16,12,14,12,14,14,12,5,20,14,1,1,20,10,16,D RC,103,1,1,1,1,1,1,16,10,20,1,1,1,1,1,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Martin Kelly,Â£2.70m ,30.0,191.0,Defender - Right-Back,right,Crystal Palace,34.0,0.0,2.0,2559.0,19.0,0.0,0.0,1554.0,20.0,0.0,0.0,1712.0,21.0,0.0,1.0,1685.0,2.0,0.0,0.0,151.0,Premier League,15-07-16,17.3.2.23,Martin Kelly,28010835,765,27-Apr-90,26,1,0,8,3,4900,6500,6500,130,125,11053229,191,78,D RC,1,3,3,1,1,3,1,3,3,3,2,4,8,8,10,12,5,12,2,6,11,12,5,14,12,13,12,16,12,14,13,13,14,5,10,10,14,11,16,12,13,13,13,11,10,13,20,15,14,7,17,11,14,13,19,12,14,12,14,14,12,5,Martin Kelly,Â£2.70m ,Premier League
