GameDate_2018,FMRTEVersion_2018,Name_2018,UID_2018,NationID_2018,Born_2018,Age_2018,IntCaps_2018,IntGoals_2018,U21Caps_2018,U21Goals_2018,WorldReputation_2018,HomeReputation_2018,CurrentReputation_2018,PA_2018,CA_2018,Price_2018,Height_2018,Weight_2018,PositionsString_2018,GK.AerialAbility_2018,GK.CommandOfArea_2018,GK.Communication_2018,GK.Eccentricity_2018,GK.Handling_2018,GK.Kicking_2018,GK.OneOnOnes_2018,GK.Reflexes_2018,GK.RushingOut_2018,GK.TendencyToPunch_2018,GK.Throwing_2018,Tech.Corners_2018,Tech.Crossing_2018,Tech.Dribbling_2018,Tech.Finishing_2018,Tech.FirstTouch_2018,Tech.Freekicks_2018,Tech.Heading_2018,Tech.LongShots_2018,Tech.Longthrows_2018,Tech.Marking_2018,Tech.Passing_2018,Tech.PenaltyTaking_2018,Tech.Tackling_2018,Tech.Technique_2018,Mental.Aggression_2018,Mental.Anticipation_2018,Mental.Bravery_2018,Mental.Composure_2018,Mental.Concentration_2018,Mental.Vision_2018,Mental.Decisions_2018,Mental.Determination_2018,Mental.Flair_2018,Mental.Leadership_2018,Mental.OffTheBall_2018,Mental.Positioning_2018,Mental.Teamwork_2018,Mental.Workrate_2018,Phy.Acceleration_2018,Phy.Agility_2018,Phy.Balance_2018,Phy.Jumping_2018,Phy.LeftFoot_2018,Phy.NaturalFitness_2018,Phy.Pace_2018,Phy.RightFoot_2018,Phy.Stamina_2018,Phy.Strength_2018,Hidden.Consistency_2018,Hidden.Dirtiness_2018,Hidden.ImportantMatches_2018,Hidden.InjuryProness_2018,Hidden.Versatility_2018,Personality.Adaptability_2018,Personality.Ambition_2018,Personality.Loyalty_2018,Personality.Pressure_2018,Personality.Professional_2018,Personality.Sportsmanship_2018,Personality.Temperament_2018,Personality.Controversy_2018,Positions.Defender_2018,Positions.WingBack_2018,Positions.Midfielder_2018,Positions.AttackingMidfielder_2018,Positions.Right_2018,Positions.Left_2018,Positions.Centre_2018,Positions.PositionsDesc_2018,Positions.PositionsDescVal_2018,Positions.Goalkeeper_2018,Positions.Sweeper_2018,Positions.Striker_2018,Positions.AttackingMidCentral_2018,Positions.AttackingMidLeft_2018,Positions.AttackingMidRight_2018,Positions.DefenderCentral_2018,Positions.DefenderLeft_2018,Positions.DefenderRight_2018,Positions.DefensiveMidfielder_2018,Positions.MidfielderCentral_2018,Positions.MidfielderLeft_2018,Positions.MidfielderRight_2018,Positions.WingBackLeft_2018,Positions.WingBackRight_2018,PPMVal_2018,PPM0_2018,PPM1_2018,PPM2_2018,PPM3_2018,PPM4_2018,PPM5_2018,PPM6_2018,PPM7_2018,PPM8_2018,PPM9_2018,PPM10_2018,PPM11_2018,PPM12_2018,PPM13_2018,PPM14_2018,PPM15_2018,PPM16_2018,PPM17_2018,PPM18_2018,PPM19_2018,PPM20_2018,PPM21_2018,PPM22_2018,PPM23_2018,PPM24_2018,PPM25_2018,PPM26_2018,PPM27_2018,PPM28_2018,PPM29_2018,PPM30_2018,PPM31_2018,PPM32_2018,PPM33_2018,PPM34_2018,PPM35_2018,PPM36_2018,PPM37_2018,PPM38_2018,PPM39_2018,PPM40_2018,PPM41_2018,PPM42_2018,PPM43_2018,PPM44_2018,PPM45_2018,PPM46_2018,PPM47_2018,name_2018,Market Value_2018,age_2018,height_2018,position_2018,foot_2018,current club_2018,16/17 games_2018,16/17 goals/conceded_2018,16/17 assists/clean_2018,16/17 minutes_2018,17/18 games_2018,17/18 goals/conceded_2018,17/18 assists/clean_2018,17/18 minutes_2018,18/19 games_2018,18/19 goals/conceded_2018,18/19 assists/clean_2018,18/19 minutes_2018,19/20 games_2018,19/20 goals/conceded_2018,19/20 assists/clean_2018,19/20 minutes_2018,20/21 games_2018,20/21 goals/conceded_2018,20/21 assists/clean_2018,20/21 minutes_2018,current league_2018,GameDate_2017,FMRTEVersion_2017,Name_2017,UID_2017,NationID_2017,Born_2017,Age_2017,IntCaps_2017,IntGoals_2017,U21Caps_2017,U21Goals_2017,WorldReputation_2017,HomeReputation_2017,CurrentReputation_2017,PA_2017,CA_2017,Price_2017,Height_2017,Weight_2017,PositionsString_2017,GK.AerialAbility_2017,GK.CommandOfArea_2017,GK.Communication_2017,GK.Eccentricity_2017,GK.Handling_2017,GK.Kicking_2017,GK.OneOnOnes_2017,GK.Reflexes_2017,GK.RushingOut_2017,GK.TendencyToPunch_2017,GK.Throwing_2017,Tech.Corners_2017,Tech.Crossing_2017,Tech.Dribbling_2017,Tech.Finishing_2017,Tech.FirstTouch_2017,Tech.Freekicks_2017,Tech.Heading_2017,Tech.LongShots_2017,Tech.Longthrows_2017,Tech.Marking_2017,Tech.Passing_2017,Tech.PenaltyTaking_2017,Tech.Tackling_2017,Tech.Technique_2017,Mental.Aggression_2017,Mental.Anticipation_2017,Mental.Bravery_2017,Mental.Composure_2017,Mental.Concentration_2017,Mental.Vision_2017,Mental.Decisions_2017,Mental.Determination_2017,Mental.Flair_2017,Mental.Leadership_2017,Mental.OffTheBall_2017,Mental.Positioning_2017,Mental.Teamwork_2017,Mental.Workrate_2017,Phy.Acceleration_2017,Phy.Agility_2017,Phy.Balance_2017,Phy.Jumping_2017,Phy.LeftFoot_2017,Phy.NaturalFitness_2017,Phy.Pace_2017,Phy.RightFoot_2017,Phy.Stamina_2017,Phy.Strength_2017,Hidden.Consistency_2017,Hidden.Dirtiness_2017,Hidden.ImportantMatches_2017,Hidden.InjuryProness_2017,Hidden.Versatility_2017,Personality.Adaptability_2017,Personality.Ambition_2017,Personality.Loyalty_2017,Personality.Pressure_2017,Personality.Professional_2017,Personality.Sportsmanship_2017,Personality.Temperament_2017,Personality.Controversy_2017,name_2017,Market Value_2017,current league_2017
19-06-17,18.3.4.28,Didier Ndong,12056402,19,17-Jun-94,23,27,0,0,0,4750,6400,6350,151,127,25820708,179,75,M RC,2,1,2,2,2,3,2,3,2,1,1,7,10,12,8,12,10,11,12,11,11,11,10,13,12,15,13,15,10,12,10,11,14,12,10,12,12,11,17,15,14,13,10,13,15,14,20,15,14,9,13,12,10,12,13,15,10,9,12,10,10,4,1,1,20,14,16,1,20,M RC,403,1,1,1,14,1,1,1,1,1,13,20,1,16,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Didier Ndong,Â£7.20m ,26.0,179.0,Midfielder - Central Midfield,right,Dijon FCO,35.0,1.0,1.0,2819.0,21.0,0.0,4.0,1662.0,15.0,0.0,0.0,1120.0,33.0,0.0,4.0,2820.0,8.0,0.0,0.0,720.0,Premier League,15-07-16,17.3.2.23,Didier Ndong,12056402,19,17-Jun-94,22,18,0,0,0,4350,6400,6350,151,127,24921072,179,75,DM/M RC,1,3,3,2,1,2,3,4,3,2,3,7,8,12,8,13,10,11,12,11,11,11,10,14,13,15,12,15,8,12,10,12,14,12,10,13,12,13,17,14,14,13,10,9,15,15,20,15,14,13,13,12,11,12,13,15,12,11,12,10,10,5,Didier Ndong,Â£9.00m ,Premier League
19-06-17,18.3.4.28,Ramadan Sobhi,12066084,16,23-Jan-97,20,16,1,23,7,5250,7000,6500,151,134,46925125,183,0,AM RLC,1,1,2,1,3,1,1,3,2,1,1,11,12,14,10,13,9,11,10,4,5,12,13,9,14,14,16,18,12,10,15,11,19,17,6,15,9,15,15,12,15,10,13,13,15,14,20,13,11,12,8,17,7,16,15,20,19,13,10,10,12,12,1,14,15,20,18,18,20,AM RLC,506,1,1,1,20,18,18,1,1,1,1,14,12,15,1,14,70368900000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ramadan Sobhi,Â£6.30m ,23.0,183.0,Forward - Left Winger,right,Pyramids FC,20.0,0.0,2.0,1057.0,28.0,4.0,1.0,1594.0,31.0,2.0,5.0,2246.0,9.0,5.0,1.0,707.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Ramadan Sobhi,12066084,16,23-Jan-97,19,1,0,23,7,4971,6960,6500,150,120,38705452,183,80,AM RLC,2,1,1,1,2,3,3,3,2,2,3,9,10,17,8,13,7,9,8,2,3,13,11,7,14,14,16,17,10,8,13,9,19,17,5,13,7,13,13,10,14,8,11,13,15,13,20,12,15,12,8,17,7,16,15,20,19,13,10,10,12,12,Ramadan Sobhi,Â£4.50m ,Premier League
19-06-17,18.3.4.28,Erik Lamela,14005628,1649,04-Mar-92,25,23,3,0,0,6150,7500,7250,150,137,31461153,181,80,AM RLC,1,1,2,2,4,3,2,2,2,2,2,14,14,15,11,14,14,9,13,4,8,16,14,10,17,13,13,11,17,11,16,11,14,17,5,13,9,15,16,13,15,13,9,20,13,12,7,15,11,10,13,12,13,15,4,12,11,11,13,10,10,7,1,1,13,20,20,15,17,AM RLC,506,1,1,13,17,15,20,1,1,1,1,1,13,12,1,1,2251960000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Erik Lamela,Â£18.00m ,28.0,184.0,Forward - Right Winger,left,Tottenham Hotspur,14.0,2.0,7.0,944.0,34.0,4.0,7.0,1380.0,33.0,6.0,3.0,1550.0,35.0,4.0,6.0,1659.0,7.0,2.0,0.0,347.0,Premier League,15-07-16,17.3.2.23,Erik Lamela,14005628,1649,04-Mar-92,24,22,3,0,0,6150,7750,7400,160,148,104097957,183,79,AM RLC,2,1,1,2,2,2,1,2,3,1,3,15,12,14,13,15,14,6,13,4,4,14,13,10,17,15,14,11,14,10,14,12,14,16,5,15,9,10,16,16,15,14,10,20,17,14,9,16,11,13,13,12,10,16,4,14,12,11,14,9,11,7,Erik Lamela,Â£22.50m ,Premier League
19-06-17,18.3.4.28,Roberto Pereyra,14021900,1649,07-Jan-91,26,10,0,4,0,5600,7300,7350,156,147,66804763,182,77,M/AM RC,1,3,1,3,1,2,3,3,2,1,3,13,14,15,13,15,11,7,14,7,7,15,13,10,16,11,14,9,14,10,15,12,13,14,6,16,8,13,12,14,15,12,9,12,10,15,20,15,11,13,10,13,15,18,13,14,9,14,14,13,11,7,1,4,19,20,16,12,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,1,19,12,16,3,4,2251800000000000.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roberto Pereyra,Â£9.00m ,29.0,182.0,Midfielder - Attacking Midfield,both,Udinese Calcio,13.0,2.0,3.0,1039.0,34.0,5.0,4.0,1725.0,36.0,6.0,3.0,3100.0,32.0,5.0,1.0,1959.0,3.0,0.0,1.0,246.0,Premier League,15-07-16,17.3.2.23,Roberto Pereyra,14021900,1649,07-Jan-91,25,10,0,4,0,5250,7300,7350,156,148,58166143,184,74,M/AM RC,3,3,1,3,3,3,1,4,2,1,1,13,14,16,13,15,11,7,14,7,7,15,11,8,16,11,14,10,12,10,15,12,13,14,6,16,8,13,13,15,15,12,9,12,10,15,20,15,11,14,10,13,15,18,13,14,9,14,14,13,11,7,Roberto Pereyra,Â£13.50m ,Premier League
19-06-17,18.3.4.28,Manuel Lanzini,14025513,1649,15-Feb-93,24,2,0,0,0,5600,7000,7100,160,138,49231264,167,0,M/AM RLC,2,1,1,1,3,2,1,2,4,2,1,13,12,16,13,16,14,8,13,2,6,14,10,5,16,12,11,10,13,10,14,11,12,15,10,14,5,13,12,15,15,13,8,12,13,15,20,13,8,12,8,14,10,12,14,13,13,8,13,7,13,8,1,1,16,20,15,17,20,M/AM RLC,526,1,1,10,20,17,15,1,1,1,1,16,14,11,1,1,2251800000000000.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manuel Lanzini,Â£18.00m ,27.0,167.0,Midfielder - Attacking Midfield,right,West Ham United,39.0,8.0,2.0,2927.0,29.0,5.0,9.0,2255.0,10.0,1.0,2.0,688.0,25.0,0.0,3.0,1467.0,4.0,1.0,2.0,283.0,Premier League,15-07-16,17.3.2.23,Manuel Lanzini,14025513,1649,15-Feb-93,23,0,0,0,0,5347,6947,6747,160,142,35936652,167,63,M/AM RLC,3,2,3,3,2,2,2,1,3,1,1,13,13,16,12,16,15,8,13,2,6,15,10,5,16,12,10,10,13,10,14,11,13,15,10,15,5,12,10,16,16,12,8,13,13,15,20,12,8,12,8,12,10,12,15,13,12,8,12,7,13,8,Manuel Lanzini,Â£13.50m ,Premier League
19-06-17,18.3.4.28,Pedro,1510305,796,28-Jul-87,29,63,17,2,0,7500,8000,8000,164,158,187451605,169,66,AM RLC,3,1,4,1,2,2,1,2,1,3,3,12,11,13,15,16,10,9,15,5,4,12,11,8,14,14,16,10,12,13,11,13,16,15,8,17,6,12,16,16,18,14,6,19,13,15,20,14,7,13,7,17,10,16,10,14,17,14,17,12,17,5,1,1,13,20,20,19,18,AM RLC,506,1,1,14,18,19,20,1,1,1,1,1,12,13,1,1,2252350000000000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pedro,Â£22.50m ,33.0,167.0,Forward - Right Winger,both,AS Roma,43.0,13.0,12.0,2723.0,48.0,7.0,5.0,2509.0,52.0,13.0,5.0,3099.0,23.0,2.0,3.0,1273.0,6.0,2.0,1.0,490.0,Premier League,15-07-16,17.3.2.23,Pedro,1510305,796,28-Jul-87,28,59,17,2,0,7500,8000,8000,164,155,101426319,169,65,AM RLC,3,2,3,2,2,3,1,2,3,2,4,12,11,13,15,16,10,9,12,5,4,12,11,8,14,14,15,10,12,13,11,13,16,15,8,17,6,12,15,16,18,14,6,19,13,15,20,14,7,13,7,17,10,16,11,14,17,14,17,12,17,5,Pedro,Â£25.20m ,Premier League
19-06-17,18.3.4.28,Matt Ritchie,151741,793,10-Sep-89,27,14,3,0,0,5200,6600,7000,147,140,44183944,173,71,M/AM RL,3,2,1,4,3,1,2,1,1,3,3,14,15,13,14,14,15,6,15,5,7,15,16,11,13,15,13,14,14,12,14,14,14,13,13,13,10,15,18,13,12,15,6,20,16,13,8,15,13,15,8,14,7,13,13,13,13,10,12,11,10,5,1,1,18,20,20,17,13,M/AM RL,525,1,1,1,13,17,20,1,1,1,1,1,15,18,1,1,549756000000.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Matt Ritchie,Â£10.80m ,31.0,173.0,Defender - Left-Back,left,Newcastle United,48.0,16.0,10.0,3913.0,38.0,3.0,6.0,3035.0,39.0,3.0,9.0,3212.0,23.0,2.0,2.0,1664.0,3.0,0.0,1.0,239.0,Premier League
19-06-17,18.3.4.28,Kyle Naughton,152937,765,17-Nov-88,28,0,0,9,0,5500,6350,6700,135,127,26931133,180,73,D/WB/M RL,3,1,3,3,3,3,3,2,3,2,1,6,11,10,5,13,7,10,12,10,11,11,5,12,12,8,12,11,15,11,10,11,14,11,8,11,12,14,13,14,14,13,10,12,18,14,20,15,11,12,9,12,5,14,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,1,1,1,1,1,15,20,1,5,5,16,13,18,1125900000000000.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Naughton,Â£4.50m ,31.0,181.0,Defender - Right-Back,right,Swansea City,34.0,1.0,0.0,2959.0,39.0,1.0,2.0,3399.0,38.0,1.0,2.0,3025.0,35.0,3.0,0.0,2720.0,2.0,0.0,0.0,171.0,Premier League,15-07-16,17.3.2.23,Kyle Naughton,152937,765,17-Nov-88,27,0,0,9,0,5400,6400,6400,135,130,12687171,180,73,D/WB/M RL,1,2,2,1,1,3,2,2,1,2,1,6,11,11,5,13,7,10,12,13,12,11,5,12,13,8,12,11,15,11,10,11,14,11,8,11,12,14,14,14,14,13,10,12,18,14,20,15,11,14,9,12,5,15,12,15,18,14,16,16,13,4,Kyle Naughton,Â£4.50m ,Premier League
19-06-17,18.3.4.28,Eden Hazard,18004418,757,07-Jan-91,26,77,17,0,0,8750,9000,8750,185,179,186143682,173,76,AM RLC,1,3,3,3,2,2,3,3,3,2,3,12,12,20,13,17,13,7,13,5,3,15,19,4,18,8,12,17,15,13,16,16,16,18,6,14,7,11,13,17,20,16,8,16,16,16,20,17,11,15,8,15,3,10,15,18,14,15,14,17,14,9,1,1,11,20,16,20,19,AM RLC,506,1,1,10,19,20,16,1,1,1,1,10,11,11,1,1,2462940000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Eden Hazard,Â£99.00m ,29.0,175.0,Forward - Left Winger,both,Real Madrid,43.0,17.0,7.0,3373.0,52.0,17.0,13.0,3804.0,52.0,21.0,17.0,3878.0,22.0,1.0,7.0,1545.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Eden Hazard,18004418,757,07-Jan-91,25,70,14,0,0,8750,9000,8750,185,175,212977903,173,76,M/AM RLC,3,2,4,4,3,1,2,3,3,1,2,13,12,20,13,17,13,7,13,5,3,15,19,4,18,8,12,17,15,13,16,13,16,18,6,14,7,11,13,17,20,16,8,16,16,16,20,17,9,15,8,15,3,8,15,18,14,15,14,17,14,9,Eden Hazard,Â£67.50m ,Premier League
19-06-17,18.3.4.28,Kevin De Bruyne,18004457,757,28-Jun-91,25,52,13,2,0,9000,9000,9150,184,183,232186002,181,68,M/AM RLC,2,1,2,3,1,2,2,3,2,2,1,15,17,15,15,18,15,6,16,8,7,18,12,8,17,12,14,9,15,13,19,17,15,16,11,15,9,13,14,14,13,14,8,17,16,14,20,17,13,16,8,15,4,14,13,18,14,11,18,15,13,13,1,1,20,20,15,15,20,M/AM RLC,416,1,1,14,20,15,15,1,1,1,12,20,15,15,1,1,141287000000000.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Kevin De Bruyne,Â£135.00m ,29.0,181.0,Midfielder - Attacking Midfield,right,Manchester City,49.0,7.0,21.0,3909.0,52.0,12.0,21.0,4189.0,32.0,6.0,11.0,1828.0,48.0,16.0,23.0,3826.0,6.0,1.0,1.0,385.0,Premier League,15-07-16,17.3.2.23,Kevin De Bruyne,18004457,757,28-Jun-91,25,45,12,2,0,8250,9101,8900,180,174,232086864,181,76,M/AM RLC,1,1,1,2,2,4,2,3,2,1,1,15,17,15,16,17,15,7,16,8,7,17,12,8,17,12,14,9,14,12,17,15,15,16,11,16,10,12,15,13,13,13,8,16,16,13,20,17,12,14,8,15,4,14,12,18,10,11,17,10,12,13,Kevin De Bruyne,Â£58.50m ,Premier League
