GameDate_2018,FMRTEVersion_2018,Name_2018,UID_2018,NationID_2018,Born_2018,Age_2018,IntCaps_2018,IntGoals_2018,U21Caps_2018,U21Goals_2018,WorldReputation_2018,HomeReputation_2018,CurrentReputation_2018,PA_2018,CA_2018,Price_2018,Height_2018,Weight_2018,PositionsString_2018,GK.AerialAbility_2018,GK.CommandOfArea_2018,GK.Communication_2018,GK.Eccentricity_2018,GK.Handling_2018,GK.Kicking_2018,GK.OneOnOnes_2018,GK.Reflexes_2018,GK.RushingOut_2018,GK.TendencyToPunch_2018,GK.Throwing_2018,Tech.Corners_2018,Tech.Crossing_2018,Tech.Dribbling_2018,Tech.Finishing_2018,Tech.FirstTouch_2018,Tech.Freekicks_2018,Tech.Heading_2018,Tech.LongShots_2018,Tech.Longthrows_2018,Tech.Marking_2018,Tech.Passing_2018,Tech.PenaltyTaking_2018,Tech.Tackling_2018,Tech.Technique_2018,Mental.Aggression_2018,Mental.Anticipation_2018,Mental.Bravery_2018,Mental.Composure_2018,Mental.Concentration_2018,Mental.Vision_2018,Mental.Decisions_2018,Mental.Determination_2018,Mental.Flair_2018,Mental.Leadership_2018,Mental.OffTheBall_2018,Mental.Positioning_2018,Mental.Teamwork_2018,Mental.Workrate_2018,Phy.Acceleration_2018,Phy.Agility_2018,Phy.Balance_2018,Phy.Jumping_2018,Phy.LeftFoot_2018,Phy.NaturalFitness_2018,Phy.Pace_2018,Phy.RightFoot_2018,Phy.Stamina_2018,Phy.Strength_2018,Hidden.Consistency_2018,Hidden.Dirtiness_2018,Hidden.ImportantMatches_2018,Hidden.InjuryProness_2018,Hidden.Versatility_2018,Personality.Adaptability_2018,Personality.Ambition_2018,Personality.Loyalty_2018,Personality.Pressure_2018,Personality.Professional_2018,Personality.Sportsmanship_2018,Personality.Temperament_2018,Personality.Controversy_2018,Positions.Defender_2018,Positions.WingBack_2018,Positions.Midfielder_2018,Positions.AttackingMidfielder_2018,Positions.Right_2018,Positions.Left_2018,Positions.Centre_2018,Positions.PositionsDesc_2018,Positions.PositionsDescVal_2018,Positions.Goalkeeper_2018,Positions.Sweeper_2018,Positions.Striker_2018,Positions.AttackingMidCentral_2018,Positions.AttackingMidLeft_2018,Positions.AttackingMidRight_2018,Positions.DefenderCentral_2018,Positions.DefenderLeft_2018,Positions.DefenderRight_2018,Positions.DefensiveMidfielder_2018,Positions.MidfielderCentral_2018,Positions.MidfielderLeft_2018,Positions.MidfielderRight_2018,Positions.WingBackLeft_2018,Positions.WingBackRight_2018,PPMVal_2018,PPM0_2018,PPM1_2018,PPM2_2018,PPM3_2018,PPM4_2018,PPM5_2018,PPM6_2018,PPM7_2018,PPM8_2018,PPM9_2018,PPM10_2018,PPM11_2018,PPM12_2018,PPM13_2018,PPM14_2018,PPM15_2018,PPM16_2018,PPM17_2018,PPM18_2018,PPM19_2018,PPM20_2018,PPM21_2018,PPM22_2018,PPM23_2018,PPM24_2018,PPM25_2018,PPM26_2018,PPM27_2018,PPM28_2018,PPM29_2018,PPM30_2018,PPM31_2018,PPM32_2018,PPM33_2018,PPM34_2018,PPM35_2018,PPM36_2018,PPM37_2018,PPM38_2018,PPM39_2018,PPM40_2018,PPM41_2018,PPM42_2018,PPM43_2018,PPM44_2018,PPM45_2018,PPM46_2018,PPM47_2018,name_2018,Market Value_2018,age_2018,height_2018,position_2018,foot_2018,current club_2018,16/17 games_2018,16/17 goals/conceded_2018,16/17 assists/clean_2018,16/17 minutes_2018,17/18 games_2018,17/18 goals/conceded_2018,17/18 assists/clean_2018,17/18 minutes_2018,18/19 games_2018,18/19 goals/conceded_2018,18/19 assists/clean_2018,18/19 minutes_2018,19/20 games_2018,19/20 goals/conceded_2018,19/20 assists/clean_2018,19/20 minutes_2018,20/21 games_2018,20/21 goals/conceded_2018,20/21 assists/clean_2018,20/21 minutes_2018,current league_2018,GameDate_2017,FMRTEVersion_2017,Name_2017,UID_2017,NationID_2017,Born_2017,Age_2017,IntCaps_2017,IntGoals_2017,U21Caps_2017,U21Goals_2017,WorldReputation_2017,HomeReputation_2017,CurrentReputation_2017,PA_2017,CA_2017,Price_2017,Height_2017,Weight_2017,PositionsString_2017,GK.AerialAbility_2017,GK.CommandOfArea_2017,GK.Communication_2017,GK.Eccentricity_2017,GK.Handling_2017,GK.Kicking_2017,GK.OneOnOnes_2017,GK.Reflexes_2017,GK.RushingOut_2017,GK.TendencyToPunch_2017,GK.Throwing_2017,Tech.Corners_2017,Tech.Crossing_2017,Tech.Dribbling_2017,Tech.Finishing_2017,Tech.FirstTouch_2017,Tech.Freekicks_2017,Tech.Heading_2017,Tech.LongShots_2017,Tech.Longthrows_2017,Tech.Marking_2017,Tech.Passing_2017,Tech.PenaltyTaking_2017,Tech.Tackling_2017,Tech.Technique_2017,Mental.Aggression_2017,Mental.Anticipation_2017,Mental.Bravery_2017,Mental.Composure_2017,Mental.Concentration_2017,Mental.Vision_2017,Mental.Decisions_2017,Mental.Determination_2017,Mental.Flair_2017,Mental.Leadership_2017,Mental.OffTheBall_2017,Mental.Positioning_2017,Mental.Teamwork_2017,Mental.Workrate_2017,Phy.Acceleration_2017,Phy.Agility_2017,Phy.Balance_2017,Phy.Jumping_2017,Phy.LeftFoot_2017,Phy.NaturalFitness_2017,Phy.Pace_2017,Phy.RightFoot_2017,Phy.Stamina_2017,Phy.Strength_2017,Hidden.Consistency_2017,Hidden.Dirtiness_2017,Hidden.ImportantMatches_2017,Hidden.InjuryProness_2017,Hidden.Versatility_2017,Personality.Adaptability_2017,Personality.Ambition_2017,Personality.Loyalty_2017,Personality.Pressure_2017,Personality.Professional_2017,Personality.Sportsmanship_2017,Personality.Temperament_2017,Personality.Controversy_2017,name_2017,Market Value_2017,current league_2017
19-06-17,18.3.4.28,Islam Slimani,12031625,5,18-Jun-88,29,52,26,0,0,5850,7650,7000,156,142,44699462,188,84,S ,4,3,1,2,1,2,1,1,3,1,2,7,8,11,15,13,11,17,6,6,7,12,12,8,11,17,17,17,14,15,9,14,16,11,13,15,8,12,15,12,13,16,15,11,14,13,20,14,15,10,20,13,8,8,12,14,14,13,13,7,12,11,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Islam Slimani,Â£16.20m ,32.0,188.0,Forward - Centre-Forward,right,Leicester City,31.0,9.0,5.0,1757.0,21.0,5.0,3.0,775.0,25.0,5.0,0.0,1967.0,19.0,9.0,7.0,1344.0,1.0,0.0,0.0,19.0,Premier League,15-07-16,17.3.2.23,Islam Slimani,12031625,5,18-Jun-88,28,44,24,0,0,6000,7650,7300,156,146,34944346,188,84,S ,2,1,3,1,3,2,1,1,3,1,1,7,8,11,16,13,11,17,6,6,7,12,12,8,11,17,17,17,15,16,9,14,16,11,13,15,8,12,15,12,13,16,16,11,14,13,20,14,15,15,20,13,8,8,12,14,14,13,13,7,12,11,Islam Slimani,Â£22.50m ,Premier League
19-06-17,18.3.4.28,Jermain Defoe,127925,765,07-Oct-82,34,57,20,23,7,6100,7150,7000,155,135,232186002,167,71,S ,1,1,3,1,2,2,2,3,1,2,4,8,8,14,16,14,8,10,13,5,4,11,13,9,15,12,13,10,16,15,11,13,15,13,13,16,9,15,15,13,13,15,6,15,18,14,20,13,9,12,13,14,3,12,11,15,7,12,16,8,9,3,1,1,1,10,1,10,1,S ,600,1,1,20,1,10,1,1,1,1,1,1,1,1,1,1,4398050000000.0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jermain Defoe,Â£2.25m ,38.0,171.0,Forward - Centre-Forward,right,Rangers FC,40.0,15.0,2.0,3458.0,26.0,4.0,1.0,1190.0,28.0,8.0,8.0,1400.0,32.0,17.0,1.0,1401.0,4.0,2.0,1.0,117.0,Premier League,15-07-16,17.3.2.23,Jermain Defoe,127925,765,07-Oct-82,33,55,19,23,7,6096,6796,6996,155,140,232186002,167,71,S ,3,3,3,3,2,3,1,1,1,3,1,8,8,14,16,14,8,10,13,5,4,11,13,9,15,12,13,10,16,15,11,13,15,13,13,16,9,15,15,14,15,15,6,15,18,15,20,15,9,12,13,14,3,12,11,15,7,12,16,8,9,3,Jermain Defoe,Â£4.50m ,Premier League
19-06-17,18.3.4.28,Oumar Niasse,13116862,41,18-Apr-90,27,6,3,6,0,5200,6200,6400,135,125,13334673,182,82,S ,3,1,2,3,2,1,2,2,1,1,2,4,5,12,13,9,5,13,13,7,4,11,13,5,7,14,13,16,11,10,8,8,18,16,8,13,9,9,17,16,15,16,13,10,16,16,20,15,15,15,7,12,7,8,7,17,8,14,16,13,17,16,1,1,7,14,14,14,11,S ,600,1,1,20,11,14,14,1,1,1,1,1,7,7,1,1,2251940000000000.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Oumar Niasse,Â£7.20m ,30.0,182.0,Forward - Centre-Forward,right,Without Club,25.0,12.0,1.0,1596.0,27.0,12.0,4.0,1301.0,20.0,0.0,1.0,1115.0,5.0,2.0,0.0,199.0,nan,nan,nan,nan,Premier League,15-07-16,17.3.2.23,Oumar Niasse,13116862,41,18-Apr-90,26,6,3,6,0,5200,6200,6600,135,128,16390352,182,82,S ,2,1,3,1,2,4,2,2,2,3,3,4,5,13,15,11,5,12,13,7,4,10,13,5,6,14,11,14,9,10,12,8,13,16,8,13,9,11,15,17,14,16,13,10,15,15,20,15,17,13,7,12,7,8,7,17,8,6,13,13,14,19,Oumar Niasse,Â£8.10m ,Premier League
19-06-17,18.3.4.28,Kelechi Iheanacho,13136621,38,03-Oct-96,20,9,5,2,0,6200,6800,7250,147,134,56412637,187,77,S ,3,1,2,2,3,2,2,3,3,1,1,6,7,13,15,13,11,11,12,5,5,13,10,7,13,11,14,11,14,12,10,9,16,12,1,14,6,11,15,16,15,12,13,20,13,15,8,15,13,12,12,12,10,7,18,16,13,13,16,15,16,5,1,1,1,14,12,14,1,S ,600,1,1,20,1,14,12,1,1,1,1,1,1,1,1,1,1024.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kelechi Iheanacho,Â£13.50m ,24.0,185.0,Forward - Centre-Forward,left,Leicester City,29.0,7.0,3.0,899.0,30.0,9.0,4.0,1451.0,35.0,2.0,4.0,1237.0,26.0,10.0,4.0,1314.0,5.0,1.0,2.0,263.0,Premier League,15-07-16,17.3.2.23,Kelechi Iheanacho,13136621,38,03-Oct-96,19,4,2,2,0,6200,6800,7250,177,134,85069879,186,77,S ,2,3,2,1,2,2,2,2,3,1,1,6,7,13,15,13,9,11,12,5,5,13,11,7,13,11,14,11,14,12,10,9,16,12,13,14,6,11,15,16,15,12,13,20,13,15,8,15,13,11,9,3,10,7,18,16,13,13,16,15,16,5,Kelechi Iheanacho,Â£13.50m ,Premier League
19-06-17,18.3.4.28,Guido Carrillo,14023274,1649,25-May-91,26,0,0,0,0,5800,6350,6800,140,136,32742346,191,87,S ,1,3,3,2,2,3,1,1,3,1,3,5,8,10,14,14,8,17,11,5,6,13,15,7,13,12,13,15,13,14,11,13,15,8,11,14,9,16,15,11,12,15,17,10,14,13,20,14,15,13,7,12,9,5,11,13,14,12,16,15,14,7,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,7.65612e+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guido Carrillo,Â£13.50m ,29.0,191.0,Forward - Centre-Forward,right,Elche CF,31.0,8.0,5.0,1099.0,34.0,8.0,4.0,1418.0,33.0,6.0,1.0,2011.0,27.0,4.0,2.0,1507.0,1.0,0.0,0.0,7.0,Premier League,15-07-16,17.3.2.23,Guido Carrillo,14023274,1649,25-May-91,25,0,0,0,0,6050,7000,6750,140,135,20635233,191,87,S ,2,3,3,1,2,3,2,2,1,2,3,5,8,10,14,13,8,17,12,4,6,13,14,6,13,12,13,16,13,14,11,13,15,9,12,15,9,15,14,11,12,15,17,10,14,13,20,14,15,12,6,13,7,6,11,13,14,12,16,15,14,7,Guido Carrillo,Â£5.40m ,Ligue 1
19-06-17,18.3.4.28,Zlatan Ibrahimovic,142173,797,03-Oct-81,35,116,62,7,6,8000,8500,8000,185,152,232186002,195,95,S ,1,1,3,2,1,2,3,1,3,2,1,6,12,11,15,18,15,15,16,8,6,15,18,6,18,16,15,15,15,15,16,14,17,19,17,14,4,11,8,8,13,19,18,16,15,9,20,14,18,16,15,14,11,5,17,19,10,17,17,7,7,13,1,1,1,12,6,5,12,S ,600,1,1,20,12,5,6,1,1,1,1,1,1,1,1,1,6.91756e+18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Zlatan Ibrahimovic,Â£3.60m ,39.0,195.0,Forward - Centre-Forward,both,AC Milan,46.0,28.0,10.0,3847.0,34.0,23.0,7.0,2330.0,31.0,31.0,8.0,2790.0,20.0,11.0,5.0,1509.0,5.0,5.0,0.0,426.0,Premier League,15-07-16,17.3.2.23,Zlatan Ibrahimovic,142173,797,03-Oct-81,34,116,62,7,6,8850,8900,8900,185,172,232186002,195,95,S ,3,2,1,3,3,1,1,2,1,3,3,5,12,15,16,18,14,14,16,8,6,15,18,6,18,16,16,15,13,13,16,14,14,19,16,15,4,13,8,12,15,20,18,16,16,14,20,15,18,16,13,11,11,8,15,20,11,15,14,7,7,13,Zlatan Ibrahimovic,Â£9.00m ,Premier League
19-06-17,18.3.4.28,Fernando Llorente,1501170,796,26-Feb-85,32,24,7,9,5,6700,6950,7100,159,139,232186002,193,90,S ,3,1,2,3,3,3,3,1,1,4,3,7,10,13,15,15,6,17,11,3,7,13,14,6,15,10,13,11,14,12,12,15,14,14,12,14,10,16,14,9,11,17,17,15,14,11,20,11,14,13,6,15,4,7,14,15,9,13,11,12,12,9,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,17039360.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Llorente,Â£6.30m ,35.0,193.0,Forward - Centre-Forward,right,SSC Napoli,35.0,15.0,1.0,2503.0,31.0,5.0,1.0,985.0,35.0,8.0,5.0,1247.0,24.0,4.0,1.0,666.0,0.0,0.0,0.0,0.0,Premier League,15-07-16,17.3.2.23,Fernando Llorente,1501170,796,26-Feb-85,31,24,7,9,5,6950,6950,7000,159,139,232186002,195,90,S ,3,1,3,2,2,3,2,2,2,2,3,7,10,13,15,15,6,17,11,3,7,13,14,6,15,10,13,11,14,12,12,15,14,14,11,14,10,16,14,9,12,17,17,15,14,11,20,11,14,13,6,14,4,7,14,15,9,13,11,12,12,9,Fernando Llorente,Â£5.40m ,Premier League
19-06-17,18.3.4.28,Romelu Lukaku,18007344,757,13-May-93,24,58,20,5,1,7250,8000,8200,168,160,208403551,191,94,S ,3,4,2,2,3,4,3,3,2,3,1,4,10,13,18,13,12,17,13,6,6,11,13,6,14,10,16,15,15,15,9,13,16,12,9,14,8,14,12,14,11,18,17,20,17,16,11,13,19,14,6,14,7,6,11,18,14,18,18,15,12,8,1,1,1,12,12,10,1,S ,600,1,1,20,1,10,12,1,1,1,1,1,1,1,1,1,1024.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romelu Lukaku,Â£81.00m ,27.0,191.0,Forward - Centre-Forward,left,Inter Milan,39.0,26.0,7.0,3447.0,51.0,27.0,9.0,4071.0,45.0,15.0,4.0,3001.0,51.0,34.0,6.0,4189.0,6.0,7.0,0.0,515.0,Premier League,15-07-16,17.3.2.23,Romelu Lukaku,18007344,757,13-May-93,23,50,14,5,1,6899,7749,8147,164,152,87622383,191,94,S ,1,3,3,2,3,2,3,3,2,1,2,4,11,13,17,13,12,14,14,6,6,11,16,6,13,10,14,14,15,14,11,12,16,12,12,14,9,14,10,14,10,18,16,20,17,16,11,13,19,14,6,14,7,6,11,18,14,18,18,15,12,8,Romelu Lukaku,Â£45.00m ,Premier League
19-06-17,18.3.4.28,Christian Benteke,18009139,757,03-Dec-90,26,32,11,9,4,5950,7250,6900,160,138,40313631,191,86,S ,3,1,2,3,2,2,3,1,3,2,4,2,7,13,12,14,9,18,11,3,9,11,12,4,14,12,12,13,15,11,13,11,16,12,9,11,8,10,9,13,13,17,18,9,14,14,20,14,18,8,8,10,11,1,18,16,8,16,12,10,10,12,1,1,1,12,1,1,12,S ,600,1,1,20,12,1,1,1,1,1,1,1,1,1,1,1,8260.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christian Benteke,Â£19.80m ,29.0,190.0,Forward - Centre-Forward,right,Crystal Palace,40.0,17.0,2.0,3279.0,31.0,3.0,6.0,2234.0,19.0,1.0,1.0,854.0,25.0,2.0,1.0,1347.0,3.0,0.0,0.0,55.0,Premier League,15-07-16,17.3.2.23,Christian Benteke,18009139,757,03-Dec-90,25,29,7,9,4,6100,7250,7300,160,146,53840178,191,86,S ,2,2,2,2,3,3,1,1,1,3,2,2,7,13,16,14,9,18,13,6,9,12,14,4,14,12,12,13,15,11,13,13,16,12,9,12,8,12,9,13,13,17,18,9,14,14,20,14,18,12,6,13,11,1,18,16,8,16,12,10,10,12,Christian Benteke,Â£25.20m ,Premier League
19-06-17,18.3.4.28,Laurent Depoitre,18029100,757,07-Dec-88,28,1,1,0,0,5150,6500,6400,128,128,22399169,190,92,S ,2,1,3,1,1,2,4,1,3,2,2,8,8,9,13,11,10,16,11,3,9,10,9,8,11,14,13,14,14,14,10,13,14,10,13,15,7,17,18,12,10,16,14,10,12,12,20,14,16,14,3,12,2,4,12,14,11,11,12,14,19,3,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Laurent Depoitre,Â£4.05m ,31.0,191.0,Forward - Centre-Forward,right,KAA Gent,16.0,3.0,1.0,824.0,35.0,6.0,2.0,1988.0,25.0,0.0,1.0,1195.0,35.0,15.0,4.0,2609.0,12.0,2.0,1.0,715.0,Premier League,15-07-16,17.3.2.23,Laurent Depoitre,18029100,757,07-Dec-88,27,1,1,0,0,5000,6500,6250,128,125,952910,190,100,S ,1,1,1,1,1,1,3,3,3,1,1,8,8,9,13,10,10,16,11,3,8,10,7,6,10,14,13,14,13,14,10,13,14,10,13,15,7,17,18,12,10,16,14,10,12,12,20,14,16,14,11,12,11,4,12,14,11,11,12,11,20,8,Laurent Depoitre,Â£2.70m ,Liga NOS
