name,Market Value,current league
Joe Hart,£11.70m ,Premier League
Claudio Bravo,£7.20m ,Premier League
Willy Caballero,£1.35m ,Premier League
Angus Gunn,£225Th. ,Premier League
John Stones,£31.50m ,Premier League
Nicolás Otamendi,£27.00m ,Premier League
Vincent Kompany,£19.80m ,Premier League
Eliaquim Mangala,£13.50m ,Premier League
Jason Denayer,£3.60m ,Premier League
Pablo Marí,£360Th. ,Premier League
Tosin Adarabioyo,£225Th. ,Premier League
Aleksandar Kolarov,£9.00m ,Premier League
Gaël Clichy,£6.30m ,Premier League
Oleksandr Zinchenko,£4.05m ,Premier League
Angeliño,£450Th. ,Premier League
Jesús Navas,£10.80m ,Premier League
Pablo Zabaleta,£6.30m ,Premier League
Bacary Sagna,£3.60m ,Premier League
Pablo Maffeo,£450Th. ,Premier League
Fernandinho,£16.20m ,Premier League
Fernando Reges,£9.00m ,Premier League
Bruno Zuculini,£1.08m ,Premier League
Luke Brattan,£540Th. ,Premier League
Ilkay Gündogan,£27.00m ,Premier League
Fabian Delph,£7.20m ,Premier League
Yaya Touré,£7.20m ,Premier League
Aaron Mooy,£4.50m ,Premier League
Aleix García,£900Th. ,Premier League
Phil Foden, ,Premier League
Kevin De Bruyne,£58.50m ,Premier League
David Silva,£27.00m ,Premier League
Samir Nasri,£14.40m ,Premier League
Brahim Díaz, ,Premier League
Raheem Sterling,£40.50m ,Premier League
Leroy Sané,£31.50m ,Premier League
Nolito,£10.80m ,Premier League
Marlos Moreno,£900Th. ,Premier League
Patrick Roberts,£6.75m ,Premier League
Sergio Agüero,£58.50m ,Premier League
Gabriel Jesus,£27.00m ,Premier League
Wilfried Bony,£16.20m ,Premier League
Kelechi Iheanacho,£13.50m ,Premier League
Enes Ünal,£9.00m ,Premier League
Rubén Sobrino,£450Th. ,Premier League
Thibaut Courtois,£36.00m ,Premier League
Asmir Begovic,£7.20m ,Premier League
Eduardo,£1.35m ,Premier League
Matej Delac,£810Th. ,Premier League
Jamal Blackman,£225Th. ,Premier League
David Luiz,£27.00m ,Premier League
Andreas Christensen,£16.20m ,Premier League
Gary Cahill,£14.40m ,Premier League
Kurt Zouma,£13.50m ,Premier League
Nathan Aké,£7.20m ,Premier League
Branislav Ivanovic,£4.50m ,Premier League
Tomas Kalas,£3.60m ,Premier League
Michael Hector,£2.70m ,Premier League
Kenneth Omeruo,£1.80m ,Premier League
Matt Miazga,£1.80m ,Premier League
John Terry,£900Th. ,Premier League
Marcos Alonso,£22.50m ,Premier League
Abdul Rahman Baba,£7.20m ,Premier League
Cristian Cuevas,£810Th. ,Premier League
César Azpilicueta,£27.00m ,Premier League
Juan Cuadrado,£22.50m ,Premier League
Todd Kane,£1.35m ,Premier League
Wallace Oliveira,£900Th. ,Premier League
Ola Aina,£900Th. ,Premier League
Nemanja Matic,£31.50m ,Premier League
Nathaniel Chalobah,£4.50m ,Premier League
N'Golo Kanté,£45.00m ,Premier League
Cesc Fàbregas,£31.50m ,Premier League
Mario Pasalic,£7.20m ,Premier League
Marco van Ginkel,£6.75m ,Premier League
Lewis Baker,£4.95m ,Premier League
Ruben Loftus-Cheek,£4.50m ,Premier League
Victorien Angban,£900Th. ,Premier League
Victor Moses,£16.20m ,Premier League
Oscar,£19.80m ,Premier League
Nathan,£1.13m ,Premier League
Danilo Pantic,£360Th. ,Premier League
Eden Hazard,£67.50m ,Premier League
Kenedy,£6.30m ,Premier League
Christian Atsu,£4.50m ,Premier League
Lucas Piazón,£2.25m ,Premier League
Jérémie Boga,£2.25m ,Premier League
Willian,£28.80m ,Premier League
Pedro,£25.20m ,Premier League
Bertrand Traoré,£7.20m ,Premier League
Diego Costa,£45.00m ,Premier League
Michy Batshuayi,£22.50m ,Premier League
Loïc Rémy,£8.10m ,Premier League
Dominic Solanke,£1.80m ,Premier League
David de Gea,£36.00m ,Premier League
Sergio Romero,£5.40m ,Premier League
Sam Johnstone,£900Th. ,Premier League
Joel Pereira,£90Th. ,Premier League
Dean Henderson,£90Th. ,Premier League
Kieran O'Hara, ,Premier League
Eric Bailly,£27.00m ,Premier League
Daley Blind,£19.80m ,Premier League
Marcos Rojo,£16.20m ,Premier League
Chris Smalling,£16.20m ,Premier League
Phil Jones,£12.60m ,Premier League
Axel Tuanzebe,£900Th. ,Premier League
Luke Shaw,£18.00m ,Premier League
Cameron Borthwick-Jackson,£2.70m ,Premier League
Demetri Mitchell, ,Premier League
Matteo Darmian,£10.80m ,Premier League
Antonio Valencia,£9.00m ,Premier League
Timothy Fosu-Mensah,£2.25m ,Premier League
Guillermo Varela,£675Th. ,Premier League
Morgan Schneiderlin,£19.80m ,Premier League
Michael Carrick,£1.35m ,Premier League
Paul Pogba,£67.50m ,Premier League
Ander Herrera,£27.00m ,Premier League
Marouane Fellaini,£10.80m ,Premier League
Bastian Schweinsteiger,£4.05m ,Premier League
Matty Willock, ,Premier League
Scott McTominay, ,Premier League
Ashley Young,£4.50m ,Premier League
Henrikh Mkhitaryan,£31.50m ,Premier League
Juan Mata,£27.00m ,Premier League
Wayne Rooney,£13.50m ,Premier League
Jesse Lingard,£10.80m ,Premier League
Andreas Pereira,£4.50m ,Premier League
Josh Harrop, ,Premier League
Angel Gomes, ,Premier League
Memphis Depay,£17.10m ,Premier League
Marcus Rashford,£16.20m ,Premier League
Adnan Januzaj,£6.30m ,Premier League
Zak Dearnley, ,Premier League
Anthony Martial,£27.00m ,Premier League
Zlatan Ibrahimovic,£9.00m ,Premier League
James Wilson,£1.80m ,Premier League
Wojciech Szczesny,£15.30m ,Premier League
David Ospina,£6.30m ,Premier League
Petr Cech,£6.30m ,Premier League
Emiliano Martínez,£900Th. ,Premier League
Matt Macey,£450Th. ,Premier League
Shkodran Mustafi,£27.00m ,Premier League
Laurent Koscielny,£19.80m ,Premier League
Calum Chambers,£12.60m ,Premier League
Gabriel Paulista,£11.70m ,Premier League
Rob Holding,£6.30m ,Premier League
Per Mertesacker,£5.40m ,Premier League
Nacho Monreal,£11.70m ,Premier League
Kieran Gibbs,£9.00m ,Premier League
Marc Bola, ,Premier League
Héctor Bellerín,£27.00m ,Premier League
Carl Jenkinson,£4.50m ,Premier League
Mathieu Debuchy,£3.15m ,Premier League
Granit Xhaka,£31.50m ,Premier League
Francis Coquelin,£13.50m ,Premier League
Mohamed Elneny,£9.00m ,Premier League
Krystian Bielik,£1.80m ,Premier League
Ben Sheaf, ,Premier League
Aaron Ramsey,£31.50m ,Premier League
Alex Oxlade-Chamberlain,£19.80m ,Premier League
Jack Wilshere,£16.20m ,Premier League
Santi Cazorla,£10.80m ,Premier League
Jeff Reine-Adélaïde,£900Th. ,Premier League
Gedion Zelalem,£225Th. ,Premier League
Josh Dasilva, ,Premier League
Ainsley Maitland-Niles,£675Th. ,Premier League
Mesut Özil,£45.00m ,Premier League
Alex Iwobi,£9.00m ,Premier League
Chris Willock, ,Premier League
Theo Walcott,£18.00m ,Premier League
Joel Campbell,£5.40m ,Premier League
Alexis Sánchez,£58.50m ,Premier League
Olivier Giroud,£19.80m ,Premier League
Lucas Pérez,£13.50m ,Premier League
Danny Welbeck,£13.50m ,Premier League
Chuba Akpom,£900Th. ,Premier League
Yaya Sanogo,£900Th. ,Premier League
Stephy Mavididi, ,Premier League
Simon Mignolet,£10.80m ,Premier League
Loris Karius,£7.20m ,Premier League
Danny Ward,£2.25m ,Premier League
Ádám Bogdán,£900Th. ,Premier League
Alexander Manninger,£180Th. ,Premier League
Joel Matip,£22.50m ,Premier League
Dejan Lovren,£15.30m ,Premier League
Mamadou Sakho,£13.50m ,Premier League
Joe Gomez,£3.60m ,Premier League
Ragnar Klavan,£3.15m ,Premier League
Alberto Moreno,£9.00m ,Premier League
Nathaniel Clyne,£18.90m ,Premier League
Jon Flanagan,£3.15m ,Premier League
Andre Wisdom,£2.48m ,Premier League
Trent Alexander-Arnold,£1.35m ,Premier League
Connor Randall,£450Th. ,Premier League
Emre Can,£13.50m ,Premier League
Lucas Leiva,£6.30m ,Premier League
Kevin Stewart,£900Th. ,Premier League
Jordan Williams,£90Th. ,Premier League
Georginio Wijnaldum,£25.20m ,Premier League
Jordan Henderson,£25.20m ,Premier League
James Milner,£10.80m ,Premier League
Marko Grujic,£4.50m ,Premier League
Philippe Coutinho,£40.50m ,Premier League
Adam Lallana,£22.50m ,Premier League
Ben Woodburn,£1.35m ,Premier League
Paulinho, ,Premier League
Sadio Mané,£36.00m ,Premier League
Ovie Ejaria,£450Th. ,Premier League
Lazar Markovic,£9.00m ,Premier League
Sheyi Ojo,£1.80m ,Premier League
Harry Wilson,£90Th. ,Premier League
Roberto Firmino,£34.20m ,Premier League
Daniel Sturridge,£18.00m ,Premier League
Divock Origi,£10.80m ,Premier League
Danny Ings,£7.20m ,Premier League
Rhian Brewster, ,Premier League
Hugo Lloris,£21.60m ,Premier League
Michel Vorm,£3.60m ,Premier League
Pau López,£1.35m ,Premier League
Luke McGee,£90Th. ,Premier League
Alfie Whiteman, ,Premier League
Toby Alderweireld,£31.50m ,Premier League
Jan Vertonghen,£25.20m ,Premier League
Eric Dier,£22.50m ,Premier League
Federico Fazio,£8.10m ,Premier League
Kevin Wimmer,£6.30m ,Premier League
Cameron Carter-Vickers,£450Th. ,Premier League
Ben Davies,£10.80m ,Premier League
Kyle Walker,£27.00m ,Premier League
Kieran Trippier,£9.00m ,Premier League
Kyle Walker-Peters,£225Th. ,Premier League
Anton Walkes,£90Th. ,Premier League
Victor Wanyama,£22.50m ,Premier League
Filip Lesniak,£90Th. ,Premier League
Luke Amos,£90Th. ,Premier League
Moussa Sissoko,£18.00m ,Premier League
Nabil Bentaleb,£16.20m ,Premier League
Mousa Dembélé,£16.20m ,Premier League
Ryan Mason,£7.65m ,Premier League
Tom Carroll,£5.40m ,Premier League
Harry Winks,£3.60m ,Premier League
Dele Alli,£40.50m ,Premier League
Christian Eriksen,£36.00m ,Premier League
Josh Onomah,£2.25m ,Premier League
Heung-min Son,£27.00m ,Premier League
Georges-Kevin N'Koudou,£6.30m ,Premier League
Samuel Shashoua, ,Premier League
Erik Lamela,£22.50m ,Premier League
Clinton N'Jie,£6.30m ,Premier League
Marcus Edwards, ,Premier League
Harry Kane,£54.00m ,Premier League
Vincent Janssen,£11.70m ,Premier League
Shayon Harrison, ,Premier League
Joel Robles,£4.50m ,Premier League
Maarten Stekelenburg,£1.80m ,Premier League
Mateusz Hewelt, ,Premier League
Ramiro Funes Mori,£10.80m ,Premier League
Ashley Williams,£7.20m ,Premier League
Mason Holgate,£4.50m ,Premier League
Phil Jagielka,£1.80m ,Premier League
Tyias Browning,£900Th. ,Premier League
Matthew Pennington,£450Th. ,Premier League
Leighton Baines,£10.80m ,Premier League
Brendan Galloway,£2.70m ,Premier League
Bryan Oviedo,£2.25m ,Premier League
Luke Garbutt,£900Th. ,Premier League
Seamus Coleman,£15.30m ,Premier League
Jonjoe Kenny,£225Th. ,Premier League
Morgan Schneiderlin,£19.80m ,Premier League
Idrissa Gueye,£16.20m ,Premier League
Muhamed Besic,£4.50m ,Premier League
Gareth Barry,£1.35m ,Premier League
Ross Barkley,£22.50m ,Premier League
James McCarthy,£13.50m ,Premier League
Tom Cleverley,£7.20m ,Premier League
Tom Davies,£7.20m ,Premier League
Joe Williams, ,Premier League
Yannick Bolasie,£18.00m ,Premier League
Gerard Deulofeu,£10.80m ,Premier League
Ademola Lookman,£4.50m ,Premier League
Aiden McGeady,£3.15m ,Premier League
Conor McAleny,£450Th. ,Premier League
Kevin Mirallas,£11.70m ,Premier League
Aaron Lennon,£4.50m ,Premier League
Shani Tarashaj,£1.80m ,Premier League
Romelu Lukaku,£45.00m ,Premier League
Enner Valencia,£9.00m ,Premier League
Oumar Niasse,£8.10m ,Premier League
Dominic Calvert-Lewin,£3.15m ,Premier League
Arouna Koné,£1.35m ,Premier League
Leandro Rodríguez,£900Th. ,Premier League
Adrián,£7.20m ,Premier League
Darren Randolph,£2.25m ,Premier League
Raphael Spiegel,£450Th. ,Premier League
Winston Reid,£9.00m ,Premier League
Angelo Ogbonna,£8.10m ,Premier League
José Fonte,£6.30m ,Premier League
Havard Nordtveit,£4.50m ,Premier League
James Collins,£1.80m ,Premier League
Reece Burke,£900Th. ,Premier League
Doneil Henry,£360Th. ,Premier League
Aaron Cresswell,£10.80m ,Premier League
Arthur Masuaku,£6.30m ,Premier League
Stephen Hendrie,£675Th. ,Premier League
Lewis Page,£90Th. ,Premier League
Sam Byram,£4.05m ,Premier League
Álvaro Arbeloa,£1.35m ,Premier League
Sam Westley,£45Th. ,Premier League
Alex Pike, ,Premier League
Cheikhou KouyatÃ©,£10.80m ,Premier League
Reece Oxford,£4.50m ,Premier League
Declan Rice, ,Premier League
Pedro Obiang,£8.10m ,Premier League
Mark Noble,£6.30m ,Premier League
Edimilson Fernandes,£4.50m ,Premier League
Josh Cullen,£450Th. ,Premier League
Moses Makasi, ,Premier League
Domingos Quina, ,Premier League
Manuel Lanzini,£13.50m ,Premier League
Marcus Browne,£225Th. ,Premier League
Dimitri Payet,£23.40m ,Premier League
André Ayew,£16.20m ,Premier League
Nathan Holland, ,Premier League
Grady Diangana, ,Premier League
Gökhan Töre,£10.80m ,Premier League
Robert Snodgrass,£7.20m ,Premier League
Dan Kemp, ,Premier League
Michail Antonio,£16.20m ,Premier League
Simone Zaza,£13.50m ,Premier League
Enner Valencia,£9.00m ,Premier League
Andy Carroll,£9.00m ,Premier League
Diafra Sakho,£9.00m ,Premier League
Jonathan Calleri,£7.20m ,Premier League
Ashley Fletcher,£900Th. ,Premier League
Steve Mandanda,£7.20m ,Premier League
Wayne Hennessey,£3.60m ,Premier League
Julián Speroni,£225Th. ,Premier League
Kleton Perntreou, ,Premier League
Mamadou Sakho,£13.50m ,Premier League
James Tomkins,£6.30m ,Premier League
Scott Dann,£4.50m ,Premier League
Damien Delaney,£900Th. ,Premier League
Ryan Inniss,£68Th. ,Premier League
Luke Croll, ,Premier League
Patrick van Aanholt,£8.10m ,Premier League
Pape Souaré,£5.40m ,Premier League
Zeki Fryers,£1.35m ,Premier League
Joel Ward,£4.50m ,Premier League
Martin Kelly,£2.70m ,Premier League
Ben Wynter, ,Premier League
Aaron Wan-Bissaka, ,Premier League
Luka Milivojevic,£9.00m ,Premier League
Mile Jedinak,£4.05m ,Premier League
Mathieu Flamini,£1.80m ,Premier League
Hiram Boateng,£450Th. ,Premier League
Yohan Cabaye,£13.50m ,Premier League
James McArthur,£6.30m ,Premier League
Joe Ledley,£3.15m ,Premier League
Jordon Mutch,£2.70m ,Premier League
Noor Husin, ,Premier League
Michael Phillips, ,Premier League
Luke Dreher, ,Premier League
Jeffrey Schlupp,£7.20m ,Premier League
Jason Puncheon,£4.95m ,Premier League
Jonathan Williams,£900Th. ,Premier League
Yannick Bolasie,£18.00m ,Premier League
Wilfried Zaha,£16.20m ,Premier League
Bakary Sako,£5.40m ,Premier League
Sullay Kaikai,£225Th. ,Premier League
Keshi Anderson,£90Th. ,Premier League
Andros Townsend,£10.80m ,Premier League
Chung-yong Lee,£1.35m ,Premier League
Christian Benteke,£25.20m ,Premier League
Loïc Rémy,£8.10m ,Premier League
Connor Wickham,£5.40m ,Premier League
Fraizer Campbell,£1.80m ,Premier League
Jonathan Benteke,£360Th. ,Premier League
Kwesi Appiah,£225Th. ,Premier League
Freddie Ladapo,£90Th. ,Premier League
Fraser Forster,£13.50m ,Premier League
Alex McCarthy,£2.70m ,Premier League
Paulo Gazzaniga,£900Th. ,Premier League
Mouez Hassen,£900Th. ,Premier League
Stuart Taylor,£225Th. ,Premier League
Harry Lewis, ,Premier League
Virgil van Dijk,£27.00m ,Premier League
Maya Yoshida,£4.50m ,Premier League
Martín Cáceres,£3.60m ,Premier League
Jack Stephens,£3.15m ,Premier League
Florin Gardos,£2.25m ,Premier League
Ryan Bertrand,£18.00m ,Premier League
Matt Targett,£2.70m ,Premier League
Sam McQueen,£675Th. ,Premier League
Cédric Soares,£13.50m ,Premier League
Jérémy Pied,£3.15m ,Premier League
Cuco Martina,£1.80m ,Premier League
Jordy Clasie,£9.00m ,Premier League
Oriol Romeu,£9.00m ,Premier League
Pierre-Emile Höjbjerg,£7.20m ,Premier League
Harrison Reed,£900Th. ,Premier League
James Ward-Prowse,£13.50m ,Premier League
Steven Davis,£5.40m ,Premier League
Jake Hesketh, ,Premier League
Dusan Tadic,£15.30m ,Premier League
Sofiane Boufal,£13.50m ,Premier League
Nathan Redmond,£13.50m ,Premier League
Lloyd Isgrove,£225Th. ,Premier League
Josh Sims,£450Th. ,Premier League
Manolo Gabbiadini,£13.50m ,Premier League
Charlie Austin,£11.70m ,Premier League
Jay Rodríguez,£9.00m ,Premier League
Sam Gallagher,£2.25m ,Premier League
Olufela Olomola, ,Premier League
Jack Butland,£13.50m ,Premier League
Lee Grant,£900Th. ,Premier League
Jakob Haugaard,£675Th. ,Premier League
Shay Given,£225Th. ,Premier League
Daniel Bachmann,£225Th. ,Premier League
Bruno Martins Indi,£9.90m ,Premier League
Ryan Shawcross,£9.90m ,Premier League
Marc Muniesa,£2.70m ,Premier League
Philipp Wollscheid,£2.25m ,Premier League
Ryan Sweeney,£225Th. ,Premier League
Erik Pieters,£6.30m ,Premier League
Joel Taylor, ,Premier League
Glen Johnson,£4.50m ,Premier League
Phil Bardsley,£1.35m ,Premier League
Tom Edwards, ,Premier League
Giannelli Imbula,£10.80m ,Premier League
Geoff Cameron,£2.70m ,Premier League
Glenn Whelan,£2.25m ,Premier League
Joe Allen,£13.50m ,Premier League
Charlie Adam,£3.15m ,Premier League
Ibrahim Afellay,£2.70m ,Premier League
Stephen Ireland,£900Th. ,Premier League
Ramadan Sobhi,£4.50m ,Premier League
Xherdan Shaqiri,£13.50m ,Premier League
Jonathan Walters,£2.25m ,Premier League
Thibaud Verlinden, ,Premier League
Bojan Krkic,£4.50m ,Premier League
Wilfried Bony,£16.20m ,Premier League
Saido Berahino,£13.50m ,Premier League
Marko Arnautovic,£13.50m ,Premier League
Mame Diouf,£6.30m ,Premier League
Joselu,£3.15m ,Premier League
Peter Crouch,£1.35m ,Premier League
Julien Ngoy, ,Premier League
Heurelho Gomes,£900Th. ,Premier League
Giedrius Arlauskis,£900Th. ,Premier League
Rene Gilmartin,£225Th. ,Premier League
Christian Kabasele,£4.95m ,Premier League
Sebastian Prödl,£3.60m ,Premier League
Craig Cathcart,£3.60m ,Premier League
Miguel Britos,£3.15m ,Premier League
Younès Kaboul,£2.25m ,Premier League
Adrian Mariappa,£900Th. ,Premier League
Tommie Hoban,£675Th. ,Premier League
Charlie Rowan, ,Premier League
Jose Cholevas,£1.80m ,Premier League
Brandon Mason, ,Premier League
Daryl Janmaat,£6.30m ,Premier League
Allan Nyom,£4.05m ,Premier League
Juan Carlos Paredes,£1.58m ,Premier League
Camilo Zúñiga,£1.35m ,Premier League
Andrew Eleftheriou, ,Premier League
Étienne Capoue,£8.10m ,Premier League
Mario Suárez,£5.40m ,Premier League
Sven Kums,£4.50m ,Premier League
Brice Dja Djédjé,£2.70m ,Premier League
Tom Cleverley,£7.20m ,Premier League
Abdoulaye Doucouré,£5.40m ,Premier League
Adlène Guédioura,£900Th. ,Premier League
Ben Watson,£900Th. ,Premier League
Carl Stewart, ,Premier League
Ikechi Anya,£3.60m ,Premier League
Roberto Pereyra,£13.50m ,Premier League
Kenedy,£6.30m ,Premier League
Isaac Success,£3.60m ,Premier League
Dion Pereira, ,Premier League
Steven Berghuis,£4.95m ,Premier League
Nordin Amrabat,£4.05m ,Premier League
M'Baye Niang,£13.50m ,Premier League
Troy Deeney,£9.90m ,Premier League
Odion Ighalo,£6.30m ,Premier League
Matej Vydra,£5.40m ,Premier League
Stefano Okaka,£5.40m ,Premier League
Obbi Oulare,£1.80m ,Premier League
Mauro Zárate,£1.80m ,Premier League
Jerome Sinclair,£1.35m ,Premier League
Mathias Ranégie,£360Th. ,Premier League
Michael Folivi, ,Premier League
Kasper Schmeichel,£9.00m ,Premier League
Ron-Robert Zieler,£6.30m ,Premier League
Ben Hamer,£450Th. ,Premier League
Robert Huth,£4.50m ,Premier League
Luis Hernández,£2.70m ,Premier League
Wes Morgan,£2.70m ,Premier League
Molla Wagué,£1.35m ,Premier League
Yohan Benalouane,£900Th. ,Premier League
Marcin Wasilewski,£45Th. ,Premier League
Christian Fuchs,£5.40m ,Premier League
Ben Chilwell,£2.25m ,Premier League
Danny Simpson,£4.50m ,Premier League
Wilfred Ndidi,£12.60m ,Premier League
Nampalys Mendy,£9.00m ,Premier League
Daniel Amartey,£4.50m ,Premier League
Danny Drinkwater,£8.10m ,Premier League
Andy King,£2.70m ,Premier League
Matty James,£1.35m ,Premier League
Marc Albrighton,£5.40m ,Premier League
Jeffrey Schlupp,£7.20m ,Premier League
Harvey Barnes,£90Th. ,Premier League
Bartosz Kapustka,£5.40m ,Premier League
Ahmed Musa,£15.30m ,Premier League
Demarai Gray,£8.10m ,Premier League
Tom Lawrence,£2.25m ,Premier League
Riyad Mahrez,£27.00m ,Premier League
Islam Slimani,£22.50m ,Premier League
Jamie Vardy,£13.50m ,Premier League
Shinji Okazaki,£6.30m ,Premier League
Leonardo Ulloa,£5.40m ,Premier League
Lukasz Fabianski,£8.10m ,Premier League
Kristoffer Nordfeldt,£1.35m ,Premier League
Mark Birighitti,£900Th. ,Premier League
Gerhard Tremmel,£225Th. ,Premier League
Federico Fernández,£8.10m ,Premier League
Alfie Mawson,£5.40m ,Premier League
Kyle Bartley,£3.15m ,Premier League
Jordi Amat,£2.25m ,Premier League
Mike van der Hoorn,£1.80m ,Premier League
Neil Taylor,£5.40m ,Premier League
Martin Olsson,£4.50m ,Premier League
Franck Tabanou,£1.80m ,Premier League
Stephen Kingsley,£675Th. ,Premier League
Kyle Naughton,£4.50m ,Premier League
Ángel Rangel,£900Th. ,Premier League
Connor Roberts,£225Th. ,Premier League
Sung-yueng Ki,£6.30m ,Premier League
Jack Cork,£4.50m ,Premier League
Leroy Fer,£7.20m ,Premier League
Tom Carroll,£5.40m ,Premier League
Matt Grimes,£1.35m ,Premier League
Leon Britton,£900Th. ,Premier League
Jay Fulton,£450Th. ,Premier League
Kenji Gorré,£90Th. ,Premier League
Gylfi Sigurdsson,£22.50m ,Premier League
Jefferson Montero,£4.05m ,Premier League
Modou Barrow,£2.70m ,Premier League
Wayne Routledge,£2.25m ,Premier League
Daniel James, ,Premier League
Luciano Narsingh,£4.50m ,Premier League
Nathan Dyer,£3.15m ,Premier League
Borja Bastón,£9.00m ,Premier League
Jordan Ayew,£6.75m ,Premier League
Fernando Llorente,£5.40m ,Premier League
Bafétimbi Gomis,£4.50m ,Premier League
Marvin Emnes,£900Th. ,Premier League
Oliver McBurnie,£225Th. ,Premier League
David Marshall,£2.70m ,Premier League
Allan McGregor,£900Th. ,Premier League
Dusan Kuciak,£900Th. ,Premier League
Eldin Jakupovic,£900Th. ,Premier League
Will Mannion, ,Premier League
Harry Maguire,£7.20m ,Premier League
Andrea Ranocchia,£4.50m ,Premier League
Curtis Davies,£2.25m ,Premier League
Michael Dawson,£2.25m ,Premier League
Alex Bruce,£675Th. ,Premier League
Andrew Robertson,£6.30m ,Premier League
Josh Tymon,£900Th. ,Premier League
Omar Elabdellaoui,£4.50m ,Premier League
Moses Odubajo,£4.50m ,Premier League
