name,Market Value,current league
Petr Cech,£23.40m ,Premier League
Ross Turnbull,£1.35m ,Premier League
Henrique Hilário,£450Th. ,Premier League
John Terry,£30.60m ,Premier League
Branislav Ivanovic,£18.90m ,Premier League
David Luiz,£18.00m ,Premier League
Alex,£14.40m ,Premier League
Michael Mancienne,£3.15m ,Premier League
Jeffrey Bruma,£1.80m ,Premier League
Ashley Cole,£24.30m ,Premier League
Yuri Zhirkov,£10.80m ,Premier League
Ryan Bertrand,£900Th. ,Premier League
Patrick van Aanholt,£900Th. ,Premier League
Bosingwa,£15.30m ,Premier League
Paulo Ferreira,£1.80m ,Premier League
Jacopo Sala,- ,Premier League
Michael Essien,£32.40m ,Premier League
John Mikel Obi,£18.00m ,Premier League
Nathaniel Chalobah, ,Premier League
Frank Lampard,£22.50m ,Premier League
Ramires,£12.60m ,Premier League
Josh McEachran,£3.15m ,Premier League
Jacob Mellis,- ,Premier League
Billy Clifford, ,Premier League
Gaël Kakuta,£2.70m ,Premier League
Florent Malouda,£18.00m ,Premier League
Salomon Kalou,£12.60m ,Premier League
Fabio Borini,£90Th. ,Premier League
Yossi Benayoun,£9.90m ,Premier League
Fernando Torres,£41.40m ,Premier League
Didier Drogba,£22.50m ,Premier League
Nicolas Anelka,£15.30m ,Premier League
Daniel Sturridge,£4.50m ,Premier League
Edwin van der Sar,£3.15m ,Premier League
Anders Lindegaard,£2.88m ,Premier League
Tomasz Kuszczak,£2.70m ,Premier League
Ben Amos,- ,Premier League
Nemanja Vidic‎,£33.30m ,Premier League
Rio Ferdinand,£18.00m ,Premier League
Jonny Evans,£8.10m ,Premier League
John O'Shea,£5.85m ,Premier League
Wes Brown,£5.40m ,Premier League
Chris Smalling,£4.50m ,Premier League
Oliver Gill,- ,Premier League
Patrice Evra,£24.30m ,Premier League
Antonio Valencia,£17.10m ,Premier League
Rafael,£9.00m ,Premier League
Fábio,£3.15m ,Premier League
Ritchie De Laet,£1.13m ,Premier League
Gary Neville,- ,Premier League
Michael Carrick,£16.20m ,Premier League
Owen Hargreaves,£4.95m ,Premier League
Darren Fletcher,£19.80m ,Premier League
Anderson,£18.90m ,Premier League
Paul Scholes,£4.05m ,Premier League
Darron Gibson,£3.15m ,Premier League
Tom Cleverley,£2.25m ,Premier League
Corry Evans,- ,Premier League
Paul Pogba, ,Premier League
Ryan Tunnicliffe, ,Premier League
Ryan Giggs,£4.05m ,Premier League
Robbie Brady, ,Premier League
Wayne Rooney,£46.80m ,Premier League
Ji-sung Park,£10.80m ,Premier League
Gabriel Obertan,£3.15m ,Premier League
Magnus Wolff Eikrem, ,Premier League
Ravel Morrison, ,Premier League
Nani,£25.20m ,Premier League
Bebé,£1.35m ,Premier League
Joshua King,£225Th. ,Premier League
Dimitar Berbatov,£25.20m ,Premier League
Chicharito,£9.90m ,Premier League
Michael Owen,£6.30m ,Premier League
Danny Welbeck,£5.40m ,Premier League
Mame Diouf,£3.60m ,Premier League
Federico Macheda,£2.52m ,Premier League
Joe Hart,£13.50m ,Premier League
Shay Given,£4.95m ,Premier League
Stuart Taylor,£900Th. ,Premier League
David González,- ,Premier League
Vincent Kompany,£18.00m ,Premier League
Kolo Touré,£17.10m ,Premier League
Jérôme Boateng,£13.50m ,Premier League
Joleon Lescott,£11.70m ,Premier League
Nedum Onuoha,£5.40m ,Premier League
Dedryck Boyata,£1.80m ,Premier League
Frédéric Veseli,- ,Premier League
Ben Mee,- ,Premier League
Aleksandar Kolarov,£13.50m ,Premier League
Wayne Bridge,£4.50m ,Premier League
Ryan McGivern,£90Th. ,Premier League
Greg Cunningham,£45Th. ,Premier League
Chris Chantler,- ,Premier League
Pablo Zabaleta,£10.80m ,Premier League
Micah Richards,£9.00m ,Premier League
Shay Logan,£225Th. ,Premier League
Javan Vidal,£90Th. ,Premier League
Reece Wabara,- ,Premier League
Omar Elabdellaoui, ,Premier League
Nigel de Jong,£18.00m ,Premier League
Gareth Barry,£15.30m ,Premier League
Patrick Vieira,£3.15m ,Premier League
Michael Johnson,£2.25m ,Premier League
Yaya Touré,£22.50m ,Premier League
James Milner,£18.00m ,Premier League
Abdisalam Ibrahim,£90Th. ,Premier League
Scott Kay,- ,Premier League
Abdul Razak, ,Premier League
David Silva,£28.80m ,Premier League
Craig Bellamy,£4.05m ,Premier League
Vladimir Weiss,£2.70m ,Premier League
Adam Johnson,£9.00m ,Premier League
Shaun Wright-Phillips,£7.20m ,Premier League
Carlos Tévez,£34.20m ,Premier League
Edin Dzeko,£27.00m ,Premier League
Mario Balotelli,£23.40m ,Premier League
Emmanuel Adebayor,£15.30m ,Premier League
Jô,£6.30m ,Premier League
Roque Santa Cruz,£4.50m ,Premier League
John Guidetti,£68Th. ,Premier League
Alex Nimely,- ,Premier League
Pepe Reina,£19.80m ,Premier League
Brad Jones,£1.35m ,Premier League
Diego Cavalieri,£540Th. ,Premier League
Martin Hansen,- ,Premier League
Péter Gulácsi, ,Premier League
Daniel Agger,£9.90m ,Premier League
Martin Skrtel,£9.90m ,Premier League
Jamie Carragher,£9.00m ,Premier League
Sotiris Kyrgiakos,£2.70m ,Premier League
Danny Wilson,£1.35m ,Premier League
Daniel Ayala,£675Th. ,Premier League
Conor Coady, ,Premier League
Fábio Aurélio,£4.50m ,Premier League
Paul Konchesky,£3.60m ,Premier League
Jack Robinson, ,Premier League
Glen Johnson,£13.50m ,Premier League
Martin Kelly,£2.25m ,Premier League
Jon Flanagan,£225Th. ,Premier League
Stephen Darby,- ,Premier League
Andre Wisdom, ,Premier League
Javier Mascherano,£22.50m ,Premier League
Lucas Leiva,£7.65m ,Premier League
Christian Poulsen,£4.50m ,Premier League
Jay Spearing,£450Th. ,Premier League
