name,Market Value,age,height,position,foot,current club,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
Thibaut Courtois,£54.00m ,28.0,199.0,Goalkeeper,left,Real Madrid,52.0,50.0,24.0,4612.0,46.0,35.0,24.0,4170.0,56.0,40.0,28.0,5070.0,39.0,35.0,16.0,3504.0,30.0,38.0,6.0,2650.0,39.0,32.0,17.0,3510.0,46.0,47.0,19.0,4170.0,35.0,48.0,10.0,3150.0,43.0,32.0,21.0,3855.0,5.0,3.0,3.0,450.0,Premier League
Willy Caballero,£900Th. ,39.0,186.0,Goalkeeper,right,Chelsea FC,32.0,41.0,8.0,2763.0,47.0,50.0,19.0,4180.0,39.0,49.0,12.0,3510.0,7.0,12.0,1.0,630.0,14.0,17.0,5.0,1159.0,27.0,26.0,10.0,2323.0,13.0,11.0,5.0,1230.0,9.0,7.0,5.0,870.0,14.0,21.0,3.0,1260.0,2.0,3.0,1.0,180.0,Premier League
Eduardo,£900Th. ,38.0,188.0,Goalkeeper,right,Retired,9.0,7.0,4.0,810.0,33.0,46.0,8.0,2970.0,38.0,44.0,9.0,3416.0,46.0,40.0,21.0,4140.0,44.0,37.0,19.0,3960.0,9.0,6.0,4.0,840.0,1.0,0.0,1.0,90.0,34.0,47.0,5.0,3060.0,9.0,9.0,3.0,810.0,,,,,Premier League
Matej Delac,£675Th. ,28.0,190.0,Goalkeeper,right,AC Horsens,3.0,9.0,1.0,270.0,15.0,16.0,5.0,1350.0,25.0,19.0,10.0,2250.0,28.0,30.0,13.0,2550.0,13.0,13.0,5.0,1154.0,28.0,51.0,5.0,2520.0,1.0,2.0,0.0,90.0,30.0,40.0,11.0,2630.0,31.0,45.0,8.0,2802.0,5.0,11.0,0.0,450.0,Premier League
Jamal Blackman,£225Th. ,26.0,199.0,Goalkeeper,right,Rotherham United,6.0,7.0,2.0,540.0,21.0,29.0,7.0,1890.0,12.0,13.0,3.0,1110.0,3.0,4.0,1.0,300.0,15.0,25.0,5.0,1350.0,52.0,61.0,17.0,4710.0,33.0,35.0,10.0,2813.0,2.0,3.0,0.0,180.0,10.0,14.0,3.0,900.0,6.0,6.0,1.0,540.0,Premier League
Antonio Rüdiger,£36.00m ,27.0,190.0,Defender - Centre-Back,right,Chelsea FC,22.0,1.0,1.0,1691.0,28.0,2.0,0.0,1939.0,35.0,2.0,0.0,3080.0,21.0,0.0,1.0,1768.0,37.0,2.0,0.0,3294.0,36.0,1.0,4.0,3025.0,45.0,3.0,2.0,3785.0,44.0,1.0,0.0,3894.0,28.0,2.0,0.0,2417.0,0.0,0.0,0.0,0.0,Premier League
Andreas Christensen,£36.00m ,24.0,188.0,Defender - Centre-Back,right,Chelsea FC,,,,,12.0,0.0,0.0,955.0,32.0,3.0,2.0,2766.0,24.0,1.0,5.0,2080.0,39.0,3.0,1.0,3510.0,43.0,4.0,0.0,3892.0,40.0,0.0,0.0,3096.0,29.0,0.0,1.0,2469.0,28.0,0.0,0.0,2342.0,4.0,0.0,0.0,315.0,Premier League
David Luiz,£22.50m ,33.0,189.0,Defender - Centre-Back,right,Arsenal FC,40.0,3.0,2.0,3426.0,57.0,7.0,5.0,4914.0,34.0,0.0,3.0,2683.0,45.0,5.0,1.0,3829.0,40.0,3.0,3.0,3209.0,42.0,1.0,0.0,3754.0,17.0,2.0,0.0,1496.0,50.0,3.0,2.0,4339.0,43.0,2.0,1.0,3644.0,6.0,0.0,0.0,451.0,Premier League
Kurt Zouma,£13.50m ,25.0,190.0,Defender - Centre-Back,right,Chelsea FC,24.0,2.0,0.0,1677.0,23.0,2.0,0.0,2069.0,27.0,0.0,1.0,1850.0,26.0,2.0,1.0,1560.0,32.0,2.0,1.0,2616.0,17.0,0.0,1.0,802.0,37.0,1.0,0.0,3127.0,36.0,2.0,2.0,2924.0,43.0,1.0,3.0,3704.0,6.0,2.0,0.0,479.0,Premier League
Gary Cahill,£13.50m ,34.0,193.0,Defender - Centre-Back,right,Crystal Palace,40.0,4.0,0.0,3346.0,45.0,6.0,2.0,3958.0,47.0,2.0,2.0,4213.0,48.0,3.0,2.0,4123.0,37.0,4.0,0.0,3155.0,43.0,8.0,0.0,3835.0,43.0,0.0,1.0,3391.0,8.0,0.0,0.0,592.0,27.0,0.0,1.0,2302.0,1.0,0.0,0.0,90.0,Premier League
