GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Ross Barkley,28058224,765,12/5/1993,17,0,0,0,0,3000,5750,5750,163,109,3549579,189,77,M C,2,3,1,2,2,2,1,7,3,1,3,4,7,10,8,11,3,11,12,1,10,12,4,10,12,17,9,10,11,9,12,9,14,5,9,11,8,10,13,12,10,10,11,14,13,12,20,15,12,15,3,14,6,8,7,15,15,12,14,11,9,9,1,1,20,13,14,13,20,M C,401,1,1,1,13,10,12,1,1,1,13,20,13,14,1,1,2.77026E+11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ross Barkley,£4.05m ,26,185,Midfielder - Central Midfield,right,Aston Villa,3,1,0,270,23,3,5,1644,37,7,1,2658,38,7,3,2617,36,2,3,2481,48,12,11,3914,39,6,9,3150,5,0,0,271,48,5,6,2725,Premier League,31,5,5,1700,6,3,0,400
19/6/2011,Pasquale De Vita,43081378,776,3/3/1994,17,0,0,0,0,219,3259,3259,130,69,38313,182,78,DM/M C,2,1,1,1,1,1,3,1,2,1,2,6,8,4,9,13,9,6,9,5,5,13,9,13,13,12,7,2,7,11,10,7,8,4,7,7,10,8,12,13,12,11,7,8,11,12,20,8,4,10,10,10,5,10,7,13,5,13,6,19,6,19,1,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,1,1,1,20,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Andrea Barberis,43078258,776,12/11/1993,17,0,0,0,0,50,2600,2600,113,60,22529,184,81,M C,1,1,3,2,2,1,2,1,1,2,3,8,7,2,7,10,8,7,11,1,8,8,3,11,12,14,11,2,9,4,8,11,7,4,1,5,7,10,11,9,12,10,8,8,8,12,20,8,5,10,12,10,5,9,8,10,8,9,7,12,6,10,1,1,20,1,1,1,20,M C,401,1,1,1,1,1,1,1,1,1,15,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrea Barberis,£113Th. ,26,177,Midfielder - Central Midfield,right,AC Monza,25,0,0,1672,25,2,0,2174,29,3,0,1430,24,1,2,1478,27,1,1,1544,29,1,1,2456,27,0,3,2153,39,2,2,3108,33,2,1,2813,Serie A,39,2,9,3335,4,0,0,280
19/6/2011,Richard Boateng,13107264,21,7/10/1992,18,0,0,0,0,2267,4759,4534,130,95,128899,162,62,M C,2,1,3,1,3,3,2,7,3,1,3,10,6,7,9,14,10,4,13,5,14,14,10,11,14,9,9,7,8,8,11,11,10,12,11,12,9,8,12,14,13,14,3,5,14,13,20,11,5,9,17,10,7,10,12,17,12,14,8,12,13,12,1,1,20,1,1,1,20,M C,401,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Richard Boateng,- ,28,180,Midfielder - Central Midfield,right,AD Alcorcón,nan,nan,nan,nan,0,0,0,0,37,1,1,2537,32,2,0,2463,34,5,2,2507,25,6,0,1640,10,2,0,830,31,14,0,2458,26,0,0,1405,LaLiga,36,5,5,2764,4,0,0,325
19/6/2011,Rafael Leão,28065671,1651,4/6/1993,18,0,0,0,0,1251,2750,2750,127,63,37091,176,64,DM C,1,2,1,2,2,3,3,6,1,2,3,8,6,7,10,12,3,8,8,3,10,12,8,12,12,5,8,9,12,5,9,7,6,5,11,4,8,9,9,9,8,8,5,10,12,8,20,6,2,10,3,10,7,8,13,7,8,5,5,10,14,2,1,1,15,1,1,1,15,DM C,301,1,1,8,1,1,1,1,1,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Pablo Hervías,67115983,796,3/8/1993,18,0,0,0,0,1750,4150,4150,119,90,235491,167,66,M/AM RC,3,2,3,3,3,1,2,3,3,3,2,12,12,12,9,8,10,7,11,2,1,11,10,4,14,8,9,8,9,10,12,11,12,14,9,12,3,10,4,14,10,9,6,10,12,13,20,11,10,11,6,9,9,13,8,14,6,9,6,11,10,7,1,1,16,20,20,13,18,M/AM RC,523,1,1,4,18,13,20,1,1,1,4,16,13,14,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Moritz Leitner,16020473,771,12/8/1992,18,0,0,0,0,3150,6000,6000,139,120,18181818,174,65,M/AM RLC,1,2,2,1,3,1,2,4,3,3,2,9,13,14,7,13,13,5,13,2,5,14,6,5,14,9,10,14,11,11,13,11,12,13,4,13,4,13,14,14,16,8,7,15,12,13,20,10,7,8,3,8,4,17,9,14,11,9,13,12,13,9,1,1,19,20,18,18,20,M/AM RLC,526,1,1,1,20,16,16,1,1,1,12,19,18,18,1,1,268435456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moritz Leitner,£3.60m ,27,174,Midfielder - Central Midfield,right,Norwich City,27,0,5,1318,25,0,3,998,31,0,3,1222,24,1,2,1751,21,1,2,1208,21,3,6,1087,8,0,0,248,12,0,0,863,31,2,2,1802,Bundesliga,10,0,0,805,1,0,0,45
19/6/2011,Markus Mendler,91100204,771,1/7/1993,18,0,0,0,0,4527,5935,6036,146,118,2085958,173,67,M/AM RLC,2,1,2,2,1,2,3,2,3,3,1,11,12,13,7,12,6,5,11,5,9,11,10,11,12,16,11,8,9,12,14,6,8,9,12,10,7,14,13,13,12,12,6,20,18,13,12,13,9,10,10,10,10,10,10,8,12,6,12,17,17,12,1,1,18,20,20,18,18,M/AM RLC,526,1,1,1,16,18,20,1,1,1,1,18,14,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Markus Mendler,£720Th. ,27,173,Forward - Left Winger,left,1.FC Saarbrücken,25,5,1,1740,17,2,1,1002,11,4,0,855,11,0,0,711,20,3,0,876,30,4,1,1611,23,4,5,1184,32,12,18,2233,34,9,11,2196,Bundesliga,28,9,5,1679,4,2,0,114
19/6/2011,José Campaña,67089223,796,5/30/1993,18,0,0,0,0,3000,5300,5300,137,107,812992,179,74,M/AM C,2,1,1,2,2,3,3,5,2,2,1,11,13,11,7,15,14,5,11,9,7,15,10,8,15,9,14,8,14,13,15,14,10,14,2,11,10,13,10,11,10,9,8,20,9,10,8,10,9,13,12,10,5,9,11,15,12,6,7,11,7,5,1,1,20,18,8,12,20,M/AM C,411,1,1,1,18,1,1,1,1,1,13,20,12,8,1,1,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,José Campaña,£1.35m ,27,179,Midfielder - Central Midfield,right,Levante UD,17,1,1,1302,18,0,3,600,6,0,1,215,16,1,3,899,12,1,2,883,35,3,2,2971,40,4,5,3002,38,1,4,3013,39,4,9,3390,LaLiga,40,2,7,3388,5,0,1,450
19/6/2011,David Alaba,16010162,755,6/24/1992,18,10,0,5,0,5750,6250,6450,170,131,5541489,178,72,M LC,3,1,1,3,1,3,3,1,2,2,2,10,14,12,7,16,13,5,10,9,9,15,11,11,15,7,9,10,13,9,13,12,19,14,11,10,8,12,15,14,16,15,9,20,18,16,9,13,12,10,8,16,6,16,15,17,10,16,16,16,16,6,12,14,20,14,1,18,20,M LC,404,1,1,1,14,14,1,1,12,1,14,20,18,1,14,1,4194304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Alaba,£14.40m ,28,180,Defender - Centre-Back,left,Bayern Munich,31,2,3,2474,47,3,3,2787,38,5,6,3195,49,4,9,4241,29,5,3,2556,46,2,4,4022,47,5,7,3799,36,2,6,2638,43,3,7,3631,Bundesliga,42,2,2,3693,6,0,1,562
