GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Julian Draxler,92030193,771,9/20/1993,17,0,0,0,0,4750,6750,6750,134,125,9389919,183,68,AM RLC,1,2,3,1,1,2,3,5,2,3,2,11,13,12,13,17,10,5,15,8,5,15,10,6,16,8,14,7,7,8,14,11,8,15,5,13,5,10,13,11,10,9,10,18,11,14,20,11,7,10,5,14,4,14,7,13,11,9,11,6,17,12,1,1,12,20,17,18,20,AM RLC,506,1,1,1,20,18,17,1,1,1,1,12,1,1,1,1,4.5E+15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Julian Draxler,£9.90m ,27,187,Midfielder - Attacking Midfield,right,Paris Saint-Germain,36,12,2,1810,46,5,9,2779,39,13,7,2762,38,6,10,3101,19,2,2,1068,35,9,8,2584,39,10,5,2721,47,5,10,2630,46,5,12,2977,Bundesliga,22,0,7,1194,6,2,0,400
19/6/2011,Ibrahima Tandia,85028025,769,7/12/1993,17,0,0,0,0,1345,4544,2691,131,101,1060038,169,65,AM RL,2,3,2,1,3,3,1,1,2,1,1,8,10,14,8,12,6,6,8,5,1,9,11,3,14,6,10,7,12,9,9,9,10,14,5,11,5,8,11,16,14,9,5,5,12,15,20,11,6,13,6,9,6,8,11,6,8,13,8,13,11,13,1,1,12,20,16,20,14,AM RL,505,1,1,10,14,20,16,1,1,1,1,10,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ibrahima Tandia,£360Th. ,27,171,Forward - Left Winger,right,Al-Hazm,nan,nan,nan,nan,3,0,0,124,nan,nan,nan,nan,nan,nan,nan,nan,22,3,3,1168,30,5,1,1414,9,0,0,345,23,5,2,1662,34,11,5,3002,Ligue 1,27,3,1,1621,nan,nan,nan,nan
19/6/2011,Wellington Silva,19086339,1651,1/6/1993,18,0,0,0,0,2750,5600,5600,159,108,1628835,171,68,AM/S LC,1,3,3,1,3,1,2,3,2,1,2,8,11,15,11,14,9,7,9,2,4,11,9,4,15,11,9,9,10,11,12,10,12,16,4,12,5,9,14,14,16,5,5,10,13,13,20,10,5,10,6,9,10,13,8,18,6,12,5,7,8,13,1,1,1,18,13,18,15,AM/S LC,624,1,1,20,15,18,13,1,1,1,1,1,1,1,1,1,34360262672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Silva,£450Th. ,27,170,Forward - Right Winger,right,Fluminense Football Club,2,0,0,37,16,3,0,858,23,4,0,624,39,3,5,1808,35,0,7,2235,45,4,5,3002,23,2,2,1322,10,1,2,262,25,1,1,989,LaLiga,16,2,1,792,nan,nan,nan,nan
19/6/2011,Ryo Miyaichi,28060849,116,12/14/1992,18,0,0,0,0,3266,5552,5788,146,122,20428192,180,71,AM RL,1,2,3,2,3,2,3,5,2,2,1,7,10,15,10,13,8,7,7,9,3,11,9,3,13,8,11,13,9,9,13,9,8,16,5,14,4,12,11,15,14,10,7,12,10,15,20,11,5,11,15,7,13,10,15,9,17,14,6,9,14,5,1,1,9,20,19,20,1,AM RL,505,1,1,1,1,20,19,1,1,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryo Miyaichi,£2.70m ,27,183,Forward - Right Winger,right,FC St. Pauli,12,3,5,1030,24,2,4,1457,7,0,1,182,11,1,1,720,25,3,1,1730,5,2,1,114,20,0,1,804,1,0,0,13,29,5,1,1721,Premier League,30,1,7,2634,nan,nan,nan,nan
19/6/2011,Nico Schulz,92027397,771,4/1/1993,18,0,0,0,0,500,5000,4500,146,95,708007,180,78,D L,3,2,2,1,1,2,3,2,2,3,1,8,11,9,10,10,7,8,10,10,11,10,4,10,9,12,10,13,9,8,11,10,16,8,7,11,8,12,13,13,10,11,8,20,11,15,10,9,13,10,10,10,4,10,8,11,15,18,14,13,14,8,20,6,10,15,8,20,1,D L,103,1,1,1,1,15,8,1,20,8,1,1,10,8,6,1,1.76E+13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nico Schulz,£450Th. ,27,180,Defender - Left-Back,left,Borussia Dortmund,31,0,5,1274,24,1,3,2104,21,1,4,1459,25,0,1,1641,29,1,1,2077,4,0,1,95,18,1,2,705,34,2,4,2344,37,2,9,3139,Bundesliga,18,1,0,1164,2,0,0,29
19/6/2011,Moritz Leitner,16020473,771,12/8/1992,18,0,0,0,0,3150,6000,6000,139,120,18181818,174,65,M/AM RLC,1,2,2,1,3,1,2,4,3,3,2,9,13,14,7,13,13,5,13,2,5,14,6,5,14,9,10,14,11,11,13,11,12,13,4,13,4,13,14,14,16,8,7,15,12,13,20,10,7,8,3,8,4,17,9,14,11,9,13,12,13,9,1,1,19,20,18,18,20,M/AM RLC,526,1,1,1,20,16,16,1,1,1,12,19,18,18,1,1,268435456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moritz Leitner,£3.60m ,27,174,Midfielder - Central Midfield,right,Norwich City,27,0,5,1318,25,0,3,998,31,0,3,1222,24,1,2,1751,21,1,2,1208,21,3,6,1087,8,0,0,248,12,0,0,863,31,2,2,1802,Bundesliga,10,0,0,805,1,0,0,45
19/6/2011,Markus Mendler,91100204,771,1/7/1993,18,0,0,0,0,4527,5935,6036,146,118,2085958,173,67,M/AM RLC,2,1,2,2,1,2,3,2,3,3,1,11,12,13,7,12,6,5,11,5,9,11,10,11,12,16,11,8,9,12,14,6,8,9,12,10,7,14,13,13,12,12,6,20,18,13,12,13,9,10,10,10,10,10,10,8,12,6,12,17,17,12,1,1,18,20,20,18,18,M/AM RLC,526,1,1,1,16,18,20,1,1,1,1,18,14,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Markus Mendler,£720Th. ,27,173,Forward - Left Winger,left,1.FC Saarbrücken,25,5,1,1740,17,2,1,1002,11,4,0,855,11,0,0,711,20,3,0,876,30,4,1,1611,23,4,5,1184,32,12,18,2233,34,9,11,2196,Bundesliga,28,9,5,1679,4,2,0,114
19/6/2011,Kostas Fortounis,36042095,772,10/16/1992,18,0,0,8,0,2000,5174,5750,138,115,1655519,182,69,AM RLC,1,2,3,2,2,3,3,2,3,1,3,12,11,13,8,14,12,9,12,7,8,13,10,8,14,11,13,11,10,12,13,13,14,12,7,14,8,9,12,13,14,11,11,8,14,13,20,10,10,10,6,8,5,10,12,17,19,14,14,20,8,6,1,1,14,20,18,17,20,AM RLC,506,1,1,5,20,17,18,1,1,1,1,14,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Konstantinos Fortounis,£2.25m ,28,183,Midfielder - Attacking Midfield,both,Olympiacos Piraeus,26,1,2,783,30,0,5,1907,26,3,4,1665,21,0,1,697,37,10,5,1653,39,21,17,2761,40,8,8,3044,37,11,14,2475,43,17,16,3300,Bundesliga,21,3,4,1093,6,1,2,228
19/6/2011,Kelvin,19144895,1651,6/1/1993,18,0,0,0,0,1500,5500,5500,150,108,632411,175,71,AM/S LC,1,2,1,1,3,3,3,8,2,1,2,12,14,16,12,16,11,4,12,4,4,13,13,5,15,6,13,10,13,11,11,9,11,16,6,13,5,6,11,15,14,5,5,20,13,14,3,7,5,10,6,10,9,12,12,12,9,13,9,5,11,7,1,1,1,18,10,17,18,AM/S LC,624,1,1,20,18,17,10,1,1,1,1,1,1,1,1,1,2.25E+15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Kelvin,£1.80m ,27,175,Forward - Right Winger,left,Botafogo de Futebol e Regatas,4,1,0,324,27,2,2,1449,24,5,1,1382,23,1,2,1196,24,2,8,1464,35,2,3,2415,6,0,1,302,22,1,4,902,10,1,0,401,Liga NOS,6,0,0,346,nan,nan,nan,nan
19/6/2011,Joel Campbell,80010074,366,6/26/1992,18,19,4,0,0,5500,5250,5250,125,107,1192207,178,70,AM/S RL,2,3,3,1,1,2,1,1,2,2,1,9,12,10,13,13,9,11,8,8,8,10,9,8,9,7,7,7,7,7,10,4,12,11,12,13,6,11,15,13,13,13,9,20,12,13,10,11,3,10,10,10,7,9,11,12,11,10,13,13,10,10,1,1,9,20,20,20,1,AM/S RL,515,1,1,20,1,20,20,1,1,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Campbell,£1.35m ,28,178,Forward - Right Winger,left,Club León FC,8,0,0,416,27,4,3,1252,33,2,3,1889,43,11,11,3185,33,1,1,1832,31,4,6,1696,29,3,4,1246,9,2,1,232,38,4,4,2399,Ligue 1,23,1,3,1210,14,0,0,525
