GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Jacopo Rubens Piacenza,43090628,776,3/25/1994,17,0,0,0,0,89,1500,1500,50,35,231,170,68,D R,2,1,3,1,1,1,2,1,2,2,3,1,6,3,1,9,3,5,4,4,8,7,3,12,5,6,6,13,5,8,7,6,10,10,6,2,8,10,11,11,10,14,7,6,12,9,20,7,5,9,5,10,9,8,10,16,7,12,13,11,9,12,20,5,1,1,20,1,1,D R,102,1,1,1,1,1,1,1,1,20,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Danny da Costa,92028423,771,7/13/1993,17,0,0,0,0,1518,5284,5284,149,105,371324,186,81,D RC,1,2,2,3,1,2,2,5,2,3,3,3,6,7,2,9,3,10,7,5,9,8,9,13,7,14,10,11,6,13,9,14,9,3,11,6,14,10,13,14,13,14,10,11,10,14,20,11,8,10,3,10,17,10,5,17,11,13,13,14,14,15,20,6,1,1,20,9,17,D RC,103,1,1,1,1,1,1,17,9,20,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danny da Costa,£900Th. ,27,187,Defender - Right-Back,right,Eintracht Frankfurt,28,2,2,2381,13,0,1,779,28,0,1,2445,30,0,2,2648,13,0,1,1121,23,0,4,1792,4,0,1,198,21,1,5,1417,50,4,5,4472,Bundesliga,37,4,10,2496,4,0,0,178
19/6/2011,Willi Orban,91011532,771,11/3/1992,18,0,0,0,0,50,4600,4600,135,95,190795,185,84,D RLC,3,3,2,3,3,1,3,4,3,1,3,4,7,2,3,9,4,14,4,3,10,9,10,14,9,4,12,6,9,9,9,12,10,14,8,5,12,10,14,14,11,11,13,15,11,11,20,10,6,10,7,10,9,10,10,3,14,9,13,12,12,12,20,1,1,1,17,17,20,D RLC,106,1,1,1,1,1,1,20,17,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willi Orban,£225Th. ,27,186,Defender - Centre-Back,right,RB Leipzig,29,5,0,2610,25,3,3,2163,21,5,0,1652,32,3,2,2468,34,4,1,3006,33,1,1,2934,29,3,1,2638,37,4,1,3038,39,4,1,3382,Bundesliga,18,1,1,1247,5,1,1,332
19/6/2011,Eugenio Giannetti,43086980,776,1/11/1993,18,0,0,0,0,177,2800,2800,84,64,4382,178,75,D R,3,2,1,2,2,2,1,1,1,1,3,4,3,4,2,7,1,7,3,9,10,8,3,13,9,5,9,9,12,9,5,8,8,5,4,4,6,15,11,13,10,7,6,8,16,11,20,8,3,10,12,10,10,10,14,6,12,11,12,9,9,16,20,5,1,1,20,4,1,D R,102,1,1,1,1,1,1,1,4,20,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Santiago Arias,76015950,1653,1/13/1992,19,0,0,22,0,2505,4786,5011,149,105,2102647,176,68,D/WB R,2,2,2,3,3,1,2,1,3,3,3,10,12,11,5,11,6,8,9,8,10,11,9,10,11,10,10,11,11,10,10,10,14,9,11,7,12,11,11,13,12,11,7,7,13,12,20,14,11,10,4,10,7,10,9,12,10,12,13,13,13,6,20,20,1,1,20,9,1,D/WB R,112,1,1,1,1,1,1,1,9,20,1,1,1,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Santiago Arias,£900Th. ,28,177,Defender - Right-Back,right,Bayer 04 Leverkusen,7,0,0,442,8,0,1,366,30,1,5,2506,34,1,5,2989,29,1,1,2296,42,3,4,3711,34,2,6,3021,35,3,6,3144,33,1,2,2477,Liga NOS,18,0,1,1394,1,0,0,90
19/6/2011,Peter Suswam,13106386,38,9/5/1991,19,0,0,0,0,3000,5500,5000,117,108,635177,185,79,D RL,3,3,2,1,3,1,2,4,1,3,3,7,8,7,8,11,10,10,11,12,11,9,11,13,11,13,12,11,12,10,9,10,11,10,9,12,11,12,11,12,12,11,12,12,13,12,20,12,13,12,8,10,9,14,8,4,12,12,12,14,14,7,20,7,7,1,20,15,7,D RL,105,1,1,1,1,1,1,7,15,20,7,1,1,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Peter Suswam,£630Th. ,29,185,Defender - Right-Back,right,Victoria Skarszew,0,0,0,0,10,0,1,742,1,0,0,90,6,0,0,242,1,0,0,90,nan,nan,nan,nan,nan,nan,nan,nan,1,0,0,90,nan,nan,nan,nan,Liga NOS,nan,nan,nan,nan,nan,nan,nan,nan
19/6/2011,Nicolas Isimat-Mirin,85042905,769,11/15/1991,19,0,0,0,0,4100,5129,5100,149,114,932632,188,83,D RC,2,3,2,2,2,3,2,3,2,3,3,5,5,8,6,10,6,14,7,7,13,7,6,10,10,12,14,13,11,11,11,10,15,7,8,6,12,13,14,15,10,16,14,5,13,14,20,13,16,12,12,14,7,10,13,13,12,9,17,14,14,6,20,1,1,1,15,10,20,D RC,103,1,1,1,1,1,1,20,10,15,1,1,1,1,1,1,2.74878E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Nicolas Isimat-Mirin,£2.25m ,28,187,Defender - Centre-Back,right,Besiktas JK,13,0,0,838,36,2,1,3068,31,0,1,2697,11,0,0,959,25,1,0,1639,26,0,0,1703,37,2,0,3186,37,2,1,3356,20,1,0,1558,Ligue 1,16,1,0,1440,nan,nan,nan,nan
19/6/2011,Matthias Zimmermann,35017462,771,6/16/1992,19,0,0,0,0,2400,5600,5600,158,112,3791743,178,76,D/WB/DM/M RC,3,2,1,1,3,2,3,4,1,1,3,10,12,9,6,11,6,7,6,10,14,12,6,13,11,14,13,14,11,13,11,10,15,8,12,6,11,15,14,14,13,13,8,20,13,14,5,12,8,12,7,9,6,6,4,15,13,14,15,14,13,5,20,16,16,1,20,14,16,D/WB/DM/M RC,133,1,1,1,1,1,1,1,14,20,18,16,1,8,12,16,32800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthias Zimmermann,£900Th. ,28,177,Defender - Right-Back,right,Fortuna Düsseldorf,34,1,1,3042,14,1,1,1124,34,2,3,2775,21,0,1,1520,34,3,7,2849,36,1,1,2941,30,1,0,1726,7,0,0,427,36,1,3,3230,Bundesliga,38,2,4,3250,5,1,0,288
19/6/2011,Jason Lowe,28027434,765,9/2/1991,19,0,0,0,0,3100,5750,6000,137,105,740561,176,75,D/M RC,3,1,1,2,3,3,2,1,2,3,2,8,4,8,7,10,10,6,8,2,9,11,5,13,10,10,11,7,14,12,13,10,14,9,8,7,9,13,17,13,11,11,9,7,15,11,20,18,13,10,12,4,6,9,6,14,7,7,13,12,11,6,16,1,20,1,16,1,20,D/M RC,423,1,1,1,1,1,1,1,1,16,12,20,1,10,1,1,67108928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jason Lowe,£1.35m ,29,183,Midfielder - Defensive Midfield,right,Salford City,18,2,2,1581,38,0,1,3117,42,0,3,3291,42,1,3,3592,14,0,0,1071,13,0,1,1050,49,0,3,4363,11,0,0,572,37,0,0,3197,Premier League,34,0,1,2947,10,0,1,900
19/6/2011,Frederik Sørensen,27020708,764,4/14/1992,19,0,0,0,0,3271,5198,5535,141,114,374057,193,71,D RC,3,2,2,1,3,1,2,5,1,1,3,5,7,4,4,6,5,13,5,14,12,9,5,15,6,8,12,14,12,12,6,8,13,5,10,6,15,13,14,12,8,13,16,10,14,13,20,14,13,12,5,13,8,14,17,12,12,17,14,15,14,5,20,1,1,1,16,1,20,D RC,103,1,1,1,1,1,1,20,1,16,1,1,1,1,1,1,4.50374E+15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Frederik Sörensen,£2.25m ,28,194,Defender - Centre-Back,right,1. FC Köln,26,0,1,1947,6,1,0,490,27,1,1,2034,16,0,0,1217,11,0,1,729,24,0,2,1854,33,0,3,2890,35,3,2,2632,6,0,0,136,Serie A,25,1,1,1976,3,0,0,97
