GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Lenny Nangis,85043913,769,3/24/1994,17,0,0,0,0,1255,4184,2558,159,93,1042279,174,71,S R,1,2,3,1,3,2,2,2,2,1,2,6,10,12,10,10,7,5,9,5,1,8,10,2,12,8,8,9,11,8,8,7,14,13,5,13,4,7,11,16,14,11,7,5,15,14,20,11,9,13,8,14,5,7,18,14,13,14,14,15,15,5,1,1,15,15,15,10,1,S R,602,1,1,20,1,10,15,1,1,1,1,1,10,15,1,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lenny Nangis,£720Th. ,26,172,Forward - Left Winger,right,RWD Molenbeek,nan,nan,nan,nan,14,1,0,766,8,1,0,386,24,2,1,1242,37,4,4,2414,17,0,3,736,32,0,2,1525,22,0,4,1099,29,1,3,1790,Ligue 1,nan,nan,nan,nan,5,0,0,431
19/6/2011,Julian Draxler,92030193,771,9/20/1993,17,0,0,0,0,4750,6750,6750,134,125,9389919,183,68,AM RLC,1,2,3,1,1,2,3,5,2,3,2,11,13,12,13,17,10,5,15,8,5,15,10,6,16,8,14,7,7,8,14,11,8,15,5,13,5,10,13,11,10,9,10,18,11,14,20,11,7,10,5,14,4,14,7,13,11,9,11,6,17,12,1,1,12,20,17,18,20,AM RLC,506,1,1,1,20,18,17,1,1,1,1,12,1,1,1,1,4.50415E+15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Julian Draxler,£9.90m ,27,187,Midfielder - Attacking Midfield,right,Paris Saint-Germain,36,12,2,1810,46,5,9,2779,39,13,7,2762,38,6,10,3101,19,2,2,1068,35,9,8,2584,39,10,5,2721,47,5,10,2630,46,5,12,2977,Bundesliga,22,0,7,1194,6,2,0,400
19/6/2011,Ibrahima Tandia,85028025,769,7/12/1993,17,0,0,0,0,1345,4544,2691,131,101,1060038,169,65,AM RL,2,3,2,1,3,3,1,1,2,1,1,8,10,14,8,12,6,6,8,5,1,9,11,3,14,6,10,7,12,9,9,9,10,14,5,11,5,8,11,16,14,9,5,5,12,15,20,11,6,13,6,9,6,8,11,6,8,13,8,13,11,13,1,1,12,20,16,20,14,AM RL,505,1,1,10,14,20,16,1,1,1,1,10,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ibrahima Tandia,£360Th. ,27,171,Forward - Left Winger,right,Al-Hazm,nan,nan,nan,nan,3,0,0,124,nan,nan,nan,nan,nan,nan,nan,nan,22,3,3,1168,30,5,1,1414,9,0,0,345,23,5,2,1662,34,11,5,3002,Ligue 1,27,3,1,1621,nan,nan,nan,nan
19/6/2011,Ryo Miyaichi,28060849,116,12/14/1992,18,0,0,0,0,3266,5552,5788,146,122,20428192,180,71,AM RL,1,2,3,2,3,2,3,5,2,2,1,7,10,15,10,13,8,7,7,9,3,11,9,3,13,8,11,13,9,9,13,9,8,16,5,14,4,12,11,15,14,10,7,12,10,15,20,11,5,11,15,7,13,10,15,9,17,14,6,9,14,5,1,1,9,20,19,20,1,AM RL,505,1,1,1,1,20,19,1,1,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryo Miyaichi,£2.70m ,27,183,Forward - Right Winger,right,FC St. Pauli,12,3,5,1030,24,2,4,1457,7,0,1,182,11,1,1,720,25,3,1,1730,5,2,1,114,20,0,1,804,1,0,0,13,29,5,1,1721,Premier League,30,1,7,2634,nan,nan,nan,nan
19/6/2011,Pablo Hervías,67115983,796,3/8/1993,18,0,0,0,0,1750,4150,4150,119,90,235491,167,66,M/AM RC,3,2,3,3,3,1,2,3,3,3,2,12,12,12,9,8,10,7,11,2,1,11,10,4,14,8,9,8,9,10,12,11,12,14,9,12,3,10,4,14,10,9,6,10,12,13,20,11,10,11,6,9,9,13,8,14,6,9,6,11,10,7,1,1,16,20,20,13,18,M/AM RC,523,1,1,4,18,13,20,1,1,1,4,16,13,14,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Moritz Leitner,16020473,771,12/8/1992,18,0,0,0,0,3150,6000,6000,139,120,18181818,174,65,M/AM RLC,1,2,2,1,3,1,2,4,3,3,2,9,13,14,7,13,13,5,13,2,5,14,6,5,14,9,10,14,11,11,13,11,12,13,4,13,4,13,14,14,16,8,7,15,12,13,20,10,7,8,3,8,4,17,9,14,11,9,13,12,13,9,1,1,19,20,18,18,20,M/AM RLC,526,1,1,1,20,16,16,1,1,1,12,19,18,18,1,1,268435456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Moritz Leitner,£3.60m ,27,174,Midfielder - Central Midfield,right,Norwich City,27,0,5,1318,25,0,3,998,31,0,3,1222,24,1,2,1751,21,1,2,1208,21,3,6,1087,8,0,0,248,12,0,0,863,31,2,2,1802,Bundesliga,10,0,0,805,1,0,0,45
19/6/2011,Markus Mendler,91100204,771,1/7/1993,18,0,0,0,0,4527,5935,6036,146,118,2085958,173,67,M/AM RLC,2,1,2,2,1,2,3,2,3,3,1,11,12,13,7,12,6,5,11,5,9,11,10,11,12,16,11,8,9,12,14,6,8,9,12,10,7,14,13,13,12,12,6,20,18,13,12,13,9,10,10,10,10,10,10,8,12,6,12,17,17,12,1,1,18,20,20,18,18,M/AM RLC,526,1,1,1,16,18,20,1,1,1,1,18,14,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Markus Mendler,£720Th. ,27,173,Forward - Left Winger,left,1.FC Saarbrücken,25,5,1,1740,17,2,1,1002,11,4,0,855,11,0,0,711,20,3,0,876,30,4,1,1611,23,4,5,1184,32,12,18,2233,34,9,11,2196,Bundesliga,28,9,5,1679,4,2,0,114
19/6/2011,Luc Castaignos,37005404,784,9/27/1992,18,0,0,0,0,5034,6142,5790,162,115,2889247,188,78,AM/S R,3,3,2,3,3,1,1,2,3,3,1,10,7,9,13,13,11,12,11,4,4,9,8,3,14,4,13,16,12,13,11,9,11,14,4,16,4,11,13,12,13,14,12,12,13,12,20,12,13,10,11,12,7,10,8,9,14,15,14,9,12,8,1,1,1,16,16,13,13,AM/S R,622,1,1,20,13,13,16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luc Castaignos,£4.05m ,28,188,Forward - Centre-Forward,right,Gyeongnam FC,37,15,2,2646,11,3,0,426,51,16,6,3715,31,14,5,2639,35,14,0,2794,21,5,3,1028,14,0,0,430,36,3,1,1288,30,4,4,1824,Serie A,8,2,0,498,nan,nan,nan,nan
19/6/2011,Kostas Fortounis,36042095,772,10/16/1992,18,0,0,8,0,2000,5174,5750,138,115,1655519,182,69,AM RLC,1,2,3,2,2,3,3,2,3,1,3,12,11,13,8,14,12,9,12,7,8,13,10,8,14,11,13,11,10,12,13,13,14,12,7,14,8,9,12,13,14,11,11,8,14,13,20,10,10,10,6,8,5,10,12,17,19,14,14,20,8,6,1,1,14,20,18,17,20,AM RLC,506,1,1,5,20,17,18,1,1,1,1,14,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Konstantinos Fortounis,£2.25m ,28,183,Midfielder - Attacking Midfield,both,Olympiacos Piraeus,26,1,2,783,30,0,5,1907,26,3,4,1665,21,0,1,697,37,10,5,1653,39,21,17,2761,40,8,8,3044,37,11,14,2475,43,17,16,3300,Bundesliga,21,3,4,1093,6,1,2,228
19/6/2011,Julian Wießmeier,91100203,771,11/4/1992,18,0,0,0,0,4250,5500,5500,136,110,1641611,171,71,AM/S RC,1,3,1,3,3,1,3,5,3,3,2,12,14,14,10,14,8,10,10,3,7,14,6,7,12,12,12,8,13,9,13,12,9,16,9,14,10,16,13,10,12,11,6,16,17,12,20,10,5,10,9,9,4,10,9,17,13,8,11,17,12,12,1,1,14,18,18,1,16,AM/S RC,623,1,1,20,16,1,18,1,1,1,1,1,1,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julian Wießmeier,£720Th. ,27,171,Midfielder - Attacking Midfield,both,SV Ried,30,20,0,2421,24,7,5,1553,21,1,3,1367,21,4,2,1622,31,11,1,1973,29,15,3,2526,22,12,6,1843,38,8,9,2972,30,10,6,2146,Bundesliga,31,10,3,2318,5,2,0,154
