GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Mbaye Niang,85051236,769,12/19/1994,16,0,0,0,0,3950,4950,4950,162,110,2234045,184,74,S ,1,1,1,3,1,2,1,4,3,3,3,7,7,13,12,13,11,8,10,5,3,9,15,2,14,8,8,11,14,9,7,9,16,12,5,11,5,8,9,15,12,13,11,10,15,14,20,11,13,13,8,15,7,7,18,16,14,13,14,14,14,7,1,1,1,13,10,13,12,S ,600,1,1,20,12,13,10,1,1,1,1,1,1,1,1,1,512,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,M'Baye Niang,£1.58m ,25,188,Forward - Centre-Forward,right,Stade Rennais FC,7,3,0,339,23,2,3,1043,25,1,1,1092,31,5,3,1780,19,5,3,1051,21,8,4,1411,34,5,5,2377,31,4,3,1925,44,14,7,2802,Ligue 1,36,15,2,2882,1,0,0,64
19/6/2011,Roberto Esposito,43093045,776,3/27/1994,17,0,0,0,0,450,2300,2350,78,47,1782,185,82,S ,3,1,2,3,3,1,3,1,3,1,3,8,4,8,12,8,8,12,8,1,2,6,3,1,6,13,7,5,12,2,6,3,10,8,1,7,2,8,10,7,9,10,8,7,10,10,20,6,6,10,9,10,10,4,15,19,11,12,7,9,12,6,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Lenny Nangis,85043913,769,3/24/1994,17,0,0,0,0,1255,4184,2558,159,93,1042279,174,71,S R,1,2,3,1,3,2,2,2,2,1,2,6,10,12,10,10,7,5,9,5,1,8,10,2,12,8,8,9,11,8,8,7,14,13,5,13,4,7,11,16,14,11,7,5,15,14,20,11,9,13,8,14,5,7,18,14,13,14,14,15,15,5,1,1,15,15,15,10,1,S R,602,1,1,20,1,10,15,1,1,1,1,1,10,15,1,1,18,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lenny Nangis,£720Th. ,26,172,Forward - Left Winger,right,RWD Molenbeek,nan,nan,nan,nan,14,1,0,766,8,1,0,386,24,2,1,1242,37,4,4,2414,17,0,3,736,32,0,2,1525,22,0,4,1099,29,1,3,1790,Ligue 1,nan,nan,nan,nan,5,0,0,431
19/6/2011,Giorgio Verga,43092915,776,2/8/1994,17,0,0,0,0,500,2600,2300,69,46,9491,181,77,S ,1,1,2,2,1,3,1,1,2,2,1,6,3,7,9,11,8,7,7,1,2,7,4,1,6,5,4,1,8,2,5,6,6,8,6,9,2,9,9,11,9,8,10,7,13,10,20,6,11,5,6,10,7,6,13,13,5,11,7,12,10,3,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Wellington Silva,19086339,1651,1/6/1993,18,0,0,0,0,2750,5600,5600,159,108,1628835,171,68,AM/S LC,1,3,3,1,3,1,2,3,2,1,2,8,11,15,11,14,9,7,9,2,4,11,9,4,15,11,9,9,10,11,12,10,12,16,4,12,5,9,14,14,16,5,5,10,13,13,20,10,5,10,6,9,10,13,8,18,6,12,5,7,8,13,1,1,1,18,13,18,15,AM/S LC,624,1,1,20,15,18,13,1,1,1,1,1,1,1,1,1,34360262672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Silva,£450Th. ,27,170,Forward - Right Winger,right,Fluminense Football Club,2,0,0,37,16,3,0,858,23,4,0,624,39,3,5,1808,35,0,7,2235,45,4,5,3002,23,2,2,1322,10,1,2,262,25,1,1,989,LaLiga,16,2,1,792,nan,nan,nan,nan
19/6/2011,Rok Baskera,62078827,795,5/26/1993,18,0,0,0,0,1103,4250,3556,113,80,1456,188,89,S ,1,1,2,1,3,1,2,1,2,2,3,10,8,11,12,14,8,13,9,8,3,12,4,6,11,8,7,9,9,9,9,8,9,9,10,13,7,8,8,8,8,8,10,10,9,8,20,8,8,8,7,10,5,9,8,8,11,9,11,10,10,9,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Miguel Medina,79011885,1655,6/1/1993,18,0,0,0,0,1338,4849,3846,170,107,4205890,184,74,S ,1,1,3,3,1,2,1,1,3,3,3,8,12,14,14,10,10,11,13,10,7,8,10,9,12,12,7,12,9,8,7,9,8,12,6,12,7,8,12,14,13,13,10,9,12,14,20,7,10,8,7,9,8,9,7,15,10,9,7,6,7,14,1,1,1,10,10,8,7,S ,600,1,1,20,7,8,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/6/2011,Luca Munarini,43082009,776,3/9/1993,18,0,0,0,0,95,1350,1350,71,40,205,182,81,S ,1,2,2,2,3,3,2,4,2,1,2,5,3,9,6,6,7,10,5,1,3,6,7,3,11,10,3,9,8,4,4,6,10,10,1,5,4,3,8,12,10,12,10,7,12,10,20,3,4,9,12,5,7,5,14,17,18,10,11,10,13,6,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luca Cigarini,£4.95m ,34,175,Midfielder - Defensive Midfield,right,FC Crotone,18,3,2,893,32,1,2,2547,30,2,5,2491,36,2,8,2618,34,1,3,2774,26,2,2,1902,7,0,0,471,27,2,3,2153,28,0,1,1933,Serie A,22,0,4,1604,5,0,1,391
19/6/2011,Luc Castaignos,37005404,784,9/27/1992,18,0,0,0,0,5034,6142,5790,162,115,2889247,188,78,AM/S R,3,3,2,3,3,1,1,2,3,3,1,10,7,9,13,13,11,12,11,4,4,9,8,3,14,4,13,16,12,13,11,9,11,14,4,16,4,11,13,12,13,14,12,12,13,12,20,12,13,10,11,12,7,10,8,9,14,15,14,9,12,8,1,1,1,16,16,13,13,AM/S R,622,1,1,20,13,13,16,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Luc Castaignos,£4.05m ,28,188,Forward - Centre-Forward,right,Gyeongnam FC,37,15,2,2646,11,3,0,426,51,16,6,3715,31,14,5,2639,35,14,0,2794,21,5,3,1028,14,0,0,430,36,3,1,1288,30,4,4,1824,Serie A,8,2,0,498,nan,nan,nan,nan
19/6/2011,Khouma Babacar,43043943,41,3/17/1993,18,0,0,0,0,3250,6490,5600,132,118,3868329,191,85,S ,1,2,3,3,1,1,3,1,2,3,1,7,7,11,12,12,6,15,11,8,5,12,10,5,13,12,13,15,14,12,11,10,15,9,10,15,8,12,13,14,10,13,14,5,12,12,20,12,13,13,8,12,7,6,18,18,2,17,15,15,11,3,1,1,1,10,1,10,1,S ,600,1,1,20,1,10,1,1,1,1,1,1,1,1,1,1,2.74878E+11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Khouma Babacar,£1.62m ,27,185,Forward - Centre-Forward,right,Alanyaspor,21,2,1,715,21,5,0,1349,17,2,0,850,42,20,8,3348,28,9,2,1365,24,7,1,1199,31,14,3,1764,31,7,4,1335,31,7,2,1523,Serie A,25,3,3,1426,6,2,1,218
