GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Raphaël Varane,85075627,769,4/25/1993,17,0,0,0,0,1400,4589,2800,153,102,2056370,190,85,D C,1,2,1,1,3,1,2,2,3,2,3,5,5,7,6,12,6,14,7,7,12,11,6,9,12,10,13,13,14,11,10,12,14,5,6,6,11,13,13,10,8,15,15,5,14,9,20,14,15,16,10,10,6,10,12,13,14,13,15,17,17,5,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RaphaÃ«l Varane,Â£3.60m ,Ligue 1,
29/6/2010,Bruno Martignoni,98005663,798,12/13/1992,17,0,0,0,0,992,3250,3250,111,63,230269,178,73,D C,2,2,1,3,1,1,3,3,1,1,1,3,3,3,0,9,3,8,2,0,8,7,3,8,9,8,6,13,7,10,5,10,9,4,11,4,9,16,11,13,13,13,13,8,16,13,20,8,5,10,17,10,13,10,5,18,11,1,9,18,10,6,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bruno Martignoni,Â£90Th. ,Serie A,
29/6/2010,Vincenzo Camilleri,28021038,776,3/6/1992,18,0,0,0,0,1250,4500,4500,127,90,610093,186,85,D C,3,2,1,3,2,2,2,7,1,1,1,2,2,5,3,10,3,14,3,4,13,10,4,11,9,9,10,9,13,13,7,11,13,14,8,4,11,6,8,11,10,10,12,10,18,11,20,11,8,13,11,14,15,7,8,10,10,14,15,11,15,4,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vincenzo Camilleri,Â£180Th. ,Serie A,
29/6/2010,Phil Jones,28027433,765,2/21/1992,18,0,0,1,0,3100,6350,6350,168,116,11793468,186,71,D C,3,1,2,2,2,1,2,5,1,2,3,2,5,8,5,11,6,13,2,10,11,9,8,13,9,17,14,17,13,13,7,11,17,4,12,7,13,14,16,14,11,12,13,10,16,14,20,13,14,16,11,18,3,16,5,14,15,17,18,15,16,4,D C,101,1,1,20,20,15,1,1,15,14,1,1,1,1,1,20,1,14,15,1,1,1,1,2199020000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Phil Jones,Â£3.15m ,Premier League,
29/6/2010,Joël Matip,91018389,11,8/8/1991,18,5,0,0,0,3250,6750,6750,153,125,18995757,193,88,D/DM C,2,3,2,1,1,1,3,4,3,1,3,4,9,9,6,12,5,15,6,13,15,9,7,16,13,10,14,15,9,11,12,8,10,7,6,7,16,17,13,12,8,12,18,12,14,15,20,14,13,13,6,11,5,16,6,7,6,13,14,11,9,14,D/DM C,321,1,1,20,18,20,1,10,15,8,1,1,1,1,1,18,8,8,15,10,1,1,1,1048576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Matip,Â£2.70m ,Bundesliga,
29/6/2010,Frederik Sørensen,27020708,764,4/14/1992,18,0,0,0,0,1482,3750,3750,123,77,425984,192,71,D C,1,3,3,2,3,1,3,3,3,2,2,5,5,4,4,6,5,10,5,7,7,8,5,10,6,13,6,11,10,9,6,9,8,5,9,6,11,13,13,11,5,11,15,10,13,14,20,13,11,5,17,7,8,9,8,5,12,8,10,15,6,19,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,4294967296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Frederik SÃ¶rensen,Â£2.70m ,Serie A,
29/6/2010,Dennis Appiah,85010865,769,6/9/1992,18,0,0,0,0,1300,4814,2650,179,107,2025411,179,68,D/WB RC,3,3,1,2,3,2,3,1,1,1,2,5,8,8,6,11,6,12,6,7,11,10,6,11,11,9,13,13,13,13,9,11,14,6,8,8,12,14,12,14,13,12,9,5,15,13,20,15,8,14,9,14,7,12,10,14,14,14,12,15,15,6,D/WB RC,113,1,1,18,20,14,1,1,1,20,1,16,1,1,1,18,13,20,1,1,1,1,16,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dennis Appiah,Â£135Th. ,Ligue 1,
29/6/2010,Cachito Wanduka,85068980,769,2/21/1992,18,0,0,0,0,1150,4274,2350,146,95,2871008,187,76,D C,2,1,3,1,2,2,3,5,2,1,1,6,8,6,5,11,3,12,8,10,9,9,7,10,11,10,12,14,10,9,9,10,14,9,14,6,12,11,8,12,9,14,13,8,15,12,20,13,14,14,15,10,8,10,10,12,15,11,12,9,11,8,D C,101,1,1,20,20,14,1,1,10,1,1,1,1,1,1,20,1,1,10,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/6/2010,Bakar,55024935,770,5/24/1992,18,0,0,0,0,500,3374,3000,124,75,280088,184,75,D C,1,1,1,2,1,2,1,5,1,3,2,5,6,6,7,9,3,11,6,7,11,7,9,10,10,13,10,11,12,11,7,9,10,6,11,7,11,10,10,10,11,12,11,8,12,10,20,10,11,12,11,11,7,8,14,9,7,15,7,8,8,2,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/6/2010,Vujadin Savic,62028022,802,7/1/1990,19,0,0,8,0,3364,5800,5400,150,116,10029464,194,82,D C,3,1,3,2,1,1,3,1,2,3,2,9,11,9,5,11,9,13,9,12,12,9,12,12,11,14,13,12,13,13,12,14,12,8,12,9,13,14,14,9,8,13,17,8,13,10,20,12,13,12,9,10,8,8,9,15,13,14,12,13,11,5,D C,101,1,1,20,20,1,1,1,1,14,1,10,1,1,1,20,1,14,1,1,1,1,10,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vujadin Savic,Â£900Th. ,Ligue 1,
