GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Rémi Mulumba,85019602,769,11/2/1992,17,0,0,0,0,1150,4139,2300,131,92,1818393,178,70,DM/M C,2,1,2,2,1,2,3,1,2,1,1,9,9,13,10,12,9,9,10,5,8,10,7,13,12,14,9,6,8,8,11,12,10,13,11,5,6,12,13,13,12,11,11,5,17,13,20,8,10,10,14,10,7,9,11,7,7,14,12,14,12,1,DM/M C,311,1,1,20,1,20,1,1,18,1,1,1,1,1,1,1,1,1,18,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RÃ©mi Mulumba,Â£180Th. ,Ligue 1,
29/6/2010,Philipp Klement,35017450,771,9/9/1992,17,0,0,0,0,50,5000,5000,136,100,1380961,171,63,DM/M/AM C,3,1,2,3,2,1,2,1,2,1,1,6,9,13,9,13,9,9,9,0,10,12,5,13,12,11,11,5,7,5,13,13,9,12,5,4,8,14,13,13,12,13,8,10,11,12,20,9,5,10,7,10,12,10,14,11,14,5,15,5,14,18,DM/M/AM C,431,1,17,20,1,17,1,1,20,1,1,1,17,1,1,1,1,1,20,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Philipp Degen,Â£675Th. ,Bundesliga,
29/6/2010,Mirko Gori,43050526,776,2/4/1993,17,0,0,0,0,100,2750,2750,138,55,100611,181,75,M C,2,1,1,2,3,3,3,4,2,2,1,8,6,9,9,12,6,4,9,1,6,8,8,10,12,14,9,7,8,7,9,7,10,11,10,4,3,10,12,12,11,12,6,7,8,12,20,7,3,10,12,10,8,10,6,14,8,12,8,14,2,3,M C,401,1,1,20,1,1,1,1,20,1,1,1,1,1,1,1,1,1,20,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/6/2010,Zé Eduardo,19070329,1651,8/16/1991,18,0,0,7,0,2500,5350,5350,155,107,2186391,186,80,DM/M/AM C,1,3,3,3,3,2,3,6,2,1,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,12,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,15,20,14,13,11,11,11,12,15,9,16,5,9,10,11,7,15,DM/M/AM C,431,1,16,20,1,19,1,1,20,11,1,1,16,1,7,1,1,1,20,1,11,1,1,34.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZÃ© Eduardo,Â£270Th. ,Serie A,
29/6/2010,Tae-Hee Nam,28016969,135,7/3/1991,18,0,0,0,0,3025,5500,4950,144,110,4417390,174,72,M/AM RC,3,1,2,1,2,3,1,6,1,3,1,8,8,14,7,14,10,6,11,6,2,11,4,3,16,5,10,11,11,11,12,7,14,14,5,11,5,8,13,17,14,9,7,5,13,15,20,13,10,13,5,10,8,10,14,14,13,13,15,15,15,6,M/AM RC,413,12,20,17,1,1,1,10,20,20,1,1,17,10,20,1,1,1,15,10,15,1,1,2251800000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tae-hee Nam,Â£630Th. ,Ligue 1,
29/6/2010,Sérgio Oliveira,55012099,788,6/2/1992,18,0,0,0,0,1500,4500,4500,158,94,1613353,181,72,DM/M C,3,1,1,3,3,2,1,3,3,3,1,9,9,10,6,11,9,9,12,9,9,11,9,9,12,12,13,12,11,12,12,12,15,10,10,10,13,12,12,11,11,12,10,10,12,10,20,11,10,14,8,12,7,12,13,16,15,15,14,14,14,4,DM/M C,311,1,7,20,5,20,1,1,17,5,1,1,7,1,1,5,1,5,17,1,5,1,1,4294967296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SÃ©rgio Oliveira,Â£270Th. ,Liga NOS,
29/6/2010,Ruben Pinto,55022438,788,4/24/1992,18,0,0,0,0,1250,3500,3500,145,75,127135,181,69,M/AM RC,1,2,2,2,1,2,2,4,2,1,1,9,10,10,8,10,8,6,8,5,6,10,9,5,10,9,11,9,11,11,11,11,10,12,9,11,8,9,10,10,10,8,8,8,12,10,20,7,7,13,7,11,3,12,17,13,13,14,12,17,8,6,M/AM RC,413,1,17,20,1,8,1,13,20,17,1,1,17,13,17,1,1,1,20,5,15,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuno Pinto,Â£900Th. ,Liga NOS,
29/6/2010,Reinhold Yabo,35014370,771,2/10/1992,18,0,0,0,0,2000,4750,4750,158,100,1899761,175,70,M C,3,1,2,1,1,2,2,1,1,2,1,11,9,8,8,9,11,8,9,10,10,13,7,10,10,9,12,9,14,12,12,13,10,11,13,8,11,13,10,10,10,12,9,18,12,10,20,9,9,15,14,10,9,10,13,17,16,7,11,14,7,5,M C,401,1,5,20,5,12,1,12,20,12,1,5,5,3,3,5,1,1,20,12,12,5,5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Reinhold Yabo,Â£450Th. ,Bundesliga,
29/6/2010,Phil Jones,28027433,765,2/21/1992,18,0,0,1,0,3100,6350,6350,168,116,11793468,186,71,D C,3,1,2,2,2,1,2,5,1,2,3,2,5,8,5,11,6,13,2,10,11,9,8,13,9,17,14,17,13,13,7,11,17,4,12,7,13,14,16,14,11,12,13,10,16,14,20,13,14,16,11,18,3,16,5,14,15,17,18,15,16,4,D C,101,1,1,20,20,15,1,1,15,14,1,1,1,1,1,20,1,14,15,1,1,1,1,2199020000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Phil Jones,Â£3.15m ,Premier League,
29/6/2010,Pajtim Kasami,28027647,798,6/2/1992,18,0,0,1,0,2250,5084,4900,144,113,1541290,187,70,M/AM RC,1,1,1,1,1,1,1,1,1,1,1,10,12,14,12,11,10,9,12,9,8,12,10,13,7,7,14,14,12,14,10,8,10,7,8,11,8,12,10,12,11,13,18,20,12,14,8,10,12,10,13,10,8,6,6,12,10,7,13,13,11,5,M/AM RC,413,8,20,20,1,14,1,13,20,17,1,1,20,12,10,1,1,1,20,13,17,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pajtim Kasami,Â£1.89m ,Serie A,
