GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Rémi Mulumba,85019602,769,11/2/1992,17,0,0,0,0,1150,4139,2300,131,92,1818393,178,70,DM/M C,2,1,2,2,1,2,3,1,2,1,1,9,9,13,10,12,9,9,10,5,8,10,7,13,12,14,9,6,8,8,11,12,10,13,11,5,6,12,13,13,12,11,11,5,17,13,20,8,10,10,14,10,7,9,11,7,7,14,12,14,12,1,DM/M C,311,1,1,20,1,20,1,1,18,1,1,1,1,1,1,1,1,1,18,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RÃ©mi Mulumba,Â£180Th. ,Ligue 1,
29/6/2010,Philipp Klement,35017450,771,9/9/1992,17,0,0,0,0,50,5000,5000,136,100,1380961,171,63,DM/M/AM C,3,1,2,3,2,1,2,1,2,1,1,6,9,13,9,13,9,9,9,0,10,12,5,13,12,11,11,5,7,5,13,13,9,12,5,4,8,14,13,13,12,13,8,10,11,12,20,9,5,10,7,10,12,10,14,11,14,5,15,5,14,18,DM/M/AM C,431,1,17,20,1,17,1,1,20,1,1,1,17,1,1,1,1,1,20,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Philipp Degen,Â£675Th. ,Bundesliga,
29/6/2010,Zé Eduardo,19070329,1651,8/16/1991,18,0,0,7,0,2500,5350,5350,155,107,2186391,186,80,DM/M/AM C,1,3,3,3,3,2,3,6,2,1,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,12,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,15,20,14,13,11,11,11,12,15,9,16,5,9,10,11,7,15,DM/M/AM C,431,1,16,20,1,19,1,1,20,11,1,1,16,1,7,1,1,1,20,1,11,1,1,34.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZÃ© Eduardo,Â£270Th. ,Serie A,
29/6/2010,Sérgio Oliveira,55012099,788,6/2/1992,18,0,0,0,0,1500,4500,4500,158,94,1613353,181,72,DM/M C,3,1,1,3,3,2,1,3,3,3,1,9,9,10,6,11,9,9,12,9,9,11,9,9,12,12,13,12,11,12,12,12,15,10,10,10,13,12,12,11,11,12,10,10,12,10,20,11,10,14,8,12,7,12,13,16,15,15,14,14,14,4,DM/M C,311,1,7,20,5,20,1,1,17,5,1,1,7,1,1,5,1,5,17,1,5,1,1,4294967296.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SÃ©rgio Oliveira,Â£270Th. ,Liga NOS,
29/6/2010,Phil Jones,28027433,765,2/21/1992,18,0,0,1,0,3100,6350,6350,168,116,11793468,186,71,D C,3,1,2,2,2,1,2,5,1,2,3,2,5,8,5,11,6,13,2,10,11,9,8,13,9,17,14,17,13,13,7,11,17,4,12,7,13,14,16,14,11,12,13,10,16,14,20,13,14,16,11,18,3,16,5,14,15,17,18,15,16,4,D C,101,1,1,20,20,15,1,1,15,14,1,1,1,1,1,20,1,14,15,1,1,1,1,2199020000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Phil Jones,Â£3.15m ,Premier League,
29/6/2010,Nampalys Mendy,85010871,769,6/23/1992,18,0,0,0,0,50,5219,2900,164,116,1725005,168,68,DM C,1,1,3,1,1,1,1,5,1,2,1,8,8,8,5,12,7,7,7,6,9,11,10,12,12,11,14,13,13,13,12,14,14,8,8,7,13,14,17,15,14,10,5,8,15,12,20,16,10,13,11,10,7,10,13,14,10,16,14,14,14,6,DM C,301,1,1,20,1,20,1,1,15,1,1,1,1,1,1,1,1,1,15,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nampalys Mendy,Â£1.35m ,Ligue 1,
29/6/2010,Joël Matip,91018389,11,8/8/1991,18,5,0,0,0,3250,6750,6750,153,125,18995757,193,88,D/DM C,2,3,2,1,1,1,3,4,3,1,3,4,9,9,6,12,5,15,6,13,15,9,7,16,13,10,14,15,9,11,12,8,10,7,6,7,16,17,13,12,8,12,18,12,14,15,20,14,13,13,6,11,5,16,6,7,6,13,14,11,9,14,D/DM C,321,1,1,20,18,20,1,10,15,8,1,1,1,1,1,18,8,8,15,10,1,1,1,1048576.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Matip,Â£2.70m ,Bundesliga,
29/6/2010,João Pedro,19069586,1651,3/9/1992,18,0,0,0,0,1750,5550,5550,148,111,5138415,184,73,DM/M/AM/S C,3,2,1,2,1,3,3,4,1,2,2,13,9,12,12,12,10,10,11,6,9,12,11,10,12,11,12,13,11,13,13,11,13,12,8,12,11,11,11,12,10,12,12,10,12,12,20,13,11,10,12,7,9,15,7,14,10,12,9,10,11,7,DM/M/AM/S C,441,17,20,20,1,18,1,1,20,1,1,1,20,1,1,1,1,1,18,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,JoÃ£o Pedro,Â£1.53m ,Serie A,
29/6/2010,Edu Ramos,67044770,796,2/17/1992,18,0,0,0,0,2756,4750,4750,155,105,2812157,177,65,DM/M C,2,2,1,2,1,3,2,3,2,1,3,14,11,12,7,11,14,12,12,8,11,11,10,9,15,10,12,10,11,14,12,12,10,12,3,11,11,10,12,9,11,12,9,11,12,10,20,12,12,10,6,10,15,9,7,7,5,10,15,9,10,4,DM/M C,311,1,1,20,1,20,1,1,20,1,1,1,1,1,1,1,1,1,20,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Edu Ramos,- ,LaLiga,
29/6/2010,Daniel Kofi Agyei,43026881,21,1/1/1992,18,0,0,0,0,1000,5500,4850,165,115,10336499,181,75,DM C,1,3,3,2,3,2,3,3,3,3,3,7,6,9,7,14,6,9,11,14,14,16,5,13,14,12,15,11,12,12,11,10,18,6,8,12,10,10,14,13,12,12,9,5,15,14,20,13,12,12,8,14,5,8,18,16,17,14,16,18,14,4,DM C,301,1,1,20,1,20,1,1,15,1,1,1,1,1,1,1,1,1,15,1,1,1,1,1077936384.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Daniel Kofi Agyei,Â£225Th. ,Serie A,
