GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Mattia Perin,43044345,776,11/10/1992,17,0,0,0,0,2000,4679,3750,159,104,6039093,188,81,GK ,13,10,10,14,13,10,11,11,12,14,12,7,3,3,2,6,9,3,3,1,2,10,2,2,11,8,11,15,10,12,2,10,12,1,10,1,11,3,7,12,12,12,14,8,15,12,20,7,5,10,8,10,5,10,8,13,14,14,13,12,13,6,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mattia Perin,Â£720Th. ,Serie A
29/6/2010,Jan Oblak,64016316,795,1/7/1993,17,0,0,4,0,2500,5150,4750,144,108,1726178,185,77,GK ,15,8,15,6,12,12,12,15,5,15,13,8,1,3,2,5,10,3,3,3,2,4,2,3,6,6,11,13,10,8,2,11,9,2,12,3,15,2,4,6,16,16,13,11,17,5,20,5,9,10,3,10,11,10,6,3,12,14,10,1,12,19,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jan Oblak,Â£675Th. ,Liga NOS
29/6/2010,Ettore Lagomarsini,43077091,776,1/22/1993,17,0,0,0,0,150,2800,2800,80,56,45154,186,82,GK ,13,7,9,6,7,10,13,7,8,11,8,7,2,1,2,5,10,1,3,1,3,1,1,3,1,7,8,10,8,9,0,9,9,2,10,2,10,2,3,8,13,13,14,7,14,8,20,3,5,7,9,10,3,8,8,18,3,10,13,11,8,7,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Andrea Tozzo,43050222,776,9/30/1992,17,0,0,0,0,50,2500,2500,135,50,189698,192,75,GK ,10,5,7,6,11,7,8,11,5,4,7,6,3,2,1,7,10,8,2,3,2,5,2,1,7,10,8,7,5,15,8,7,18,1,11,4,9,9,7,9,7,8,14,4,12,6,20,10,11,10,9,13,4,7,10,18,6,10,18,14,18,7,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrea Tozzo,Â£90Th. ,Serie A
29/6/2010,Alphonse Areola,85027976,769,2/27/1993,17,0,0,0,0,1250,4634,2550,186,103,7202216,192,85,GK ,14,10,10,11,14,9,12,12,10,8,6,5,2,2,3,6,10,2,11,3,1,8,2,3,6,12,12,11,13,13,6,11,14,8,9,2,9,11,5,13,12,16,16,1,13,9,20,13,16,14,7,10,9,1,5,14,14,15,15,17,17,5,GK ,0,1,1,1,5,1,20,5,1,1,1,5,1,1,1,1,5,1,1,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Alphonse Areola,Â£225Th. ,Ligue 1
29/6/2010,Thomas Lebon,34007222,769,9/16/1991,18,0,0,0,0,1100,4049,2250,122,90,2394774,190,89,GK ,13,14,11,7,11,9,12,12,8,14,6,1,2,1,2,6,6,3,3,1,1,5,3,1,6,10,9,13,11,11,5,8,17,7,8,2,10,8,6,8,10,15,15,1,15,6,20,13,16,14,8,10,5,1,14,15,14,14,14,14,14,6,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Paredes,67107572,796,7/11/1991,18,0,0,0,0,50,600,600,133,65,23041,183,71,GK ,4,12,12,9,12,12,8,12,8,4,8,6,3,2,1,2,9,0,2,3,2,0,3,2,0,10,5,13,5,10,1,12,9,1,8,1,8,0,2,4,11,8,5,8,12,4,20,6,3,10,12,10,13,7,12,12,12,12,10,17,8,3,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Marc-André ter Stegen,35017428,771,4/30/1992,18,0,0,0,0,250,3500,3500,133,75,1899403,185,84,GK ,9,10,10,7,9,13,10,12,11,12,8,5,3,3,3,9,10,2,3,3,3,9,1,2,9,4,9,11,9,8,8,9,6,2,9,2,9,9,8,12,12,11,12,6,12,11,20,7,9,10,10,10,6,9,12,10,20,14,7,5,8,12,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marc-AndrÃ© ter Stegen,Â£2.25m ,Bundesliga
29/6/2010,Gervais Sanou,85071174,9,5/26/1992,18,0,0,0,0,950,3900,1950,122,78,4583847,187,88,GK ,12,5,10,14,12,12,11,12,10,9,10,5,3,1,1,1,9,0,2,2,2,0,3,3,1,12,2,11,8,12,1,12,9,2,8,2,9,0,2,7,10,12,11,1,12,6,20,4,12,9,6,10,9,1,12,7,7,7,5,7,8,6,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Antonio Santurro,43075231,776,2/29/1992,18,0,0,0,0,50,3750,3750,128,75,551193,176,74,GK ,12,12,10,6,10,11,13,13,8,12,7,3,2,1,1,3,7,0,3,2,1,2,1,1,2,8,8,14,6,12,0,7,9,2,2,3,9,2,3,8,11,13,14,8,16,11,20,5,4,10,14,10,7,7,7,1,10,7,13,12,12,5,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antonio Santurro,Â£45Th. ,Serie A
