GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Thimothée Kolodzieczak,34011922,769,10/1/1991,18,0,0,0,0,1200,4950,4950,145,110,7941256,183,75,D L,2,1,2,3,3,1,1,1,1,2,2,6,9,8,5,8,3,11,10,10,9,9,6,11,13,10,12,13,11,11,12,11,15,7,8,10,13,12,14,15,10,13,11,20,15,14,5,15,13,14,10,10,8,10,9,15,13,9,6,12,9,7,D L,103,1,1,1,20,1,1,20,1,1,1,15,1,1,1,1,20,8,1,1,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TimothÃ©e Kolodziejczak,Â£900Th. ,Ligue 1
29/6/2010,Giacomo Lo Monaco,43043918,776,8/5/1991,18,0,0,0,0,600,3464,3250,91,77,190040,182,83,D/WB L,1,3,1,3,3,2,2,4,1,3,2,9,12,10,5,11,12,6,9,9,11,9,9,10,10,11,10,10,8,10,11,10,8,11,12,10,10,10,12,9,11,10,9,20,8,10,7,10,10,9,11,12,1,16,11,9,7,11,12,8,8,8,D/WB L,113,1,1,1,20,1,1,20,1,1,1,17,1,1,1,1,20,4,1,1,1,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Thanos Petsos,91014707,772,6/5/1991,19,0,0,1,0,500,4000,4000,125,85,376639,184,80,D RLC,3,1,1,3,3,3,3,1,2,2,3,10,8,8,10,7,5,14,4,4,11,8,5,14,12,9,12,14,9,13,4,6,10,4,11,5,9,11,13,9,8,7,12,20,10,13,9,9,8,4,9,10,11,10,8,13,10,16,7,9,7,9,D RLC,106,1,1,20,20,1,1,20,1,16,1,7,1,1,1,20,20,16,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thanos Petsos,Â£1.35m ,Bundesliga
29/6/2010,Rédah Atassi,85057616,769,3/16/1991,19,0,0,0,0,50,2250,2250,110,99,3092122,187,78,D LC,2,1,2,2,3,3,1,1,1,3,2,5,7,6,7,9,6,14,6,7,13,8,5,10,9,14,12,15,11,11,7,10,14,5,9,6,11,14,13,12,9,14,13,20,9,11,5,14,14,14,14,10,7,10,6,14,16,6,13,11,11,8,D LC,104,1,1,20,20,1,1,15,1,1,1,1,1,1,1,20,15,1,1,1,1,1,1,32800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RÃ©dah Atassi, ,Ligue 1
29/6/2010,Michele Contini,43026372,776,3/27/1991,19,0,0,0,0,50,400,400,105,35,1552,192,88,D RLC,1,1,1,1,1,2,2,1,3,2,3,1,3,6,2,4,0,8,2,8,4,2,2,10,2,17,7,5,3,7,2,9,6,4,11,2,11,10,9,12,12,11,12,6,14,12,20,5,5,7,10,10,13,10,8,2,13,13,15,9,7,16,D RLC,106,1,1,20,20,1,1,20,1,20,1,9,1,1,1,20,20,20,1,1,1,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Michele Canini,Â£3.42m ,Serie A
29/6/2010,Marcel Holzmann,16003606,755,9/3/1990,19,0,0,1,0,50,550,550,132,75,8441,180,78,D/WB/M L,2,2,1,3,3,3,2,2,2,2,2,8,12,12,2,11,9,3,6,3,8,13,9,13,10,7,10,9,12,13,10,9,10,15,12,9,10,12,14,12,9,11,13,20,14,10,5,9,6,8,5,10,9,10,11,5,12,7,8,14,4,12,D/WB/M L,233,1,15,1,17,1,1,20,17,1,1,20,1,15,1,1,17,1,1,17,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Jason Davidson,55022903,1435,6/29/1991,19,0,0,0,0,500,2000,3000,109,86,2544160,179,75,D L,3,3,2,1,1,3,2,5,1,3,1,7,11,5,2,6,4,10,7,4,10,10,9,14,8,14,10,13,8,11,5,10,13,4,12,8,10,10,14,14,10,6,8,20,6,12,10,11,4,10,10,10,10,8,12,13,13,14,14,14,14,5,D L,103,1,1,1,20,1,1,20,7,1,1,12,1,1,1,1,20,12,1,7,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Fábio,2107501,1651,7/9/1990,19,0,0,0,0,3782,6750,6500,160,123,52274055,172,69,D/WB RL,1,1,2,1,3,2,3,4,3,2,1,6,13,13,12,14,5,10,10,9,10,11,13,11,13,13,11,12,11,10,8,10,14,15,10,14,8,10,14,17,15,13,9,13,14,17,20,10,9,12,11,14,13,13,14,16,10,16,15,14,16,6,D/WB RL,115,1,12,8,20,1,1,20,12,17,1,18,6,12,6,1,20,17,8,12,8,18,15,2.2518E+15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
29/6/2010,Fabio Daprelà,69004241,798,2/19/1991,19,0,0,0,0,3000,4949,4500,131,110,2300000,183,76,D/WB L,2,2,3,3,3,1,3,1,1,2,3,6,11,11,5,10,5,8,5,3,10,8,6,11,12,14,13,12,14,10,14,12,11,4,4,8,7,15,16,14,11,11,10,20,14,14,11,14,12,11,8,13,5,14,9,3,12,11,15,14,10,9,D/WB L,113,1,1,1,20,1,1,20,1,1,1,20,1,1,1,1,20,8,1,1,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fabio DaprelÃ ,Â£675Th. ,Serie A
29/6/2010,Davide Santon,43016424,776,1/2/1991,19,5,0,3,0,4970,7350,7350,163,141,99123370,187,77,D/WB RL,1,1,1,1,1,1,1,1,1,1,1,10,14,14,8,13,10,11,11,13,12,13,10,12,14,11,13,12,13,12,13,13,13,10,12,13,12,14,12,15,14,12,12,8,14,15,20,15,13,13,10,15,13,15,13,15,17,15,13,14,17,7,D/WB RL,115,1,12,1,20,1,1,19,14,20,1,19,1,12,12,1,19,20,1,12,14,18,19,268435458,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Davide Santon,Â£6.75m ,Serie A
