GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Iker Muniain,67037570,796,12/19/1992,17,0,0,0,0,4032,5714,5700,168,127,11334200,169,63,AM/S LC,1,3,1,3,1,2,3,7,1,3,1,7,9,15,11,12,8,9,10,3,4,12,10,6,16,13,13,14,11,13,13,14,14,16,11,14,4,8,12,17,14,14,5,9,12,14,20,10,10,12,7,11,6,11,13,16,12,12,11,7,9,11,AM/S LC,624,20,18,20,1,1,1,18,12,11,1,1,15,18,11,1,1,1,1,12,1,1,1,70403100000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Iker Muniain,Â£5.40m ,LaLiga,
29/6/2010,Mario Götze,35017438,771,6/3/1992,18,0,0,0,0,2000,6500,6500,152,122,9665808,171,64,M/AM RLC,2,2,3,3,2,2,2,5,2,1,1,13,14,18,8,17,13,12,11,3,4,13,8,6,15,9,13,9,11,11,15,12,14,16,7,14,6,10,13,14,16,9,5,12,7,9,20,12,6,9,6,14,13,14,11,13,10,8,13,12,13,8,M/AM RLC,416,14,20,20,1,5,1,18,20,17,1,1,20,18,17,1,1,1,15,15,15,1,1,1048704.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mario GÃ¶tze,Â£16.20m ,Bundesliga,
29/6/2010,James Rodríguez,76002390,1653,7/12/1991,18,0,0,11,3,2000,6350,4000,169,134,25142501,178,74,M/AM LC,1,2,3,2,1,1,2,5,1,1,3,13,14,16,12,15,14,5,15,6,8,14,13,7,16,9,10,11,11,11,12,12,16,15,9,14,9,11,10,15,17,13,7,20,13,15,8,9,9,8,5,10,8,15,15,16,12,14,15,15,17,10,M/AM LC,414,1,20,17,1,10,1,20,20,14,1,1,17,20,14,1,1,1,15,16,10,1,1,34359738624.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,James RodrÃ­guez,Â£6.30m ,Liga NOS,
29/6/2010,Jack Wilshere,29024338,765,1/1/1992,18,0,0,5,0,4556,7250,7250,165,135,-1,172,65,M/AM RLC,1,2,2,1,3,1,3,6,2,1,2,12,12,15,11,14,11,3,11,5,5,15,14,10,16,15,13,15,14,11,14,11,16,16,7,14,9,13,14,14,15,15,5,20,13,13,8,11,11,12,12,14,5,15,8,15,11,15,15,10,8,5,M/AM RLC,416,1,20,20,1,1,1,17,20,18,1,1,20,17,18,1,1,1,17,15,15,1,1,709208000000.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Jack Wilshere,Â£9.00m ,Premier League,
29/6/2010,David Alaba,16010162,755,6/24/1992,18,1,0,0,0,2000,6250,6500,167,119,41388913,178,72,M LC,1,1,1,3,3,2,1,2,2,1,1,10,10,11,11,13,14,7,11,7,10,14,10,11,12,7,13,8,14,10,13,14,19,14,15,9,9,12,12,13,13,15,9,20,18,13,9,13,10,12,8,16,6,16,15,17,6,16,16,16,16,6,M LC,404,1,14,20,12,14,1,18,20,1,1,14,14,14,1,1,12,1,20,18,1,14,1,4194304.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,David Alaba,Â£4.50m ,Bundesliga,
29/6/2010,Daniele Ragatzu,43024335,776,9/21/1991,18,0,0,0,0,250,5129,5000,145,114,4212078,172,70,AM/S LC,2,3,1,1,1,2,1,4,1,3,2,7,7,13,11,10,6,6,8,7,6,10,11,9,12,13,12,11,10,10,9,9,10,10,7,14,5,12,12,15,17,11,6,11,17,14,20,14,11,9,3,8,7,14,8,4,16,12,17,7,16,12,AM/S LC,624,20,17,20,1,1,1,17,12,1,1,1,15,17,1,1,1,1,1,12,1,1,1,2322170000000000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Daniele Ragatzu,Â£1.35m ,Serie A,
29/6/2010,Borja Docal,67093061,796,10/3/1991,18,0,0,0,0,1406,3374,3250,101,75,2147165,175,65,M/AM L,3,1,2,1,2,2,2,1,3,3,3,8,12,10,5,9,8,7,12,8,4,9,8,9,10,13,7,1,8,6,8,8,6,4,0,8,5,13,9,12,10,12,6,20,13,11,9,7,6,9,13,10,4,9,9,8,12,6,14,9,13,12,M/AM L,413,1,20,1,1,1,1,20,20,1,1,1,1,20,1,1,1,1,1,20,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/6/2010,Adrien Régattin,85044861,769,8/22/1991,18,0,0,0,0,2916,4859,4850,152,108,5627014,166,67,M/AM RL,2,2,1,1,2,2,2,4,1,2,3,10,12,14,6,14,8,5,9,5,1,11,8,2,16,12,8,8,12,12,13,11,8,15,5,14,3,6,9,16,16,8,3,8,14,12,20,12,8,13,7,10,7,10,12,14,14,5,10,15,6,14,M/AM RL,415,1,20,10,1,1,1,17,20,20,1,1,10,17,20,1,1,1,10,17,15,1,1,2251800000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adrien Regattin, ,Ligue 1,
29/6/2010,Adem Ljajic,62012544,802,9/13/1991,18,0,0,10,1,4250,6300,5950,167,132,26496936,181,73,M/AM RLC,2,2,2,2,2,1,2,2,3,1,2,8,14,15,12,14,10,12,12,10,7,14,11,5,15,14,10,12,11,10,13,11,13,15,5,12,12,12,12,15,14,11,12,10,13,14,20,11,10,12,4,11,8,10,14,15,13,14,13,13,11,8,M/AM RLC,416,1,20,18,1,1,1,15,20,20,1,1,18,15,20,1,1,1,15,15,15,1,1,1056.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adem Ljajic,Â£7.65m ,Serie A,
29/6/2010,Yohan Mollo,34001050,769,7/18/1990,19,0,0,5,0,4290,5894,5850,160,131,10470376,175,74,M/AM RL,2,1,2,3,3,2,2,6,3,2,2,13,11,15,6,15,11,8,11,5,3,12,10,3,17,12,11,12,11,11,13,8,15,16,7,13,6,11,10,17,15,12,7,10,13,14,20,14,12,12,12,14,9,8,14,17,8,11,11,12,12,15,M/AM RL,415,1,20,10,1,1,1,20,20,17,1,1,10,20,17,1,1,1,1,15,15,1,1,2251830000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yohan Mollo,Â£1.62m ,Ligue 1,
