GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Stanley Okoro,12035413,38,12/8/1992,17,0,0,0,0,1900,5750,4900,176,105,2527691,171,68,S RC,2,1,3,2,2,2,3,5,1,1,3,7,9,12,11,12,7,8,10,4,5,11,13,5,13,14,10,11,8,7,10,10,9,12,8,11,5,6,10,14,15,9,12,8,13,15,20,12,11,9,8,10,8,9,12,10,10,9,8,12,7,17,S RC,603,20,15,20,1,1,1,1,12,15,1,1,1,1,15,1,1,1,1,1,12,1,1,5.49756E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,
29/6/2010,Heung-Min Son,92020288,135,7/8/1992,17,0,0,0,0,1500,5804,5950,152,129,9644025,183,76,AM/S RC,2,3,1,2,2,1,1,1,3,3,1,6,9,15,13,13,7,6,12,5,4,10,8,6,14,14,7,13,10,9,13,11,10,15,6,13,5,12,15,16,15,10,7,16,10,14,20,12,8,10,5,10,6,14,5,10,10,10,13,12,7,6,AM/S RC,623,20,18,20,1,1,1,14,12,18,1,1,15,14,18,1,1,1,1,1,12,1,1,5.49757E+11,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Heung-min Son,Â£2.70m ,Bundesliga
29/6/2010,Tae-Hee Nam,28016969,135,7/3/1991,18,0,0,0,0,3025,5500,4950,144,110,4417390,174,72,M/AM RC,3,1,2,1,2,3,1,6,1,3,1,8,8,14,7,14,10,6,11,6,2,11,4,3,16,5,10,11,11,11,12,7,14,14,5,11,5,8,13,17,14,9,7,5,13,15,20,13,10,13,5,10,8,10,14,14,13,13,15,15,15,6,M/AM RC,413,12,20,17,1,1,1,10,20,20,1,1,17,10,20,1,1,1,15,10,15,1,1,2.2518E+15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Tae-hee Nam,Â£630Th. ,Ligue 1
29/6/2010,Serdar Gürler,34007438,799,9/14/1991,18,0,0,0,0,2400,5250,4850,133,108,3417165,170,60,M/AM R,2,2,2,3,2,1,3,2,1,1,3,8,10,13,9,13,11,7,9,5,1,8,11,3,13,7,10,12,11,11,9,7,15,13,12,13,7,11,13,16,15,11,5,5,15,15,20,12,6,14,7,11,5,8,13,15,11,14,12,9,9,8,M/AM R,412,14,20,14,1,1,1,10,20,20,1,1,1,10,20,1,1,1,1,10,15,1,1,8194,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Serdar GÃ¼rler,Â£135Th. ,Ligue 1
29/6/2010,Ruben Pinto,55022438,788,4/24/1992,18,0,0,0,0,1250,3500,3500,145,75,127135,181,69,M/AM RC,1,2,2,2,1,2,2,4,2,1,1,9,10,10,8,10,8,6,8,5,6,10,9,5,10,9,11,9,11,11,11,11,10,12,9,11,8,9,10,10,10,8,8,8,12,10,20,7,7,13,7,11,3,12,17,13,13,14,12,17,8,6,M/AM RC,413,1,17,20,1,8,1,13,20,17,1,1,17,13,17,1,1,1,20,5,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nuno Pinto,Â£900Th. ,Liga NOS
29/6/2010,Pajtim Kasami,28027647,798,6/2/1992,18,0,0,1,0,2250,5084,4900,144,113,1541290,187,70,M/AM RC,1,1,1,1,1,1,1,1,1,1,1,10,12,14,12,11,10,9,12,9,8,12,10,13,7,7,14,14,12,14,10,8,10,7,8,11,8,12,10,12,11,13,18,20,12,14,8,10,12,10,13,10,8,6,6,12,10,7,13,13,11,5,M/AM RC,413,8,20,20,1,14,1,13,20,17,1,1,20,12,10,1,1,1,20,13,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pajtim Kasami,Â£1.89m ,Serie A
29/6/2010,Matej Vydra,25017284,763,5/1/1992,18,0,0,0,0,1000,5500,4250,143,110,27028656,180,71,M/AM RC,3,3,2,3,3,2,1,1,2,3,1,9,8,5,12,13,9,12,6,1,9,11,9,12,9,10,9,13,13,12,11,9,9,11,5,12,9,16,13,13,13,13,10,8,12,12,20,17,15,10,4,6,6,10,12,16,7,11,10,4,5,12,M/AM RC,413,15,20,15,1,1,1,10,20,20,1,1,15,10,20,1,1,1,10,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matej Vydra,Â£360Th. ,Serie A
29/6/2010,Mario Götze,35017438,771,6/3/1992,18,0,0,0,0,2000,6500,6500,152,122,9665808,171,64,M/AM RLC,2,2,3,3,2,2,2,5,2,1,1,13,14,18,8,17,13,12,11,3,4,13,8,6,15,9,13,9,11,11,15,12,14,16,7,14,6,10,13,14,16,9,5,12,7,9,20,12,6,9,6,14,13,14,11,13,10,8,13,12,13,8,M/AM RLC,416,14,20,20,1,5,1,18,20,17,1,1,20,18,17,1,1,1,15,15,15,1,1,1048704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mario GÃ¶tze,Â£16.20m ,Bundesliga
29/6/2010,Kevin,67059115,796,2/13/1992,18,0,0,0,0,2000,4904,3500,165,109,2136734,178,69,M/AM RC,1,1,1,2,1,1,1,1,2,2,1,12,11,13,9,15,8,5,10,5,4,16,9,7,16,10,10,11,13,9,15,11,12,16,6,13,7,12,11,13,15,9,7,6,12,13,20,12,6,13,8,10,5,12,11,13,15,12,13,13,13,3,M/AM RC,413,4,18,20,1,9,1,10,20,15,1,1,18,8,13,1,1,1,20,10,15,1,1,1.75922E+13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,
29/6/2010,Jack Wilshere,29024338,765,1/1/1992,18,0,0,5,0,4556,7250,7250,165,135,-1,172,65,M/AM RLC,1,2,2,1,3,1,3,6,2,1,2,12,12,15,11,14,11,3,11,5,5,15,14,10,16,15,13,15,14,11,14,11,16,16,7,14,9,13,14,14,15,15,5,20,13,13,8,11,11,12,12,14,5,15,8,15,11,15,15,10,8,5,M/AM RLC,416,1,20,20,1,1,1,17,20,18,1,1,20,17,18,1,1,1,17,15,15,1,1,7.09208E+11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,Jack Wilshere,Â£9.00m ,Premier League
