GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK/AerialAbility,GK/CommandOfArea,GK/Communication,GK/Eccentricity,GK/Handling,GK/Kicking,GK/OneOnOnes,GK/Reflexes,GK/RushingOut,GK/TendencyToPunch,GK/Throwing,Tech/Corners,Tech/Crossing,Tech/Dribbling,Tech/Finishing,Tech/FirstTouch,Tech/Freekicks,Tech/Heading,Tech/LongShots,Tech/Longthrows,Tech/Marking,Tech/Passing,Tech/PenaltyTaking,Tech/Tackling,Tech/Technique,Mental/Aggression,Mental/Anticipation,Mental/Bravery,Mental/Composure,Mental/Concentration,Mental/Vision,Mental/Decisions,Mental/Determination,Mental/Flair,Mental/Leadership,Mental/OffTheBall,Mental/Positioning,Mental/Teamwork,Mental/Workrate,Phy/Acceleration,Phy/Agility,Phy/Balance,Phy/Jumping,Phy/LeftFoot,Phy/NaturalFitness,Phy/Pace,Phy/RightFoot,Phy/Stamina,Phy/Strength,Hidden/Consistency,Hidden/Dirtiness,Hidden/ImportantMatches,Hidden/InjuryProness,Hidden/Versatility,Personality/Adaptability,Personality/Ambition,Personality/Loyalty,Personality/Pressure,Personality/Professional,Personality/Sportsmanship,Personality/Temperament,Personality/Controversy,Positions/PositionsDesc,Positions/PositionsDescVal,Positions/Striker,Positions/AttackingMidfielder,Positions/Centre,Positions/Defender,Positions/DefensiveMidfielder,Positions/Goalkeeper,Positions/Left,Positions/Midfielder,Positions/Right,Positions/Sweeper,Positions/WingBack,Positions/AttackingMidCentral,Positions/AttackingMidLeft,Positions/AttackingMidRight,Positions/DefenderCentral,Positions/DefenderLeft,Positions/DefenderRight,Positions/MidfielderCentral,Positions/MidfielderLeft,Positions/MidfielderRight,Positions/WingBackLeft,Positions/WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
29/6/2010,Yaya Sanogo,85018043,769,1/27/1993,17,0,0,0,0,2400,4859,4850,180,108,5727135,192,74,S C,1,2,3,2,1,3,3,1,1,1,1,5,5,9,15,11,7,15,8,5,4,6,14,1,14,7,11,10,14,8,6,9,15,14,8,12,3,5,7,14,8,16,16,5,15,13,20,13,14,16,12,8,5,5,15,15,13,14,14,14,14,7,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yaya Sanogo,Â£360Th. ,Ligue 1,
29/6/2010,Stanley Okoro,12035413,38,12/8/1992,17,0,0,0,0,1900,5750,4900,176,105,2527691,171,68,S RC,2,1,3,2,2,2,3,5,1,1,3,7,9,12,11,12,7,8,10,4,5,11,13,5,13,14,10,11,8,7,10,10,9,12,8,11,5,6,10,14,15,9,12,8,13,15,20,12,11,9,8,10,8,9,12,10,10,9,8,12,7,17,S RC,603,20,15,20,1,1,1,1,12,15,1,1,1,1,15,1,1,1,1,1,12,1,1,549756000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
29/6/2010,Marco Riccio,43051307,776,7/12/1992,17,0,0,0,0,500,2609,2500,102,58,151584,183,73,S C,1,1,2,3,3,2,1,1,2,1,1,3,3,6,11,9,6,10,3,1,2,5,10,4,6,6,8,8,8,7,4,6,7,7,4,7,7,7,7,11,11,10,12,10,12,11,20,10,10,11,5,9,7,6,11,14,9,8,4,11,5,10,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
29/6/2010,Luca Verna,43060092,776,6/21/1993,17,0,0,0,0,50,1000,1000,40,20,1150,188,84,S C,2,3,1,2,2,1,2,1,1,3,3,3,3,5,6,7,0,4,0,0,0,2,1,0,3,4,2,8,7,3,0,2,10,9,9,4,0,9,9,10,6,7,13,6,12,9,20,4,5,3,7,10,6,6,14,13,14,7,17,12,13,4,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lucas Veronese,Â£135Th. ,Ligue 1,
29/6/2010,Léo Steve Beleck,38005645,11,2/10/1993,17,0,0,0,0,2500,5000,5000,139,100,3999999,187,82,S C,3,1,1,3,1,3,1,7,3,2,2,4,5,8,9,8,5,7,11,5,5,8,13,4,11,10,8,9,8,8,7,8,6,12,6,11,5,8,10,13,11,13,14,10,14,14,20,12,13,10,10,10,4,4,9,14,15,9,9,11,8,12,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Steve Beleck,Â£540Th. ,Serie A,
29/6/2010,Khouma Babacar,43043943,41,3/17/1993,17,0,0,0,0,3250,6600,5250,180,120,23352246,191,85,S C,2,3,2,1,3,3,2,8,3,3,1,6,6,10,15,12,5,15,10,7,4,11,9,4,13,12,14,15,13,12,10,9,19,10,13,14,7,14,12,13,9,13,14,6,12,13,20,11,12,16,8,15,7,6,18,18,16,17,18,18,14,3,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,274878000000.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Khouma Babacar,Â£3.15m ,Serie A,
29/6/2010,Juanmi,67106568,796,5/20/1993,17,0,0,0,0,2352,4500,4500,155,97,2643780,170,63,S C,1,3,1,3,2,3,2,1,2,3,3,9,8,12,13,11,10,8,9,4,4,12,4,6,12,6,12,8,9,9,11,7,10,14,8,12,7,8,14,11,11,10,11,10,12,13,20,8,8,9,6,14,9,5,6,10,14,1,14,13,7,14,S C,601,20,12,20,1,1,1,1,1,1,1,1,12,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Juanmi,Â£900Th. ,LaLiga,
29/6/2010,Iker Muniain,67037570,796,12/19/1992,17,0,0,0,0,4032,5714,5700,168,127,11334200,169,63,AM/S LC,1,3,1,3,1,2,3,7,1,3,1,7,9,15,11,12,8,9,10,3,4,12,10,6,16,13,13,14,11,13,13,14,14,16,11,14,4,8,12,17,14,14,5,9,12,14,20,10,10,12,7,11,6,11,13,16,12,12,11,7,9,11,AM/S LC,624,20,18,20,1,1,1,18,12,11,1,1,15,18,11,1,1,1,1,12,1,1,1,70403100000000.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Iker Muniain,Â£5.40m ,LaLiga,
29/6/2010,Heung-Min Son,92020288,135,7/8/1992,17,0,0,0,0,1500,5804,5950,152,129,9644025,183,76,AM/S RC,2,3,1,2,2,1,1,1,3,3,1,6,9,15,13,13,7,6,12,5,4,10,8,6,14,14,7,13,10,9,13,11,10,15,6,13,5,12,15,16,15,10,7,16,10,14,20,12,8,10,5,10,6,14,5,10,10,10,13,12,7,6,AM/S RC,623,20,18,20,1,1,1,14,12,18,1,1,15,14,18,1,1,1,1,1,12,1,1,549757000000.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Heung-min Son,Â£2.70m ,Bundesliga,
29/6/2010,Borja Bastón,67037289,796,8/25/1992,17,0,0,0,0,2000,5050,5050,168,106,6634076,192,77,S C,3,3,1,3,2,2,3,1,2,3,1,8,6,11,14,10,10,14,10,5,6,11,9,4,12,15,10,14,13,12,9,13,10,14,7,12,12,6,6,12,12,14,15,5,14,12,20,8,14,14,8,12,8,8,5,1,14,7,14,7,2,3,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Borja BastÃ³n, ,LaLiga,
