GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,467800,175,67,AM/S RLC,2,2,3,2,2,1,1,2,2,1,2,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,13,10,9,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zoltán Stieber,£1.13m ,32.0,175.0,Forward - Left Winger,left,Újpest FC,36.0,10.0,18.0,2973.0,12.0,0.0,5.0,896.0,17.0,3.0,2.0,1267.0,36.0,9.0,12.0,2986.0,28.0,3.0,3.0,1696.0,8.0,1.0,0.0,257.0,28.0,3.0,5.0,1989.0,29.0,5.0,6.0,1955.0,9.0,0.0,0.0,301.0,Bundesliga,25.0,2.0,6.0,1931.0,5.0,0.0,0.0,151.0,
19/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,672945,186,78,M/AM RLC,3,3,1,1,3,1,2,9,1,2,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,564000000000000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Zoltán Gera,£900Th. ,41.0,183.0,Midfielder - Central Midfield,both,Retired,32.0,4.0,6.0,1420.0,4.0,1.0,2.0,220.0,18.0,4.0,1.0,1224.0,17.0,0.0,1.0,662.0,30.0,3.0,4.0,2495.0,39.0,9.0,4.0,3343.0,38.0,10.0,5.0,3309.0,8.0,0.0,0.0,509.0,nan,nan,nan,nan,Premier League,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2505,5350,5011,144,105,196378,186,80,DM/M/AM C,1,3,1,1,1,3,2,3,2,2,1,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,3,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zé Eduardo,£450Th. ,29.0,186.0,Midfielder - Defensive Midfield,right,Sandefjord Fotball,14.0,0.0,0.0,1140.0,20.0,0.0,0.0,1328.0,35.0,4.0,3.0,2778.0,41.0,3.0,5.0,3331.0,14.0,1.0,1.0,735.0,16.0,0.0,1.0,1104.0,nan,nan,nan,nan,27.0,4.0,1.0,2019.0,30.0,0.0,1.0,2455.0,Serie A,4.0,1.0,0.0,166.0,nan,nan,nan,nan,
19/6/2011,Yuri Papi,43089240,776,4/24/1993,18,0,0,0,0,540,2384,1531,91,53,571,175,75,AM C,2,1,1,1,2,3,2,1,2,3,1,8,6,11,7,7,3,2,6,1,2,11,7,5,10,11,10,1,7,7,9,4,6,9,9,7,8,6,9,12,10,11,7,7,11,11,20,5,3,10,7,7,5,8,13,15,11,12,7,11,11,12,1,1,7,20,1,1,20,AM C,501,1,1,1,20,1,1,1,1,1,1,7,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,146,105,424054,179,70,M/AM RC,3,3,3,3,2,2,1,4,2,1,2,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,6,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,13,1,3,14,13,6,6,6,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yunus Malli,£720Th. ,28.0,179.0,Midfielder - Attacking Midfield,right,VfL Wolfsburg,30.0,7.0,9.0,2412.0,22.0,5.0,3.0,1305.0,23.0,3.0,2.0,1390.0,29.0,5.0,5.0,1676.0,34.0,6.0,4.0,2416.0,36.0,11.0,5.0,2946.0,43.0,9.0,9.0,3377.0,37.0,6.0,5.0,2704.0,23.0,1.0,2.0,773.0,Bundesliga,15.0,0.0,1.0,726.0,1.0,0.0,0.0,58.0,
19/6/2011,Yuki Ohtsu,45015203,116,3/24/1990,21,0,0,1,0,2000,5150,5000,113,101,126482,180,73,M/AM C,1,2,1,2,3,1,3,2,1,3,2,10,8,14,14,13,9,8,10,8,14,13,10,9,11,13,14,8,14,8,12,7,10,13,8,14,8,10,11,12,10,7,9,11,16,12,20,7,7,10,7,7,9,10,7,13,17,7,12,8,10,13,1,1,20,17,1,1,20,M/AM C,411,1,1,12,17,1,1,1,1,1,1,20,1,1,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yuki Otsu,£360Th. ,30.0,180.0,Midfielder - Attacking Midfield,right,Yokohama F. Marinos,11.0,0.0,2.0,797.0,13.0,0.0,5.0,697.0,27.0,7.0,3.0,1309.0,22.0,4.0,3.0,1631.0,37.0,3.0,4.0,1562.0,26.0,3.0,4.0,916.0,23.0,1.0,0.0,880.0,36.0,3.0,4.0,2269.0,32.0,3.0,1.0,1265.0,Bundesliga,12.0,0.0,0.0,336.0,nan,nan,nan,nan,
19/6/2011,Youssouf Hadji,3503442,34,2/25/1980,31,52,15,0,0,5650,7000,6300,145,140,1220859,183,78,AM/S C,3,3,3,1,1,1,2,5,1,1,1,11,13,14,12,15,11,16,13,5,7,12,13,6,15,6,15,13,12,13,12,12,16,14,14,13,11,13,14,15,15,14,12,12,13,11,20,14,14,13,6,14,12,10,11,12,16,13,14,14,11,7,1,1,10,18,14,14,18,AM/S C,621,1,1,20,18,14,14,1,1,1,1,5,10,10,1,1,1024.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Youssouf Hadji,£2.25m ,40.0,183.0,Forward - Centre-Forward,right,Retired,28.0,8.0,3.0,2457.0,39.0,9.0,5.0,2252.0,3.0,0.0,0.0,247.0,10.0,0.0,0.0,464.0,32.0,14.0,3.0,2284.0,34.0,9.0,3.0,1894.0,27.0,1.0,1.0,1349.0,32.0,11.0,0.0,1742.0,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yossi Benayoun,2008550,775,5/5/1980,31,82,24,11,5,6400,8470,7500,154,154,2000000,175,67,M/AM RLC,2,1,2,3,2,2,1,6,2,2,2,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,1,1,18,20,18,17,20,M/AM RLC,526,1,1,7,20,17,17,1,1,1,1,10,15,18,1,1,70900000000000.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Yossi Benayoun,£4.05m ,40.0,175.0,Forward - Right Winger,right,Retired,10.0,1.0,1.0,361.0,27.0,7.0,5.0,1460.0,19.0,0.0,2.0,685.0,17.0,3.0,1.0,809.0,26.0,5.0,0.0,1949.0,32.0,7.0,3.0,2042.0,42.0,4.0,2.0,2190.0,28.0,8.0,6.0,1302.0,27.0,3.0,4.0,1680.0,Premier League,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yoann Gourcuff,919541,769,7/11/1986,24,28,4,19,4,6150,6850,6850,165,152,3950941,185,79,M/AM C,2,2,1,2,3,2,3,6,3,3,3,14,14,14,9,17,14,13,14,5,7,16,14,7,17,12,12,11,13,12,15,12,15,13,8,11,12,15,15,13,14,14,12,14,13,14,20,17,14,10,12,17,10,10,12,16,14,7,17,13,13,5,1,1,18,20,12,12,20,M/AM C,521,1,1,1,20,12,12,1,1,1,12,18,12,12,1,1,141000000000000.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Yoann Gourcuff,£9.90m ,34.0,185.0,Midfielder - Attacking Midfield,right,Career break,36.0,4.0,6.0,2494.0,23.0,2.0,2.0,1412.0,23.0,4.0,8.0,1605.0,30.0,6.0,9.0,1917.0,19.0,3.0,5.0,807.0,12.0,2.0,0.0,619.0,28.0,4.0,3.0,2365.0,13.0,1.0,1.0,638.0,8.0,0.0,0.0,126.0,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yann Jouffre,920075,769,7/23/1984,26,0,0,0,0,4500,5683,5683,135,126,408977,175,65,M/AM RC,1,1,3,3,1,3,3,4,1,2,3,14,13,12,8,15,11,8,12,6,6,14,15,10,15,11,12,12,12,12,13,12,15,11,9,11,10,12,13,14,13,12,7,20,10,13,12,11,8,13,11,15,13,12,8,14,14,14,10,13,13,7,1,1,17,20,20,14,18,M/AM RC,523,1,1,1,18,14,20,1,1,1,12,17,14,15,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yann Jouffre,£2.25m ,36.0,175.0,Midfielder - Right Midfield,left,Retired,13.0,1.0,0.0,472.0,33.0,3.0,7.0,2348.0,35.0,4.0,6.0,2611.0,31.0,6.0,8.0,2348.0,18.0,0.0,1.0,1098.0,30.0,2.0,5.0,2011.0,20.0,4.0,2.0,1248.0,5.0,0.0,0.0,335.0,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
