GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2505,5350,5011,144,105,196378,186,80,DM/M/AM C,1,3,1,1,1,3,2,3,2,2,1,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,3,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zé Eduardo,£450Th. ,29.0,186.0,Midfielder - Defensive Midfield,right,Sandefjord Fotball,14.0,0.0,0.0,1140.0,20.0,0.0,0.0,1328.0,35.0,4.0,3.0,2778.0,41.0,3.0,5.0,3331.0,14.0,1.0,1.0,735.0,16.0,0.0,1.0,1104.0,nan,nan,nan,nan,27.0,4.0,1.0,2019.0,30.0,0.0,1.0,2455.0,Serie A,4.0,1.0,0.0,166.0,nan,nan,nan,nan
19/6/2011,Zdravko Kuzmanovic,5727648,802,9/22/1987,23,38,4,0,0,6500,7150,7050,159,141,3481159,186,72,DM/M C,3,1,2,2,3,1,2,4,3,2,1,9,14,8,13,14,13,12,15,10,9,16,15,11,14,9,14,12,17,17,14,16,9,8,13,10,12,18,12,8,8,17,14,13,16,13,20,15,14,14,12,11,3,12,16,15,8,15,12,5,14,9,1,1,20,8,12,10,20,DM/M C,421,1,1,1,8,1,1,1,1,1,18,20,10,12,1,1,35184376283136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Zdravko Kuzmanovic,£8.10m ,33.0,186.0,Midfielder - Central Midfield,right,Retired,47.0,11.0,6.0,3689.0,29.0,6.0,3.0,2001.0,31.0,0.0,4.0,2023.0,16.0,0.0,0.0,924.0,25.0,1.0,5.0,1482.0,34.0,0.0,0.0,2286.0,4.0,0.0,0.0,216.0,8.0,0.0,1.0,482.0,17.0,2.0,1.0,841.0,Bundesliga,5.0,0.0,1.0,158.0,nan,nan,nan,nan
19/6/2011,Youssuf Mulumbu,8440126,53,1/25/1987,24,12,0,0,0,5900,7500,7400,157,144,2742073,177,69,DM/M C,3,3,1,1,2,3,2,5,2,3,1,3,7,12,9,14,5,10,9,7,12,14,4,14,14,13,16,16,13,12,13,13,17,9,14,13,16,16,18,13,13,13,9,12,17,12,20,18,15,17,8,14,6,13,15,14,15,14,13,13,11,7,8,8,20,1,8,1,20,DM/M C,311,1,1,1,1,1,1,3,1,8,20,20,1,5,1,8,557120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Youssouf Mulumbu,£3.15m ,33.0,177.0,Midfielder - Defensive Midfield,right,Kilmarnock FC,34.0,6.0,1.0,2862.0,36.0,1.0,4.0,2900.0,30.0,2.0,2.0,2620.0,38.0,2.0,2.0,3169.0,22.0,0.0,0.0,1191.0,10.0,0.0,0.0,600.0,16.0,0.0,1.0,846.0,20.0,1.0,4.0,1602.0,15.0,1.0,2.0,1120.0,Premier League,nan,nan,nan,nan,3.0,0.0,0.0,19.0
19/6/2011,Younousse Sankharé,34011678,769,9/10/1989,21,0,0,16,2,4250,5354,5350,150,119,1548788,184,76,DM/M C,1,2,2,1,2,1,2,6,1,3,3,10,10,13,7,13,12,13,10,6,8,14,9,9,15,12,13,12,11,11,13,11,12,13,10,11,10,11,12,15,13,15,13,20,15,13,5,16,15,13,12,14,5,12,13,15,15,7,11,11,13,11,8,8,20,14,1,12,20,DM/M C,421,1,1,1,14,12,1,5,8,1,17,20,12,1,8,1,34359739040,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Younousse Sankharé,£1.80m ,31.0,184.0,Midfielder - Central Midfield,left,CSKA Sofia,27.0,6.0,0.0,2305.0,38.0,5.0,0.0,3140.0,20.0,0.0,2.0,1552.0,40.0,3.0,4.0,3372.0,41.0,0.0,5.0,3325.0,36.0,6.0,2.0,3251.0,41.0,7.0,4.0,3259.0,33.0,10.0,1.0,2234.0,33.0,4.0,5.0,2353.0,Ligue 1,nan,nan,nan,nan,12.0,2.0,2.0,780.0
19/6/2011,Yohan Cabaye,919628,769,1/14/1986,25,4,0,16,3,6650,7400,6913,160,148,4796050,175,72,DM/M C,1,3,2,1,2,1,2,4,1,3,1,14,14,13,10,14,15,9,16,7,8,17,15,12,14,12,15,14,14,14,14,14,16,9,14,10,13,16,15,14,14,13,8,10,15,12,20,16,12,15,12,14,8,8,14,17,13,15,11,12,12,10,1,1,20,12,1,1,20,DM/M C,311,1,1,1,12,1,1,1,1,1,20,20,1,1,1,1,8813272891648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,Yohan Cabaye,£14.85m ,34.0,173.0,Midfielder - Central Midfield,right,Without Club,50.0,5.0,11.0,3975.0,38.0,5.0,9.0,3254.0,35.0,6.0,2.0,2689.0,41.0,8.0,6.0,2577.0,36.0,2.0,1.0,1634.0,40.0,6.0,2.0,3178.0,35.0,4.0,3.0,2339.0,34.0,0.0,1.0,2577.0,12.0,1.0,2.0,1070.0,Premier League,21.0,1.0,1.0,1173.0,nan,nan,nan,nan
19/6/2011,Yoann Bigné,12112,769,8/23/1977,33,0,0,11,0,4090,5137,5137,135,113,49757,168,65,DM C,3,1,1,1,1,1,1,5,2,3,1,9,11,10,6,12,13,6,10,7,8,13,11,9,12,11,13,13,13,13,12,13,13,8,13,8,12,16,14,12,13,10,5,20,12,11,15,12,10,14,11,14,12,8,6,12,14,14,15,16,16,7,8,8,15,1,12,1,15,DM C,301,1,1,1,1,1,1,1,1,8,20,15,1,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yoann Bigné,£360Th. ,43.0,168.0,Midfielder - Central Midfield,both,Retired,10.0,0.0,0.0,529.0,1.0,0.0,0.0,29.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan
19/6/2011,Yaya Touré,533344,24,5/13/1983,28,55,7,0,0,7750,8250,8350,172,167,18181818,191,90,DM/M C,3,3,2,1,1,2,3,4,3,1,3,10,10,13,13,12,12,15,15,9,14,16,11,14,14,12,14,16,14,14,15,13,15,13,11,13,15,17,18,13,13,18,15,11,15,16,20,17,18,16,12,13,8,15,17,12,6,15,18,12,12,12,13,1,20,14,1,1,20,DM/M C,421,1,1,1,14,1,1,13,1,1,18,20,1,1,1,1,2260595906708004,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yaya Touré,£32.85m ,37.0,188.0,Midfielder - Central Midfield,right,Without Club,50.0,10.0,7.0,4218.0,42.0,9.0,11.0,3523.0,42.0,9.0,7.0,3729.0,49.0,24.0,12.0,3942.0,38.0,12.0,1.0,3053.0,47.0,8.0,7.0,3528.0,31.0,7.0,3.0,2501.0,17.0,0.0,2.0,883.0,19.0,2.0,3.0,1316.0,Premier League,nan,nan,nan,nan,nan,nan,nan,nan
19/6/2011,Yannick M'Bone,85096682,11,4/16/1993,18,0,0,0,0,1250,4499,2500,111,100,94913,185,80,DM ,2,1,3,3,3,3,2,1,3,1,2,10,9,5,8,10,5,13,9,6,11,10,10,10,11,12,10,12,7,8,11,10,10,7,5,6,12,13,13,12,14,13,12,7,17,14,20,8,14,10,6,5,14,10,5,14,7,9,7,13,15,6,13,1,12,1,1,1,13,DM ,300,1,1,1,1,1,1,13,1,1,20,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yannick M'Bone,£270Th. ,27.0,184.0,Defender - Centre-Back,right,LB Châteauroux,nan,nan,nan,nan,9.0,0.0,0.0,436.0,5.0,0.0,0.0,257.0,12.0,0.0,0.0,991.0,30.0,0.0,0.0,2673.0,35.0,1.0,0.0,3150.0,38.0,3.0,0.0,3426.0,37.0,1.0,2.0,3290.0,39.0,0.0,0.0,3510.0,Ligue 1,29.0,2.0,0.0,2636.0,8.0,0.0,0.0,720.0
19/6/2011,Yann M'Vila,8449433,769,6/29/1990,20,10,0,8,0,6250,7500,6750,175,150,6975513,178,78,DM ,3,1,3,2,3,2,3,3,2,1,2,8,8,11,6,13,10,13,12,6,14,16,11,14,13,14,17,15,15,15,13,14,16,9,12,11,14,18,18,13,13,15,10,8,14,11,20,16,15,14,14,16,6,6,13,14,14,17,14,12,12,7,1,1,10,1,1,1,10,DM ,300,1,1,1,1,1,1,1,1,1,20,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yann M'Vila,£18.90m ,30.0,182.0,Midfielder - Defensive Midfield,right,Olympiacos Piraeus,41.0,3.0,2.0,3646.0,50.0,1.0,3.0,4371.0,25.0,0.0,2.0,1744.0,32.0,0.0,4.0,2693.0,14.0,0.0,0.0,747.0,41.0,1.0,6.0,3470.0,23.0,1.0,1.0,1850.0,37.0,2.0,1.0,3272.0,40.0,0.0,1.0,3528.0,Ligue 1,33.0,0.0,2.0,2824.0,8.0,0.0,1.0,456.0
19/6/2011,Xavi Torres,1508014,796,11/21/1986,24,0,0,0,0,4000,6500,6500,142,130,261167,182,78,DM/M C,1,3,2,2,3,1,2,6,1,2,1,10,8,8,8,13,12,13,12,8,14,14,10,14,12,13,13,14,12,13,12,13,13,6,12,9,14,15,16,13,11,13,12,8,15,13,20,15,12,14,10,10,5,10,15,13,15,14,15,16,13,7,14,1,17,1,1,5,17,DM/M C,311,1,1,1,1,1,1,14,5,1,20,17,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Xavi Torres,£2.70m ,33.0,182.0,Midfielder - Central Midfield,right,CD Lugo,38.0,0.0,3.0,3262.0,37.0,5.0,1.0,2848.0,37.0,0.0,2.0,2925.0,17.0,1.0,0.0,1187.0,28.0,2.0,2.0,2200.0,14.0,0.0,0.0,814.0,19.0,0.0,0.0,1038.0,24.0,4.0,0.0,1888.0,29.0,6.0,1.0,1711.0,LaLiga,nan,nan,nan,nan,5.0,1.0,0.0,363.0
