GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch, Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking, Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership, Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength, Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft, Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
13/6/2011,Pasquale De Vita,43081378,776,3/3/1994,17,0,0,0,0,50,3200,3200,133,69,435002,175,72,DM/M C,3,1,1,2,2,1,3,1,1,3,2,5,3,5,11,13,7,8,9,1,10,13,9,11,11,16,9,5,9,3,11,7,9,9,3,4,9,8,11,13,10,11,7,8,13,10,20,7,3,10,12,10,7,10,18,14,7,12,10,6,15,6,1,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,1,1,1,20,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Andrea Barberis,43078258,776,12/11/1993,17,0,0,0,0,50,2600,2600,116,60,142499,188,80,M C,1,2,3,3,2,1,3,1,2,1,2,3,7,7,6,12,8,8,8,2,10,11,8,12,12,15,6,2,7,8,12,7,7,3,10,3,12,13,10,10,8,7,12,8,18,11,20,8,4,10,7,10,6,10,9,16,6,13,11,7,10,6,1,1,20,1,1,1,20,M C,401,1,1,1,1,1,1,1,1,1,15,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Andrea Barberis,£113Th. ,26,177,Midfielder - Central Midfield,right,AC Monza,25,0,0,1672,25,2,0,2174,29,3,0,1430,24,1,2,1478,27,1,1,1544,29,1,1,2456,27,0,3,2153,39,2,2,3108,33,2,1,2813,Serie A,39,2,9,3335,4,0,0,280
13/6/2011,Yannick M'Bone,85096682,11,4/16/1993,18,0,0,0,0,1250,4499,2500,114,100,2689779,185,80,DM ,2,1,1,2,3,2,1,1,3,2,3,10,8,8,11,10,8,13,11,4,11,10,8,10,11,8,10,12,10,8,11,14,10,5,3,7,12,13,13,14,13,13,12,7,11,13,20,8,14,10,13,4,5,10,6,14,15,1,6,13,5,5,13,1,12,1,1,1,13,DM ,300,1,1,1,1,1,1,13,1,1,20,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yannick M'Bone,£270Th. ,27,184,Defender - Centre-Back,right,LB Châteauroux,nan,nan,nan,nan,9,0,0,436,5,0,0,257,12,0,0,991,30,0,0,2673,35,1,0,3150,38,3,0,3426,37,1,2,3290,39,0,0,3510,Ligue 1,29,2,0,2636,8,0,0,720
13/6/2011,Sacha Petshi,85033209,769,6/21/1992,18,0,0,0,0,1000,2050,2050,108,82,1136605,193,76,DM ,2,2,2,1,1,1,3,1,1,1,3,7,9,3,9,13,3,9,12,1,8,10,3,12,13,9,9,4,9,10,10,7,8,3,10,6,11,10,11,13,16,16,15,5,12,13,20,10,13,10,8,10,4,10,15,9,10,8,10,9,13,14,1,1,10,1,1,1,10,DM ,300,1,1,1,1,1,1,1,1,1,20,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Raphaël Varane,85075627,769,4/25/1993,18,0,0,3,0,4850,6600,6600,168,134,-1,190,85,D/DM C,3,3,3,1,3,3,1,10,3,2,3,5,8,9,6,13,6,15,8,7,13,13,6,12,13,9,13,13,15,11,11,13,15,7,11,8,14,14,14,15,13,16,15,8,14,14,20,14,15,16,9,14,6,10,15,15,14,17,16,16,16,5,20,10,1,1,10,1,20,D/DM C,111,1,1,1,1,1,1,20,1,10,17,1,1,1,1,10,2.74878E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Raphaël Varane,£7.20m ,27,191,Defender - Centre-Back,right,Real Madrid,24,2,0,2066,15,2,1,1220,33,2,0,2623,23,0,1,1597,46,2,0,3419,33,0,0,2619,39,4,2,3381,44,0,2,3801,43,2,0,3775,LaLiga,43,3,1,3843,7,0,0,630
13/6/2011,Rafael Leăo,28065671,1651,4/6/1993,18,0,0,0,0,1250,2750,2750,129,63,35868,176,64,DM C,1,2,3,2,3,1,1,4,1,1,3,8,8,8,4,12,8,8,9,2,9,12,8,12,11,9,5,9,7,7,6,9,11,5,10,4,5,10,13,9,7,7,9,10,13,8,20,9,2,10,6,10,9,10,13,7,6,11,8,3,12,7,1,1,15,1,1,1,15,DM C,301,1,1,8,1,1,1,1,1,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Oriol Rosell,67071184,796,7/7/1992,18,0,0,0,0,500,3950,3950,99,79,425603,182,80,D/DM/M C,1,1,3,1,1,3,3,4,2,1,2,7,9,4,3,10,9,9,8,5,11,10,1,13,11,12,9,6,7,8,11,10,10,10,4,4,9,16,13,13,12,9,8,7,11,13,20,8,6,10,6,10,12,10,11,13,6,9,11,7,11,5,20,1,16,1,1,1,20,D/DM/M C,121,1,1,1,1,1,1,20,1,1,18,16,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oriol Romeu,£7.20m ,29,183,Midfielder - Defensive Midfield,right,Southampton FC,20,1,0,1541,24,0,0,1592,9,1,0,486,18,0,0,1399,28,0,0,1888,35,2,1,2067,46,1,1,3866,40,1,0,3276,33,1,0,2328,Premier League,36,0,0,2396,7,1,0,592
13/6/2011,Nampalys Mendy,85010871,769,6/23/1992,18,0,0,2,0,4000,5050,5050,132,112,7793046,168,68,DM ,1,2,2,3,3,1,2,4,3,1,3,8,8,9,5,11,7,7,7,6,9,10,7,12,11,11,13,13,12,12,12,10,14,8,7,8,13,14,18,16,14,9,5,8,15,13,20,17,9,12,11,14,7,10,8,14,14,13,14,14,14,6,1,1,10,1,1,1,10,DM ,300,1,1,1,1,1,1,1,1,1,20,10,1,1,1,1,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Michael Vitzthum,92037893,771,6/20/1992,18,0,0,0,0,2650,4600,4600,122,92,448704,185,70,D/WB L,3,1,2,2,3,2,3,1,2,2,2,8,10,13,2,14,10,14,10,6,9,10,7,13,13,7,6,9,12,10,11,10,10,4,10,6,7,12,13,14,14,14,12,20,12,14,8,9,4,10,11,10,7,10,5,13,4,5,13,14,6,13,20,18,15,1,12,20,12,D/WB L,113,1,1,1,1,1,1,12,20,12,15,1,15,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Matthias Zimmermann,35017462,771,6/16/1992,18,0,0,0,0,2400,5600,5600,133,112,23982775,178,76,D/WB/DM/M RC,2,3,1,2,2,1,1,4,3,1,3,10,12,9,6,11,6,7,6,10,14,12,6,13,11,14,13,14,11,13,11,10,15,8,12,6,11,15,14,14,13,13,8,20,13,14,5,12,8,12,7,9,6,6,13,15,13,14,15,14,13,5,20,16,16,1,20,14,16,D/WB/DM/M RC,133,1,1,1,1,1,1,1,14,20,18,16,1,8,12,16,32800,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthias Zimmermann,£900Th. ,28,177,Defender - Right-Back,right,Fortuna Düsseldorf,34,1,1,3042,14,1,1,1124,34,2,3,2775,21,0,1,1520,34,3,7,2849,36,1,1,2941,30,1,0,1726,7,0,0,427,36,1,3,3230,Bundesliga,38,2,4,3250,5,1,0,288
