GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Zeljko Brkic,5775744,802,7/9/1986,24,5,0,11,0,4750,6750,6350,147,126,462908,196,93,GK ,12,18,17,7,15,11,13,14,9,9,13,4,10,9,5,6,9,9,9,10,8,4,12,10,10,14,13,9,14,10,5,8,12,9,17,12,13,9,13,11,11,9,17,5,13,12,20,13,15,14,7,11,8,10,13,14,13,13,13,11,12,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zeljko Brkic,£2.07m ,34.0,198.0,Goalkeeper,right,FK Vojvodina Novi Sad,33.0,21.0,19.0,2970.0,21.0,23.0,6.0,1890.0,37.0,44.0,11.0,3233.0,13.0,23.0,1.0,1170.0,21.0,68.0,4.0,1890.0,7.0,15.0,2.0,632.0,11.0,13.0,4.0,931.0,nan,nan,nan,nan,nan,nan,nan,nan,Serie A,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yoann Collas,85056995,769,6/16/1992,19,0,0,0,0,1100,2200,2200,98,88,32720,188,85,GK ,13,10,8,8,10,11,12,10,8,11,7,3,2,3,3,9,7,3,2,2,1,8,1,2,9,8,10,13,11,11,8,11,12,6,9,2,11,10,6,9,11,14,14,1,14,8,20,14,14,14,8,10,6,1,9,12,14,9,11,13,13,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yoann Collas, ,28.0,188.0,Goalkeeper,nan,Unknown,nan,nan,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13.0,18.0,3.0,1170.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Wojciech Szczesny,28009478,787,4/18/1990,21,4,0,7,0,5000,6750,7000,156,140,20428192,195,75,GK ,16,15,12,4,15,9,15,15,16,7,9,6,1,3,1,9,10,7,1,1,1,6,3,2,9,15,11,16,12,13,9,12,16,3,6,4,13,13,13,10,16,12,18,6,12,13,20,10,14,13,5,10,8,10,17,19,15,19,14,10,12,18,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wojciech Szczesny,£12.60m ,30.0,196.0,Goalkeeper,right,Juventus FC,25.0,26.0,10.0,2179.0,48.0,57.0,18.0,4320.0,35.0,40.0,12.0,3180.0,46.0,46.0,22.0,4088.0,29.0,31.0,9.0,2580.0,42.0,54.0,9.0,3739.0,39.0,41.0,14.0,3510.0,21.0,10.0,14.0,1800.0,41.0,32.0,18.0,3690.0,Premier League,37.0,42.0,13.0,3312.0,4.0,3.0,2.0,360.0,
19/6/2011,Wilfredo Caballero,6300460,1649,9/28/1981,29,0,0,2,0,4513,6182,6419,148,137,3634339,185,83,GK ,13,14,14,8,15,12,14,15,15,14,12,7,2,3,2,3,10,3,3,1,3,3,1,3,8,6,12,12,10,12,11,12,15,12,12,7,14,12,13,9,13,13,13,7,12,11,20,10,12,15,4,13,2,10,10,15,10,8,15,15,15,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willy Caballero,£2.70m ,39.0,186.0,Goalkeeper,right,Chelsea FC,37.0,37.0,17.0,3315.0,32.0,41.0,8.0,2763.0,47.0,50.0,19.0,4180.0,39.0,49.0,12.0,3510.0,7.0,12.0,1.0,630.0,14.0,17.0,5.0,1159.0,27.0,26.0,10.0,2323.0,13.0,11.0,5.0,1230.0,9.0,7.0,5.0,870.0,LaLiga,14.0,21.0,3.0,1260.0,2.0,3.0,1.0,180.0,
19/6/2011,Wayne Hennessey,5006568,801,1/24/1987,24,32,0,6,0,3750,6750,6700,155,130,1657284,196,73,GK ,15,12,12,4,15,16,12,14,13,12,12,3,2,3,2,7,6,2,2,3,2,2,1,2,6,12,13,12,9,12,7,12,12,1,8,6,11,10,9,10,13,10,18,17,13,8,20,11,15,11,8,13,7,10,10,12,15,14,14,11,15,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wayne Hennessey,£4.95m ,33.0,197.0,Goalkeeper,right,Crystal Palace,30.0,52.0,5.0,2746.0,34.0,73.0,3.0,3060.0,3.0,8.0,0.0,225.0,16.0,30.0,1.0,1470.0,7.0,7.0,3.0,605.0,38.0,47.0,11.0,3480.0,31.0,51.0,7.0,2790.0,29.0,47.0,7.0,2610.0,20.0,26.0,7.0,1755.0,Premier League,5.0,9.0,1.0,450.0,1.0,0.0,1.0,90.0,
19/6/2011,Vlado Giljen,5790256,62002127,12/7/1989,21,0,0,10,0,2250,5750,5000,123,108,138918,188,85,GK ,11,10,11,4,10,10,13,13,8,8,11,8,11,11,3,12,8,10,1,12,2,1,12,11,14,15,12,13,12,12,12,12,12,12,12,13,11,12,12,10,10,12,11,8,14,10,20,11,10,15,7,11,9,9,14,15,13,14,11,13,13,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vladan Giljen,£180Th. ,31.0,188.0,Goalkeeper,nan,FK Sutjeska Niksic,0.0,0.0,0.0,0.0,18.0,21.0,6.0,1627.0,10.0,16.0,1.0,900.0,12.0,14.0,3.0,1110.0,2.0,6.0,0.0,103.0,2.0,6.0,0.0,125.0,38.0,26.0,19.0,3450.0,39.0,22.0,24.0,3454.0,38.0,25.0,17.0,3385.0,Liga NOS,27.0,36.0,7.0,2460.0,11.0,11.0,4.0,990.0,
19/6/2011,Vlada Avramov,132869,802,4/5/1979,32,2,0,0,0,3550,4950,5500,130,110,174210,187,76,GK ,13,12,13,2,14,13,13,15,12,12,11,5,3,10,1,4,9,1,3,2,2,14,1,2,1,10,12,11,10,7,8,12,15,8,9,13,9,8,10,12,12,8,11,5,11,8,20,12,10,12,6,10,8,10,20,12,13,10,15,12,10,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vlada Avramov,£180Th. ,41.0,187.0,Goalkeeper,right,Retired,3.0,4.0,1.0,300.0,4.0,2.0,3.0,312.0,7.0,10.0,1.0,499.0,23.0,25.0,5.0,2015.0,11.0,11.0,6.0,957.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Serie A,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Vito Mannone,5131045,776,3/2/1988,23,0,0,5,0,3000,6000,5750,139,115,613742,191,74,GK ,12,13,12,12,13,16,11,13,12,14,13,5,3,3,3,7,8,3,2,2,2,1,3,1,8,13,10,14,9,8,12,10,14,5,10,5,10,12,12,10,10,10,14,4,13,10,20,11,15,12,5,10,8,10,15,11,13,8,11,11,9,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vito Mannone,£675Th. ,32.0,188.0,Goalkeeper,right,AS Monaco,11.0,9.0,6.0,945.0,29.0,28.0,11.0,2516.0,14.0,17.0,3.0,1260.0,36.0,49.0,12.0,3257.0,14.0,25.0,3.0,1260.0,22.0,29.0,4.0,1980.0,13.0,23.0,3.0,1200.0,41.0,59.0,8.0,3690.0,46.0,61.0,11.0,4140.0,Premier League,13.0,27.0,1.0,1170.0,0.0,0.0,0.0,0.0,
19/6/2011,Vincent Enyeama,5410292,38,8/29/1982,28,58,0,0,0,5750,7500,6434,150,142,1544009,182,87,GK ,12,11,15,12,12,17,14,16,14,13,15,9,2,3,8,9,12,3,11,3,3,11,15,12,9,7,11,11,16,14,9,13,18,9,12,1,11,12,7,12,13,16,11,10,13,11,20,12,15,11,7,14,5,1,16,16,12,15,18,18,7,4,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vincent Enyeama,£1.35m ,38.0,182.0,Goalkeeper,left,Without Club,41.0,44.0,13.0,3690.0,3.0,4.0,0.0,270.0,27.0,24.0,11.0,2430.0,38.0,26.0,21.0,3420.0,50.0,57.0,16.0,4530.0,39.0,27.0,20.0,3520.0,34.0,42.0,8.0,3035.0,nan,nan,nan,nan,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Víctor Valdés,824039,796,1/14/1982,29,4,0,10,0,8000,8500,8500,177,172,23715415,183,78,GK ,13,13,14,13,15,12,18,18,17,13,15,7,3,1,3,10,10,1,2,2,2,3,2,2,10,11,14,14,19,15,12,14,18,14,14,2,16,14,14,14,18,14,13,7,13,12,20,16,12,17,12,17,6,1,11,18,13,16,17,11,9,11,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Víctor Valdés,£18.00m ,38.0,183.0,Goalkeeper,right,Retired,44.0,25.0,21.0,3960.0,52.0,42.0,25.0,4680.0,44.0,54.0,11.0,3960.0,34.0,25.0,17.0,2993.0,5.0,4.0,1.0,376.0,8.0,13.0,1.0,720.0,28.0,36.0,8.0,2520.0,nan,nan,nan,nan,nan,nan,nan,nan,LaLiga,nan,nan,nan,nan,nan,nan,nan,nan,
