GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch, Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking, Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership, Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength, Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft, Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
13/6/2011,Benjamin Mendy,85075605,769,7/17/1994,16,0,0,0,0,1300,2600,2600,141,104,3197550,180,71,D/WB L,2,2,1,3,1,3,3,2,3,2,2,10,13,8,6,9,10,7,11,11,11,8,6,10,9,11,12,13,12,12,11,10,15,8,9,9,9,13,13,15,12,13,9,20,14,14,5,14,13,13,11,10,7,8,11,12,10,13,7,12,8,11,20,16,14,1,9,20,1,D/WB L,113,1,1,1,1,1,1,1,20,9,1,1,14,1,16,1,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Benjamin Morel,£135Th. ,33,181,Forward - Right Winger,left,USON Mondeville,8,0,0,238,15,2,0,730,6,0,0,182,nan,nan,nan,nan,38,7,3,2489,22,2,2,1584,14,3,1,1065,nan,nan,nan,nan,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan
13/6/2011,Andrea Audino,43078257,776,10/12/1993,17,0,0,0,0,500,1500,1500,49,30,4915,177,67,D L,3,2,2,1,2,1,3,1,1,3,2,1,2,1,1,5,1,7,1,1,3,4,5,11,1,16,6,5,3,7,4,8,10,6,7,1,11,8,10,10,6,10,3,20,16,11,6,5,3,4,11,10,6,9,11,11,10,11,11,15,12,14,20,7,1,1,1,20,1,D L,103,1,1,1,1,1,1,1,20,1,1,1,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Willi Orban,91011532,771,11/3/1992,18,0,0,0,0,50,4600,4600,145,95,2144122,185,83,D RLC,1,3,3,2,1,3,3,3,2,2,2,5,5,2,4,11,2,13,8,2,10,11,2,13,7,10,9,7,7,12,9,11,9,8,9,5,8,12,13,13,11,12,12,15,14,10,20,11,8,8,7,10,7,10,10,11,9,13,6,9,10,17,20,1,1,1,17,17,20,D RLC,106,1,1,1,1,1,1,20,17,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Willi Orban,£225Th. ,27,186,Defender - Centre-Back,right,RB Leipzig,29,5,0,2610,25,3,3,2163,21,5,0,1652,32,3,2,2468,34,4,1,3006,33,1,1,2934,29,3,1,2638,37,4,1,3038,39,4,1,3382,Bundesliga,18,1,1,1247,5,1,1,332
13/6/2011,Phillipp Steinhart,35017459,771,7/7/1992,18,0,0,0,0,2750,4600,4600,127,92,1623968,182,69,D/WB L,1,3,1,3,3,3,3,1,1,1,1,7,9,10,2,12,3,6,7,6,7,11,1,13,13,6,10,8,13,10,11,13,9,10,8,9,11,11,13,13,11,9,10,20,10,11,8,11,4,10,12,10,10,10,13,12,17,9,2,14,14,8,20,18,15,1,9,20,10,D/WB L,113,1,1,1,1,1,1,10,20,9,1,1,15,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Nico Schulz,92027397,771,4/1/1993,18,0,0,0,0,500,5000,4500,139,95,3052921,180,78,D L,1,2,2,1,2,3,3,5,3,1,2,8,11,9,9,10,7,8,10,5,14,10,6,10,9,12,10,13,9,8,11,10,16,8,5,11,9,12,13,13,10,11,8,20,13,15,10,9,13,10,5,10,17,9,14,11,15,12,14,11,13,11,20,5,10,15,10,20,1,D L,103,1,1,1,1,15,8,1,20,10,1,1,10,8,5,1,1.75922E+13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Nico Schulz,£450Th. ,27,180,Defender - Left-Back,left,Borussia Dortmund,31,0,5,1274,24,1,3,2104,21,1,4,1459,25,0,1,1641,29,1,1,2077,4,0,1,95,18,1,2,705,34,2,4,2344,37,2,9,3139,Bundesliga,18,1,0,1164,2,0,0,29
13/6/2011,Michael Vitzthum,92037893,771,6/20/1992,18,0,0,0,0,2650,4600,4600,122,92,448704,185,70,D/WB L,3,1,2,2,3,2,3,1,2,2,2,8,10,13,2,14,10,14,10,6,9,10,7,13,13,7,6,9,12,10,11,10,10,4,10,6,7,12,13,14,14,14,12,20,12,14,8,9,4,10,11,10,7,10,5,13,4,5,13,14,6,13,20,18,15,1,12,20,12,D/WB L,113,1,1,1,1,1,1,12,20,12,15,1,15,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Massadio Haďdara,85078879,769,12/2/1992,18,0,0,0,0,3750,4724,4700,132,105,40475564,179,75,D L,2,2,2,1,3,1,1,3,1,1,2,7,11,9,5,9,7,13,6,12,9,7,8,12,9,11,13,14,12,10,7,12,14,7,8,8,10,13,15,14,12,14,10,20,16,15,5,13,13,13,11,14,6,10,14,16,13,13,12,7,8,6,20,15,1,1,9,20,1,D L,103,1,1,1,1,1,1,1,20,9,1,1,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Massadio Haidara,£900Th. ,27,179,Defender - Left-Back,left,RC Lens,13,0,0,954,20,0,1,1752,28,1,1,2213,16,0,0,793,20,0,1,1531,9,0,1,666,5,0,1,358,3,0,0,183,36,0,0,3120,Ligue 1,22,1,4,1721,3,0,0,218
13/6/2011,Layvin Kurzawa,85010869,769,9/4/1992,18,0,0,0,0,1200,2400,2400,139,97,5246905,180,77,D/WB L,1,3,1,3,2,2,1,1,3,3,2,7,13,11,8,12,3,11,8,11,7,8,12,9,12,10,13,4,11,13,8,10,6,11,7,11,10,9,10,15,13,12,12,20,13,14,5,8,5,10,6,1,8,14,6,11,13,8,9,11,8,12,20,16,12,12,5,20,1,D/WB L,113,1,1,8,1,12,1,1,20,5,1,1,12,1,16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Jules Schwadorf,91014710,771,10/19/1992,18,0,0,0,0,2000,4600,4600,104,92,567407,177,71,WB/M L,2,3,3,2,3,2,2,1,1,3,1,9,13,12,4,14,7,7,11,3,7,10,8,12,9,11,12,6,9,11,9,6,10,11,7,5,8,8,12,14,14,14,8,20,16,14,8,10,6,10,13,5,14,10,10,15,14,12,12,11,16,6,15,16,20,12,1,20,1,WB/M L,423,1,1,1,1,12,1,1,15,1,1,1,20,1,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Florian Guénerie,85091574,769,10/1/1992,18,0,0,0,0,800,1600,1600,117,64,78716,186,76,D LC,1,3,3,2,2,2,3,3,3,3,2,5,10,7,3,8,6,12,6,7,6,7,8,12,8,10,6,14,11,9,7,9,10,7,6,3,9,8,11,13,8,14,13,20,9,8,5,6,13,10,10,10,7,10,9,6,9,5,14,8,14,10,20,1,1,1,1,15,20,D LC,104,1,1,1,1,1,1,20,15,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
