GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch, Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking, Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership, Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength, Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft, Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
13/6/2011,Sebastian Maier,92026377,771,9/18/1993,17,0,0,0,0,2250,4900,4900,139,98,4531129,176,64,M/AM LC,2,2,1,2,2,3,3,2,1,3,1,11,14,14,10,14,10,8,11,4,7,14,10,10,11,12,11,10,5,11,12,13,10,8,11,13,9,13,15,14,11,14,7,20,13,10,8,11,4,10,8,7,8,10,8,3,9,8,14,5,13,14,1,1,18,20,12,18,20,M/AM LC,524,1,1,1,20,18,12,1,1,1,14,18,15,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sebastian Usai,- ,30,190,Goalkeeper,right,Friska Viljor FC,4,11,0,360,5,2,4,450,15,23,5,1350,5,12,1,450,0,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Premier League,nan,nan,nan,nan,nan,nan,nan,nan
13/6/2011,Reuben Noble-Lazarus,28036609,765,8/16/1993,17,0,0,0,0,2000,4000,4000,154,80,5805354,181,86,AM/S RL,1,3,3,3,2,3,2,1,2,2,3,8,13,7,10,12,9,4,8,3,2,8,9,8,7,4,12,8,8,3,13,4,10,8,5,10,2,9,9,12,12,13,8,14,9,11,20,9,4,7,14,6,10,9,3,10,17,8,12,12,12,19,1,1,9,20,20,18,1,AM/S RL,515,1,1,17,1,18,20,1,1,1,1,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Nathan Redmond,28053447,765,3/6/1994,17,0,0,0,0,1750,5150,5150,140,103,28175280,162,65,M/AM RL,1,2,3,3,2,1,1,1,1,3,3,7,10,13,7,10,7,2,10,2,4,8,5,4,11,10,7,6,7,9,10,5,15,14,4,10,5,8,8,16,10,11,3,7,12,16,20,9,5,10,5,12,5,8,8,13,14,12,13,15,14,5,1,1,20,20,20,19,1,M/AM RL,415,1,1,1,1,19,20,1,1,1,1,1,15,20,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Julian Draxler,92030193,771,9/20/1993,17,0,0,0,0,4750,6750,6750,144,125,62993082,183,68,AM RLC,2,3,2,1,1,1,2,1,2,2,3,11,13,12,13,17,10,5,15,8,5,15,10,6,16,8,14,7,7,8,14,11,10,15,5,13,5,10,13,11,10,9,10,18,11,14,20,11,7,10,5,14,4,14,8,12,11,12,9,17,12,6,1,1,12,20,17,18,20,AM RLC,506,1,1,1,20,18,17,1,1,1,1,12,1,1,1,1,4.50415E+15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Julian Draxler,£9.90m ,27,187,Midfielder - Attacking Midfield,right,Paris Saint-Germain,36,12,2,1810,46,5,9,2779,39,13,7,2762,38,6,10,3101,19,2,2,1068,35,9,8,2584,39,10,5,2721,47,5,10,2630,46,5,12,2977,Bundesliga,22,0,7,1194,6,2,0,400
13/6/2011,Jordan Obita,28052366,765,12/8/1993,17,0,0,0,0,1650,4650,4650,151,85,6898207,181,63,AM LC,2,1,3,2,3,1,3,1,2,1,3,5,9,12,7,10,9,8,5,3,4,13,9,4,8,12,12,3,11,6,8,11,8,13,10,7,6,16,14,14,11,13,6,20,15,13,8,9,5,10,6,10,3,10,11,11,10,6,15,9,5,5,1,1,9,20,10,20,15,AM LC,504,1,1,15,15,20,10,1,1,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Ibrahima Tandia,85028025,769,7/12/1993,17,0,0,0,0,1250,2500,2500,152,101,8793513,169,65,AM RL,3,1,2,3,1,1,1,2,3,1,1,8,10,14,8,12,6,6,8,5,1,9,11,3,14,6,10,7,12,9,9,9,6,14,5,11,5,8,11,16,14,9,5,5,12,15,20,11,6,13,6,6,6,8,12,14,20,19,8,5,6,13,1,1,12,20,16,20,14,AM RL,505,1,1,10,14,20,16,1,1,1,1,10,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ibrahima Tandia,£360Th. ,27,171,Forward - Left Winger,right,Al-Hazm,nan,nan,nan,nan,3,0,0,124,nan,nan,nan,nan,nan,nan,nan,nan,22,3,3,1168,30,5,1,1414,9,0,0,345,23,5,2,1662,34,11,5,3002,Ligue 1,27,3,1,1621,nan,nan,nan,nan
13/6/2011,Wellington Silva,19086339,1651,1/6/1993,18,0,0,0,0,2750,5600,5600,154,108,9989488,171,68,AM/S LC,1,3,2,3,1,3,2,3,1,3,2,8,11,15,11,14,9,7,9,2,4,11,9,4,15,11,9,9,10,11,12,10,12,16,4,12,5,9,14,14,16,5,5,10,13,13,20,10,5,10,6,9,10,13,8,18,6,12,5,7,8,13,1,1,1,18,13,18,15,AM/S LC,624,1,1,20,15,18,13,1,1,1,1,1,1,1,1,1,34360262672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Wellington Silva,£450Th. ,27,170,Forward - Right Winger,right,Fluminense Football Club,2,0,0,37,16,3,0,858,23,4,0,624,39,3,5,1808,35,0,7,2235,45,4,5,3002,23,2,2,1322,10,1,2,262,25,1,1,989,LaLiga,16,2,1,792,nan,nan,nan,nan
13/6/2011,Steven Skrzybski,92037586,771,11/18/1992,18,0,0,0,0,2500,4200,4200,95,84,892390,173,64,S RLC,2,3,2,3,3,2,3,6,3,1,1,8,11,9,10,10,8,10,8,3,4,9,8,5,11,13,8,4,8,5,5,6,10,10,9,10,3,15,12,12,12,9,4,16,12,11,20,8,4,10,12,10,5,10,3,10,11,12,13,8,13,12,1,1,1,15,15,15,15,S RLC,606,1,1,20,15,15,15,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13/6/2011,Ryo Miyaichi,28060849,116,12/14/1992,18,0,0,0,0,3250,5489,5750,143,122,129178817,180,71,AM RL,2,1,1,1,1,1,3,1,1,1,2,8,10,15,10,13,8,7,7,8,3,11,9,3,13,5,11,13,9,9,13,9,8,16,5,14,4,12,11,15,14,10,7,12,16,15,20,11,5,11,8,10,17,10,12,17,14,12,14,14,13,6,1,1,9,20,19,20,1,AM RL,505,1,1,1,1,20,19,1,1,1,1,1,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ryo Miyaichi,£2.70m ,27,183,Forward - Right Winger,right,FC St. Pauli,12,3,5,1030,24,2,4,1457,7,0,1,182,11,1,1,720,25,3,1,1730,5,2,1,114,20,0,1,804,1,0,0,13,29,5,1,1721,Premier League,30,1,7,2634,nan,nan,nan,nan
13/6/2011,Richard van den Bosch,92022263,771,7/25/1992,18,0,0,0,0,250,3250,3250,110,72,51649,169,64,AM/S RL,1,3,1,1,3,1,2,1,1,3,1,8,10,12,9,9,3,12,7,2,2,12,5,5,8,15,8,1,8,5,9,9,6,7,6,9,4,9,10,12,9,8,3,20,15,10,16,6,5,10,10,10,5,7,7,2,16,14,15,11,11,13,1,1,14,20,19,20,12,AM/S RL,515,1,1,17,12,20,19,1,1,1,1,1,14,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
