GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,467800,175,67,AM/S RLC,2,2,3,2,2,1,1,2,2,1,2,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,13,10,9,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zoltán Stieber,£1.13m ,32.0,175.0,Forward - Left Winger,left,Újpest FC,36.0,10.0,18.0,2973.0,12.0,0.0,5.0,896.0,17.0,3.0,2.0,1267.0,36.0,9.0,12.0,2986.0,28.0,3.0,3.0,1696.0,8.0,1.0,0.0,257.0,28.0,3.0,5.0,1989.0,29.0,5.0,6.0,1955.0,9.0,0.0,0.0,301.0,Bundesliga,25.0,2.0,6.0,1931.0,5.0,0.0,0.0,151.0,
19/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,672945,186,78,M/AM RLC,3,3,1,1,3,1,2,9,1,2,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,563639295672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Zoltán Gera,£900Th. ,41.0,183.0,Midfielder - Central Midfield,both,Retired,32.0,4.0,6.0,1420.0,4.0,1.0,2.0,220.0,18.0,4.0,1.0,1224.0,17.0,0.0,1.0,662.0,30.0,3.0,4.0,2495.0,39.0,9.0,4.0,3343.0,38.0,10.0,5.0,3309.0,8.0,0.0,0.0,509.0,nan,nan,nan,nan,Premier League,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Zhang Chengdong,23020214,110,2/9/1989,22,1,0,0,0,1501,4950,4500,130,90,6817,184,73,AM/S RL,1,2,2,2,1,1,3,1,1,2,3,7,9,11,10,10,7,11,2,5,7,8,7,1,11,8,6,8,10,8,9,7,14,13,1,10,3,10,13,14,12,9,10,8,13,14,20,8,9,7,10,10,7,10,14,12,8,13,16,16,16,4,1,1,1,17,17,17,7,AM/S RL,625,1,1,20,7,17,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,146,105,424054,179,70,M/AM RC,3,3,3,3,2,2,1,4,2,1,2,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,6,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,13,1,3,14,13,6,6,6,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yunus Malli,£720Th. ,28.0,179.0,Midfielder - Attacking Midfield,right,VfL Wolfsburg,30.0,7.0,9.0,2412.0,22.0,5.0,3.0,1305.0,23.0,3.0,2.0,1390.0,29.0,5.0,5.0,1676.0,34.0,6.0,4.0,2416.0,36.0,11.0,5.0,2946.0,43.0,9.0,9.0,3377.0,37.0,6.0,5.0,2704.0,23.0,1.0,2.0,773.0,Bundesliga,15.0,0.0,1.0,726.0,1.0,0.0,0.0,58.0,
19/6/2011,Yossi Benayoun,2008550,775,5/5/1980,31,82,24,11,5,6400,8470,7500,154,154,2000000,175,67,M/AM RLC,2,1,2,3,2,2,1,6,2,2,2,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,1,1,18,20,18,17,20,M/AM RLC,526,1,1,7,20,17,17,1,1,1,1,10,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Yossi Benayoun,£4.05m ,40.0,175.0,Forward - Right Winger,right,Retired,10.0,1.0,1.0,361.0,27.0,7.0,5.0,1460.0,19.0,0.0,2.0,685.0,17.0,3.0,1.0,809.0,26.0,5.0,0.0,1949.0,32.0,7.0,3.0,2042.0,42.0,4.0,2.0,2190.0,28.0,8.0,6.0,1302.0,27.0,3.0,4.0,1680.0,Premier League,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yoric Ravet,85033191,769,9/12/1989,21,0,0,0,0,4150,5219,5200,140,115,430813,178,74,AM RL,1,1,1,1,2,2,1,3,2,3,1,7,10,14,10,13,12,9,13,6,4,10,11,4,14,8,12,10,12,11,11,10,14,14,6,13,6,9,12,16,13,12,9,20,13,14,5,12,12,12,8,13,9,8,10,16,15,11,9,13,13,12,1,1,14,20,17,20,12,AM RL,505,1,1,12,12,20,17,1,1,1,1,1,14,14,1,1,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yoric Ravet,£450Th. ,31.0,178.0,Forward - Right Winger,right,Grenoble Foot 38,21.0,3.0,2.0,1183.0,2.0,0.0,0.0,67.0,31.0,3.0,3.0,1570.0,32.0,9.0,10.0,2604.0,43.0,10.0,8.0,3035.0,38.0,13.0,17.0,3135.0,44.0,10.0,20.0,3438.0,20.0,2.0,7.0,1181.0,21.0,3.0,1.0,1413.0,Ligue 1,0.0,0.0,0.0,0.0,7.0,1.0,2.0,599.0,
19/6/2011,Yohan Mollo,34001050,769,7/18/1989,21,0,0,7,0,4650,5894,5850,165,131,316205,175,74,M/AM RL,1,1,1,3,2,3,3,2,3,3,2,13,12,15,7,15,13,8,12,5,3,12,10,3,17,12,11,10,11,10,13,8,15,16,6,13,5,10,9,17,15,12,7,10,13,14,20,14,12,11,10,14,9,8,14,17,8,12,14,12,12,15,1,1,17,20,17,20,10,M/AM RL,525,1,1,10,10,20,17,1,1,1,1,1,17,14,1,1,2251834173440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yohan Mollo,£2.70m ,31.0,175.0,Forward - Left Winger,right,Panathinaikos Athens,38.0,4.0,2.0,2547.0,26.0,3.0,6.0,1769.0,43.0,7.0,13.0,2779.0,21.0,1.0,3.0,1119.0,31.0,4.0,3.0,1765.0,28.0,0.0,7.0,2231.0,20.0,6.0,4.0,1317.0,12.0,0.0,2.0,692.0,23.0,2.0,4.0,1570.0,LaLiga,12.0,1.0,4.0,678.0,1.0,0.0,0.0,22.0,
19/6/2011,Yoan Gouffran,8438591,769,5/25/1986,25,0,0,24,4,4650,5850,5850,145,130,747779,175,70,AM/S R,1,1,1,3,3,3,2,6,1,3,1,5,9,13,11,13,10,12,15,5,4,11,13,4,14,9,13,11,8,10,11,8,14,13,6,14,8,13,14,16,14,12,9,10,14,16,20,14,11,10,8,13,8,10,10,15,11,11,13,14,14,13,1,1,15,18,18,10,12,AM/S R,622,1,1,20,12,10,18,1,1,1,1,12,10,15,1,1,554050789376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yoan Gouffran,£5.40m ,34.0,175.0,Midfielder - Attacking Midfield,right,FC Ararat-Armenia Yerevan,24.0,2.0,1.0,1527.0,37.0,14.0,3.0,2874.0,42.0,15.0,3.0,3271.0,39.0,7.0,5.0,2966.0,33.0,2.0,1.0,2066.0,10.0,0.0,0.0,403.0,45.0,7.0,5.0,3267.0,31.0,1.0,1.0,2057.0,22.0,1.0,2.0,1042.0,Ligue 1,15.0,1.0,1.0,712.0,8.0,0.0,0.0,598.0,
19/6/2011,Yannick Sagbo,34001056,24,4/12/1988,23,0,0,5,2,4050,5700,5100,140,114,326476,183,78,S R,2,3,1,2,2,3,1,6,1,1,1,5,9,12,11,13,7,11,12,6,4,11,12,2,13,7,12,11,12,12,9,10,15,12,7,14,7,9,12,15,11,14,10,5,14,14,20,10,14,12,7,14,10,8,6,13,13,12,14,14,14,5,1,1,10,15,15,1,1,S R,602,1,1,20,1,1,15,1,1,1,1,1,1,10,1,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yannick Sagbo,£2.25m ,32.0,183.0,Forward - Centre-Forward,right,Without Club,34.0,10.0,5.0,2505.0,35.0,12.0,5.0,2778.0,41.0,8.0,6.0,2795.0,34.0,4.0,2.0,2034.0,13.0,0.0,0.0,520.0,13.0,11.0,0.0,1156.0,19.0,13.0,2.0,1698.0,20.0,10.0,1.0,1711.0,21.0,9.0,0.0,1890.0,Ligue 1,10.0,4.0,1.0,900.0,3.0,0.0,0.0,233.0,
19/6/2011,Yannick Djaló,744161,788,5/5/1986,25,1,0,14,1,4750,6600,6600,149,132,965309,171,68,AM/S RL,3,2,3,3,1,1,2,6,1,1,1,11,12,14,11,12,9,6,11,7,7,10,10,7,14,10,10,11,7,9,9,8,14,16,10,15,8,9,12,16,14,10,7,10,16,15,20,12,11,10,6,13,6,12,13,16,15,14,13,14,14,6,1,1,1,20,20,17,10,AM/S RL,515,1,1,16,10,17,20,1,1,1,1,1,1,1,1,1,34360270860,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Yannick Djaló,£4.05m ,34.0,171.0,Forward - Left Winger,right,Retired,33.0,9.0,2.0,2276.0,10.0,0.0,1.0,470.0,20.0,1.0,0.0,1033.0,18.0,3.0,1.0,1134.0,10.0,1.0,0.0,771.0,34.0,16.0,7.0,2378.0,nan,nan,nan,nan,19.0,4.0,0.0,955.0,nan,nan,nan,nan,Liga NOS,nan,nan,nan,nan,nan,nan,nan,nan,
