GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,10/11 games,10/11 goals/conceded,10/11 assists/clean,10/11 minutes,11/12 games,11/12 goals/conceded,11/12 assists/clean,11/12 minutes,12/13 games,12/13 goals/conceded,12/13 assists/clean,12/13 minutes,13/14 games,13/14 goals/conceded,13/14 assists/clean,13/14 minutes,14/15 games,14/15 goals/conceded,14/15 assists/clean,14/15 minutes,15/16 games,15/16 goals/conceded,15/16 assists/clean,15/16 minutes,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,current league,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes
19/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,467800,175,67,AM/S RLC,2,2,3,2,2,1,1,2,2,1,2,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,13,10,9,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zoltán Stieber,£1.13m ,32.0,175.0,Forward - Left Winger,left,Újpest FC,36.0,10.0,18.0,2973.0,12.0,0.0,5.0,896.0,17.0,3.0,2.0,1267.0,36.0,9.0,12.0,2986.0,28.0,3.0,3.0,1696.0,8.0,1.0,0.0,257.0,28.0,3.0,5.0,1989.0,29.0,5.0,6.0,1955.0,9.0,0.0,0.0,301.0,Bundesliga,25.0,2.0,6.0,1931.0,5.0,0.0,0.0,151.0,
19/6/2011,Zlatan Ibrahimovic,142173,797,10/3/1981,29,69,28,7,6,8500,9000,8700,185,174,12827064,195,95,S ,1,1,1,3,1,2,2,2,3,3,1,6,14,16,18,17,14,14,16,16,4,17,18,6,19,16,15,15,13,8,16,14,7,19,17,18,6,5,10,12,13,19,16,13,17,15,20,15,18,12,15,7,11,8,14,20,5,11,12,6,6,18,1,1,1,11,9,11,10,S ,600,1,1,20,10,11,9,1,1,1,1,1,1,1,1,1,17626545848832,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Zlatan Ibrahimovic,£33.30m ,39.0,195.0,Forward - Centre-Forward,both,AC Milan,42.0,22.0,12.0,3446.0,44.0,35.0,12.0,3807.0,46.0,35.0,17.0,4083.0,46.0,41.0,17.0,3750.0,37.0,30.0,8.0,3111.0,51.0,50.0,18.0,4146.0,46.0,28.0,10.0,3847.0,34.0,23.0,7.0,2330.0,31.0,31.0,8.0,2790.0,Serie A,20.0,11.0,5.0,1509.0,4.0,5.0,0.0,336.0,
19/6/2011,Zhang Chengdong,23020214,110,2/9/1989,22,1,0,0,0,1501,4950,4500,130,90,6817,184,73,AM/S RL,1,2,2,2,1,1,3,1,1,2,3,7,9,11,10,10,7,11,2,5,7,8,7,1,11,8,6,8,10,8,9,7,14,13,1,10,3,10,13,14,12,9,10,8,13,14,20,8,9,7,10,10,7,10,14,12,8,13,16,16,16,4,1,1,1,17,17,17,7,AM/S RL,625,1,1,20,7,17,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
19/6/2011,Zé Luís,55027773,12,1/24/1991,20,1,0,0,0,3000,5500,5500,148,117,226577,180,78,S ,2,2,2,1,3,1,2,5,2,2,2,9,12,13,14,12,9,12,9,6,6,9,9,6,12,14,12,12,12,9,9,8,14,14,8,13,6,6,9,11,14,10,14,12,14,13,20,7,11,10,8,12,8,10,14,14,13,15,14,12,12,7,1,1,1,6,6,6,6,S ,600,1,1,20,6,6,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zé Luís,£810Th. ,29.0,184.0,Forward - Centre-Forward,left,Lokomotiv Moscow,27.0,12.0,0.0,1759.0,16.0,5.0,0.0,731.0,36.0,8.0,1.0,1693.0,29.0,10.0,5.0,1577.0,25.0,11.0,5.0,1604.0,25.0,10.0,5.0,1768.0,24.0,5.0,6.0,1703.0,24.0,6.0,8.0,1546.0,36.0,14.0,4.0,2657.0,Liga NOS,31.0,10.0,2.0,1744.0,4.0,0.0,1.0,71.0,
19/6/2011,Zé Eduardo,316618,1651,10/29/1987,23,0,0,1,0,3250,6650,6500,145,130,611993,179,83,M/AM/S C,3,1,3,3,2,2,2,5,3,2,1,5,12,14,12,13,5,11,11,3,7,11,13,7,14,10,13,14,9,12,12,13,12,15,4,14,7,12,16,14,15,13,10,11,14,15,20,14,13,10,7,12,7,12,6,18,5,16,8,11,14,8,1,1,18,19,13,12,19,M/AM/S C,631,1,1,20,19,12,13,1,1,1,11,18,7,9,1,1,134217744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Zé Eduardo,£450Th. ,29.0,186.0,Midfielder - Defensive Midfield,right,Sandefjord Fotball,14.0,0.0,0.0,1140.0,20.0,0.0,0.0,1328.0,35.0,4.0,3.0,2778.0,41.0,3.0,5.0,3331.0,14.0,1.0,1.0,735.0,16.0,0.0,1.0,1104.0,nan,nan,nan,nan,27.0,4.0,1.0,2019.0,30.0,0.0,1.0,2455.0,Serie A,4.0,1.0,0.0,166.0,nan,nan,nan,nan,
19/6/2011,Youssouf Hadji,3503442,34,2/25/1980,31,52,15,0,0,5650,7000,6300,145,140,1220859,183,78,AM/S C,3,3,3,1,1,1,2,5,1,1,1,11,13,14,12,15,11,16,13,5,7,12,13,6,15,6,15,13,12,13,12,12,16,14,14,13,11,13,14,15,15,14,12,12,13,11,20,14,14,13,6,14,12,10,11,12,16,13,14,14,11,7,1,1,10,18,14,14,18,AM/S C,621,1,1,20,18,14,14,1,1,1,1,5,10,10,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Youssouf Hadji,£2.25m ,40.0,183.0,Forward - Centre-Forward,right,Retired,28.0,8.0,3.0,2457.0,39.0,9.0,5.0,2252.0,3.0,0.0,0.0,247.0,10.0,0.0,0.0,464.0,32.0,14.0,3.0,2284.0,34.0,9.0,3.0,1894.0,27.0,1.0,1.0,1349.0,32.0,11.0,0.0,1742.0,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Youssef Adnane,8446446,769,7/16/1985,25,0,0,0,0,4550,5179,5112,125,115,435922,178,71,S ,3,1,3,3,2,3,1,6,1,3,3,5,8,12,14,12,11,12,11,5,3,10,14,3,12,7,12,9,15,13,8,11,10,13,5,13,6,8,10,14,12,13,10,8,14,13,20,14,12,13,7,14,7,8,5,14,12,12,14,14,16,7,1,1,1,10,10,10,1,S ,600,1,1,20,1,10,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Youssef Adnane,£630Th. ,35.0,178.0,Forward - Centre-Forward,right,Retired,39.0,10.0,4.0,2244.0,11.0,0.0,1.0,362.0,21.0,3.0,0.0,897.0,37.0,7.0,8.0,2044.0,39.0,16.0,3.0,3092.0,29.0,10.0,2.0,1986.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Ligue 1,nan,nan,nan,nan,nan,nan,nan,nan,
19/6/2011,Yonathan Del Valle,86005931,1658,5/28/1990,21,9,0,18,6,3250,5500,5250,142,109,435126,177,74,S ,1,1,3,3,3,3,1,3,2,3,3,10,13,14,11,14,9,11,10,8,5,14,10,4,14,6,11,7,12,11,11,11,12,11,8,12,11,12,12,13,12,11,11,10,17,15,20,7,5,10,11,6,10,10,11,15,13,5,5,13,9,9,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Yonathan Del Valle,£180Th. ,30.0,173.0,Forward - Left Winger,right,Bandirmaspor,22.0,2.0,4.0,761.0,1.0,0.0,0.0,90.0,28.0,2.0,1.0,1211.0,34.0,6.0,3.0,2154.0,44.0,9.0,4.0,2955.0,35.0,7.0,6.0,2056.0,26.0,2.0,2.0,1772.0,33.0,8.0,5.0,2627.0,27.0,7.0,6.0,1834.0,Ligue 1,32.0,7.0,4.0,2603.0,7.0,3.0,0.0,620.0,
19/6/2011,Yoan Gouffran,8438591,769,5/25/1986,25,0,0,24,4,4650,5850,5850,145,130,747779,175,70,AM/S R,1,1,1,3,3,3,2,6,1,3,1,5,9,13,11,13,10,12,15,5,4,11,13,4,14,9,13,11,8,10,11,8,14,13,6,14,8,13,14,16,14,12,9,10,14,16,20,14,11,10,8,13,8,10,10,15,11,11,13,14,14,13,1,1,15,18,18,10,12,AM/S R,622,1,1,20,12,10,18,1,1,1,1,12,10,15,1,1,554050789376,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Yoan Gouffran,£5.40m ,34.0,175.0,Midfielder - Attacking Midfield,right,FC Ararat-Armenia Yerevan,24.0,2.0,1.0,1527.0,37.0,14.0,3.0,2874.0,42.0,15.0,3.0,3271.0,39.0,7.0,5.0,2966.0,33.0,2.0,1.0,2066.0,10.0,0.0,0.0,403.0,45.0,7.0,5.0,3267.0,31.0,1.0,1.0,2057.0,22.0,1.0,2.0,1042.0,Ligue 1,15.0,1.0,1.0,712.0,8.0,0.0,0.0,598.0,
19/6/2011,Yero,85024504,41,8/19/1991,19,0,0,0,0,1500,4679,4500,116,104,591227,195,89,S ,3,2,3,3,1,2,2,4,2,1,3,6,6,9,9,9,6,14,12,6,6,6,8,6,9,13,13,11,11,11,6,11,10,11,6,13,6,6,9,8,8,16,18,7,12,13,20,12,16,10,7,5,11,10,6,15,9,13,13,9,10,8,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
