GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15/7/2016,17.3.2.23,Ramadan Sobhi,12066084,16,23-Jan-97,19,1,0,23,7,4971,6960,6500,150,120,38705452,183,80,AM RLC,2,1,1,1,2,3,3,3,2,2,3,9,10,17,8,13,7,9,8,2,3,13,11,7,14,14,16,17,10,8,13,9,19,17,5,13,7,13,13,10,14,8,11,13,15,13,20,12,15,12,8,17,7,16,15,20,19,13,10,10,12,12,1,1,15,20,18,18,20,AM RLC,506,1,1,1,20,18,18,1,1,1,1,14,12,15,1,1,70368895303808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ramadan Sobhi,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Erik Lamela,14005628,1649,04-Mar-92,24,22,3,0,0,6150,7750,7400,160,148,104097957,183,79,AM RLC,2,1,1,2,2,2,1,2,3,1,3,15,12,14,13,15,14,6,13,4,4,14,13,10,17,15,14,11,14,10,14,12,14,16,5,15,9,10,16,16,15,14,10,20,17,14,9,16,11,13,13,12,10,16,4,14,12,11,14,9,11,7,1,1,15,20,20,18,19,AM RLC,506,1,1,13,19,18,20,1,1,1,1,1,10,15,1,1,2252488082194432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Erik Lamela,£22.50m ,Premier League,
15/7/2016,17.3.2.23,Roberto Pereyra,14021900,1649,07-Jan-91,25,10,0,4,0,5250,7300,7350,156,148,58166143,184,74,M/AM RC,3,3,1,3,3,3,1,4,2,1,1,13,14,16,13,15,11,7,14,7,7,15,11,8,16,11,14,10,12,10,15,12,13,14,6,16,8,13,13,15,15,12,9,12,10,15,20,15,11,14,10,13,15,18,13,14,9,14,14,13,11,7,1,4,19,20,16,12,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,1,19,12,16,3,4,2251799814733832,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Roberto Pereyra,£13.50m ,Premier League,
15/7/2016,17.3.2.23,Manuel Lanzini,14025513,1649,15-Feb-93,23,0,0,0,0,5347,6947,6747,160,142,35936652,167,63,M/AM RLC,3,2,3,3,2,2,2,1,3,1,1,13,13,16,12,16,15,8,13,2,6,15,10,5,16,12,10,10,13,10,14,11,13,15,10,15,5,12,10,16,16,12,8,13,13,15,20,12,8,12,8,12,10,12,15,13,12,8,12,7,13,8,1,1,16,20,15,17,20,M/AM RLC,526,1,1,10,20,17,15,1,1,1,1,16,14,11,1,1,2251799814733824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manuel Lanzini,£13.50m ,Premier League,
15/7/2016,17.3.2.23,Pedro,1510305,796,28-Jul-87,28,59,17,2,0,7500,8000,8000,164,155,101426319,169,65,AM RLC,3,2,3,2,2,3,1,2,3,2,4,12,11,13,15,16,10,9,12,5,4,12,11,8,14,14,15,10,12,13,11,13,16,15,8,17,6,12,15,16,18,14,6,19,13,15,20,14,7,13,7,17,10,16,11,14,17,14,17,12,17,5,1,1,13,20,20,19,18,AM RLC,506,1,1,14,18,19,20,1,1,1,1,1,12,13,1,1,2252349570548736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pedro,£25.20m ,Premier League,
15/7/2016,17.3.2.23,Eden Hazard,18004418,757,07-Jan-91,25,70,14,0,0,8750,9000,8750,185,175,212977903,173,76,M/AM RLC,3,2,4,4,3,1,2,3,3,1,2,13,12,20,13,17,13,7,13,5,3,15,19,4,18,8,12,17,15,13,16,13,16,18,6,14,7,11,13,17,20,16,8,16,16,16,20,17,9,15,8,15,3,8,15,18,14,15,14,17,14,9,1,1,16,20,16,20,19,M/AM RLC,526,1,1,10,19,20,16,1,1,1,1,16,15,15,1,1,2462940491415552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Eden Hazard,£67.50m ,Premier League,
15/7/2016,17.3.2.23,Kevin De Bruyne,18004457,757,28-Jun-91,25,45,12,2,0,8250,9101,8900,180,174,232086864,181,76,M/AM RLC,1,1,1,2,2,4,2,3,2,1,1,15,17,15,16,17,15,7,16,8,7,17,12,8,17,12,14,9,14,12,17,15,15,16,11,16,10,12,15,13,13,13,8,16,16,13,20,17,12,14,8,15,4,14,12,18,10,11,17,10,12,13,1,1,18,20,18,18,20,M/AM RLC,526,1,1,14,20,18,18,1,1,1,12,18,18,18,1,1,141287244171264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Kevin De Bruyne,£58.50m ,Premier League,
15/7/2016,17.3.2.23,Adnan Januzaj,18054092,757,05-Feb-95,21,5,0,0,0,5350,6250,6800,155,136,19316225,180,75,M/AM RLC,2,3,2,3,2,3,1,4,2,2,1,12,13,16,12,15,13,5,12,3,4,16,12,6,17,11,11,8,14,9,14,10,10,17,5,10,4,9,9,16,15,15,9,20,12,13,11,11,7,8,5,11,6,15,18,15,10,12,10,7,17,11,1,1,20,20,20,18,19,M/AM RLC,416,1,1,14,19,18,20,1,1,1,1,12,18,20,1,1,288230393482575872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Adnan Januzaj,£6.30m ,Premier League,
15/7/2016,17.3.2.23,Charly Musonda,18055121,757,15-Oct-96,19,0,0,7,1,5000,6400,6400,159,130,34378142,173,58,DM/M/AM RLC,1,2,3,2,3,3,2,2,2,1,1,11,9,15,9,13,13,8,12,12,7,12,11,6,15,6,11,11,12,10,14,12,14,14,5,9,6,12,14,15,17,8,6,11,10,14,20,9,7,11,4,10,7,12,13,18,12,13,12,14,14,10,1,1,18,20,19,19,20,DM/M/AM RLC,536,1,1,1,20,19,19,1,1,1,16,18,1,1,1,1,2251834173423872,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Charly Musonda Jr.,£4.50m ,LaLiga,
15/7/2016,17.3.2.23,Philippe Coutinho,19046041,1651,12-Jun-92,24,17,4,7,3,7150,8400,8000,172,164,130624275,172,71,AM LC,4,3,3,3,2,2,1,1,2,3,1,11,13,18,13,16,12,5,15,3,8,15,10,11,18,11,14,12,17,13,17,14,15,18,6,15,13,15,15,15,17,15,6,12,13,13,20,14,11,14,8,14,9,11,14,16,12,13,17,13,15,4,1,1,14,20,12,20,18,AM LC,504,1,1,8,18,20,12,1,1,1,1,14,14,10,1,1,144132780262949120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Philippe Coutinho,£40.50m ,Premier League,
