GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15/7/2016,17.3.2.23,John Terry,108625,765,07-Dec-80,35,78,6,9,1,7750,7750,6950,180,145,232186002,187,90,D C,1,2,1,3,1,3,3,1,2,3,1,7,6,8,10,12,4,18,5,4,15,13,11,13,15,16,17,20,15,16,10,16,19,6,20,8,15,20,17,7,7,12,14,17,18,8,20,14,14,16,12,16,9,7,14,18,20,15,19,10,10,18,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,149533581508608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,John Terry,£900Th. ,Premier League,
15/7/2016,17.3.2.23,Gareth McAuley,121047,785,05-Dec-79,36,65,8,0,0,4238,6738,6738,133,133,232186002,195,90,D C,3,3,2,1,2,1,2,1,1,3,2,1,4,7,7,9,5,16,2,7,16,10,5,15,8,12,15,18,14,17,5,15,16,2,16,5,18,15,13,6,9,10,16,10,13,6,20,12,14,17,5,15,5,8,14,11,10,12,18,15,15,2,20,1,1,1,14,1,20,D C,101,1,1,1,1,1,1,20,1,14,1,1,1,1,1,1,32768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gareth McAuley,£900Th. ,Premier League,
15/7/2016,17.3.2.23,John O'Shea,125120,789,30-Apr-81,35,114,3,6,0,5687,7419,6500,146,129,1433747,191,75,D C,3,2,1,2,2,3,2,3,2,1,3,7,9,7,8,9,4,14,4,13,16,9,10,13,9,11,16,9,10,12,7,15,11,9,16,9,16,15,12,9,8,9,15,12,13,8,20,13,14,15,3,11,11,10,10,6,18,12,13,12,18,3,20,1,1,1,10,1,20,D C,101,5,1,1,1,1,1,20,1,10,13,1,1,1,1,1,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,John O'Shea,£900Th. ,Premier League,
15/7/2016,17.3.2.23,Nicolás Otamendi,14004589,1649,12-Feb-88,28,38,2,0,0,7100,8000,7800,155,151,57067479,183,81,D C,1,1,2,2,3,2,2,3,2,2,3,5,5,9,10,12,6,16,6,11,16,13,10,17,10,17,17,18,13,16,12,11,17,6,15,12,15,16,16,13,12,14,15,8,18,13,20,17,15,15,11,15,3,9,16,18,7,19,15,14,12,12,20,1,1,1,13,1,20,D C,101,1,1,1,1,1,1,20,1,13,7,1,1,1,1,1,8933532008452,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Nicolás Otamendi,£27.00m ,Premier League,
15/7/2016,17.3.2.23,Federico Fernández,14011214,1649,21-Feb-89,27,32,3,2,0,6093,6643,6593,140,133,17945169,189,81,D C,3,2,2,2,3,1,2,1,1,1,4,5,6,9,8,12,4,16,5,10,14,9,5,16,10,12,16,13,16,12,11,13,11,10,8,9,15,14,14,10,12,15,16,9,15,9,20,14,14,12,12,12,3,8,15,12,8,11,13,10,15,2,20,1,1,1,11,1,20,D C,101,1,1,1,1,1,1,20,1,11,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Federico Fernández,£8.10m ,Premier League,
15/7/2016,17.3.2.23,Marcos Rojo,14020763,1649,20-Mar-90,26,49,2,0,0,6000,7000,7000,150,142,22270630,187,80,D LC,3,3,2,4,3,4,2,1,3,2,2,5,10,9,6,12,4,14,6,10,16,12,8,18,13,17,15,18,10,12,6,12,15,10,8,12,15,15,14,13,14,14,13,20,14,14,8,15,14,12,14,10,8,12,8,13,14,14,15,14,14,7,20,14,10,1,1,16,20,D LC,104,1,1,1,1,1,1,20,16,1,10,1,10,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcos Rojo,£16.20m ,Premier League,
15/7/2016,17.3.2.23,Ramiro Funes Mori,14023766,1649,05-Mar-91,25,13,0,0,0,6250,7250,6800,150,136,20634426,185,74,D C,3,1,2,3,1,2,1,2,3,3,1,5,9,8,7,12,14,17,11,10,15,9,12,16,10,18,11,17,12,9,9,10,15,10,12,11,11,14,15,13,11,16,17,20,14,14,10,15,16,14,16,16,10,6,18,15,12,12,15,12,11,12,20,1,1,1,1,13,20,D C,101,1,1,1,1,1,1,20,13,1,1,1,1,1,1,1,141733953536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Ramiro Funes Mori,£10.80m ,Premier League,
15/7/2016,17.3.2.23,Michael Dawson,142537,765,18-Nov-83,32,4,0,13,0,5600,6650,6650,150,128,2019207,188,89,D C,2,1,2,3,3,2,4,1,3,2,1,2,8,4,9,8,4,16,6,7,12,15,12,16,9,14,13,18,11,12,16,12,17,4,18,6,14,20,20,8,9,14,17,12,13,8,20,15,14,12,6,16,8,7,12,15,16,12,14,14,14,5,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,8933531975840,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,Michael Dawson,£2.25m ,Premier League,
15/7/2016,17.3.2.23,Kevin Wimmer,16023937,755,15-Nov-92,23,4,0,9,0,5800,6850,7100,155,145,35374726,187,85,D C,1,2,3,1,1,1,3,1,1,2,1,5,10,8,6,12,6,14,8,14,15,13,8,15,12,11,14,14,16,14,12,15,13,9,11,7,13,16,12,12,11,17,14,20,12,16,9,13,16,14,8,13,5,12,19,14,10,12,16,15,13,6,20,12,12,3,7,14,20,D C,101,1,10,1,1,3,3,20,14,7,12,12,3,3,12,5,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kevin Wimmer,£6.30m ,Premier League,
15/7/2016,17.3.2.23,Cheikhou Kouyaté,18022052,41,21-Dec-89,26,24,2,0,0,5495,6395,6745,140,139,22749356,193,78,DM C,2,1,3,3,2,3,2,1,1,3,3,8,8,12,12,13,8,15,10,10,14,13,11,16,12,18,15,14,13,13,10,11,13,10,12,8,14,16,16,12,15,17,16,7,17,14,20,12,17,16,15,14,8,12,8,12,10,11,8,10,9,7,15,1,15,1,1,1,15,DM C,301,1,1,1,1,1,1,15,1,1,20,15,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cheikhou KouyatÃ©,£10.80m ,Premier League,
