GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15-07-16,17.3.2.23,Adam Federici,1301880,1435,31-Jan-85,31,16,0,5,0,4550,6250,6500,136,130,7290117,188,90,GK ,15,12,10,11,14,16,16,15,10,7,12,8,6,6,8,14,6,8,5,14,6,14,10,7,14,8,12,14,11,12,13,12,12,6,11,1,11,10,8,10,10,9,16,11,12,9,20,9,16,12,5,14,5,10,18,10,14,12,15,16,13,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adam Federici,£900Th. ,Premier League
15-07-16,17.3.2.23,Thibaut Courtois,18026122,757,11-May-92,24,42,0,4,0,8100,8750,8550,183,161,103826067,199,94,GK ,18,13,12,5,17,15,17,16,10,5,15,4,3,10,1,10,8,10,2,1,2,13,1,1,13,8,15,14,14,15,10,15,15,14,11,2,13,14,10,11,14,12,19,20,12,10,10,9,13,14,5,18,5,13,14,14,15,16,15,14,14,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thibaut Courtois,£36.00m ,Premier League
15-07-16,17.3.2.23,Jack Butland,28044979,765,10-Mar-93,23,4,0,28,0,5750,7100,7400,161,152,41155365,196,94,GK ,18,12,13,11,15,14,16,18,11,10,9,6,2,2,1,10,11,3,2,2,2,9,2,3,10,10,12,14,14,15,10,11,15,3,9,1,13,12,10,13,18,12,14,4,15,11,20,14,12,12,5,10,5,13,9,13,14,11,17,16,16,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Butland,£13.50m ,Premier League
15-07-16,17.3.2.23,Loris Karius,28047501,771,22-Jun-93,23,0,0,1,0,6650,6900,7150,158,143,29231290,189,87,GK ,13,12,13,10,13,14,16,16,15,14,13,8,2,2,2,13,12,6,3,2,2,11,3,2,10,8,15,13,14,14,10,13,13,3,9,2,14,14,10,14,14,13,13,9,14,11,20,12,13,14,6,14,8,12,12,16,11,13,14,15,16,7,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loris Karius,£7.20m ,Premier League
15-07-16,17.3.2.23,Jordan Pickford,28054565,765,07-Mar-94,22,0,0,9,0,5000,6700,6700,160,134,16472576,187,77,GK ,14,14,14,9,13,17,13,16,12,9,12,5,3,2,2,11,10,8,1,3,3,14,2,1,13,10,13,13,11,12,13,12,14,3,9,2,14,10,11,8,14,12,14,20,6,8,10,13,13,13,7,10,9,12,13,12,13,11,12,10,5,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Pickford,£13.50m ,Premier League
15-07-16,17.3.2.23,Nick Pope,29083750,765,19-Apr-92,24,0,0,0,0,2500,5450,5450,132,109,939274,196,78,GK ,14,17,11,2,13,10,10,14,13,8,12,1,3,2,1,5,4,2,3,1,2,5,1,1,5,8,11,13,9,12,8,9,10,7,5,2,12,7,6,8,13,11,16,11,10,9,20,10,10,10,10,7,1,10,10,10,8,11,10,10,11,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Pope,£675Th. ,Premier League
15-07-16,17.3.2.23,Heurelho Gomes,310870,1651,15-Feb-81,35,11,0,15,0,5600,6500,7050,141,141,232186002,191,91,GK ,16,12,13,16,14,7,16,18,14,16,19,4,1,2,1,12,7,2,3,2,1,3,6,3,11,2,15,12,15,10,11,8,15,3,16,8,17,14,13,11,16,16,18,5,14,11,20,12,18,14,2,14,12,11,14,13,14,15,16,13,16,11,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.6031E+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Heurelho Gomes,£900Th. ,Premier League
15-07-16,17.3.2.23,Darren Randolph,5004726,789,12-May-87,29,13,0,10,0,3516,6000,6400,137,133,5878196,188,89,GK ,15,14,13,9,15,14,14,17,11,10,11,3,1,1,3,11,5,6,1,10,1,11,4,5,11,10,10,12,13,9,9,10,15,5,14,11,14,10,9,9,15,15,15,11,12,9,20,13,15,12,1,11,5,1,15,10,15,8,15,11,11,12,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darren Randolph,£2.25m ,Premier League
15-07-16,17.3.2.23,Wayne Hennessey,5006568,801,24-Jan-87,29,62,0,6,0,5350,6850,6750,138,137,9521953,196,90,GK ,18,11,12,4,12,18,16,14,14,14,18,4,1,1,1,7,6,2,3,3,3,5,1,1,6,12,13,12,9,12,6,11,13,1,8,6,12,11,10,10,14,12,19,13,13,11,20,11,15,10,8,12,7,12,13,13,13,11,13,13,13,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.60288E+16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wayne Hennessey,£3.60m ,Premier League
15-07-16,17.3.2.23,Lee Grant,5101667,765,27-Jan-83,33,0,0,4,0,3500,6200,6200,130,130,1637726,191,84,GK ,14,16,11,5,12,13,13,16,13,10,13,4,1,3,2,12,9,7,3,2,3,13,3,1,11,9,12,15,12,13,12,11,8,12,7,12,15,11,11,9,15,10,14,6,9,9,20,9,10,10,10,12,5,12,3,15,12,10,11,7,14,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17179869184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Lee Grant,£900Th. ,Premier League
