GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15/7/2016,17.3.2.23,Marcos Rojo,14020763,1649,20-Mar-90,26,49,2,0,0,6000,7000,7000,150,142,22270630,187,80,D LC,3,3,2,4,3,4,2,1,3,2,2,5,10,9,6,12,4,14,6,10,16,12,8,18,13,17,15,18,10,12,6,12,15,10,8,12,15,15,14,13,14,14,13,20,14,14,8,15,14,12,14,10,8,12,8,13,14,14,15,14,14,7,20,14,10,1,1,16,20,D LC,104,1,1,1,1,1,1,20,16,1,10,1,10,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcos Rojo,£16.20m ,Premier League,
15/7/2016,17.3.2.23,Nacho Monreal,1509608,796,26-Feb-86,30,16,0,9,0,6500,7250,7250,148,148,232186002,178,72,D L,3,1,3,2,2,2,2,4,3,2,3,7,12,12,7,12,7,15,7,14,16,13,7,16,13,14,15,15,15,16,10,15,15,6,8,12,15,16,15,14,13,14,12,20,14,14,8,16,12,16,10,18,9,8,15,12,14,14,16,14,16,6,20,14,10,1,1,20,14,D L,103,1,1,1,1,1,1,14,20,1,1,1,10,1,14,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nacho Monreal,£11.70m ,Premier League,
15/7/2016,17.3.2.23,Kyle Naughton,152937,765,17-Nov-88,27,0,0,9,0,5400,6400,6400,135,130,12687171,180,73,D/WB/M RL,1,2,2,1,1,3,2,2,1,2,1,6,11,11,5,13,7,10,12,13,12,11,5,12,13,8,12,11,15,11,10,11,14,11,8,11,12,14,14,14,14,13,10,12,18,14,20,15,11,14,9,12,5,15,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,5,1,1,1,1,15,20,1,5,5,16,13,18,1125899906843200,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Naughton,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Fábio,2107501,1651,09-Jul-90,26,2,0,0,0,5900,6750,6250,132,125,7641954,172,69,D/WB RL,1,1,3,2,3,2,3,1,3,4,1,9,12,13,10,13,10,8,10,9,11,12,13,13,13,12,10,14,11,10,8,10,15,15,8,14,9,11,15,15,15,14,9,15,14,15,20,12,8,12,14,14,14,15,14,16,10,15,15,14,15,6,20,16,10,10,20,19,1,D/WB RL,115,1,1,1,1,10,10,1,19,20,1,1,10,10,16,16,2251799814733864,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fábio,£1.80m ,Premier League,
15/7/2016,17.3.2.23,Joel Ward,28004100,765,29-Oct-89,26,0,0,0,0,5500,6650,6750,136,133,19453020,188,83,D RL,3,3,3,2,2,2,2,2,1,3,2,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,15,9,13,18,5,10,13,14,17,15,13,13,12,13,10,17,12,20,16,13,15,1,10,6,15,14,12,12,9,13,10,13,1,20,10,10,10,20,15,10,D RL,105,1,1,1,1,1,10,10,15,20,1,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Ward,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Aaron Cresswell,28005949,765,15-Dec-89,26,0,0,0,0,5300,7150,7150,145,138,30698116,170,66,D L,3,2,3,1,2,3,2,2,3,1,1,14,16,13,8,14,14,13,14,11,14,14,13,15,14,8,14,13,14,13,9,12,13,12,9,10,15,18,18,14,12,13,9,20,15,14,7,15,10,18,9,14,5,14,12,16,14,11,14,14,16,4,20,15,8,4,1,20,1,D L,103,1,1,1,1,4,1,1,20,1,1,1,8,1,15,1,2592,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron Cresswell,£10.80m ,Premier League,
15/7/2016,17.3.2.23,Robbie Brady,28019284,789,14-Jan-92,24,27,6,12,7,5000,6850,6850,143,137,28063931,176,65,D/WB/M/AM L,3,2,2,1,4,2,2,2,1,1,2,13,14,13,11,13,14,7,13,6,10,13,13,10,13,14,13,13,14,12,13,13,16,14,9,12,12,13,13,13,14,13,8,20,13,14,10,13,12,12,13,12,10,13,15,13,13,10,11,12,9,9,16,19,19,20,12,20,10,D/WB/M/AM L,543,1,1,1,10,20,12,1,16,1,1,10,19,8,19,10,2251937252639008,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Robbie Brady,£9.00m ,Premier League,
15/7/2016,17.3.2.23,Luke Garbutt,28047409,765,21-May-93,23,0,0,11,0,3750,5900,5900,140,118,4446158,180,73,D/WB L,3,3,2,1,2,1,3,1,1,1,3,13,14,12,6,12,13,10,8,10,12,13,12,12,13,9,10,8,13,11,11,12,13,9,7,12,13,12,14,14,12,11,9,20,14,14,8,13,9,11,7,11,5,13,10,14,11,11,12,12,12,8,20,18,15,10,1,20,1,D/WB L,113,1,1,1,1,10,1,1,20,1,1,1,15,1,18,1,1099511627777,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Luke Garbutt,£900Th. ,Premier League,
15/7/2016,17.3.2.23,Jon Flanagan,28047454,765,01-Jan-93,23,1,0,3,0,4750,6500,6500,144,132,16598124,178,79,D RL,1,2,3,4,2,1,2,1,3,2,3,7,11,9,7,13,4,13,6,9,15,13,7,17,13,16,14,17,13,15,11,13,19,7,10,12,15,15,15,11,12,13,11,8,14,12,20,15,13,14,12,14,14,14,12,12,12,13,15,8,11,8,20,14,1,1,20,18,1,D RL,105,1,1,1,1,1,1,1,18,20,1,1,1,1,8,14,137438953472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Jon Flanagan,£3.15m ,Premier League,
15/7/2016,17.3.2.23,Ben Davies,28049754,801,24-Apr-93,23,25,0,0,0,5750,7500,7050,150,141,27654953,181,77,D L,3,3,3,2,1,3,2,2,3,3,3,13,15,12,6,14,14,14,6,11,14,14,10,14,13,13,15,18,15,13,14,14,17,9,6,13,15,14,15,13,13,15,10,20,13,11,8,14,14,15,6,9,5,11,10,13,14,9,15,13,12,4,20,1,1,1,1,20,13,D L,103,1,1,1,1,1,1,13,20,1,1,1,1,1,1,1,154618822689,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Ben Davies,£10.80m ,Premier League,
