GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15/7/2016,17.3.2.23,Ramadan Sobhi,12066084,16,23-Jan-97,19,1,0,23,7,4971,6960,6500,150,120,38705452,183,80,AM RLC,2,1,1,1,2,3,3,3,2,2,3,9,10,17,8,13,7,9,8,2,3,13,11,7,14,14,16,17,10,8,13,9,19,17,5,13,7,13,13,10,14,8,11,13,15,13,20,12,15,12,8,17,7,16,15,20,19,13,10,10,12,12,1,1,15,20,18,18,20,AM RLC,506,1,1,1,20,18,18,1,1,1,1,14,12,15,1,1,70368895303808,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Ramadan Sobhi,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Ahmed Musa,13106718,38,14-Oct-92,23,58,11,4,2,5495,6745,6745,141,133,29096114,168,69,AM/S RL,2,3,1,1,1,3,3,3,1,3,3,7,9,10,13,11,5,5,9,4,6,11,8,5,11,8,9,11,11,11,11,9,17,11,7,13,7,14,14,18,12,10,6,9,17,18,20,17,8,11,3,14,4,12,7,14,13,14,17,16,14,7,1,1,13,20,17,20,10,AM/S RL,515,1,1,17,10,20,17,1,1,1,1,1,13,10,1,1,549890031696,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Ahmed Musa,£15.30m ,Premier League,
15/7/2016,17.3.2.23,Isaac Success,13135061,38,07-Jan-96,20,0,0,4,2,5506,5557,6500,161,135,22519279,186,86,M/AM/S L,1,3,2,3,1,2,3,2,1,1,1,8,11,14,13,11,9,8,12,4,6,10,11,7,14,8,12,11,11,9,9,10,12,16,7,13,4,10,12,14,12,13,11,10,15,16,20,13,15,11,7,11,6,14,13,14,11,7,7,11,7,14,1,1,17,20,13,20,13,M/AM/S L,533,1,1,20,13,20,13,1,1,1,1,1,17,1,1,1,144115188210073600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaac Success,£3.60m ,Premier League,
15/7/2016,17.3.2.23,Steven Pienaar,131397,45,17-Mar-82,34,61,3,0,0,5000,7250,6250,140,124,925513,170,71,M LC,1,1,2,3,2,2,2,2,3,3,2,13,13,13,11,13,10,8,12,5,8,14,8,7,14,13,16,14,14,15,17,14,10,16,12,15,10,16,15,10,14,11,7,12,9,9,20,11,7,11,12,15,19,13,15,15,13,15,13,8,8,14,1,1,20,15,14,16,20,M LC,404,1,1,1,14,15,13,1,1,1,1,20,16,14,1,1,17592187093000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Steven Pienaar,£900Th. ,Premier League,
15/7/2016,17.3.2.23,Erik Lamela,14005628,1649,04-Mar-92,24,22,3,0,0,6150,7750,7400,160,148,104097957,183,79,AM RLC,2,1,1,2,2,2,1,2,3,1,3,15,12,14,13,15,14,6,13,4,4,14,13,10,17,15,14,11,14,10,14,12,14,16,5,15,9,10,16,16,15,14,10,20,17,14,9,16,11,13,13,12,10,16,4,14,12,11,14,9,11,7,1,1,15,20,20,18,19,AM RLC,506,1,1,13,19,18,20,1,1,1,1,1,10,15,1,1,2252488082194432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,Erik Lamela,£22.50m ,Premier League,
15/7/2016,17.3.2.23,Manuel Lanzini,14025513,1649,15-Feb-93,23,0,0,0,0,5347,6947,6747,160,142,35936652,167,63,M/AM RLC,3,2,3,3,2,2,2,1,3,1,1,13,13,16,12,16,15,8,13,2,6,15,10,5,16,12,10,10,13,10,14,11,13,15,10,15,5,12,10,16,16,12,8,13,13,15,20,12,8,12,8,12,10,12,15,13,12,8,12,7,13,8,1,1,16,20,15,17,20,M/AM RLC,526,1,1,10,20,17,15,1,1,1,1,16,14,11,1,1,2251799814733824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Manuel Lanzini,£13.50m ,Premier League,
15/7/2016,17.3.2.23,Pedro,1510305,796,28-Jul-87,28,59,17,2,0,7500,8000,8000,164,155,101426319,169,65,AM RLC,3,2,3,2,2,3,1,2,3,2,4,12,11,13,15,16,10,9,12,5,4,12,11,8,14,14,15,10,12,13,11,13,16,15,8,17,6,12,15,16,18,14,6,19,13,15,20,14,7,13,7,17,10,16,11,14,17,14,17,12,17,5,1,1,13,20,20,19,18,AM RLC,506,1,1,14,18,19,20,1,1,1,1,1,12,13,1,1,2252349570548736,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Pedro,£25.20m ,Premier League,
15/7/2016,17.3.2.23,Eden Hazard,18004418,757,07-Jan-91,25,70,14,0,0,8750,9000,8750,185,175,212977903,173,76,M/AM RLC,3,2,4,4,3,1,2,3,3,1,2,13,12,20,13,17,13,7,13,5,3,15,19,4,18,8,12,17,15,13,16,13,16,18,6,14,7,11,13,17,20,16,8,16,16,16,20,17,9,15,8,15,3,8,15,18,14,15,14,17,14,9,1,1,16,20,16,20,19,M/AM RLC,526,1,1,10,19,20,16,1,1,1,1,16,15,15,1,1,2462940491415552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Eden Hazard,£67.50m ,Premier League,
15/7/2016,17.3.2.23,Kevin De Bruyne,18004457,757,28-Jun-91,25,45,12,2,0,8250,9101,8900,180,174,232086864,181,76,M/AM RLC,1,1,1,2,2,4,2,3,2,1,1,15,17,15,16,17,15,7,16,8,7,17,12,8,17,12,14,9,14,12,17,15,15,16,11,16,10,12,15,13,13,13,8,16,16,13,20,17,12,14,8,15,4,14,12,18,10,11,17,10,12,13,1,1,18,20,18,18,20,M/AM RLC,526,1,1,14,20,18,18,1,1,1,12,18,18,18,1,1,141287244171264,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,Kevin De Bruyne,£58.50m ,Premier League,
15/7/2016,17.3.2.23,Divock Origi,18045347,757,18-Apr-95,21,21,3,2,0,6000,7000,7250,156,145,74362451,185,75,S L,1,1,2,3,1,3,1,1,1,1,1,4,11,16,14,16,7,12,14,4,4,11,14,7,16,11,13,11,14,12,11,12,15,15,5,14,9,13,13,15,16,14,11,13,13,16,20,12,14,12,5,12,9,10,14,15,15,13,14,12,14,5,1,1,1,15,14,15,12,S L,603,1,1,20,12,15,14,1,1,1,1,1,1,1,1,1,2269976115281936,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,Divock Origi,£10.80m ,Premier League,
