GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15/7/2016,17.3.2.23,Ahmed Elmohamady,12009828,16,09-Sep-87,28,71,2,0,0,5746,6396,6646,137,129,19058040,182,75,D/WB/M/AM R,3,1,1,3,4,1,1,3,2,2,2,12,17,15,10,13,8,14,9,12,9,10,9,10,12,14,9,9,10,9,13,10,8,11,6,11,8,13,13,15,13,11,13,6,16,15,20,14,9,14,8,11,3,13,14,11,8,9,11,10,13,5,16,18,20,18,20,9,1,D/WB/M/AM R,442,1,1,7,1,1,18,1,1,16,1,1,9,20,9,18,1099914346498,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Ahmed Elmohamady,£3.60m ,Premier League,
15/7/2016,17.3.2.23,Antonio Barragán,1504803,796,12-Jun-87,29,0,0,1,0,5250,6750,6750,144,136,15694572,186,83,D/WB R,2,1,3,1,3,2,2,1,1,3,3,9,13,12,7,12,8,12,11,16,14,11,8,12,12,12,13,13,12,13,11,13,12,11,9,15,13,16,16,13,12,10,14,10,13,15,20,15,14,14,9,12,12,13,11,13,6,14,16,14,14,8,20,18,12,1,20,9,1,D/WB R,112,1,1,1,1,1,1,1,9,20,1,1,1,12,8,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Antonio Barragán,£2.70m ,Premier League,
15/7/2016,17.3.2.23,Matt Lowton,152936,765,09-Jun-89,27,0,0,0,0,4196,6246,6246,135,126,10573045,181,78,D/WB R,1,3,2,1,1,4,3,2,3,2,3,6,13,12,8,13,6,14,12,7,12,13,6,13,12,11,14,13,16,13,11,10,17,10,8,12,14,15,15,13,15,12,11,6,14,13,20,14,12,13,9,12,8,11,10,13,14,8,9,11,11,7,20,18,13,12,20,1,13,D/WB R,112,1,1,1,1,1,12,13,1,20,1,7,1,13,1,18,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matthew Lowton,£2.25m ,Premier League,
15/7/2016,17.3.2.23,Kyle Naughton,152937,765,17-Nov-88,27,0,0,9,0,5400,6400,6400,135,130,12687171,180,73,D/WB/M RL,1,2,2,1,1,3,2,2,1,2,1,6,11,11,5,13,7,10,12,13,12,11,5,12,13,8,12,11,15,11,10,11,14,11,8,11,12,14,14,14,14,13,10,12,18,14,20,15,11,14,9,12,5,15,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,5,1,1,1,1,15,20,1,5,5,16,13,18,1125899906843200,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Naughton,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Jason Denayer,18081611,757,28-Jun-95,21,8,0,2,1,5150,7000,6450,155,129,12251375,184,75,D RC,3,2,4,1,3,1,3,3,3,2,2,6,8,13,9,13,5,13,6,10,12,11,6,15,13,15,13,13,13,14,10,11,7,9,8,6,11,14,15,15,14,14,13,11,12,14,20,13,14,13,7,13,9,9,15,15,10,14,10,15,14,2,20,1,1,1,15,12,20,D RC,103,1,1,1,1,1,1,20,12,15,15,1,1,1,1,1,137438986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Jason Denayer,£3.60m ,Premier League,
15/7/2016,17.3.2.23,Fábio,2107501,1651,09-Jul-90,26,2,0,0,0,5900,6750,6250,132,125,7641954,172,69,D/WB RL,1,1,3,2,3,2,3,1,3,4,1,9,12,13,10,13,10,8,10,9,11,12,13,13,13,12,10,14,11,10,8,10,15,15,8,14,9,11,15,15,15,14,9,15,14,15,20,12,8,12,14,14,14,15,14,16,10,15,15,14,15,6,20,16,10,10,20,19,1,D/WB RL,115,1,1,1,1,10,10,1,19,20,1,1,10,10,16,16,2251799814733864,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fábio,£1.80m ,Premier League,
15/7/2016,17.3.2.23,Craig Cathcart,28000905,785,06-Feb-89,27,32,2,15,0,4600,6550,6500,138,135,19141387,188,73,D RC,1,3,4,3,2,1,3,3,4,3,1,3,4,8,10,12,4,15,4,7,14,12,4,16,12,11,14,13,14,14,8,15,16,5,11,11,14,13,14,11,9,13,15,13,15,12,20,15,13,15,6,13,13,8,9,12,15,13,18,17,17,3,20,1,1,1,15,9,20,D RC,103,1,1,1,1,1,1,20,9,15,1,1,1,1,1,1,274877939712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Craig Cathcart,£3.60m ,Premier League,
15/7/2016,17.3.2.23,Joel Ward,28004100,765,29-Oct-89,26,0,0,0,0,5500,6650,6750,136,133,19453020,188,83,D RL,3,3,3,2,2,2,2,2,1,3,2,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,15,9,13,18,5,10,13,14,17,15,13,13,12,13,10,17,12,20,16,13,15,1,10,6,15,14,12,12,9,13,10,13,1,20,10,10,10,20,15,10,D RL,105,1,1,1,1,1,10,10,15,20,1,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Ward,£4.50m ,Premier League,
15/7/2016,17.3.2.23,Kyle Walker,28009441,765,28-May-90,26,19,0,7,0,6000,7500,7500,151,148,76525627,183,74,D/WB R,1,2,3,3,3,1,2,2,2,4,2,13,13,14,7,12,12,15,7,14,12,12,6,13,12,11,13,15,13,13,11,9,13,10,12,12,12,15,16,18,15,15,12,10,13,18,20,15,15,13,5,12,6,14,10,15,14,7,8,12,11,7,20,18,5,5,20,10,12,D/WB R,112,1,1,1,1,1,5,12,10,20,1,1,1,5,1,18,134217760,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Walker,£27.00m ,Premier League,
15/7/2016,17.3.2.23,Martin Kelly,28010835,765,27-Apr-90,26,1,0,8,3,4900,6500,6500,130,125,11053229,191,78,D RC,1,3,3,1,1,3,1,3,3,3,2,4,8,8,10,12,5,12,2,6,11,12,5,14,12,13,12,16,12,14,13,13,14,5,10,10,14,11,16,12,13,13,13,11,10,13,20,15,14,7,17,11,14,13,19,12,14,12,14,14,12,5,20,14,1,1,20,10,16,D RC,103,1,1,1,1,1,1,16,10,20,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Martin Kelly,£2.70m ,Premier League,
