GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,current league
15-07-16,17.3.2.23,Islam Slimani,12031625,5,18-Jun-88,28,44,24,0,0,6000,7650,7300,156,146,34944346,188,84,S ,2,1,3,1,3,2,1,1,3,1,1,7,8,11,16,13,11,17,6,6,7,12,12,8,11,17,17,17,15,16,9,14,16,11,13,15,8,12,15,12,13,16,16,11,14,13,20,14,15,15,20,13,8,8,12,14,14,13,13,7,12,11,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Islam Slimani,£22.50m ,Premier League
15-07-16,17.3.2.23,Jermain Defoe,127925,765,07-Oct-82,33,55,19,23,7,6096,6796,6996,155,140,232186002,167,71,S ,3,3,3,3,2,3,1,1,1,3,1,8,8,14,16,14,8,10,13,5,4,11,13,9,15,12,13,10,16,15,11,13,15,13,13,16,9,15,15,14,15,15,6,15,18,15,20,15,9,12,13,14,3,12,11,15,7,12,16,8,9,3,1,1,1,10,1,10,1,S ,600,1,1,20,1,10,1,1,1,1,1,1,1,1,1,1,4.39805E+12,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jermain Defoe,£4.50m ,Premier League
15-07-16,17.3.2.23,Ahmed Musa,13106718,38,14-Oct-92,23,58,11,4,2,5495,6745,6745,141,133,29096114,168,69,AM/S RL,2,3,1,1,1,3,3,3,1,3,3,7,9,10,13,11,5,5,9,4,6,11,8,5,11,8,9,11,11,11,11,9,17,11,7,13,7,14,14,18,12,10,6,9,17,18,20,17,8,11,3,14,4,12,7,14,13,14,17,16,14,7,1,1,13,20,17,20,10,AM/S RL,515,1,1,17,10,20,17,1,1,1,1,1,13,10,1,1,5.4989E+11,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Ahmed Musa,£15.30m ,Premier League
15-07-16,17.3.2.23,Oumar Niasse,13116862,41,18-Apr-90,26,6,3,6,0,5200,6200,6600,135,128,16390352,182,82,S ,2,1,3,1,2,4,2,2,2,3,3,4,5,13,15,11,5,12,13,7,4,10,13,5,6,14,11,14,9,10,12,8,13,16,8,13,9,11,15,17,14,16,13,10,15,15,20,15,17,13,7,12,7,8,7,17,8,6,13,13,14,19,1,1,7,13,13,13,1,S ,600,1,1,20,1,13,13,1,1,1,1,1,7,7,1,1,2.25194E+15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Oumar Niasse,£8.10m ,Premier League
15-07-16,17.3.2.23,Isaac Success,13135061,38,07-Jan-96,20,0,0,4,2,5506,5557,6500,161,135,22519279,186,86,M/AM/S L,1,3,2,3,1,2,3,2,1,1,1,8,11,14,13,11,9,8,12,4,6,10,11,7,14,8,12,11,11,9,9,10,12,16,7,13,4,10,12,14,12,13,11,10,15,16,20,13,15,11,7,11,6,14,13,14,11,7,7,11,7,14,1,1,17,20,13,20,13,M/AM/S L,533,1,1,20,13,20,13,1,1,1,1,1,17,1,1,1,1.44115E+17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Isaac Success,£3.60m ,Premier League
15-07-16,17.3.2.23,Kelechi Iheanacho,13136621,38,03-Oct-96,19,4,2,2,0,6200,6800,7250,177,134,85069879,186,77,S ,2,3,2,1,2,2,2,2,3,1,1,6,7,13,15,13,9,11,12,5,5,13,11,7,13,11,14,11,14,12,10,9,16,12,13,14,6,11,15,16,15,12,13,20,13,15,8,15,13,11,9,3,10,7,18,16,13,13,16,15,16,5,1,1,1,14,12,14,1,S ,600,1,1,20,1,14,12,1,1,1,1,1,1,1,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kelechi Iheanacho,£13.50m ,Premier League
15-07-16,17.3.2.23,Jonathan Calleri,14034934,1649,23-Sep-93,22,0,0,0,0,5500,6500,6500,153,139,27327938,175,69,S R,2,2,1,1,2,3,1,3,3,1,2,12,13,13,13,13,6,14,12,4,7,12,11,5,14,7,15,11,15,12,12,12,15,13,6,15,9,15,15,14,14,15,12,9,14,13,20,17,14,14,7,12,7,11,12,14,13,16,18,17,12,5,1,1,1,15,15,1,1,S R,602,1,1,20,1,1,15,1,1,1,1,1,1,1,1,1,786432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonathan Calleri,£7.20m ,Premier League
15-07-16,17.3.2.23,Stefano Okaka,1405004,776,09-Aug-89,26,4,1,7,2,6000,6950,6400,131,128,13484785,186,82,S ,2,3,2,1,2,2,2,3,4,2,1,3,7,14,11,13,4,14,12,4,6,12,8,6,11,14,12,11,12,12,11,12,13,14,8,14,7,12,15,14,13,18,13,8,15,15,20,14,18,10,15,13,13,8,10,11,12,14,7,12,9,14,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stefano Okaka,£5.40m ,Premier League
15-07-16,17.3.2.23,Zlatan Ibrahimovic,142173,797,03-Oct-81,34,116,62,7,6,8850,8900,8900,185,172,232186002,195,95,S ,3,2,1,3,3,1,1,2,1,3,3,5,12,15,16,18,14,14,16,8,6,15,18,6,18,16,16,15,13,13,16,14,14,19,16,15,4,13,8,12,15,20,18,16,16,14,20,15,18,16,13,11,11,8,15,20,11,15,14,7,7,13,1,1,1,12,10,10,12,S ,600,1,1,20,12,10,10,1,1,1,1,1,1,1,1,1,3.52187E+13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Zlatan Ibrahimovic,£9.00m ,Premier League
15-07-16,17.3.2.23,Fernando Llorente,1501170,796,26-Feb-85,31,24,7,9,5,6950,6950,7000,159,139,232186002,195,90,S ,3,1,3,2,2,3,2,2,2,2,3,7,10,13,15,15,6,17,11,3,7,13,14,6,15,10,13,11,14,12,12,15,14,14,11,14,10,16,14,9,12,17,17,15,14,11,20,11,14,13,6,14,4,7,14,15,9,13,11,12,12,9,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,17039360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Llorente,£5.40m ,Premier League
