GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
19-06-17,18.3.4.28,Khaled Adénon,12000121,7,28-Jul-85,31,50,2,0,0,3500,6050,6050,124,121,1466580,181,70,D C,1,4,3,3,2,2,1,2,2,2,3,6,8,7,6,10,6,15,10,6,14,10,6,14,10,12,13,14,11,12,8,13,14,9,12,7,12,13,15,12,11,14,14,8,13,13,20,14,12,13,13,13,7,12,11,13,14,16,13,14,15,7,20,10,7,1,12,1,20,D C,101,1,1,1,1,1,1,20,1,12,10,7,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Khaled Adénon,£450Th. ,35,180,Defender - Centre-Back,right,US Avranches,37,1,0,3330,36,0,1,3099,25,0,0,2111,1,0,0,90,5,0,0,450,Ligue 1
19-06-17,18.3.4.28,Edson Mexer,12013851,35,08-Sep-88,28,36,1,0,0,4800,6550,6550,138,131,11391915,188,79,D C,2,1,1,1,3,2,1,2,4,2,2,7,7,8,8,11,10,15,9,9,14,11,10,15,11,15,14,14,12,14,8,11,13,6,10,8,14,12,12,14,13,15,14,8,14,13,20,15,14,13,9,13,12,9,13,13,13,13,14,13,13,4,20,1,1,1,10,1,20,D C,101,1,1,1,1,1,1,20,1,10,10,1,1,1,1,1,2.74878E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-17,18.3.4.28,Aymen Abdennour,12014167,51,06-Aug-89,27,49,1,10,1,5250,7000,6250,150,131,2565387,187,88,D C,1,3,1,1,4,2,2,1,2,3,1,5,9,10,6,7,7,16,12,12,16,10,8,16,10,18,12,17,10,15,9,12,16,8,12,8,13,15,16,8,9,18,14,20,13,10,8,15,18,10,15,13,14,11,12,15,11,13,14,11,11,8,20,8,4,1,1,10,20,D C,101,1,1,1,1,1,1,20,10,1,10,1,4,1,8,1,4.50389E+15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Aymen Abdennour,£3.60m ,31,187,Defender - Centre-Back,left,Umm Salal SC,14,0,0,967,14,0,0,1069,6,0,0,445,12,0,0,902,1,0,0,90,Ligue 1
19-06-17,18.3.4.28,Ramy Bensebaďni,12038706,5,16-Apr-95,22,5,0,3,0,3800,6050,6050,139,121,5131128,186,75,D/DM LC,1,1,1,1,3,1,2,3,2,2,2,10,11,10,8,12,9,10,9,11,12,11,5,13,12,7,13,14,12,13,10,12,14,10,8,10,12,13,14,13,11,12,14,20,11,14,6,14,12,12,11,11,4,13,11,14,11,12,12,8,8,4,20,12,14,1,1,19,20,D/DM LC,114,1,1,1,1,1,1,20,19,1,16,14,13,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ramy Bensebaini,£7.20m ,25,186,Defender - Left-Back,left,Borussia Mönchengladbach,26,0,0,1851,34,1,1,2725,39,3,1,3292,26,5,5,1768,6,2,0,446,Ligue 1
19-06-17,18.3.4.28,Oussama Haddadi,12056232,51,28-Jan-92,25,3,0,0,0,3750,6050,6050,125,119,3204938,188,83,D LC,2,3,1,3,1,3,3,1,4,2,1,11,12,13,10,12,11,11,10,13,11,12,10,14,13,12,13,12,12,11,12,12,3,12,9,12,9,14,13,15,13,13,13,20,12,12,6,13,13,12,9,12,7,11,13,13,13,11,12,9,14,6,20,14,1,1,1,20,15,D LC,104,1,1,1,1,1,1,15,20,1,1,1,1,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oussama Haddadi,£2.70m ,28,184,Defender - Left-Back,left,Kasimpasa,27,0,5,2299,34,1,1,2619,39,2,2,3152,34,1,6,3063,5,0,0,404,Ligue 1
19-06-17,18.3.4.28,Marcelo,19033601,1651,20-May-87,30,0,0,4,0,5033,6091,6950,140,139,232186002,191,85,D C,1,4,2,2,1,4,3,2,2,1,3,4,4,7,7,8,4,17,6,6,15,12,7,15,10,13,15,16,14,14,8,14,13,7,17,8,15,12,12,10,10,14,16,10,14,10,20,14,16,16,12,13,6,5,14,14,12,12,15,10,10,8,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,10,1,1,1,1,1,2.74878E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Marcelo,£54.00m ,32,174,Defender - Left-Back,left,Real Madrid,47,3,13,3878,44,5,11,3671,34,3,6,2858,23,2,7,1884,3,0,1,270,LaLiga
19-06-17,18.3.4.28,Pablo,19125312,1651,21-Jun-91,25,0,0,0,0,3750,6750,6000,133,133,3053056,188,79,D C,1,3,4,1,2,1,2,1,3,1,2,2,6,8,7,11,7,15,8,7,14,9,9,13,8,14,12,16,12,13,6,12,11,8,10,8,13,13,13,13,13,13,16,14,13,13,20,14,16,12,12,11,13,10,5,10,9,15,12,8,13,9,20,1,1,1,1,1,20,D C,101,1,11,1,1,1,1,20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pablo,£2.70m ,29,188,Defender - Centre-Back,right,FC Girondins Bordeaux,28,0,0,2381,15,0,3,1292,39,1,2,3203,28,4,0,2445,5,0,0,390,Ligue 1
19-06-17,18.3.4.28,Marquinhos,19163495,1651,14-May-94,23,19,0,0,0,7000,8000,7800,175,156,172709061,183,72,D RC,1,3,3,1,1,2,2,2,1,3,1,4,11,10,8,14,4,15,10,7,15,13,8,16,14,14,15,15,15,16,12,15,18,10,12,8,16,17,15,14,13,16,13,10,14,15,20,15,13,16,8,15,8,15,15,15,12,14,17,15,16,7,20,1,1,1,15,1,20,D RC,103,1,1,1,1,1,1,20,1,15,10,1,1,1,1,1,8589967360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marquinhos,£49.50m ,26,183,Defender - Centre-Back,right,Paris Saint-Germain,44,4,0,3849,41,2,3,3613,44,4,2,3861,37,6,1,3043,5,1,0,433,Ligue 1
19-06-17,18.3.4.28,Diego Carlos,19188567,1651,15-Mar-93,24,0,0,0,0,3900,6000,6500,139,130,10540251,185,79,D C,3,4,1,2,3,3,3,4,1,2,1,5,5,7,7,11,9,14,8,10,14,12,10,15,12,16,13,14,13,13,8,12,13,9,9,8,13,13,14,13,13,15,12,9,15,13,20,15,15,15,12,13,6,8,13,13,11,11,16,12,10,11,20,1,8,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,15,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Diego Carlos,£9.00m ,27,186,Defender - Centre-Back,right,Sevilla FC,39,2,0,3402,29,1,0,2382,40,1,0,3514,45,2,1,3961,7,0,0,660,Ligue 1
19-06-17,18.3.4.28,Marlon,19189110,1651,07-Sep-95,21,0,0,13,0,3750,6750,6250,154,125,5938488,185,81,D/DM C,3,2,3,1,2,2,2,3,2,3,3,7,8,13,7,13,8,12,8,8,13,12,11,13,13,15,11,13,11,11,13,13,13,13,10,10,13,12,14,12,11,14,13,12,12,13,20,13,15,11,15,10,11,11,17,12,12,12,13,12,11,11,20,1,10,1,1,1,20,D/DM C,111,1,1,1,1,1,1,20,1,1,18,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marlon,£5.40m ,25,182,Defender - Centre-Back,right,US Sassuolo,30,0,0,2303,27,0,0,2159,18,1,0,1510,23,0,0,1818,0,0,0,0,Ligue 1
