GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
19-06-17,18.3.4.28,Gareth Barry,108586,765,23-Feb-81,36,53,3,27,2,5700,6650,6750,155,131,232186002,183,78,DM/M C,1,4,3,3,2,2,3,3,1,3,2,10,13,8,11,14,12,12,10,8,14,16,12,14,15,14,16,13,17,14,12,13,15,8,16,11,17,18,14,8,9,12,11,20,15,9,12,10,13,15,16,14,4,15,2,12,13,13,15,12,14,2,12,1,19,1,1,12,19,DM/M C,311,1,1,1,1,1,1,10,12,1,20,19,6,1,1,1,4718592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Gareth Barry,£900Th. ,39,184,Midfielder - Defensive Midfield,left,Retired,34,2,1,2200,30,1,1,2234,27,1,1,1586,6,0,0,326,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Mohamed Elneny,12065054,16,11-Jul-92,24,37,2,5,1,6500,7500,7200,155,142,55947039,180,77,DM/M C,2,2,3,2,2,3,3,2,1,4,1,8,7,11,6,14,8,12,14,8,13,14,14,15,15,12,14,14,16,15,13,14,14,8,11,10,13,16,16,12,12,15,13,8,18,13,20,16,15,13,8,12,6,8,14,14,14,14,15,14,18,4,15,1,20,1,1,1,20,DM/M C,421,1,1,1,1,1,1,15,1,1,19,20,1,1,1,1,525056,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mohamed Elneny,£9.00m ,28,179,Midfielder - Defensive Midfield,right,Arsenal FC,24,0,2,1043,32,1,4,2341,17,0,1,1013,36,1,4,3064,7,0,0,562,Premier League
19-06-17,18.3.4.28,Michael Carrick,122025,765,28-Jul-81,35,34,0,14,2,6550,7250,7400,165,142,4501892,188,74,DM ,1,1,3,3,3,3,2,1,3,3,2,13,13,5,8,16,10,12,9,6,14,18,14,14,17,8,16,8,18,16,14,19,16,6,14,7,18,18,10,6,8,14,13,16,14,9,20,9,13,17,7,12,13,8,15,15,14,15,19,18,19,1,10,1,13,6,1,1,13,DM ,300,1,1,1,6,1,1,10,1,1,20,13,1,1,1,1,2.79178E+11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-17,18.3.4.28,Darren Fletcher,127973,793,01-Feb-84,33,78,5,2,0,5850,7150,6750,160,135,232186002,183,83,DM/M C,2,4,4,2,2,2,1,1,3,1,2,10,15,6,10,13,8,15,6,9,13,14,12,15,14,15,16,18,12,15,11,14,18,6,17,9,17,19,15,9,13,14,13,11,15,10,20,12,12,17,14,20,6,12,18,14,18,16,20,17,18,4,10,8,20,12,13,8,20,DM/M C,421,1,1,1,12,1,10,1,1,10,18,20,8,13,1,8,2147614720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Darren Fletcher,£1.80m ,36,184,Midfielder - Central Midfield,right,Retired,40,2,3,3383,29,1,1,2356,14,1,1,612,nan,nan,nan,nan,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Claudio Yacob,14000757,1649,18-Jul-87,29,2,1,13,1,5600,6900,6850,150,137,30524157,181,73,DM/M C,3,1,3,1,2,2,1,3,2,3,2,5,10,12,5,13,9,12,6,7,15,12,10,16,12,15,17,18,14,15,12,14,14,10,13,11,16,17,17,10,13,14,11,9,12,10,20,14,14,15,16,15,7,8,10,15,16,17,13,13,8,13,1,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,1,1,1,20,20,1,1,1,1,4.5036E+15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Claudio Yacob,£3.15m ,33,182,Midfielder - Defensive Midfield,right,Club Nacional,34,0,0,2512,19,1,1,1042,17,0,0,1060,18,1,0,1147,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Cheikhou Kouyaté,18022052,41,21-Dec-89,27,36,2,0,0,5500,6800,6800,141,133,30568679,193,78,DM/M C,2,2,3,3,2,3,1,3,1,1,3,6,8,13,12,12,5,14,11,10,14,12,10,15,12,18,14,14,13,13,10,11,12,10,12,8,15,16,16,12,13,15,16,7,16,13,20,12,16,14,15,14,8,12,8,12,10,11,8,10,9,8,15,1,18,14,1,1,18,DM/M C,311,1,1,1,14,1,1,15,1,1,20,18,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cheikhou KouyatÃ©,£10.80m ,30,189,Midfielder - Defensive Midfield,right,Crystal Palace,36,4,0,3167,37,2,3,3089,37,0,3,2341,36,1,1,2625,6,1,0,540,Premier League
19-06-17,18.3.4.28,Victor Wanyama,18026085,25,25-Jun-91,25,44,4,0,0,6550,8000,7300,156,152,52208972,184,87,DM/M C,2,3,3,2,2,2,2,3,3,3,1,7,10,11,9,13,8,15,9,8,14,13,10,20,12,17,15,18,13,13,10,13,18,9,7,12,15,15,17,12,15,15,11,8,16,12,20,17,18,15,12,15,3,10,16,17,9,16,15,14,14,11,7,1,20,1,1,1,20,DM/M C,311,1,1,1,1,1,1,7,1,1,20,20,1,1,1,1,134217984,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Victor Wanyama,£27.00m ,29,184,Midfielder - Defensive Midfield,right,Montreal Impact,47,5,1,3894,24,1,0,1198,22,1,0,982,24,1,1,1922,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Wilfred Ndidi,18091791,38,16-Dec-96,20,8,0,3,0,5700,6900,7200,169,138,52156485,186,78,DM/M C,1,3,4,1,1,3,1,1,3,1,1,10,10,12,7,13,10,14,13,7,12,11,5,16,11,14,16,13,14,14,11,13,15,11,10,11,11,14,15,13,13,11,15,8,17,13,20,17,13,14,10,13,6,12,14,16,14,14,14,12,14,5,15,13,19,10,13,11,19,DM/M C,311,1,1,1,10,1,1,15,11,13,20,19,1,1,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wilfred Ndidi,£22.50m ,23,183,Midfielder - Defensive Midfield,right,Leicester City,57,6,1,5076,38,1,4,3295,40,2,1,3478,39,2,1,3096,2,0,0,180,Premier League
19-06-17,18.3.4.28,David Luiz,2114068,1651,22-Apr-87,30,57,3,0,0,7500,7900,7500,157,149,232186002,189,86,D/DM C,2,1,3,1,1,2,1,1,1,3,3,8,9,13,12,13,14,15,12,15,15,12,15,16,13,17,16,17,12,10,12,11,17,14,16,12,11,13,16,16,13,16,16,12,16,13,20,14,14,10,12,13,10,13,15,16,18,13,16,11,10,7,20,1,1,1,12,12,20,D/DM C,111,1,1,1,1,1,1,20,12,12,17,1,1,1,1,1,8.86481E+12,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,David Luiz,£22.50m ,33,189,Defender - Centre-Back,right,Arsenal FC,42,1,0,3754,17,2,0,1496,50,3,2,4339,43,2,1,3644,8,1,0,590,Premier League
19-06-17,18.3.4.28,Pierre-Emile Hřjbjerg,27058392,764,05-Aug-95,21,21,1,8,4,5155,6006,6650,155,134,46176725,185,84,DM/M/AM C,2,1,3,3,4,1,3,3,2,3,2,12,13,11,12,16,13,8,9,10,10,16,12,11,16,17,11,14,16,9,15,9,16,11,13,14,10,12,17,11,10,16,12,10,16,12,20,14,14,12,13,14,6,17,14,18,9,15,13,7,10,14,13,12,20,17,12,11,20,DM/M/AM C,431,1,1,1,17,11,11,13,1,10,16,20,11,11,1,12,1.40737E+14,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Pierre-Emile Höjbjerg,£9.00m ,25,185,Midfielder - Defensive Midfield,right,Tottenham Hotspur,37,0,1,2247,32,1,0,2432,33,4,4,2944,38,0,1,3200,9,0,1,692,Premier League
