GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
19/6/2017,18.3.4.28,Robert Green,107539,765,19-Jan-80,37,12,0,0,0,4500,6100,6100,148,122,539204,191,93,GK ,14,14,16,8,15,9,16,13,15,9,11,1,1,1,1,9,1,5,1,1,1,4,1,10,10,5,14,13,14,14,8,14,19,1,12,1,12,15,14,6,11,12,13,8,18,4,20,13,11,14,2,15,7,11,7,14,15,13,13,14,10,12,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rob Green,£225Th. ,40.0,191.0,Goalkeeper,right,Retired,47.0,49.0,15.0,4290.0,1.0,1.0,0.0,90.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Premier League,
19/6/2017,18.3.4.28,Mathew Ryan,15016604,1435,08-Apr-92,25,24,0,0,0,6500,7200,6650,144,133,23412584,184,84,GK ,9,14,10,13,13,15,13,12,15,12,12,8,3,2,1,11,12,8,2,12,1,14,1,1,11,13,14,15,14,12,11,12,18,8,14,2,17,10,12,10,14,14,14,14,14,11,20,15,13,14,8,16,6,12,12,17,14,19,18,14,14,4,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mathew Ryan,£7.20m ,28.0,184.0,Goalkeeper,right,Brighton & Hove Albion,26.0,25.0,11.0,2340.0,38.0,54.0,10.0,3420.0,36.0,58.0,6.0,3270.0,38.0,54.0,9.0,3420.0,6.0,12.0,1.0,540.0,Premier League,
19/6/2017,18.3.4.28,Jonas Lössl,1700114,764,01-Feb-89,28,1,0,15,0,4900,6250,6500,135,130,6979724,195,88,GK ,15,16,12,8,14,12,16,14,14,10,11,4,3,3,3,9,9,7,2,2,3,10,2,1,9,10,12,14,11,13,8,10,12,2,12,1,12,14,10,10,13,15,17,8,13,10,20,10,16,15,5,14,3,3,13,15,13,11,16,14,17,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jonas Lössl,£4.50m ,31.0,195.0,Goalkeeper,right,Everton FC,34.0,61.0,6.0,3090.0,40.0,61.0,10.0,3630.0,32.0,56.0,5.0,2867.0,15.0,18.0,6.0,1350.0,0.0,0.0,0.0,0.0,Premier League,
19/6/2017,18.3.4.28,Thibaut Courtois,18026122,757,11-May-92,25,50,0,4,0,8100,8750,8550,183,165,185684074,199,96,GK ,18,16,12,5,17,15,17,17,10,6,15,7,2,10,1,10,10,10,3,2,3,13,4,1,13,8,15,14,14,15,10,15,15,14,11,3,15,14,10,11,13,12,19,20,12,10,10,9,13,14,5,18,5,13,14,14,15,16,15,14,14,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Thibaut Courtois,£54.00m ,28.0,199.0,Goalkeeper,left,Real Madrid,39.0,32.0,17.0,3510.0,46.0,47.0,19.0,4170.0,35.0,48.0,10.0,3150.0,43.0,32.0,21.0,3855.0,7.0,7.0,3.0,630.0,Premier League,
19/6/2017,18.3.4.28,Jack Butland,28044979,765,10-Mar-93,24,5,0,28,0,5750,7550,7400,161,149,52954602,196,94,GK ,18,12,13,11,15,14,16,18,11,10,9,1,2,3,2,5,5,1,3,1,2,9,6,3,10,10,12,14,14,13,10,11,15,3,9,2,11,12,10,13,18,12,14,4,15,11,20,14,12,12,5,10,5,12,9,13,14,11,17,16,16,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jack Butland,£19.80m ,27.0,195.0,Goalkeeper,right,Crystal Palace,6.0,10.0,2.0,540.0,36.0,63.0,6.0,3240.0,45.0,51.0,18.0,4050.0,36.0,58.0,9.0,3240.0,0.0,0.0,0.0,0.0,Premier League,
19/6/2017,18.3.4.28,Loris Karius,28047501,771,22-Jun-93,23,0,0,1,0,6650,6900,7150,154,145,39494744,189,87,GK ,13,12,13,10,13,14,16,16,15,14,13,4,2,3,1,13,9,6,2,1,1,11,2,1,12,8,15,13,14,13,11,13,14,3,9,1,14,14,10,14,15,13,13,9,14,11,20,12,13,12,6,14,8,12,12,16,11,13,15,14,16,7,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Loris Karius,£10.80m ,27.0,189.0,Goalkeeper,right,1.FC Union Berlin,16.0,16.0,6.0,1440.0,33.0,31.0,16.0,2970.0,35.0,49.0,6.0,3150.0,32.0,46.0,8.0,2880.0,0.0,0.0,0.0,0.0,Premier League,
19/6/2017,18.3.4.28,Jordan Pickford,28054565,765,07-Mar-94,23,0,0,14,0,6000,7350,7350,175,152,51577848,187,77,GK ,14,15,17,9,13,18,16,17,12,9,12,6,1,1,3,11,9,8,1,1,1,15,1,2,12,16,14,15,12,14,13,13,14,1,14,3,14,10,11,8,14,12,14,20,13,8,10,13,13,15,3,13,5,13,7,12,13,14,15,10,10,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Jordan Pickford,£27.00m ,26.0,185.0,Goalkeeper,left,Everton FC,33.0,53.0,5.0,2970.0,46.0,70.0,12.0,4140.0,40.0,50.0,14.0,3600.0,43.0,61.0,11.0,3870.0,8.0,12.0,1.0,720.0,Premier League,
19/6/2017,18.3.4.28,Karl Darlow,29021698,765,08-Oct-90,26,0,0,0,0,4500,6500,6500,138,130,17475230,186,79,GK ,13,14,12,5,13,13,15,14,16,13,13,6,2,3,2,12,10,10,2,3,2,11,1,3,11,1,13,14,12,12,9,12,13,3,10,11,14,11,14,10,13,13,13,13,13,10,20,12,10,12,2,13,3,12,11,11,13,13,14,16,14,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Karl Darlow,£4.05m ,30.0,190.0,Goalkeeper,right,Newcastle United,36.0,32.0,15.0,3270.0,12.0,21.0,2.0,1110.0,1.0,3.0,0.0,90.0,6.0,8.0,1.0,570.0,6.0,10.0,1.0,540.0,Premier League,
19/6/2017,18.3.4.28,Nick Pope,29083750,765,19-Apr-92,25,0,0,0,0,5350,6950,6950,145,139,22516621,196,78,GK ,16,17,13,2,16,7,16,15,13,8,12,8,1,2,3,7,10,2,2,1,1,10,1,1,7,8,15,13,9,15,6,12,10,4,8,2,14,15,15,8,14,12,18,12,10,9,20,10,13,14,11,10,1,11,10,10,8,11,10,10,11,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nick Pope,£9.00m ,28.0,198.0,Goalkeeper,right,Burnley FC,4.0,1.0,3.0,390.0,38.0,41.0,13.0,3414.0,3.0,5.0,2.0,194.0,38.0,50.0,15.0,3420.0,5.0,9.0,1.0,450.0,Premier League,
19/6/2017,18.3.4.28,Julián Speroni,3101140,1649,18-May-79,38,0,0,0,0,4700,6000,6200,133,115,556710,186,87,GK ,11,10,12,11,14,9,13,13,12,12,10,7,2,1,2,5,9,1,3,2,4,15,3,10,5,2,15,12,11,15,12,12,15,3,10,2,12,12,10,11,12,13,13,10,12,9,20,15,8,15,2,9,3,11,13,12,15,12,16,14,16,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julián Speroni,£225Th. ,41.0,186.0,Goalkeeper,right,Retired,2.0,1.0,1.0,180.0,13.0,15.0,3.0,1170.0,2.0,4.0,1.0,180.0,nan,nan,nan,nan,nan,nan,nan,nan,Premier League,
