GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
19-06-17,18.3.4.28,Marcos Rojo,14020763,1649,20-Mar-90,27,54,2,0,0,6000,7000,7250,150,144,45008435,187,80,D LC,3,2,1,2,1,1,2,2,3,2,1,5,10,9,6,12,4,14,6,10,17,12,8,18,13,17,15,18,10,12,6,12,15,10,8,12,15,15,14,13,14,14,13,20,14,14,8,15,14,12,16,10,8,12,12,13,14,14,15,14,14,7,20,14,10,1,1,16,20,D LC,104,1,1,1,1,1,1,20,16,1,10,1,10,1,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Marcos Rojo,£16.20m ,30,187,Defender - Centre-Back,left,Manchester United,41,1,1,3143,12,0,1,910,8,0,0,355,10,0,1,738,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Jesús Gámez,1501035,796,10-Apr-85,32,0,0,4,2,5509,6800,6500,150,120,6074673,182,77,D/WB RL,4,2,3,1,4,2,2,2,3,1,3,5,11,11,5,12,5,11,7,12,12,12,7,13,14,12,13,13,14,13,10,13,12,6,12,13,13,14,12,11,12,13,12,12,12,12,20,12,12,13,8,12,16,10,6,16,15,11,12,12,8,5,20,18,1,1,20,16,1,D/WB RL,115,1,1,1,1,1,1,1,16,20,1,1,1,1,15,18,1.54619E+11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Jesús Gámez,£1.80m ,35,177,Defender - Right-Back,right,Retired,7,0,0,381,3,0,0,217,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,Premier League
19-06-17,18.3.4.28,Nacho Monreal,1509608,796,26-Feb-86,31,16,0,9,0,6600,7250,7400,148,148,232186002,178,72,D/WB LC,4,1,1,2,3,4,1,4,2,3,3,7,12,12,7,12,7,15,7,14,15,12,7,16,13,14,15,15,15,16,10,15,14,6,8,12,15,16,15,13,13,13,12,20,14,14,8,16,12,15,10,18,9,8,15,12,14,14,16,14,16,6,20,16,10,1,1,20,19,D/WB LC,114,1,1,1,1,1,1,19,20,1,1,1,10,1,16,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nacho Monreal,£11.70m ,34,180,Defender - Left-Back,left,Real Sociedad,43,1,3,3798,38,6,2,3091,36,1,7,2898,36,2,0,2962,4,0,0,360,Premier League
19-06-17,18.3.4.28,Kyle Naughton,152937,765,17-Nov-88,28,0,0,9,0,5500,6350,6700,135,127,26931133,180,73,D/WB/M RL,3,1,3,3,3,3,3,2,3,2,1,6,11,10,5,13,7,10,12,10,11,11,5,12,12,8,12,11,15,11,10,11,14,11,8,11,12,14,13,14,14,13,10,12,18,14,20,15,11,12,9,12,5,14,12,15,18,14,16,16,13,4,20,18,16,1,20,15,5,D/WB/M RL,125,1,1,1,1,1,1,1,15,20,1,5,5,16,13,18,1.1259E+15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kyle Naughton,£4.50m ,31,181,Defender - Right-Back,right,Swansea City,34,1,0,2959,39,1,2,3399,38,1,2,3025,35,3,0,2720,2,0,0,171,Premier League
19-06-17,18.3.4.28,Chancel Mbemba,18057323,53,08-Aug-94,22,25,1,0,0,5250,6750,6800,145,132,49225584,182,80,D RLC,3,1,2,2,1,2,1,2,2,2,1,4,10,12,8,12,4,14,10,4,13,12,7,15,13,10,13,14,14,12,8,11,13,10,10,11,15,15,15,15,11,14,13,8,14,15,20,14,14,12,8,13,6,14,14,12,12,14,14,14,16,5,20,1,1,1,17,15,20,D RLC,106,1,1,1,1,1,1,20,15,17,13,1,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chancel Mbemba,£5.40m ,26,182,Defender - Centre-Back,right,FC Porto,13,1,0,1195,11,0,0,883,8,0,0,485,42,6,1,3301,6,0,0,531,Premier League
19-06-17,18.3.4.28,Danilo,19099575,1651,15-Jul-91,25,15,0,15,2,7000,7500,7250,152,150,44013283,184,78,D/WB RL,2,2,2,3,2,2,3,4,1,2,2,11,13,12,11,12,10,10,13,13,12,12,12,15,13,14,12,14,11,13,10,10,15,14,10,14,11,13,16,13,12,13,12,16,15,17,20,17,14,12,14,12,9,14,12,15,13,12,16,12,12,8,20,18,9,1,20,16,9,D/WB RL,115,1,1,1,1,1,1,1,16,20,11,9,1,9,15,18,2.8823E+17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Danilo,£18.00m ,29,184,Defender - Right-Back,right,Juventus FC,25,1,3,2117,38,3,2,2476,22,1,1,1479,32,2,0,2152,5,0,1,450,Premier League
19-06-17,18.3.4.28,Emerson,19158043,776,13-Mar-94,23,0,0,0,0,5000,6750,7250,158,145,64378562,176,77,D RL,3,4,3,2,4,2,2,4,1,2,2,12,15,16,7,16,10,9,14,10,12,13,4,14,15,11,13,12,12,12,12,13,14,14,5,15,12,13,14,16,15,15,9,20,13,16,10,14,13,13,11,9,5,13,8,12,13,10,14,13,12,9,20,15,14,1,15,20,10,D RL,105,1,1,1,1,1,1,1,20,15,1,10,14,10,15,12,1.10018E+12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Emerson,£18.00m ,26,181,Defender - Left-Back,left,Chelsea FC,36,1,1,2595,10,0,2,655,27,1,2,2250,21,0,1,1523,2,0,0,114,Premier League
19-06-17,18.3.4.28,Joel Ward,28004100,765,29-Oct-89,27,0,0,0,0,5400,6650,6600,136,129,20559807,188,83,D RL,2,2,1,4,1,1,2,2,2,1,3,5,16,10,5,10,5,13,8,5,13,12,5,15,11,16,14,16,12,13,9,13,18,5,10,13,13,17,15,13,13,12,13,10,17,12,20,15,13,15,1,10,6,15,14,12,12,9,13,10,13,1,20,10,10,10,20,15,10,D RL,105,1,1,1,1,1,10,10,15,20,1,10,1,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Joel Ward,£4.50m ,30,186,Defender - Right-Back,right,Crystal Palace,42,0,1,3778,20,0,1,1706,12,1,0,939,29,0,0,2383,5,0,0,450,Premier League
19-06-17,18.3.4.28,Aaron Cresswell,28005949,765,15-Dec-89,27,2,0,0,0,5500,7000,7150,145,138,44256451,170,66,D/WB LC,3,2,2,3,3,3,3,3,3,2,1,14,16,13,8,13,14,13,14,11,14,14,13,15,14,8,14,13,14,13,9,12,13,12,9,10,15,18,18,14,12,13,9,20,15,14,7,15,10,18,9,14,5,14,12,16,14,11,14,14,16,4,20,16,8,4,1,20,18,D/WB LC,114,1,1,1,1,4,1,18,20,1,1,1,8,1,16,1,2592,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aaron Cresswell,£10.80m ,30,170,Defender - Left-Back,left,West Ham United,29,0,2,2344,39,1,7,3317,22,0,2,1769,33,3,0,2910,7,0,3,630,Premier League
19-06-17,18.3.4.28,Scott Malone,28017285,765,25-Mar-91,26,0,0,5,0,4250,6000,6000,127,120,6743954,189,75,D L,2,2,2,2,3,1,1,1,1,2,1,12,14,11,9,13,12,11,11,12,12,11,13,11,13,11,13,11,13,12,12,12,13,12,7,13,12,15,15,13,13,12,13,20,14,13,7,13,11,9,6,14,5,10,16,10,8,11,13,16,11,5,20,15,10,1,1,20,1,D L,103,1,1,1,1,1,1,1,20,1,1,1,10,1,15,1,3.51844E+13,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Scott Malone,£2.70m ,29,189,Defender - Left-Back,left,Millwall FC,42,6,6,3408,28,0,1,1506,35,2,2,2752,21,1,1,1446,7,1,0,542,Premier League
