GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47,name,Market Value,age,height,position,foot,current club,16/17 games,16/17 goals/conceded,16/17 assists/clean,16/17 minutes,17/18 games,17/18 goals/conceded,17/18 assists/clean,17/18 minutes,18/19 games,18/19 goals/conceded,18/19 assists/clean,18/19 minutes,19/20 games,19/20 goals/conceded,19/20 assists/clean,19/20 minutes,20/21 games,20/21 goals/conceded,20/21 assists/clean,20/21 minutes,current league
19/6/2017,18.3.4.28,Islam Slimani,12031625,5,18-Jun-88,29,52,26,0,0,5850,7650,7000,156,142,44699462,188,84,S ,4,3,1,2,1,2,1,1,3,1,2,7,8,11,15,13,11,17,6,6,7,12,12,8,11,17,17,17,14,15,9,14,16,11,13,15,8,12,15,12,13,16,15,11,14,13,20,14,15,10,20,13,8,8,12,14,14,13,13,7,12,11,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Islam Slimani,£16.20m ,32.0,188.0,Forward - Centre-Forward,right,Leicester City,31.0,9.0,5.0,1757.0,21.0,5.0,3.0,775.0,25.0,5.0,0.0,1967.0,19.0,9.0,7.0,1344.0,1.0,0.0,0.0,19.0,Premier League,
19/6/2017,18.3.4.28,Jermain Defoe,127925,765,07-Oct-82,34,57,20,23,7,6100,7150,7000,155,135,232186002,167,71,S ,1,1,3,1,2,2,2,3,1,2,4,8,8,14,16,14,8,10,13,5,4,11,13,9,15,12,13,10,16,15,11,13,15,13,13,16,9,15,15,13,13,15,6,15,18,14,20,13,9,12,13,14,3,12,11,15,7,12,16,8,9,3,1,1,1,10,1,10,1,S ,600,1,1,20,1,10,1,1,1,1,1,1,1,1,1,1,4398046519808,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Jermain Defoe,£2.25m ,38.0,171.0,Forward - Centre-Forward,right,Rangers FC,40.0,15.0,2.0,3458.0,26.0,4.0,1.0,1190.0,28.0,8.0,8.0,1400.0,32.0,17.0,1.0,1401.0,4.0,2.0,1.0,117.0,Premier League,
19/6/2017,18.3.4.28,Oumar Niasse,13116862,41,18-Apr-90,27,6,3,6,0,5200,6200,6400,135,125,13334673,182,82,S ,3,1,2,3,2,1,2,2,1,1,2,4,5,12,13,9,5,13,13,7,4,11,13,5,7,14,13,16,11,10,8,8,18,16,8,13,9,9,17,16,15,16,13,10,16,16,20,15,15,15,7,12,7,8,7,17,8,14,16,13,17,16,1,1,7,14,14,14,11,S ,600,1,1,20,11,14,14,1,1,1,1,1,7,7,1,1,2251937252638800,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Oumar Niasse,£7.20m ,30.0,182.0,Forward - Centre-Forward,right,Without Club,25.0,12.0,1.0,1596.0,27.0,12.0,4.0,1301.0,20.0,0.0,1.0,1115.0,5.0,2.0,0.0,199.0,nan,nan,nan,nan,Premier League,
19/6/2017,18.3.4.28,Kelechi Iheanacho,13136621,38,03-Oct-96,20,9,5,2,0,6200,6800,7250,147,134,56412637,187,77,S ,3,1,2,2,3,2,2,3,3,1,1,6,7,13,15,13,11,11,12,5,5,13,10,7,13,11,14,11,14,12,10,9,16,12,1,14,6,11,15,16,15,12,13,20,13,15,8,15,13,12,12,12,10,7,18,16,13,13,16,15,16,5,1,1,1,14,12,14,1,S ,600,1,1,20,1,14,12,1,1,1,1,1,1,1,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kelechi Iheanacho,£13.50m ,24.0,185.0,Forward - Centre-Forward,left,Leicester City,29.0,7.0,3.0,899.0,30.0,9.0,4.0,1451.0,35.0,2.0,4.0,1237.0,26.0,10.0,4.0,1314.0,5.0,1.0,2.0,263.0,Premier League,
19/6/2017,18.3.4.28,Guido Carrillo,14023274,1649,25-May-91,26,0,0,0,0,5800,6350,6800,140,136,32742346,191,87,S ,1,3,3,2,2,3,1,1,3,1,3,5,8,10,14,14,8,17,11,5,6,13,15,7,13,12,13,15,13,14,11,13,15,8,11,14,9,16,15,11,12,15,17,10,14,13,20,14,15,13,7,12,9,5,11,13,14,12,16,15,14,7,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,76561193665560576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Guido Carrillo,£13.50m ,29.0,191.0,Forward - Centre-Forward,right,Elche CF,31.0,8.0,5.0,1099.0,34.0,8.0,4.0,1418.0,33.0,6.0,1.0,2011.0,27.0,4.0,2.0,1507.0,1.0,0.0,0.0,7.0,Premier League,
19/6/2017,18.3.4.28,Zlatan Ibrahimovic,142173,797,03-Oct-81,35,116,62,7,6,8000,8500,8000,185,152,232186002,195,95,S ,1,1,3,2,1,2,3,1,3,2,1,6,12,11,15,18,15,15,16,8,6,15,18,6,18,16,15,15,15,15,16,14,17,19,17,14,4,11,8,8,13,19,18,16,15,9,20,14,18,16,15,14,11,5,17,19,10,17,17,7,7,13,1,1,1,12,6,5,12,S ,600,1,1,20,12,5,6,1,1,1,1,1,1,1,1,1,6917564246372975104,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Zlatan Ibrahimovic,£3.60m ,39.0,195.0,Forward - Centre-Forward,both,AC Milan,46.0,28.0,10.0,3847.0,34.0,23.0,7.0,2330.0,31.0,31.0,8.0,2790.0,20.0,11.0,5.0,1509.0,5.0,5.0,0.0,426.0,Premier League,
19/6/2017,18.3.4.28,Fernando Llorente,1501170,796,26-Feb-85,32,24,7,9,5,6700,6950,7100,159,139,232186002,193,90,S ,3,1,2,3,3,3,3,1,1,4,3,7,10,13,15,15,6,17,11,3,7,13,14,6,15,10,13,11,14,12,12,15,14,14,12,14,10,16,14,9,11,17,17,15,14,11,20,11,14,13,6,15,4,7,14,15,9,13,11,12,12,9,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,17039360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fernando Llorente,£6.30m ,35.0,193.0,Forward - Centre-Forward,right,SSC Napoli,35.0,15.0,1.0,2503.0,31.0,5.0,1.0,985.0,35.0,8.0,5.0,1247.0,24.0,4.0,1.0,666.0,0.0,0.0,0.0,0.0,Premier League,
19/6/2017,18.3.4.28,Romelu Lukaku,18007344,757,13-May-93,24,58,20,5,1,7250,8000,8200,168,160,208403551,191,94,S ,3,4,2,2,3,4,3,3,2,3,1,4,10,13,18,13,12,17,13,6,6,11,13,6,14,10,16,15,15,15,9,13,16,12,9,14,8,14,12,14,11,18,17,20,17,16,11,13,19,14,6,14,7,6,11,18,14,18,18,15,12,8,1,1,1,12,12,10,1,S ,600,1,1,20,1,10,12,1,1,1,1,1,1,1,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Romelu Lukaku,£81.00m ,27.0,191.0,Forward - Centre-Forward,left,Inter Milan,39.0,26.0,7.0,3447.0,51.0,27.0,9.0,4071.0,45.0,15.0,4.0,3001.0,51.0,34.0,6.0,4189.0,6.0,7.0,0.0,515.0,Premier League,
19/6/2017,18.3.4.28,Christian Benteke,18009139,757,03-Dec-90,26,32,11,9,4,5950,7250,6900,160,138,40313631,191,86,S ,3,1,2,3,2,2,3,1,3,2,4,2,7,13,12,14,9,18,11,3,9,11,12,4,14,12,12,13,15,11,13,11,16,12,9,11,8,10,9,13,13,17,18,9,14,14,20,14,18,8,8,10,11,1,18,16,8,16,12,10,10,12,1,1,1,12,1,1,12,S ,600,1,1,20,12,1,1,1,1,1,1,1,1,1,1,1,8260,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Christian Benteke,£19.80m ,29.0,190.0,Forward - Centre-Forward,right,Crystal Palace,40.0,17.0,2.0,3279.0,31.0,3.0,6.0,2234.0,19.0,1.0,1.0,854.0,25.0,2.0,1.0,1347.0,3.0,0.0,0.0,55.0,Premier League,
19/6/2017,18.3.4.28,Laurent Depoitre,18029100,757,07-Dec-88,28,1,1,0,0,5150,6500,6400,128,128,22399169,190,92,S ,2,1,3,1,1,2,4,1,3,2,2,8,8,9,13,11,10,16,11,3,9,10,9,8,11,14,13,14,14,14,10,13,14,10,13,15,7,17,18,12,10,16,14,10,12,12,20,14,16,14,3,12,2,4,12,14,11,11,12,14,19,3,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Laurent Depoitre,£4.05m ,31.0,191.0,Forward - Centre-Forward,right,KAA Gent,16.0,3.0,1.0,824.0,35.0,6.0,2.0,1988.0,25.0,0.0,1.0,1195.0,35.0,15.0,4.0,2609.0,12.0,2.0,1.0,715.0,Premier League,
