GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zoumana Camara,3801463,769,4/3/1979,31,1,0,20,0,4489,6000,6000,150,134,6590437,182,76,D C,1,1,3,2,1,3,1,2,2,3,1,5,8,7,5,10,7,14,9,7,14,9,8,14,10,12,15,17,13,11,8,13,14,7,15,6,14,14,15,12,13,15,11,8,12,14,20,16,15,12,12,14,9,8,11,14,11,10,14,14,14,5,D C,101,1,1,20,20,1,1,10,1,10,1,1,1,1,1,20,10,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zé Castro,742153,788,1/13/1983,27,1,0,18,0,5041,7250,7500,150,142,11335258,183,77,D C,1,2,1,1,2,1,1,6,1,2,2,8,10,10,7,14,10,15,7,10,15,16,10,15,14,9,18,11,13,12,13,13,10,11,12,10,14,9,10,12,12,12,12,15,15,13,20,11,10,16,7,12,7,9,5,18,12,13,14,13,13,5,D C,101,1,1,20,20,5,1,1,1,5,10,1,1,1,1,20,1,5,1,1,1,1,1,8800387989504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29/6/2010,Zé Antonio,902120,788,3/14/1977,33,0,0,0,0,2970,5500,5500,111,109,253910,186,80,D C,1,3,1,2,2,2,3,1,1,1,2,4,4,4,5,5,4,16,4,12,14,5,5,13,4,16,10,17,6,12,4,7,16,3,11,4,10,9,13,11,12,15,14,20,12,10,8,13,15,9,16,14,12,6,7,15,12,14,11,8,8,15,D C,101,1,1,20,20,1,1,10,1,1,1,1,1,1,1,20,10,1,1,1,1,1,1,137438986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zdenek Grygera,133001,763,5/14/1980,30,65,2,14,1,4761,7500,7250,155,138,12113230,185,78,D RC,3,3,2,1,1,3,1,1,3,2,1,8,11,10,8,13,6,14,13,16,15,13,13,14,10,14,14,14,14,16,10,14,15,10,9,12,15,15,15,12,13,15,11,5,14,13,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,D RC,103,1,1,18,20,1,1,12,1,20,14,10,1,1,1,18,12,20,1,1,1,1,10,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zat Knight,115850,765,5/2/1980,30,2,0,4,0,4692,6700,6700,148,137,9200000,198,87,D C,1,2,1,3,1,3,3,7,1,1,3,2,6,7,8,11,11,15,9,4,14,8,5,14,12,15,11,15,10,12,11,11,15,10,11,12,11,14,15,15,15,12,19,10,16,13,20,13,15,11,14,12,14,12,14,16,14,14,12,14,12,14,D C,101,1,1,20,20,1,1,1,1,1,1,1,1,1,1,20,1,1,1,1,1,1,1,17179869248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zarko Tomasevic,62055352,62002127,2/22/1990,20,1,0,3,0,1750,5650,5250,133,106,1099293,190,78,D C,3,1,3,1,1,3,2,2,2,1,3,8,9,7,8,9,8,13,7,10,13,8,10,12,9,13,12,10,13,12,7,9,13,6,12,9,12,11,11,11,9,8,15,20,14,11,10,11,14,11,9,10,8,12,13,12,14,14,14,14,14,5,D C,101,1,1,20,20,5,1,10,1,10,10,1,1,1,1,20,10,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Youssef Mohamad,128277,123,7/1/1980,29,33,0,0,0,3850,7100,7000,150,140,9959877,182,77,D C,3,1,1,3,2,3,2,1,1,1,2,8,7,7,9,9,11,16,11,13,14,9,14,18,9,18,13,20,13,11,9,9,14,6,16,9,13,13,16,16,14,12,13,9,17,14,20,13,16,13,12,11,8,16,13,17,12,13,14,14,7,16,D C,101,5,1,20,20,14,1,9,5,6,12,3,1,1,1,20,9,6,5,1,1,3,3,46179622584320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
29/6/2010,Younes Kaboul,918434,769,1/4/1986,24,0,0,20,1,5041,6400,6900,160,142,13800000,191,85,D RC,1,3,3,3,3,3,2,1,2,1,3,7,13,8,10,14,10,15,14,8,13,11,8,14,12,11,11,14,13,12,13,12,14,6,12,9,13,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,D RC,103,1,1,20,20,14,1,1,10,19,1,1,1,1,1,20,1,19,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29/6/2010,Yohan Tavarès,34012957,769,3/2/1988,22,0,0,0,0,500,2100,2100,125,93,95386,188,79,D C,3,2,2,1,1,3,3,5,2,2,2,6,6,6,6,8,6,14,8,10,12,7,11,8,8,9,11,12,12,12,6,12,13,5,10,8,10,14,11,11,7,16,15,10,13,11,20,6,15,13,10,9,8,10,14,13,14,12,13,13,13,6,D C,101,1,1,20,20,1,1,7,1,10,1,1,1,1,1,20,7,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yohan Benalouane,8434244,51,3/28/1987,23,0,0,0,0,4032,6350,5700,148,127,2199998,185,79,D LC,1,1,2,3,1,1,2,6,3,1,2,5,8,9,6,12,6,14,8,6,12,8,8,12,12,13,15,13,11,13,8,13,14,9,12,7,14,13,13,14,11,15,13,8,15,13,20,15,15,14,13,14,7,8,17,16,13,13,16,14,13,9,D LC,104,1,1,20,20,12,1,15,1,1,1,1,1,1,1,20,15,1,1,1,1,1,1,8796093022240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
