GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zvonko Pamic,24004366,761,2/4/1991,19,0,0,1,0,2750,5600,5750,154,117,1023867,185,75,M/AM C,3,1,3,3,1,3,1,5,1,2,3,15,15,12,11,12,14,12,10,3,8,15,15,10,13,11,12,14,10,9,14,10,15,12,8,12,9,13,16,12,12,10,14,9,14,12,20,16,12,12,7,13,7,10,12,15,14,13,14,13,13,4,M/AM C,411,1,20,20,1,13,1,1,20,1,1,1,20,1,1,1,1,1,19,1,1,1,1,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zsolt Pölöskei,28029448,773,2/19/1991,19,0,0,0,0,992,2750,2750,107,63,130410,180,81,M C,1,2,1,3,3,3,1,1,2,3,3,3,6,5,7,8,8,9,8,3,10,12,8,8,10,4,10,10,9,6,7,8,10,6,9,8,6,16,13,13,10,13,12,1,8,10,20,13,8,10,8,6,20,9,15,7,17,10,10,4,11,14,M C,401,1,1,20,1,1,1,1,20,1,1,1,1,1,1,1,1,1,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zoltán Gera,133359,773,4/22/1979,31,64,18,0,0,4489,7370,6550,140,134,2795278,186,78,M/AM RLC,1,1,1,2,2,3,1,3,3,2,3,8,15,14,10,15,7,13,8,3,9,14,7,11,16,7,13,9,14,10,15,13,15,13,9,15,14,15,14,10,13,15,12,16,13,11,20,13,11,11,5,12,8,15,15,12,14,14,17,15,15,2,M/AM RLC,416,9,16,15,1,1,1,15,20,20,1,3,15,8,16,1,1,1,15,15,20,1,3,581231481716768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
29/6/2010,Zlatan Bajramovic,6000653,759,8/12/1979,30,35,2,2,1,3844,6820,6200,130,124,1291727,182,73,DM/M C,3,3,3,1,2,3,1,5,1,1,1,10,7,6,13,11,10,14,11,10,15,11,8,14,13,17,13,17,13,12,13,11,16,10,14,11,13,17,17,12,13,12,11,11,15,11,20,13,12,12,16,12,18,15,8,14,8,15,13,7,8,12,DM/M C,311,1,14,20,1,20,1,14,20,10,1,1,14,1,1,1,1,1,20,14,10,1,1,137438954240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zeca,55027830,788,8/31/1988,21,0,0,0,0,250,4750,4750,126,95,1021153,180,69,M/AM C,1,2,2,2,2,2,3,1,3,1,2,9,9,13,13,13,9,5,12,2,9,10,9,9,13,13,11,12,10,9,10,9,9,12,8,11,9,11,13,13,13,9,9,8,12,13,20,9,8,13,9,10,10,10,17,11,16,11,14,11,6,19,M/AM C,411,1,20,20,1,1,1,10,20,13,1,1,20,1,7,1,1,1,20,10,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zé Roberto,104342,1651,7/6/1974,35,84,6,0,0,6500,7250,8000,175,163,2863631,172,71,M/AM LC,1,2,3,1,3,1,2,8,1,1,1,14,17,17,7,18,15,9,7,7,10,18,13,16,19,14,16,12,17,18,13,18,16,16,14,12,11,16,15,13,15,14,6,20,19,15,6,18,9,19,6,17,5,12,18,14,17,14,19,17,17,6,M/AM LC,414,1,18,20,10,14,1,18,20,1,1,14,16,18,1,1,10,1,20,18,1,14,1,17197711364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zé Eduardo,19070329,1651,8/16/1991,18,0,0,7,0,2500,5350,5350,155,107,2186391,186,80,DM/M/AM C,1,3,3,3,3,2,3,6,2,1,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,12,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,15,20,14,13,11,11,11,12,15,9,16,5,9,10,11,7,15,DM/M/AM C,431,1,16,20,1,19,1,1,20,11,1,1,16,1,7,1,1,1,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zdravko Kuzmanovic,5727648,802,9/22/1987,22,31,4,0,0,4600,7100,7150,161,143,12497048,186,72,DM/M RC,3,3,2,1,2,1,1,6,1,3,1,9,13,8,12,14,11,12,13,8,11,16,12,12,14,13,15,16,14,14,14,16,11,8,12,11,13,18,16,9,8,17,13,13,16,12,20,17,14,14,12,11,3,12,16,15,11,15,12,12,10,12,DM/M RC,423,1,8,20,1,19,1,11,20,15,1,1,8,1,1,1,1,1,20,11,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Youssuf Mulumbu,8440126,53,1/25/1987,23,8,0,0,0,4250,6750,6600,146,133,5877712,177,69,DM/M C,3,1,1,2,2,1,2,8,1,2,3,5,7,12,7,12,6,11,11,7,10,13,5,15,13,15,15,17,12,13,12,13,17,9,10,11,16,16,17,12,13,14,9,13,16,12,20,18,15,15,13,13,6,10,15,14,15,14,13,13,11,7,DM/M C,311,1,1,20,5,20,1,1,20,5,1,5,1,1,1,5,1,5,20,1,5,1,5,32832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yossi Benayoun,2008550,775,5/5/1980,30,78,20,11,5,5929,8470,7500,154,154,25299999,173,70,M/AM RLC,2,3,3,2,3,1,1,4,2,2,3,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,M/AM RLC,416,7,20,20,1,1,1,17,20,18,1,1,20,17,17,1,1,1,15,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
