GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zlatan Bajramovic,6000653,759,8/12/1979,30,35,2,2,1,3844,6820,6200,130,124,1291727,182,73,DM/M C,3,3,3,1,2,3,1,5,1,1,1,10,7,6,13,11,10,14,11,10,15,11,8,14,13,17,13,17,13,12,13,11,16,10,14,11,13,17,17,12,13,12,11,11,15,11,20,13,12,12,16,12,18,15,8,14,8,15,13,7,8,12,DM/M C,311,1,14,20,1,20,1,14,20,10,1,1,14,1,1,1,1,1,20,14,10,1,1,137438954240,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zé Eduardo,19070329,1651,8/16/1991,18,0,0,7,0,2500,5350,5350,155,107,2186391,186,80,DM/M/AM C,1,3,3,3,3,2,3,6,2,1,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,12,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,15,20,14,13,11,11,11,12,15,9,16,5,9,10,11,7,15,DM/M/AM C,431,1,16,20,1,19,1,1,20,11,1,1,16,1,7,1,1,1,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zdravko Kuzmanovic,5727648,802,9/22/1987,22,31,4,0,0,4600,7100,7150,161,143,12497048,186,72,DM/M RC,3,3,2,1,2,1,1,6,1,3,1,9,13,8,12,14,11,12,13,8,11,16,12,12,14,13,15,16,14,14,14,16,11,8,12,11,13,18,16,9,8,17,13,13,16,12,20,17,14,14,12,11,3,12,16,15,11,15,12,12,10,12,DM/M RC,423,1,8,20,1,19,1,11,20,15,1,1,8,1,1,1,1,1,20,11,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Youssuf Mulumbu,8440126,53,1/25/1987,23,8,0,0,0,4250,6750,6600,146,133,5877712,177,69,DM/M C,3,1,1,2,2,1,2,8,1,2,3,5,7,12,7,12,6,11,11,7,10,13,5,15,13,15,15,17,12,13,12,13,17,9,10,11,16,16,17,12,13,14,9,13,16,12,20,18,15,15,13,13,6,10,15,14,15,14,13,13,11,7,DM/M C,311,1,1,20,5,20,1,1,20,5,1,5,1,1,1,5,1,5,20,1,5,1,5,32832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yohan Cabaye,919628,769,1/14/1986,24,0,0,15,3,5150,6479,6450,160,144,4709342,175,72,DM/M C,2,2,2,3,2,3,1,6,2,1,3,14,14,12,10,13,15,9,16,7,7,15,17,13,14,14,15,14,13,13,14,13,16,9,14,10,14,15,15,14,14,13,7,10,15,12,20,16,13,14,11,14,6,8,9,17,11,15,11,12,12,10,DM/M C,421,1,10,20,1,16,1,1,20,1,1,1,10,1,1,1,1,1,20,1,1,1,1,8813272891648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
29/6/2010,Yoann Bigné,12112,769,8/23/1977,32,0,0,11,0,1050,5400,5400,136,121,2855675,168,65,M C,1,1,3,1,1,1,3,1,3,1,3,11,11,10,6,13,13,6,7,7,6,14,11,9,13,10,13,13,13,13,11,15,14,6,12,8,12,14,16,13,12,10,4,20,14,11,15,15,10,16,8,14,7,8,15,13,14,14,14,16,16,10,M C,401,1,1,20,1,15,1,10,20,12,1,1,1,1,1,1,1,1,20,10,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yaya Touré,533344,24,5/13/1983,27,53,6,0,0,6724,8250,8250,172,164,80780691,191,90,DM/M C,3,2,2,2,1,1,1,7,3,1,2,10,10,13,9,12,12,15,15,9,14,16,11,14,14,12,14,16,14,14,15,13,15,13,11,13,15,17,18,13,13,18,15,11,15,14,20,17,17,16,12,13,8,15,17,12,6,15,18,12,12,12,DM/M C,311,1,13,20,13,20,1,1,18,1,1,1,13,1,1,13,1,1,18,1,1,1,1,8796093023108,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29/6/2010,Yann M'Vila,8449433,769,6/29/1990,20,0,0,8,0,4830,6254,6250,175,139,15307332,178,78,DM C,3,1,3,2,2,3,3,3,3,3,1,8,8,11,6,12,10,12,12,6,14,14,8,14,12,14,17,15,14,14,13,14,16,12,9,11,13,15,17,10,13,15,10,8,14,13,20,16,15,13,14,16,6,6,16,14,14,16,14,11,11,7,DM C,301,1,1,20,1,20,1,1,15,1,1,1,1,1,1,1,1,1,15,1,1,1,1,131072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Xavi Torres,1508014,796,11/21/1986,23,0,0,0,0,3844,5750,5750,140,124,1720377,182,79,D/DM C,2,2,1,1,2,1,1,7,2,1,3,5,5,8,6,14,6,14,11,9,15,14,7,14,10,14,13,12,14,13,9,13,10,7,13,10,16,16,14,12,11,14,13,7,14,12,20,15,13,11,10,11,5,10,14,16,14,17,6,13,5,19,D/DM C,321,1,1,20,16,20,1,14,15,1,1,1,1,1,1,16,14,1,15,1,1,1,1,4294967296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Xabi Alonso,811316,796,11/25/1981,28,76,9,9,0,6889,8250,8250,169,166,164727380,182,79,DM/M C,2,2,2,3,1,1,3,3,2,1,3,12,15,10,11,16,13,12,17,9,10,18,12,12,17,9,17,13,17,16,18,17,18,12,13,10,18,17,14,9,10,14,11,15,13,12,20,17,12,14,10,16,10,5,16,19,15,14,16,14,15,9,DM/M C,311,1,8,20,6,20,1,5,19,5,9,1,8,1,1,6,1,1,19,5,5,1,1,140738566816000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
