GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Xavier Oliva,4209964,796,5/29/1976,34,0,0,0,0,3306,4950,4950,117,115,2497292,189,86,GK ,11,10,10,4,11,13,13,16,13,7,12,1,1,1,1,7,1,2,1,1,1,2,3,3,10,12,15,10,12,13,2,15,6,1,10,1,13,1,1,8,14,14,16,1,15,6,20,8,17,14,7,10,12,1,17,20,6,16,17,14,13,14,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Willy Maeyens,8447685,769,6/5/1989,21,0,0,0,0,1350,2750,2750,140,110,3419472,199,93,GK ,16,13,12,8,11,7,14,14,7,7,7,2,1,3,3,5,6,1,1,3,2,6,2,1,5,8,9,14,12,12,6,10,16,6,10,3,12,3,11,6,9,18,18,8,14,5,20,9,18,14,8,10,6,1,13,14,14,13,14,14,14,7,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Wayne Hennessey,5006568,801,1/24/1987,23,25,0,6,0,3750,6750,6150,155,128,8442415,196,73,GK ,15,11,12,4,15,16,12,15,13,15,12,4,3,1,3,7,8,1,2,3,2,3,3,3,6,12,13,12,9,14,7,12,12,1,8,6,11,10,9,10,13,10,14,17,13,8,20,11,15,13,8,13,7,10,10,12,15,14,14,11,15,6,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vlado Giljen,5790256,62002127,12/9/1989,20,0,0,7,0,2250,5500,5000,129,108,988586,188,85,GK ,11,10,11,4,13,10,10,13,8,8,11,6,11,11,1,12,8,10,2,12,1,2,12,11,14,15,12,13,12,12,12,12,12,12,12,13,11,12,12,10,10,12,11,11,14,10,20,11,10,15,7,11,9,9,14,15,13,14,11,13,13,5,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vlada Avramov,132869,802,4/5/1979,31,2,0,0,0,3700,5534,6350,130,123,1393263,187,76,GK ,13,13,13,2,17,13,13,15,12,12,11,7,1,10,3,4,10,1,3,3,1,14,3,2,8,10,12,13,10,7,8,12,15,8,9,13,13,8,13,12,14,8,13,5,13,8,20,13,10,16,6,12,8,10,20,12,13,10,15,12,10,8,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vincenzo Fiorillo,43009042,776,1/13/1990,20,0,0,3,0,2500,5150,5150,149,103,1931658,190,74,GK ,10,12,10,6,14,12,11,16,6,11,10,6,1,1,1,4,10,4,2,1,1,4,1,1,4,5,11,10,10,9,9,11,7,3,12,2,10,11,12,12,11,12,13,20,8,11,5,7,11,10,6,10,12,10,6,16,10,11,6,10,18,14,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vincent Planté,6200907,769,10/19/1980,29,0,0,0,0,4356,5900,5900,140,132,2033456,189,84,GK ,10,13,13,7,14,11,14,15,11,13,9,8,2,1,3,7,10,3,2,3,2,7,1,1,7,12,12,15,13,13,7,12,14,7,12,2,11,12,10,10,13,15,15,12,15,13,20,13,15,14,12,14,6,1,7,12,16,13,14,10,10,5,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Víctor Valdés,824039,796,1/14/1982,28,1,0,10,0,7225,7900,7900,170,170,124143228,183,78,GK ,13,13,14,13,15,12,18,18,16,13,14,8,3,1,2,4,10,3,3,1,3,2,2,3,6,11,14,14,17,14,12,14,17,14,14,3,16,14,14,14,17,14,13,7,13,12,20,16,12,17,12,17,6,1,14,18,15,16,17,15,10,13,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vicente Guaita,1510602,796,1/10/1987,23,0,0,0,0,3900,5900,5900,140,125,5914039,190,80,GK ,15,14,13,5,14,13,12,15,15,9,14,3,3,3,3,6,8,8,2,2,3,8,1,2,7,6,10,12,7,13,2,11,10,3,7,2,14,11,9,6,13,12,15,8,13,7,20,13,12,13,4,11,6,10,14,14,12,13,9,14,11,9,GK ,0,1,1,1,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Vedran Runje,3200265,761,2/10/1976,34,5,0,0,0,4556,6750,6050,155,135,3319770,184,85,GK ,13,12,15,10,14,11,14,15,14,11,13,8,2,3,3,7,10,1,1,1,1,9,8,1,7,11,12,16,13,13,9,11,15,6,14,6,12,12,14,8,11,15,12,20,12,6,10,13,15,15,11,12,7,1,10,13,14,12,13,11,7,11,GK ,0,5,1,5,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
