GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zsolt Löw,128241,773,4/29/1979,31,25,1,0,0,3136,5800,5850,120,112,1042071,182,80,D L,1,1,2,2,2,1,3,2,3,3,3,12,13,10,7,12,11,9,12,9,11,12,10,11,12,14,10,11,12,12,10,11,16,5,14,9,12,14,15,14,12,10,11,20,14,13,6,13,12,14,12,13,13,16,16,15,13,9,17,13,14,7,D L,103,1,1,8,20,6,1,20,15,1,1,12,1,1,1,8,20,6,1,15,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yuto Nagatomo,45005331,116,9/12/1986,23,26,3,0,0,2750,6300,6150,145,125,4101916,170,65,D/WB RL,1,3,1,1,1,2,2,7,2,3,2,5,10,10,4,13,4,14,7,10,14,13,4,14,13,10,14,14,12,14,12,14,10,11,5,15,14,10,15,14,14,11,7,8,8,14,20,10,6,10,6,10,9,10,11,10,6,11,11,11,6,6,D/WB RL,115,1,1,1,20,1,1,20,1,19,1,18,1,1,1,1,20,19,1,1,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yury Zhirkov,491445,791,8/20/1983,26,34,0,6,2,5776,8360,7500,160,152,25083016,178,73,WB/M/AM L,3,3,2,1,2,1,2,1,3,3,1,15,16,15,7,14,12,4,8,10,10,14,14,14,15,15,12,15,12,16,13,14,18,16,5,15,12,15,17,16,13,9,8,20,14,18,5,17,9,18,5,16,11,13,4,16,17,17,20,18,14,5,WB/M/AM L,433,1,20,5,15,1,1,20,20,7,1,17,5,20,7,1,15,1,1,18,7,17,7,549773639681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/6/2010,Yohan Benalouane,8434244,51,3/28/1987,23,0,0,0,0,4032,6350,5700,148,127,2199998,185,79,D LC,1,1,2,3,1,1,2,6,3,1,2,5,8,9,6,12,6,14,8,6,12,8,8,12,12,13,15,13,11,13,8,13,14,9,12,7,14,13,13,14,11,15,13,8,15,13,20,15,15,14,13,14,7,8,17,16,13,13,16,14,13,9,D LC,104,1,1,20,20,12,1,15,1,1,1,1,1,1,1,20,15,1,1,1,1,1,1,8796093022240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29/6/2010,Yoann Andreu,85016145,769,5/3/1989,21,0,0,0,0,1000,5174,5150,137,115,1487012,175,64,D RL,1,1,3,1,3,3,3,1,1,2,1,8,12,9,6,12,6,13,11,10,10,9,9,11,12,10,13,11,12,12,11,11,14,8,8,9,13,13,13,14,13,12,7,10,12,13,20,16,7,14,10,10,8,10,14,17,15,1,13,10,15,8,D RL,105,1,1,10,20,10,1,15,9,20,1,15,1,1,1,1,15,20,1,7,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yassin Mikari,5723487,51,1/9/1983,27,25,1,0,0,4450,6900,6200,140,138,8561640,172,67,D/WB/M/AM L,1,3,2,1,3,3,1,5,2,2,1,8,15,12,7,12,8,6,12,16,12,11,7,14,12,11,13,13,12,12,12,12,13,9,6,13,11,14,15,17,13,11,6,20,12,15,10,14,7,14,11,14,7,15,15,13,13,15,14,14,14,6,D/WB/M/AM L,443,1,20,10,17,1,1,20,20,1,1,17,1,20,1,10,17,1,1,18,1,17,1,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Xavier Collin,15922,769,8/17/1974,35,0,0,0,0,1050,5500,5500,140,123,296035,174,68,D RL,2,3,3,2,1,1,2,7,2,1,2,8,12,7,5,9,7,14,10,11,13,10,6,14,11,10,13,15,13,13,11,12,12,6,15,8,14,14,13,13,11,13,7,10,14,11,20,14,13,15,10,11,6,10,14,12,14,13,16,14,14,6,D RL,105,1,1,12,20,1,1,20,1,15,1,15,1,1,1,12,20,15,1,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Xabier Castillo,1502591,796,3/29/1986,24,0,0,0,0,4032,5850,5850,141,127,3086815,184,75,D L,3,3,1,14,1,3,2,3,1,2,2,12,14,12,10,12,13,12,13,14,11,13,5,13,13,13,13,14,12,10,12,13,11,13,11,15,11,13,14,15,11,13,11,20,10,14,7,11,13,11,8,12,6,8,9,12,8,12,12,14,14,11,D L,103,1,9,1,20,1,1,20,14,1,1,15,1,9,1,1,20,5,1,14,1,15,1,68719477024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Wayne Bridge,108683,765,8/5/1980,29,36,1,8,0,5041,7100,7100,156,142,13714293,180,81,D L,2,1,2,2,1,3,3,2,3,1,1,8,14,11,10,13,11,11,10,11,12,11,8,12,10,12,15,13,13,16,12,12,13,7,11,13,14,17,13,14,14,15,10,20,15,14,10,16,13,13,5,15,7,12,6,12,16,17,17,12,17,8,D L,103,1,10,1,20,1,1,20,8,1,1,14,1,10,1,1,20,6,1,8,1,14,1,1099511627776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29/6/2010,Vincent Muratori,8428605,769,8/3/1987,22,0,0,3,0,1300,5550,5550,142,122,3207151,178,68,D L,1,1,1,2,3,2,2,2,3,1,1,6,12,8,6,10,6,12,7,12,11,9,8,14,10,13,14,15,13,12,8,12,14,7,11,7,13,13,16,16,12,14,6,20,16,13,7,17,11,14,12,10,12,10,14,20,14,8,10,17,7,8,D L,103,1,1,1,20,1,1,20,1,1,1,15,1,1,1,1,20,11,1,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Tripy Makonda,85030344,769,1/24/1990,20,0,0,0,0,2916,4859,4850,135,108,3777294,180,70,D/WB L,3,1,2,3,3,3,3,5,2,2,1,11,12,9,6,12,11,11,10,13,9,9,5,12,12,10,11,12,11,10,11,10,14,11,4,10,10,14,13,15,12,13,10,20,15,14,5,14,11,12,12,13,7,10,19,14,8,14,17,8,14,19,D/WB L,113,1,10,1,20,1,1,20,15,1,1,17,1,10,1,1,20,1,1,15,1,17,1,1099511627776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29/6/2010,Tobias Rathgeb,885103,771,5/3/1982,28,0,0,1,0,3136,5250,5250,130,112,3945926,173,65,WB/DM/M LC,1,1,1,1,1,3,3,1,1,1,1,12,13,11,12,11,13,6,9,8,13,14,11,14,13,13,12,14,12,11,9,10,11,8,14,12,14,13,17,14,12,12,11,20,11,11,5,9,8,13,12,11,4,10,9,11,15,12,15,13,15,8,WB/DM/M LC,224,1,12,20,14,20,1,20,20,1,1,20,1,12,1,1,14,1,15,20,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
