GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zsolt Löw,128241,773,4/29/1979,31,25,1,0,0,3136,5800,5850,120,112,1042071,182,80,D L,1,1,2,2,2,1,3,2,3,3,3,12,13,10,7,12,11,9,12,9,11,12,10,11,12,14,10,11,12,12,10,11,16,5,14,9,12,14,15,14,12,10,11,20,14,13,6,13,12,14,12,13,13,16,16,15,13,9,17,13,14,7,D L,103,1,1,8,20,6,1,20,15,1,1,12,1,1,1,8,20,6,1,15,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zoltán Gera,133359,773,4/22/1979,31,64,18,0,0,4489,7370,6550,140,134,2795278,186,78,M/AM RLC,1,1,1,2,2,3,1,3,3,2,3,8,15,14,10,15,7,13,8,3,9,14,7,11,16,7,13,9,14,10,15,13,15,13,9,15,14,15,14,10,13,15,12,16,13,11,20,13,11,11,5,12,8,15,15,12,14,14,17,15,15,2,M/AM RLC,416,9,16,15,1,1,1,15,20,20,1,3,15,8,16,1,1,1,15,15,20,1,3,581231481716768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
29/6/2010,Zhang Chengdong,23020214,110,2/9/1989,21,1,0,0,0,1500,4950,4500,135,90,142059,184,73,AM/S RLC,2,1,1,1,1,3,1,1,1,2,1,6,10,10,9,8,3,6,7,2,6,9,6,5,10,10,6,7,10,7,8,9,14,13,12,10,6,5,10,13,11,8,9,8,13,13,20,7,8,10,8,7,7,10,14,12,5,13,16,16,16,4,AM/S RLC,626,20,17,20,1,1,1,17,12,17,1,1,7,17,17,1,1,1,1,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zé Roberto,104342,1651,7/6/1974,35,84,6,0,0,6500,7250,8000,175,163,2863631,172,71,M/AM LC,1,2,3,1,3,1,2,8,1,1,1,14,17,17,7,18,15,9,7,7,10,18,13,16,19,14,16,12,17,18,13,18,16,16,14,12,11,16,15,13,15,14,6,20,19,15,6,18,9,19,6,17,5,12,18,14,17,14,19,17,17,6,M/AM LC,414,1,18,20,10,14,1,18,20,1,1,14,16,18,1,1,10,1,20,18,1,14,1,17197711364,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yves Desmarets,55002406,769,7/19/1979,30,0,0,0,0,2500,5849,6500,136,130,2455701,184,81,M L,1,3,1,1,1,2,2,2,3,2,3,15,15,13,10,12,11,9,13,11,10,12,12,15,13,8,11,11,15,11,11,11,11,10,9,14,10,15,15,13,14,13,11,20,12,13,5,12,12,10,7,10,10,11,14,11,13,10,14,15,15,5,M L,403,1,14,12,12,1,1,20,20,1,1,13,10,14,1,1,12,1,12,20,1,13,1,17609365913600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
29/6/2010,Yury Zhirkov,491445,791,8/20/1983,26,34,0,6,2,5776,8360,7500,160,152,25083016,178,73,WB/M/AM L,3,3,2,1,2,1,2,1,3,3,1,15,16,15,7,14,12,4,8,10,10,14,14,14,15,15,12,15,12,16,13,14,18,16,5,15,12,15,17,16,13,9,8,20,14,18,5,17,9,18,5,16,11,13,4,16,17,17,20,18,14,5,WB/M/AM L,433,1,20,5,15,1,1,20,20,7,1,17,5,20,7,1,15,1,1,18,7,17,7,549773639681,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/6/2010,Youssef El Arabi,29023774,34,2/3/1987,23,0,0,0,0,3850,5900,5900,148,131,5937474,183,70,AM/S LC,3,3,2,2,1,1,3,10,3,1,3,6,10,16,13,14,7,12,10,5,3,13,12,2,16,9,13,11,12,12,11,11,15,14,11,13,7,9,12,15,14,13,11,10,14,12,20,14,13,14,9,15,6,7,10,15,13,14,12,12,12,7,AM/S LC,624,20,18,20,1,1,1,18,12,12,1,1,14,18,12,1,1,1,1,12,1,1,1,2251799813685248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Younès Belhanda,34008669,769,2/25/1990,20,0,0,4,0,4032,5714,5700,170,127,10812124,174,75,M/AM L,3,3,1,1,1,1,1,7,3,1,2,13,10,14,7,14,13,8,13,8,6,14,8,9,16,11,14,12,13,13,14,13,11,14,8,11,9,13,16,15,13,13,7,5,15,12,20,13,13,14,11,16,7,12,14,15,18,7,11,11,8,10,M/AM L,413,1,20,14,10,14,1,20,20,1,1,1,10,20,1,10,1,1,14,17,1,1,1,256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yossi Benayoun,2008550,775,5/5/1980,30,78,20,11,5,5929,8470,7500,154,154,25299999,173,70,M/AM RLC,2,3,3,2,3,1,1,4,2,2,3,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,M/AM RLC,416,7,20,20,1,1,1,17,20,18,1,1,20,17,17,1,1,1,15,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29/6/2010,Yohan Mollo,34001050,769,7/18/1990,19,0,0,5,0,4290,5894,5850,160,131,10470376,175,74,M/AM RL,2,1,2,3,3,2,2,6,3,2,2,13,11,15,6,15,11,8,11,5,3,12,10,3,17,12,11,12,11,11,13,8,15,16,7,13,6,11,10,17,15,12,7,10,13,14,20,14,12,12,12,14,9,8,14,17,8,11,11,12,12,15,M/AM RL,415,1,20,10,1,1,1,20,20,17,1,1,10,20,17,1,1,1,1,15,15,1,1,2251834173440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
