GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zé Gomes,728617,788,9/24/1976,33,0,0,0,0,2000,5250,5250,108,105,57965,178,76,D R,1,1,2,1,2,2,2,6,2,3,3,11,12,12,8,10,7,10,10,10,10,10,11,10,13,12,11,12,11,11,10,10,13,11,8,9,10,12,10,14,11,11,8,11,12,11,20,11,11,13,13,11,8,12,13,13,13,14,14,13,12,13,D R,102,1,5,1,20,1,1,1,6,20,1,10,1,1,5,1,1,20,1,1,6,1,10,1116692547588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
29/6/2010,Zdenek Grygera,133001,763,5/14/1980,30,65,2,14,1,4761,7500,7250,155,138,12113230,185,78,D RC,3,3,2,1,1,3,1,1,3,2,1,8,11,10,8,13,6,14,13,16,15,13,13,14,10,14,14,14,14,16,10,14,15,10,9,12,15,15,15,12,13,15,11,5,14,13,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,D RC,103,1,1,18,20,1,1,12,1,20,14,10,1,1,1,18,12,20,1,1,1,1,10,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yvan Bourgis,913093,769,9/24/1979,30,0,0,0,0,2400,3650,3650,114,112,1256899,169,69,D R,3,2,3,3,2,3,2,1,2,3,3,7,12,8,5,9,6,9,11,14,11,9,7,13,9,11,14,15,14,14,8,13,15,6,11,8,12,15,13,14,12,11,5,5,15,12,20,16,8,15,11,14,6,6,19,12,16,14,17,17,17,4,D R,102,1,1,10,20,1,1,1,1,20,1,15,1,1,1,10,1,20,1,1,1,1,15,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yuto Nagatomo,45005331,116,9/12/1986,23,26,3,0,0,2750,6300,6150,145,125,4101916,170,65,D/WB RL,1,3,1,1,1,2,2,7,2,3,2,5,10,10,4,13,4,14,7,10,14,13,4,14,13,10,14,14,12,14,12,14,10,11,5,15,14,10,15,14,14,11,7,8,8,14,20,10,6,10,6,10,9,10,11,10,6,11,11,11,6,6,D/WB RL,115,1,1,1,20,1,1,20,1,19,1,18,1,1,1,1,20,19,1,1,1,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Younes Kaboul,918434,769,1/4/1986,24,0,0,20,1,5041,6400,6900,160,142,13800000,191,85,D RC,1,3,3,3,3,3,2,1,2,1,3,7,13,8,10,14,10,15,14,8,13,11,8,14,12,11,11,14,13,12,13,12,14,6,12,9,13,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,D RC,103,1,1,20,20,14,1,1,10,19,1,1,1,1,1,20,1,19,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
29/6/2010,Yohan Demont,3501868,769,5/15/1978,32,0,0,0,0,1450,6209,6200,145,138,3817142,181,73,D/WB/M/AM R,3,1,2,3,1,2,2,5,1,3,1,11,13,11,6,11,12,11,14,11,11,13,9,12,13,15,13,13,13,13,12,12,14,8,14,12,13,15,16,16,12,14,10,8,14,14,20,16,12,15,12,13,6,15,13,13,14,13,15,13,13,7,D/WB/M/AM R,442,1,16,12,18,1,1,1,20,20,1,18,10,1,16,1,1,18,12,1,20,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yoann Andreu,85016145,769,5/3/1989,21,0,0,0,0,1000,5174,5150,137,115,1487012,175,64,D RL,1,1,3,1,3,3,3,1,1,2,1,8,12,9,6,12,6,13,11,10,10,9,9,11,12,10,13,11,12,12,11,11,14,8,8,9,13,13,13,14,13,12,7,10,12,13,20,16,7,14,10,10,8,10,14,17,15,1,13,10,15,8,D RL,105,1,1,10,20,10,1,15,9,20,1,15,1,1,1,1,15,20,1,7,9,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Xavier Collin,15922,769,8/17/1974,35,0,0,0,0,1050,5500,5500,140,123,296035,174,68,D RL,2,3,3,2,1,1,2,7,2,1,2,8,12,7,5,9,7,14,10,11,13,10,6,14,11,10,13,15,13,13,11,12,12,6,15,8,14,14,13,13,11,13,7,10,14,11,20,14,13,15,10,11,6,10,14,12,14,13,16,14,14,6,D RL,105,1,1,12,20,1,1,20,1,15,1,15,1,1,1,12,20,15,1,1,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Wires,19026407,1651,12/30/1982,27,0,0,0,0,250,3550,3550,107,96,337987,178,74,D/WB/M RC,2,3,1,2,3,2,2,3,3,3,1,8,8,8,8,10,10,11,9,10,11,8,10,12,10,11,11,10,12,10,8,10,7,8,10,10,11,12,11,10,11,12,11,7,12,11,20,12,12,10,11,10,9,12,15,12,18,9,2,1,3,13,D/WB/M RC,123,1,1,20,20,15,1,1,20,20,1,17,1,1,1,1,1,20,20,1,10,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Wes Brown,2003610,765,10/13/1979,30,23,1,8,0,6006,7750,7750,160,155,108162998,185,78,D RC,2,2,2,3,3,3,1,4,2,1,2,5,11,7,2,12,5,17,1,11,16,9,2,18,12,16,15,18,12,14,5,13,18,3,6,7,16,16,17,14,13,14,14,10,14,14,20,16,16,15,14,15,13,10,5,15,18,15,16,15,17,6,D RC,103,1,1,20,20,1,1,1,1,19,10,1,1,1,1,20,1,19,1,1,1,1,1,137438986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
