GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zoltán Gera,133359,773,4/22/1979,31,64,18,0,0,4489,7370,6550,140,134,2795278,186,78,M/AM RLC,1,1,1,2,2,3,1,3,3,2,3,8,15,14,10,15,7,13,8,3,9,14,7,11,16,7,13,9,14,10,15,13,15,13,9,15,14,15,14,10,13,15,12,16,13,11,20,13,11,11,5,12,8,15,15,12,14,14,17,15,15,2,M/AM RLC,416,9,16,15,1,1,1,15,20,20,1,3,15,8,16,1,1,1,15,15,20,1,3,581231481716768,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
29/6/2010,Zhang Chengdong,23020214,110,2/9/1989,21,1,0,0,0,1500,4950,4500,135,90,142059,184,73,AM/S RLC,2,1,1,1,1,3,1,1,1,2,1,6,10,10,9,8,3,6,7,2,6,9,6,5,10,10,6,7,10,7,8,9,14,13,12,10,6,5,10,13,11,8,9,8,13,13,20,7,8,10,8,7,7,10,14,12,5,13,16,16,16,4,AM/S RLC,626,20,17,20,1,1,1,17,12,17,1,1,7,17,17,1,1,1,1,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zequinha,744617,788,1/7/1987,23,0,0,0,0,1500,5000,5000,139,106,486226,183,74,AM/S RC,3,1,1,1,3,2,1,1,2,1,3,9,10,13,12,12,9,8,10,3,5,9,9,5,13,8,11,8,12,11,8,9,15,15,9,13,7,9,11,12,13,10,9,12,14,13,20,9,10,9,5,10,11,12,11,14,14,7,4,4,3,14,AM/S RC,513,20,20,20,1,1,1,10,12,20,1,1,1,10,20,1,1,1,1,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zdravko Kuzmanovic,5727648,802,9/22/1987,22,31,4,0,0,4600,7100,7150,161,143,12497048,186,72,DM/M RC,3,3,2,1,2,1,1,6,1,3,1,9,13,8,12,14,11,12,13,8,11,16,12,12,14,13,15,16,14,14,14,16,11,8,12,11,13,18,16,9,8,17,13,13,16,12,20,17,14,14,12,11,3,12,16,15,11,15,12,12,10,12,DM/M RC,423,1,8,20,1,19,1,11,20,15,1,1,8,1,1,1,1,1,20,11,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yossi Benayoun,2008550,775,5/5/1980,30,78,20,11,5,5929,8470,7500,154,154,25299999,173,70,M/AM RLC,2,3,3,2,3,1,1,4,2,2,3,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,M/AM RLC,416,7,20,20,1,1,1,17,20,18,1,1,20,17,17,1,1,1,15,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
29/6/2010,Yohan Mollo,34001050,769,7/18/1990,19,0,0,5,0,4290,5894,5850,160,131,10470376,175,74,M/AM RL,2,1,2,3,3,2,2,6,3,2,2,13,11,15,6,15,11,8,11,5,3,12,10,3,17,12,11,12,11,11,13,8,15,16,7,13,6,11,10,17,15,12,7,10,13,14,20,14,12,12,12,14,9,8,14,17,8,11,11,12,12,15,M/AM RL,415,1,20,10,1,1,1,20,20,17,1,1,10,20,17,1,1,1,1,15,15,1,1,2251834173440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yohan Demont,3501868,769,5/15/1978,32,0,0,0,0,1450,6209,6200,145,138,3817142,181,73,D/WB/M/AM R,3,1,2,3,1,2,2,5,1,3,1,11,13,11,6,11,12,11,14,11,11,13,9,12,13,15,13,13,13,13,12,12,14,8,14,12,13,15,16,16,12,14,10,8,14,14,20,16,12,15,12,13,6,15,13,13,14,13,15,13,13,7,D/WB/M/AM R,442,1,16,12,18,1,1,1,20,20,1,18,10,1,16,1,1,18,12,1,20,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yoann Gourcuff,919541,769,7/11/1986,23,22,1,19,4,6650,7424,7400,175,165,57625327,185,79,M/AM RC,2,2,3,1,1,3,3,3,1,1,2,15,15,16,11,18,14,13,14,6,7,17,14,7,18,12,13,10,14,14,16,14,15,13,11,12,12,15,17,13,15,14,12,14,14,14,20,16,14,11,12,17,9,10,12,16,14,10,14,13,13,6,M/AM RC,413,1,20,20,1,12,1,12,20,15,1,1,20,12,15,1,1,1,18,12,15,1,1,140737493614848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29/6/2010,Yoan Gouffran,8438591,769,5/25/1986,24,0,0,24,4,4489,6050,6050,145,134,8445271,175,70,M/AM/S RC,3,3,2,3,2,3,2,6,3,2,3,5,10,14,11,13,10,11,15,5,4,11,13,4,14,8,12,11,12,13,11,10,13,14,6,14,8,12,11,16,14,12,9,10,14,16,20,14,12,10,8,14,8,10,9,15,11,11,13,14,14,13,M/AM/S RC,633,20,16,20,1,1,1,10,16,16,1,1,12,10,16,1,1,1,1,10,16,1,1,549755822096,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/6/2010,Yasin Öztekin,35007962,771,3/19/1987,23,0,0,0,0,750,5300,5300,115,106,308229,178,64,M/AM R,3,2,2,3,2,2,3,2,1,3,3,12,13,13,7,12,10,5,8,5,4,11,8,7,13,7,9,10,10,11,11,9,10,13,6,12,6,12,13,12,13,10,10,12,7,13,20,14,7,13,6,10,14,16,9,14,10,15,11,12,9,12,M/AM R,412,1,20,10,11,1,1,13,20,20,1,12,10,13,20,1,1,11,8,12,19,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
