GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Striker,Positions.AttackingMidfielder,Positions.Centre,Positions.Defender,Positions.DefensiveMidfielder,Positions.Goalkeeper,Positions.Left,Positions.Midfielder,Positions.Right,Positions.Sweeper,Positions.WingBack,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
29/6/2010,Zlatan Ibrahimovic,142173,797,10/3/1981,28,60,22,7,6,7656,9000,8750,182,175,31094575,192,84,S C,1,1,1,1,1,1,1,1,1,1,1,8,14,17,17,17,15,13,16,8,5,16,18,6,19,13,15,12,13,8,15,14,12,19,11,18,6,7,8,15,15,18,16,13,17,15,20,15,17,14,15,7,10,9,9,20,5,9,12,6,6,18,S C,601,20,11,20,1,1,1,11,1,9,1,1,11,11,9,1,1,1,1,1,1,1,1,87995290026112,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
29/6/2010,Zhang Chengdong,23020214,110,2/9/1989,21,1,0,0,0,1500,4950,4500,135,90,142059,184,73,AM/S RLC,2,1,1,1,1,3,1,1,1,2,1,6,10,10,9,8,3,6,7,2,6,9,6,5,10,10,6,7,10,7,8,9,14,13,12,10,6,5,10,13,11,8,9,8,13,13,20,7,8,10,8,7,7,10,14,12,5,13,16,16,16,4,AM/S RLC,626,20,17,20,1,1,1,17,12,17,1,1,7,17,17,1,1,1,1,12,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zequinha,744617,788,1/7/1987,23,0,0,0,0,1500,5000,5000,139,106,486226,183,74,AM/S RC,3,1,1,1,3,2,1,1,2,1,3,9,10,13,12,12,9,8,10,3,5,9,9,5,13,8,11,8,12,11,8,9,15,15,9,13,7,9,11,12,13,10,9,12,14,13,20,9,10,9,5,10,11,12,11,14,14,7,4,4,3,14,AM/S RC,513,20,20,20,1,1,1,10,12,20,1,1,1,10,20,1,1,1,1,1,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Zavon Hines,5131757,765,12/27/1988,21,0,0,2,2,3600,6250,6250,145,120,2380068,178,67,S C,1,1,2,1,2,2,2,4,1,2,2,9,11,14,15,13,13,9,11,4,6,10,10,8,12,7,12,11,15,12,10,11,16,11,10,12,13,12,14,15,14,7,7,10,13,14,20,12,7,12,5,10,5,13,18,11,14,18,15,14,14,9,S C,601,20,13,20,1,1,1,13,1,13,1,1,1,13,13,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Youssef El Arabi,29023774,34,2/3/1987,23,0,0,0,0,3850,5900,5900,148,131,5937474,183,70,AM/S LC,3,3,2,2,1,1,3,10,3,1,3,6,10,16,13,14,7,12,10,5,3,13,12,2,16,9,13,11,12,12,11,11,15,14,11,13,7,9,12,15,14,13,11,10,14,12,20,14,13,14,9,15,6,7,10,15,13,14,12,12,12,7,AM/S LC,624,20,18,20,1,1,1,18,12,12,1,1,14,18,12,1,1,1,1,12,1,1,1,2251799813685248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yoan Gouffran,8438591,769,5/25/1986,24,0,0,24,4,4489,6050,6050,145,134,8445271,175,70,M/AM/S RC,3,3,2,3,2,3,2,6,3,2,3,5,10,14,11,13,10,11,15,5,4,11,13,4,14,8,12,11,12,13,11,10,13,14,6,14,8,12,11,16,14,12,9,10,14,16,20,14,12,10,8,14,8,10,9,15,11,11,13,14,14,13,M/AM/S RC,633,20,16,20,1,1,1,10,16,16,1,1,12,10,16,1,1,1,1,10,16,1,1,549755822096,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29/6/2010,Yazalde,55008237,788,9/21/1988,21,0,0,0,0,2250,5450,5450,133,107,999999,183,79,S C,3,1,3,1,2,2,2,1,1,2,3,10,10,11,12,12,9,10,12,8,6,10,11,7,12,10,11,11,13,11,10,11,13,13,9,12,7,11,10,12,12,13,11,8,15,12,20,12,13,11,6,10,6,12,12,13,15,13,13,14,14,6,S C,601,20,13,20,1,1,1,10,1,13,1,1,10,10,13,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yaya Sanogo,85018043,769,1/27/1993,17,0,0,0,0,2400,4859,4850,180,108,5727135,192,74,S C,1,2,3,2,1,3,3,1,1,1,1,5,5,9,15,11,7,15,8,5,4,6,14,1,14,7,11,10,14,8,6,9,15,14,8,12,3,5,7,14,8,16,16,5,15,13,20,13,14,16,12,8,5,5,15,15,13,14,14,14,14,7,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yaya Diané,85030794,22,1/16/1989,21,0,0,0,0,150,4769,2650,122,106,1429926,185,83,S C,3,1,2,2,3,1,1,4,1,1,2,5,7,10,13,10,8,15,12,5,6,7,14,4,10,12,13,12,12,12,8,11,7,11,7,14,5,8,10,14,10,16,12,5,10,11,20,6,16,14,9,10,11,5,19,20,7,7,11,13,7,5,S C,601,20,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29/6/2010,Yannis Tafer,34011690,769,2/11/1991,19,0,0,0,0,3364,5219,5200,160,116,4176566,180,67,S C,3,3,3,3,2,2,1,1,2,1,3,5,8,13,13,13,8,8,11,5,3,9,15,2,13,7,12,9,14,12,8,11,13,14,6,15,7,11,13,16,14,12,9,20,15,15,5,16,9,13,7,15,6,6,13,14,15,14,16,14,14,6,S C,601,20,10,20,1,1,1,10,1,1,1,1,1,10,1,1,1,1,1,1,1,1,1,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
