GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,467800,175,67,AM/S RLC,2,2,3,2,2,1,1,2,2,1,2,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,13,10,9,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,672945,186,78,M/AM RLC,3,3,1,1,3,1,2,9,1,2,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,563639295672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2505,5350,5011,144,105,196378,186,80,DM/M/AM C,1,3,1,1,1,3,2,3,2,2,1,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,3,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yuri Papi,43089240,776,4/24/1993,18,0,0,0,0,540,2384,1531,91,53,571,175,75,AM C,2,1,1,1,2,3,2,1,2,3,1,8,6,11,7,7,3,2,6,1,2,11,7,5,10,11,10,1,7,7,9,4,6,9,9,7,8,6,9,12,10,11,7,7,11,11,20,5,3,10,7,7,5,8,13,15,11,12,7,11,11,12,1,1,7,20,1,1,20,AM C,501,1,1,1,20,1,1,1,1,1,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,146,105,424054,179,70,M/AM RC,3,3,3,3,2,2,1,4,2,1,2,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,6,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,13,1,3,14,13,6,6,6,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yuki Ohtsu,45015203,116,3/24/1990,21,0,0,1,0,2000,5150,5000,113,101,126482,180,73,M/AM C,1,2,1,2,3,1,3,2,1,3,2,10,8,14,14,13,9,8,10,8,14,13,10,9,11,13,14,8,14,8,12,7,10,13,8,14,8,10,11,12,10,7,9,11,16,12,20,7,7,10,7,7,9,10,7,13,17,7,12,8,10,13,1,1,20,17,1,1,20,M/AM C,411,1,1,12,17,1,1,1,1,1,1,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Youssouf Hadji,3503442,34,2/25/1980,31,52,15,0,0,5650,7000,6300,145,140,1220859,183,78,AM/S C,3,3,3,1,1,1,2,5,1,1,1,11,13,14,12,15,11,16,13,5,7,12,13,6,15,6,15,13,12,13,12,12,16,14,14,13,11,13,14,15,15,14,12,12,13,11,20,14,14,13,6,14,12,10,11,12,16,13,14,14,11,7,1,1,10,18,14,14,18,AM/S C,621,1,1,20,18,14,14,1,1,1,1,5,10,10,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yossi Benayoun,2008550,775,5/5/1980,31,82,24,11,5,6400,8470,7500,154,154,2000000,175,67,M/AM RLC,2,1,2,3,2,2,1,6,2,2,2,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,1,1,18,20,18,17,20,M/AM RLC,526,1,1,7,20,17,17,1,1,1,1,10,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19/6/2011,Yoann Gourcuff,919541,769,7/11/1986,24,28,4,19,4,6150,6850,6850,165,152,3950941,185,79,M/AM C,2,2,1,2,3,2,3,6,3,3,3,14,14,14,9,17,14,13,14,5,7,16,14,7,17,12,12,11,13,12,15,12,15,13,8,11,12,15,15,13,14,14,12,14,13,14,20,17,14,10,12,17,10,10,12,16,14,7,17,13,13,5,1,1,18,20,12,12,20,M/AM C,521,1,1,1,20,12,12,1,1,1,12,18,12,12,1,1,140737493614848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19/6/2011,Yann Jouffre,920075,769,7/23/1984,26,0,0,0,0,4500,5683,5683,135,126,408977,175,65,M/AM RC,1,1,3,3,1,3,3,4,1,2,3,14,13,12,8,15,11,8,12,6,6,14,15,10,15,11,12,12,12,12,13,12,15,11,9,11,10,12,13,14,13,12,7,20,10,13,12,11,8,13,11,15,13,12,8,14,14,14,10,13,13,7,1,1,17,20,20,14,18,M/AM RC,523,1,1,1,18,14,20,1,1,1,12,17,14,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yacine Brahimi,34002647,769,2/8/1990,21,0,0,5,1,4350,5450,5450,160,121,276095,175,65,AM RLC,2,1,1,1,3,2,1,5,2,1,1,12,12,15,7,16,13,5,10,5,1,13,12,2,16,6,10,7,13,11,14,10,13,16,7,13,5,7,10,16,15,12,7,10,15,13,20,14,7,13,6,14,6,8,8,16,14,11,12,14,14,8,1,1,15,20,18,18,20,AM RLC,506,1,1,1,20,18,18,1,1,1,1,15,12,12,1,1,2251834174472192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Xavier Annunziata,67024746,796,8/31/1987,23,0,0,0,0,3800,5800,5800,136,114,361060,179,66,AM LC,2,1,1,2,1,3,1,4,1,2,1,10,13,14,10,13,9,8,9,4,5,13,10,5,14,13,11,9,11,11,11,11,10,12,8,12,7,13,13,15,13,10,9,5,15,13,20,13,13,14,7,14,6,5,13,14,6,16,11,6,1,6,1,1,9,20,10,20,15,AM LC,504,1,1,10,15,20,10,1,1,1,1,5,9,1,1,1,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wesley,19040469,1651,6/24/1987,23,2,0,0,0,5600,7000,7050,156,140,3503470,179,63,DM/M RC,3,1,2,3,1,3,3,3,1,1,1,12,14,13,9,15,7,8,10,10,13,15,11,12,15,17,10,15,8,10,10,8,15,14,10,13,9,14,18,17,16,8,9,14,14,15,20,17,7,12,7,11,12,17,14,13,13,12,11,8,12,5,14,12,20,15,15,1,20,DM/M RC,423,1,1,10,15,1,10,1,1,14,18,20,1,15,1,12,1074790484,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wesley Sneijder,856882,784,6/9/1984,27,75,21,1,0,8500,8650,8650,177,172,13822413,170,67,M/AM C,1,3,3,1,2,1,1,4,1,3,1,16,16,14,12,17,18,7,18,5,8,18,13,11,17,15,16,13,13,14,19,16,18,17,14,14,13,16,15,14,16,12,6,15,14,12,20,17,11,15,15,17,14,17,16,19,15,17,16,11,7,12,1,1,16,20,11,14,20,M/AM C,521,1,1,1,20,14,11,1,1,1,7,16,11,9,1,1,1073873792,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wes Hoolahan,141922,789,5/20/1982,29,1,0,0,0,3700,5939,6100,135,132,1524521,168,71,AM C,2,1,2,3,2,1,3,6,1,2,2,8,12,15,13,14,11,5,12,2,8,14,15,8,15,8,13,11,15,12,14,13,15,14,4,14,11,13,12,13,13,14,5,20,11,13,11,10,9,13,2,10,7,12,8,14,16,9,12,14,14,3,1,1,14,20,14,14,20,AM C,501,1,1,12,20,14,14,1,1,1,5,12,14,10,1,1,584250294784,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19/6/2011,Wellington Silva,19086339,1651,1/6/1993,18,0,0,0,0,2750,5600,5600,159,108,1628835,171,68,AM/S LC,1,3,3,1,3,1,2,3,2,1,2,8,11,15,11,14,9,7,9,2,4,11,9,4,15,11,9,9,10,11,12,10,12,16,4,12,5,9,14,14,16,5,5,10,13,13,20,10,5,10,6,9,10,13,8,18,6,12,5,7,8,13,1,1,1,18,13,18,15,AM/S LC,624,1,1,20,15,18,13,1,1,1,1,1,1,1,1,1,34360262672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vladimir Weiss,4001874,794,11/30/1989,21,18,1,7,0,5300,6800,6800,169,131,1475550,176,69,M/AM RLC,1,3,2,3,2,3,1,2,2,2,1,13,14,15,12,15,13,3,12,3,3,13,9,5,15,9,15,10,11,11,15,10,15,15,7,15,5,11,11,16,15,16,6,4,13,15,20,14,9,12,8,13,7,13,15,14,9,14,14,9,15,7,1,1,17,20,20,17,15,M/AM RLC,526,1,1,7,15,14,20,1,1,1,1,15,17,15,1,1,70420552220674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19/6/2011,Vítor,741748,788,1/7/1984,27,0,0,0,0,1126,5000,5000,113,108,140261,169,69,M/AM C,2,3,1,2,2,3,2,1,2,1,2,13,13,12,10,11,14,7,10,7,10,13,14,10,11,12,10,12,13,13,14,12,13,11,13,10,9,13,15,14,13,13,8,7,9,14,20,10,7,13,7,12,11,12,10,11,16,13,14,14,14,8,1,1,17,20,11,14,20,M/AM C,521,1,1,1,20,14,11,1,1,1,1,17,1,1,1,1,4194432,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Valter Birsa,7581802,795,8/7/1986,24,47,3,11,5,5200,7205,6400,140,131,909909,184,79,AM LC,2,1,3,2,3,2,3,3,1,2,1,14,13,13,11,14,15,7,14,5,6,14,14,5,14,7,12,11,13,12,14,11,13,14,7,11,9,13,12,13,13,14,10,20,14,11,15,13,13,13,7,17,6,8,11,15,12,12,14,16,16,6,1,1,14,20,14,20,16,AM LC,504,1,1,10,16,20,14,1,1,1,1,10,14,14,1,1,1073742080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Valdo,824071,12,4/23/1981,30,1,0,6,2,4750,6500,6750,142,135,736970,184,78,AM/S RC,3,2,3,1,2,2,1,1,2,2,3,10,15,14,12,14,9,10,9,8,5,12,15,9,14,11,13,10,12,11,12,13,15,14,10,16,6,9,9,16,15,6,12,8,13,15,20,14,10,14,12,11,12,16,15,15,15,15,15,10,15,10,1,1,15,20,20,10,17,AM/S RC,513,1,1,16,17,10,20,1,1,1,1,1,10,15,1,1,17592320268308,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
19/6/2011,Tuncay Sanli,458089,799,1/16/1982,29,80,22,14,10,6950,6400,7100,148,132,1403399,182,70,AM RLC,3,2,2,2,1,2,1,1,1,3,3,7,12,13,12,11,5,12,10,8,6,13,12,7,13,18,13,17,9,15,13,12,18,15,14,15,8,16,15,13,14,10,11,14,16,14,20,15,11,13,10,14,5,14,8,17,15,12,12,11,11,12,1,1,14,20,16,18,20,AM RLC,506,1,1,14,20,18,16,1,1,1,1,14,11,12,1,1,20340973502472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
19/6/2011,Tunay Torun,35018672,799,4/21/1990,21,1,0,5,0,3750,5750,5950,142,109,473144,179,72,AM/S RLC,2,3,2,2,2,1,2,6,2,2,2,10,9,14,11,14,8,6,7,4,4,13,7,6,15,8,10,5,11,8,12,10,10,14,4,12,6,7,8,14,13,9,8,20,11,12,10,9,11,5,11,4,10,10,14,17,9,9,10,5,7,2,1,1,14,20,16,15,20,AM/S RLC,516,1,1,17,20,15,16,1,1,1,1,10,10,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Torsten Oehrl,8718378,771,1/7/1986,25,0,0,0,0,4050,6000,6000,130,120,102068,191,84,AM/S C,3,2,1,1,1,3,3,4,1,2,2,10,8,11,14,11,10,14,12,7,5,11,11,9,12,10,13,13,13,11,10,11,10,9,10,13,7,13,12,12,9,14,16,13,13,12,20,12,14,12,12,10,12,11,7,10,15,11,11,18,12,11,1,1,9,20,1,1,20,AM/S C,511,1,1,20,20,1,1,1,1,1,1,9,1,1,1,1,262144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
