GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zoumana Camara,3801463,769,4/3/1979,32,1,0,20,0,5100,5650,5650,150,126,298931,182,76,D C,1,3,1,3,1,3,2,5,1,2,3,4,8,7,6,10,6,14,9,7,14,9,8,14,10,12,14,17,11,10,7,12,14,8,15,7,14,14,14,11,12,15,11,8,12,13,20,16,15,11,12,14,10,8,11,14,12,10,16,14,14,5,20,1,1,1,10,10,20,D C,101,1,1,1,1,1,1,20,10,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zdenek Grygera,133001,763,5/14/1980,31,65,2,14,1,5500,7095,6450,145,129,458266,185,78,D RC,2,2,2,2,1,2,3,2,1,2,2,8,11,10,8,13,6,14,13,16,12,12,13,14,10,14,14,14,14,13,10,14,11,10,9,11,14,15,15,12,13,15,11,5,14,12,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,20,9,1,1,20,12,18,D RC,103,1,14,1,1,1,1,18,12,20,1,1,1,1,1,9,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zat Knight,115850,765,5/2/1980,31,2,0,4,0,4850,6600,6700,148,135,477061,198,86,D C,1,3,1,1,1,3,1,6,3,1,3,2,6,8,8,11,10,15,8,4,14,7,5,14,12,14,12,14,9,11,11,10,15,9,11,12,11,14,15,15,15,12,19,9,16,13,20,13,15,10,11,12,14,12,14,16,14,14,12,14,12,14,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,17179869248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zarko Tomasevic,62055352,62002127,2/22/1990,21,2,0,7,0,1750,5775,5250,133,105,142876,190,78,D C,2,1,1,1,2,1,2,1,2,2,1,8,9,7,8,9,8,13,7,10,13,8,10,12,9,13,12,10,13,12,7,9,13,6,12,9,12,11,11,11,9,8,15,20,14,11,10,11,14,11,9,10,8,12,13,12,11,14,14,14,14,5,20,1,1,1,10,10,20,D C,101,1,10,1,1,1,1,20,10,10,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zak Whitbread,5111961,390,3/4/1984,27,0,0,5,0,3450,5264,5850,135,117,455027,188,72,D C,2,3,2,1,2,3,2,2,2,3,3,2,9,10,4,12,8,14,4,1,12,12,2,13,13,12,13,13,13,12,10,12,14,11,9,11,13,14,13,10,10,11,14,20,12,12,10,13,14,12,9,13,12,12,15,15,5,10,9,15,15,12,20,9,1,1,1,14,20,D C,101,1,16,1,1,1,1,20,14,1,1,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yvan Erichot,34001053,769,3/25/1990,21,0,0,0,0,1655,4454,3355,135,99,45326,190,80,D C,3,2,2,1,3,1,3,3,3,1,2,5,9,7,5,8,6,14,7,8,12,7,6,10,8,13,13,13,8,8,7,9,9,6,7,6,11,13,12,15,12,15,16,5,11,14,20,11,15,11,13,13,7,6,14,3,13,5,16,15,14,14,20,14,1,1,14,1,20,D C,101,1,1,1,1,1,1,20,1,14,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Younes Kaboul,918434,769,1/4/1986,25,2,1,20,1,5650,6696,7150,166,148,2552000,191,85,D RC,3,2,3,1,2,3,3,4,3,3,2,7,13,8,10,14,10,15,14,8,13,11,8,14,12,15,11,14,13,12,13,14,14,6,12,9,15,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,20,1,10,1,15,1,20,D RC,103,1,1,1,1,1,1,20,1,15,14,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19/6/2011,Yohan Tavarès,34012957,769,3/2/1988,23,0,0,0,0,1250,3500,4500,125,106,72712,188,79,D C,3,2,1,1,2,3,1,4,3,2,2,6,6,6,6,8,6,14,8,10,12,7,8,8,8,3,11,12,12,12,6,12,13,5,10,8,10,14,11,11,7,16,15,10,10,11,20,13,15,13,6,10,6,10,14,13,6,11,13,13,13,6,20,1,1,1,10,7,20,D C,101,1,1,1,1,1,1,20,7,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yohan Benalouane,8434244,51,3/28/1987,24,0,0,0,0,1700,6350,6200,136,123,406145,185,79,D LC,3,3,1,2,2,2,1,1,2,2,1,5,8,9,6,12,6,15,8,6,12,8,8,12,12,13,15,13,11,7,8,13,14,9,12,7,14,13,13,14,11,15,15,8,15,13,20,15,16,10,13,14,7,8,6,16,13,13,16,14,13,9,20,1,1,1,1,15,20,D LC,104,1,1,1,1,1,1,20,15,1,12,1,1,1,1,1,8796093022240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19/6/2011,Yoann Poulard,3501504,769,7/1/1976,34,0,0,0,0,4250,5300,5300,130,118,59360,191,77,D C,2,1,2,3,3,1,3,2,2,2,1,4,8,6,8,10,5,17,7,9,13,10,10,11,10,11,13,15,14,15,8,14,13,5,14,8,14,14,12,9,8,17,16,20,14,7,5,14,14,15,11,13,5,5,14,12,15,14,17,15,15,5,20,1,1,1,1,10,20,D C,101,1,14,1,1,1,1,20,10,1,1,1,1,1,1,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Willy Boly,85009974,769,2/3/1991,20,0,0,0,0,2651,5302,5302,150,117,382686,191,81,D C,3,2,2,3,1,2,1,7,2,2,2,5,5,7,6,9,5,15,11,5,12,8,6,11,9,16,14,15,12,11,7,11,12,7,8,7,13,13,11,14,11,16,16,5,14,13,20,14,16,12,13,13,5,6,11,14,14,14,14,14,14,7,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,12,1,1,1,1,1,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19/6/2011,Willian Alves,2114480,1651,4/29/1987,24,0,0,0,0,794,4500,4500,110,92,19198,185,78,D C,1,1,1,3,3,3,2,1,3,1,1,4,6,6,3,13,2,8,2,6,13,10,7,13,8,10,10,8,8,12,4,13,10,6,8,9,10,9,13,9,6,11,13,8,18,8,20,12,13,10,12,10,5,10,5,10,10,15,6,15,17,14,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Willi Orban,91011532,771,11/3/1992,18,0,0,0,0,50,4600,4600,135,95,190795,185,84,D RLC,3,3,2,3,3,1,3,4,3,1,3,4,7,2,3,9,4,14,4,3,10,9,10,14,9,4,12,6,9,9,9,12,10,14,8,5,12,10,14,14,11,11,13,15,11,11,20,10,6,10,7,10,9,10,10,3,14,9,13,12,12,12,20,1,1,1,17,17,20,D RLC,106,1,1,1,1,1,1,20,17,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wes Brown,2003610,765,10/13/1979,31,23,1,8,0,6000,6850,7000,160,145,3017072,185,77,D RC,2,3,1,3,2,3,1,1,1,1,2,5,11,7,2,12,5,17,1,11,15,9,2,18,12,16,14,18,12,13,5,13,18,3,6,7,16,16,15,12,12,14,14,10,14,13,20,14,16,15,14,15,15,10,7,15,18,15,14,15,17,9,20,1,1,1,19,1,20,D RC,103,1,10,1,1,1,1,20,1,19,1,1,1,1,1,1,137438986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19/6/2011,Weligton,316418,1651,8/26/1979,31,0,0,0,0,4502,6551,6851,143,133,309506,185,72,D C,3,1,3,2,2,3,3,8,1,1,3,7,8,6,7,8,8,15,10,10,14,12,10,13,11,15,14,15,10,14,7,13,15,6,15,9,14,14,14,11,11,16,14,20,14,13,5,14,16,15,16,10,6,14,12,12,17,15,15,9,11,9,20,1,1,1,1,10,20,D C,101,1,1,1,1,1,1,20,10,1,10,1,1,1,1,1,32832,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
