GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2505,5350,5011,144,105,196378,186,80,DM/M/AM C,1,3,1,1,1,3,2,3,2,2,1,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,3,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zdravko Kuzmanovic,5727648,802,9/22/1987,23,38,4,0,0,6500,7150,7050,159,141,3481159,186,72,DM/M C,3,1,2,2,3,1,2,4,3,2,1,9,14,8,13,14,13,12,15,10,9,16,15,11,14,9,14,12,17,17,14,16,9,8,13,10,12,18,12,8,8,17,14,13,16,13,20,15,14,14,12,11,3,12,16,15,8,15,12,5,14,9,1,1,20,8,12,10,20,DM/M C,421,1,1,1,8,1,1,1,1,1,18,20,10,12,1,1,35184376283136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,146,105,424054,179,70,M/AM RC,3,3,3,3,2,2,1,4,2,1,2,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,6,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,13,1,3,14,13,6,6,6,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yuki Ohtsu,45015203,116,3/24/1990,21,0,0,1,0,2000,5150,5000,113,101,126482,180,73,M/AM C,1,2,1,2,3,1,3,2,1,3,2,10,8,14,14,13,9,8,10,8,14,13,10,9,11,13,14,8,14,8,12,7,10,13,8,14,8,10,11,12,10,7,9,11,16,12,20,7,7,10,7,7,9,10,7,13,17,7,12,8,10,13,1,1,20,17,1,1,20,M/AM C,411,1,1,12,17,1,1,1,1,1,1,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Youssuf Mulumbu,8440126,53,1/25/1987,24,12,0,0,0,5900,7500,7400,157,144,2742073,177,69,DM/M C,3,3,1,1,2,3,2,5,2,3,1,3,7,12,9,14,5,10,9,7,12,14,4,14,14,13,16,16,13,12,13,13,17,9,14,13,16,16,18,13,13,13,9,12,17,12,20,18,15,17,8,14,6,13,15,14,15,14,13,13,11,7,8,8,20,1,8,1,20,DM/M C,311,1,1,1,1,1,1,3,1,8,20,20,1,5,1,8,557120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Younousse Sankharé,34011678,769,9/10/1989,21,0,0,16,2,4250,5354,5350,150,119,1548788,184,76,DM/M C,1,2,2,1,2,1,2,6,1,3,3,10,10,13,7,13,12,13,10,6,8,14,9,9,15,12,13,12,11,11,13,11,12,13,10,11,10,11,12,15,13,15,13,20,15,13,5,16,15,13,12,14,5,12,13,15,15,7,11,11,13,11,8,8,20,14,1,12,20,DM/M C,421,1,1,1,14,12,1,5,8,1,17,20,12,1,8,1,34359739040,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yohan Cabaye,919628,769,1/14/1986,25,4,0,16,3,6650,7400,6913,160,148,4796050,175,72,DM/M C,1,3,2,1,2,1,2,4,1,3,1,14,14,13,10,14,15,9,16,7,8,17,15,12,14,12,15,14,14,14,14,14,16,9,14,10,13,16,15,14,14,13,8,10,15,12,20,16,12,15,12,14,8,8,14,17,13,15,11,12,12,10,1,1,20,12,1,1,20,DM/M C,311,1,1,1,12,1,1,1,1,1,20,20,1,1,1,1,8813272891648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
19/6/2011,Yoann Gourcuff,919541,769,7/11/1986,24,28,4,19,4,6150,6850,6850,165,152,3950941,185,79,M/AM C,2,2,1,2,3,2,3,6,3,3,3,14,14,14,9,17,14,13,14,5,7,16,14,7,17,12,12,11,13,12,15,12,15,13,8,11,12,15,15,13,14,14,12,14,13,14,20,17,14,10,12,17,10,10,12,16,14,7,17,13,13,5,1,1,18,20,12,12,20,M/AM C,521,1,1,1,20,12,12,1,1,1,12,18,12,12,1,1,140737493614848,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19/6/2011,Yoann Bigné,12112,769,8/23/1977,33,0,0,11,0,4090,5137,5137,135,113,49757,168,65,DM C,3,1,1,1,1,1,1,5,2,3,1,9,11,10,6,12,13,6,10,7,8,13,11,9,12,11,13,13,13,13,12,13,13,8,13,8,12,16,14,12,13,10,5,20,12,11,15,12,10,14,11,14,12,8,6,12,14,14,15,16,16,7,8,8,15,1,12,1,15,DM C,301,1,1,1,1,1,1,1,1,8,20,15,1,12,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yaya Touré,533344,24,5/13/1983,28,55,7,0,0,7750,8250,8350,172,167,18181818,191,90,DM/M C,3,3,2,1,1,2,3,4,3,1,3,10,10,13,13,12,12,15,15,9,14,16,11,14,14,12,14,16,14,14,15,13,15,13,11,13,15,17,18,13,13,18,15,11,15,16,20,17,18,16,12,13,8,15,17,12,6,15,18,12,12,12,13,1,20,14,1,1,20,DM/M C,421,1,1,1,14,1,1,13,1,1,18,20,1,1,1,1,2260595906708004,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
