GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zeljko Brkic,5775744,802,7/9/1986,24,5,0,11,0,4750,6750,6350,147,126,462908,196,93,GK ,12,18,17,7,15,11,13,14,9,9,13,4,10,9,5,6,9,9,9,10,8,4,12,10,10,14,13,9,14,10,5,8,12,9,17,12,13,9,13,11,11,9,17,5,13,12,20,13,15,14,7,11,8,10,13,14,13,13,13,11,12,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yoann Collas,85056995,769,6/16/1992,19,0,0,0,0,1100,2200,2200,98,88,32720,188,85,GK ,13,10,8,8,10,11,12,10,8,11,7,3,2,3,3,9,7,3,2,2,1,8,1,2,9,8,10,13,11,11,8,11,12,6,9,2,11,10,6,9,11,14,14,1,14,8,20,14,14,14,8,10,6,1,9,12,14,9,11,13,13,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wojciech Szczesny,28009478,787,4/18/1990,21,4,0,7,0,5000,6750,7000,156,140,20428192,195,75,GK ,16,15,12,4,15,9,15,15,16,7,9,6,1,3,1,9,10,7,1,1,1,6,3,2,9,15,11,16,12,13,9,12,16,3,6,4,13,13,13,10,16,12,18,6,12,13,20,10,14,13,5,10,8,10,17,19,15,19,14,10,12,18,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wilfredo Caballero,6300460,1649,9/28/1981,29,0,0,2,0,4513,6182,6419,148,137,3634339,185,83,GK ,13,14,14,8,15,12,14,15,15,14,12,7,2,3,2,3,10,3,3,1,3,3,1,3,8,6,12,12,10,12,11,12,15,12,12,7,14,12,13,9,13,13,13,7,12,11,20,10,12,15,4,13,2,10,10,15,10,8,15,15,15,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wayne Hennessey,5006568,801,1/24/1987,24,32,0,6,0,3750,6750,6700,155,130,1657284,196,73,GK ,15,12,12,4,15,16,12,14,13,12,12,3,2,3,2,7,6,2,2,3,2,2,1,2,6,12,13,12,9,12,7,12,12,1,8,6,11,10,9,10,13,10,18,17,13,8,20,11,15,11,8,13,7,10,10,12,15,14,14,11,15,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vlado Giljen,5790256,62002127,12/7/1989,21,0,0,10,0,2250,5750,5000,123,108,138918,188,85,GK ,11,10,11,4,10,10,13,13,8,8,11,8,11,11,3,12,8,10,1,12,2,1,12,11,14,15,12,13,12,12,12,12,12,12,12,13,11,12,12,10,10,12,11,8,14,10,20,11,10,15,7,11,9,9,14,15,13,14,11,13,13,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vlada Avramov,132869,802,4/5/1979,32,2,0,0,0,3550,4950,5500,130,110,174210,187,76,GK ,13,12,13,2,14,13,13,15,12,12,11,5,3,10,1,4,9,1,3,2,2,14,1,2,1,10,12,11,10,7,8,12,15,8,9,13,9,8,10,12,12,8,11,5,11,8,20,12,10,12,6,10,8,10,20,12,13,10,15,12,10,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vito Mannone,5131045,776,3/2/1988,23,0,0,5,0,3000,6000,5750,139,115,613742,191,74,GK ,12,13,12,12,13,16,11,13,12,14,13,5,3,3,3,7,8,3,2,2,2,1,3,1,8,13,10,14,9,8,12,10,14,5,10,5,10,12,12,10,10,10,14,4,13,10,20,11,15,12,5,10,8,10,15,11,13,8,11,11,9,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vincent Enyeama,5410292,38,8/29/1982,28,58,0,0,0,5750,7500,6434,150,142,1544009,182,87,GK ,12,11,15,12,12,17,14,16,14,13,15,9,2,3,8,9,12,3,11,3,3,11,15,12,9,7,11,11,16,14,9,13,18,9,12,1,11,12,7,12,13,16,11,10,13,11,20,12,15,11,7,14,5,1,16,16,12,15,18,18,7,4,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Víctor Valdés,824039,796,1/14/1982,29,4,0,10,0,8000,8500,8500,177,172,23715415,183,78,GK ,13,13,14,13,15,12,18,18,17,13,15,7,3,1,3,10,10,1,2,2,2,3,2,2,10,11,14,14,19,15,12,14,18,14,14,2,16,14,14,14,18,14,13,7,13,12,20,16,12,17,12,17,6,1,11,18,13,16,17,11,9,11,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
