GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,467800,175,67,AM/S RLC,2,2,3,2,2,1,1,2,2,1,2,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,13,10,9,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,672945,186,78,M/AM RLC,3,3,1,1,3,1,2,9,1,2,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,563639295672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
19/6/2011,Zhang Chengdong,23020214,110,2/9/1989,22,1,0,0,0,1501,4950,4500,130,90,6817,184,73,AM/S RL,1,2,2,2,1,1,3,1,1,2,3,7,9,11,10,10,7,11,2,5,7,8,7,1,11,8,6,8,10,8,9,7,14,13,1,10,3,10,13,14,12,9,10,8,13,14,20,8,9,7,10,10,7,10,14,12,8,13,16,16,16,4,1,1,1,17,17,17,7,AM/S RL,625,1,1,20,7,17,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yossi Benayoun,2008550,775,5/5/1980,31,82,24,11,5,6400,8470,7500,154,154,2000000,175,67,M/AM RLC,2,1,2,3,2,2,1,6,2,2,2,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,1,1,18,20,18,17,20,M/AM RLC,526,1,1,7,20,17,17,1,1,1,1,10,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19/6/2011,Yoric Ravet,85033191,769,9/12/1989,21,0,0,0,0,4150,5219,5200,140,115,430813,178,74,AM RL,1,1,1,1,2,2,1,3,2,3,1,7,10,14,10,13,12,9,13,6,4,10,11,4,14,8,12,10,12,11,11,10,14,14,6,13,6,9,12,16,13,12,9,20,13,14,5,12,12,12,8,13,9,8,10,16,15,11,9,13,13,12,1,1,14,20,17,20,12,AM RL,505,1,1,12,12,20,17,1,1,1,1,1,14,14,1,1,2097152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yohan Mollo,34001050,769,7/18/1989,21,0,0,7,0,4650,5894,5850,165,131,316205,175,74,M/AM RL,1,1,1,3,2,3,3,2,3,3,2,13,12,15,7,15,13,8,12,5,3,12,10,3,17,12,11,10,11,10,13,8,15,16,6,13,5,10,9,17,15,12,7,10,13,14,20,14,12,11,10,14,9,8,14,17,8,12,14,12,12,15,1,1,17,20,17,20,10,M/AM RL,525,1,1,10,10,20,17,1,1,1,1,1,17,14,1,1,2251834173440000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yassin Mikari,5723487,51,1/9/1983,28,25,1,0,0,5350,6600,5950,140,132,1086528,172,67,AM L,2,1,2,3,2,3,3,2,3,3,3,8,14,12,6,11,8,5,11,16,13,12,7,13,12,11,13,13,12,11,12,12,13,11,6,13,10,13,14,17,12,12,6,20,12,15,10,14,8,13,11,15,9,15,15,13,13,15,14,14,14,6,15,15,15,20,1,20,10,AM L,503,1,1,1,1,20,1,10,15,1,1,1,15,1,15,1,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yannick Djaló,744161,788,5/5/1986,25,1,0,14,1,4750,6600,6600,149,132,965309,171,68,AM/S RL,3,2,3,3,1,1,2,6,1,1,1,11,12,14,11,12,9,6,11,7,7,10,10,7,14,10,10,11,7,9,9,8,14,16,10,15,8,9,12,16,14,10,7,10,16,15,20,12,11,10,6,13,6,12,13,16,15,14,13,14,14,6,1,1,1,20,20,17,10,AM/S RL,515,1,1,16,10,17,20,1,1,1,1,1,1,1,1,1,34360270860,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yacine Brahimi,34002647,769,2/8/1990,21,0,0,5,1,4350,5450,5450,160,121,276095,175,65,AM RLC,2,1,1,1,3,2,1,5,2,1,1,12,12,15,7,16,13,5,10,5,1,13,12,2,16,6,10,7,13,11,14,10,13,16,7,13,5,7,10,16,15,12,7,10,15,13,20,14,7,13,6,14,6,8,8,16,14,11,12,14,14,8,1,1,15,20,18,18,20,AM RLC,506,1,1,1,20,18,18,1,1,1,1,15,12,12,1,1,2251834174472192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Xavier Annunziata,67024746,796,8/31/1987,23,0,0,0,0,3800,5800,5800,136,114,361060,179,66,AM LC,2,1,1,2,1,3,1,4,1,2,1,10,13,14,10,13,9,8,9,4,5,13,10,5,14,13,11,9,11,11,11,11,10,12,8,12,7,13,13,15,13,10,9,5,15,13,20,13,13,14,7,14,6,5,13,14,6,16,11,6,1,6,1,1,9,20,10,20,15,AM LC,504,1,1,10,15,20,10,1,1,1,1,5,9,1,1,1,128,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wilson Eduardo,55009688,788,7/8/1990,20,0,0,0,0,2526,5530,5500,142,116,396001,176,72,AM RL,1,1,3,1,3,3,2,9,2,1,3,12,13,13,13,13,10,9,13,6,7,10,13,8,13,11,14,9,14,9,10,11,11,14,8,13,8,9,9,14,13,9,10,11,13,13,20,11,12,10,6,10,10,11,7,10,13,10,14,14,15,5,1,1,9,20,20,17,10,AM RL,505,1,1,10,10,17,20,1,1,1,1,1,1,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wellington,19059012,1651,4/1/1989,22,0,0,0,0,1785,4500,4500,110,90,200447,179,74,D/WB/M L,1,2,1,1,2,2,2,7,1,3,3,10,11,12,8,10,10,9,9,10,10,14,10,14,13,11,9,6,8,8,9,9,10,10,8,10,12,8,12,13,12,14,8,20,12,13,5,12,9,10,15,7,7,10,9,11,7,5,6,9,7,20,20,18,17,1,6,20,1,D/WB/M L,123,1,1,1,1,1,1,1,20,6,1,1,17,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wellington Silva,19086339,1651,1/6/1993,18,0,0,0,0,2750,5600,5600,159,108,1628835,171,68,AM/S LC,1,3,3,1,3,1,2,3,2,1,2,8,11,15,11,14,9,7,9,2,4,11,9,4,15,11,9,9,10,11,12,10,12,16,4,12,5,9,14,14,16,5,5,10,13,13,20,10,5,10,6,9,10,13,8,18,6,12,5,7,8,13,1,1,1,18,13,18,15,AM/S LC,624,1,1,20,15,18,13,1,1,1,1,1,1,1,1,1,34360262672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wayne Routledge,5109888,765,1/7/1985,26,0,0,12,1,3850,6250,6000,130,125,703359,170,64,M/AM RL,1,3,1,2,1,1,2,3,1,3,2,8,13,13,12,13,7,5,11,4,7,8,9,5,12,11,11,12,11,9,11,12,13,15,5,12,9,11,13,17,14,14,6,10,18,15,20,13,6,9,12,10,2,12,13,18,4,6,6,4,6,14,1,1,19,20,20,16,12,M/AM RL,525,1,1,1,12,16,20,1,1,1,1,1,13,19,1,1,584115552514,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
19/6/2011,Vladimir Weiss,4001874,794,11/30/1989,21,18,1,7,0,5300,6800,6800,169,131,1475550,176,69,M/AM RLC,1,3,2,3,2,3,1,2,2,2,1,13,14,15,12,15,13,3,12,3,3,13,9,5,15,9,15,10,11,11,15,10,15,15,7,15,5,11,11,16,15,16,6,4,13,15,20,14,9,12,8,13,7,13,15,14,9,14,14,9,15,7,1,1,17,20,20,17,15,M/AM RLC,526,1,1,7,15,14,20,1,1,1,1,15,17,15,1,1,70420552220674,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
19/6/2011,Victor Moses,5007466,38,12/12/1990,20,0,0,0,0,4500,6300,6700,144,130,2985205,180,75,AM RL,2,3,3,2,1,3,1,8,2,1,1,8,12,14,12,12,9,9,10,16,4,12,9,5,12,7,9,8,12,6,11,7,8,15,6,12,8,9,11,16,13,12,9,13,10,16,20,10,13,5,10,6,13,13,11,14,12,11,11,8,12,7,1,1,9,20,20,20,13,AM RL,505,1,1,13,13,20,20,1,1,1,1,1,9,1,1,1,34368127504,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Valter Birsa,7581802,795,8/7/1986,24,47,3,11,5,5200,7205,6400,140,131,909909,184,79,AM LC,2,1,3,2,3,2,3,3,1,2,1,14,13,13,11,14,15,7,14,5,6,14,14,5,14,7,12,11,13,12,14,11,13,14,7,11,9,13,12,13,13,14,10,20,14,11,15,13,13,13,7,17,6,8,11,15,12,12,14,16,16,6,1,1,14,20,14,20,16,AM LC,504,1,1,10,16,20,14,1,1,1,1,10,14,14,1,1,1073742080,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Urreta,78016324,1657,3/19/1990,21,0,0,6,2,4000,5950,5750,143,127,354720,174,62,AM RL,3,1,2,1,1,2,3,1,2,1,2,13,13,13,11,10,13,7,9,7,4,10,13,4,13,12,9,7,9,5,11,8,12,15,9,12,4,8,6,17,15,6,5,10,14,14,20,13,3,8,9,10,9,13,11,15,5,10,10,8,14,13,1,1,11,20,20,16,10,AM RL,505,1,1,15,10,16,20,1,1,1,1,1,7,11,1,1,141837134200848,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
19/6/2011,Urby Emanuelson,856963,784,6/16/1986,25,14,0,6,1,6511,7012,7012,147,140,779666,176,68,M/AM L,1,3,1,1,2,3,1,7,3,2,2,13,13,14,10,15,12,7,11,9,11,14,14,9,17,12,13,13,12,11,14,13,12,16,7,15,12,13,13,15,16,13,8,20,16,15,8,12,9,12,7,10,5,15,11,13,15,13,14,14,15,5,12,14,20,16,7,20,12,M/AM L,413,1,1,1,10,16,5,6,12,1,8,12,20,7,14,1,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Tuncay Sanli,458089,799,1/16/1982,29,80,22,14,10,6950,6400,7100,148,132,1403399,182,70,AM RLC,3,2,2,2,1,2,1,1,1,3,3,7,12,13,12,11,5,12,10,8,6,13,12,7,13,18,13,17,9,15,13,12,18,15,14,15,8,16,15,13,14,10,11,14,16,14,20,15,11,13,10,14,5,14,8,17,15,12,12,11,11,12,1,1,14,20,16,18,20,AM RLC,506,1,1,14,20,18,16,1,1,1,1,14,11,12,1,1,20340973502472,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
19/6/2011,Tunay Torun,35018672,799,4/21/1990,21,1,0,5,0,3750,5750,5950,142,109,473144,179,72,AM/S RLC,2,3,2,2,2,1,2,6,2,2,2,10,9,14,11,14,8,6,7,4,4,13,7,6,15,8,10,5,11,8,12,10,10,14,4,12,6,7,8,14,13,9,8,20,11,12,10,9,11,5,11,4,10,10,14,17,9,9,10,5,7,2,1,1,14,20,16,15,20,AM/S RLC,516,1,1,17,20,15,16,1,1,1,1,10,10,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Tripy Makonda,85030344,769,1/24/1990,21,0,0,8,0,2608,5233,5216,135,116,603897,180,70,D/WB L,1,3,1,2,1,2,1,4,1,1,1,11,14,12,6,13,11,12,10,13,9,11,7,12,13,10,11,12,11,10,11,10,13,11,8,13,10,14,13,15,13,13,10,20,15,14,5,14,13,12,10,13,7,10,6,11,15,11,15,13,13,5,20,17,15,10,1,20,8,D/WB L,113,1,1,1,1,10,1,1,20,1,8,8,15,1,17,1,1099511627809,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19/6/2011,Tranquillo Barnetta,5723534,798,5/22/1985,26,59,8,14,3,7000,8150,7250,154,151,2153263,178,68,M/AM RL,2,2,1,2,1,1,1,7,3,3,2,14,14,15,13,12,13,9,15,8,6,15,14,9,14,14,12,9,11,10,15,14,16,13,9,14,9,14,13,16,15,13,9,18,14,13,20,13,8,9,4,14,5,16,16,14,17,11,16,16,15,5,1,10,18,20,19,20,14,M/AM RL,525,1,1,1,14,20,19,1,1,1,10,12,18,17,10,10,1048864,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
