GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2011,Zé Gomes,728617,788,9/24/1976,34,0,0,0,0,1992,5229,5229,108,104,33159,178,76,D R,3,1,1,2,3,1,1,1,2,2,3,11,12,12,8,10,7,10,10,10,10,10,11,10,13,12,11,12,11,11,10,10,13,11,8,9,10,12,10,14,11,11,8,11,12,11,20,11,11,13,13,11,8,12,13,13,13,14,14,13,12,13,20,9,6,5,20,1,1,D R,102,1,1,1,1,1,5,1,1,20,1,1,1,6,1,9,1116692547588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19/6/2011,Zdenek Pospech,5640732,763,12/14/1978,32,26,2,8,0,5650,6500,6850,136,127,521190,174,72,D/WB R,1,3,3,1,2,2,2,1,2,2,1,8,15,12,10,14,7,7,14,14,12,13,8,13,12,14,13,17,14,12,13,13,17,14,9,13,7,12,16,14,13,8,6,10,13,15,20,16,8,18,9,16,9,17,13,10,14,17,16,16,8,4,20,18,10,10,20,5,1,D/WB R,112,1,1,1,1,1,10,1,5,20,1,1,1,10,1,18,290,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Zdenek Grygera,133001,763,5/14/1980,31,65,2,14,1,5500,7095,6450,145,129,458266,185,78,D RC,2,2,2,2,1,2,3,2,1,2,2,8,11,10,8,13,6,14,13,16,12,12,13,14,10,14,14,14,14,13,10,14,11,10,9,11,14,15,15,12,13,15,11,5,14,12,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,20,9,1,1,20,12,18,D RC,103,1,14,1,1,1,1,18,12,20,1,1,1,1,1,9,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Yuto Nagatomo,45005331,116,9/12/1986,24,42,3,6,1,5250,7000,7000,159,144,2223125,170,65,D/WB RL,1,2,1,2,3,2,2,1,1,2,2,11,13,11,8,11,6,9,10,12,12,11,8,13,11,15,14,14,13,14,8,11,13,11,11,16,13,15,16,17,15,10,8,14,14,14,20,17,10,16,9,14,6,13,5,4,9,12,17,12,4,7,20,18,13,1,19,20,1,D/WB RL,115,1,1,1,1,1,1,1,20,19,1,1,13,12,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Younes Kaboul,918434,769,1/4/1986,25,2,1,20,1,5650,6696,7150,166,148,2552000,191,85,D RC,3,2,3,1,2,3,3,4,3,3,2,7,13,8,10,14,10,15,14,8,13,11,8,14,12,15,11,14,13,12,13,14,14,6,12,9,15,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,20,1,10,1,15,1,20,D RC,103,1,1,1,1,1,1,20,1,15,14,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
19/6/2011,Willi Orban,91011532,771,11/3/1992,18,0,0,0,0,50,4600,4600,135,95,190795,185,84,D RLC,3,3,2,3,3,1,3,4,3,1,3,4,7,2,3,9,4,14,4,3,10,9,10,14,9,4,12,6,9,9,9,12,10,14,8,5,12,10,14,14,11,11,13,15,11,11,20,10,6,10,7,10,9,10,10,3,14,9,13,12,12,12,20,1,1,1,17,17,20,D RLC,106,1,1,1,1,1,1,20,17,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Wes Brown,2003610,765,10/13/1979,31,23,1,8,0,6000,6850,7000,160,145,3017072,185,77,D RC,2,3,1,3,2,3,1,1,1,1,2,5,11,7,2,12,5,17,1,11,15,9,2,18,12,16,14,18,12,13,5,13,18,3,6,7,16,16,15,12,12,14,14,10,14,13,20,14,16,15,14,15,15,10,7,15,18,15,14,15,17,9,20,1,1,1,19,1,20,D RC,103,1,10,1,1,1,1,20,1,19,1,1,1,1,1,1,137438986240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vincent Acapandié,8438696,769,2/9/1990,21,0,0,0,0,1416,4769,2877,140,106,92392,180,81,D/WB R,1,2,2,2,3,3,2,3,1,2,1,6,9,10,8,11,7,7,12,7,11,8,10,12,10,12,14,13,10,9,8,8,14,12,6,12,9,12,13,16,10,14,10,10,14,14,20,14,15,12,10,13,12,16,8,13,15,11,15,14,14,6,20,17,15,10,20,1,7,D/WB R,112,1,1,10,1,1,10,7,1,20,1,1,1,15,1,17,514,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vedran Corluka,126527,761,3/31/1986,25,36,1,0,0,6250,7810,7200,155,142,9071504,192,89,D RC,2,2,3,2,1,1,1,2,1,2,3,3,11,12,9,13,5,15,5,15,13,11,6,15,15,14,17,13,18,12,10,12,17,5,12,10,12,15,14,12,13,16,15,13,14,11,20,14,16,15,4,16,11,12,13,14,15,13,16,17,15,8,20,14,15,1,20,10,16,D RC,103,1,12,1,1,1,1,16,10,20,12,15,1,1,1,14,143881404456,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19/6/2011,Vasco Fernandes,727458,788,11/12/1986,24,0,0,1,0,4000,5250,5250,120,106,117520,181,74,D RC,3,1,3,1,2,3,3,1,3,2,1,6,9,8,6,11,9,9,9,7,9,12,9,12,11,12,13,11,13,9,8,13,8,12,11,9,11,14,12,12,12,10,9,11,13,14,20,10,12,9,16,8,6,12,7,5,15,16,11,14,15,14,20,9,1,1,20,10,16,D RC,103,1,10,1,1,1,1,16,10,20,15,1,1,1,1,9,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
