GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zvonko Pamic,24004366,761,2/4/1991,20,0,0,1,0,2750,5600,5750,140,110,1664684,185,75,M/AM C,3,2,3,1,3,2,2,6,2,1,1,15,15,12,11,12,14,12,10,3,8,15,15,10,13,10,11,13,9,8,13,9,15,11,7,11,8,12,15,12,12,10,14,9,14,12,20,15,12,11,7,12,7,10,12,15,14,13,14,13,13,4,1,1,19,20,1,1,20,M/AM C,521,1,1,1,20,1,1,1,1,1,13,19,1,1,1,1,2147483648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,2958833,175,67,AM/S RLC,3,2,3,1,3,1,3,2,1,1,3,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,12,10,14,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,4256374,186,78,M/AM RLC,1,3,2,2,1,1,2,10,3,3,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,563639295672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13/6/2011,Zlatko Janjic,35006177,759,5/7/1986,25,0,0,0,0,3250,4750,4950,105,99,108424,184,77,M/AM C,2,1,1,1,3,2,3,1,3,2,2,11,11,13,14,12,11,10,12,5,6,13,12,5,13,8,10,9,14,11,12,10,9,7,7,14,7,10,10,12,13,10,11,7,10,11,20,11,9,11,5,9,7,9,7,15,12,6,6,14,9,15,1,1,17,20,13,10,20,M/AM C,521,1,1,1,20,10,13,1,1,1,1,17,7,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2500,5350,5000,144,105,1242092,186,80,DM/M/AM C,2,3,3,3,3,2,3,3,3,3,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,5,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zahir Zerdab,8441135,5,1/9/1982,29,1,0,0,0,2450,5650,5050,124,113,40090,182,73,AM RLC,3,1,1,1,2,1,1,2,1,2,2,14,11,12,7,12,13,8,12,6,4,14,11,4,15,12,9,9,10,10,14,9,10,11,7,13,7,10,11,13,13,14,11,20,11,14,8,12,12,13,12,12,9,12,14,13,8,6,11,5,12,8,1,1,12,20,15,16,20,AM RLC,506,1,1,15,20,16,15,1,1,1,1,12,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zafer Yelen,35000467,799,8/30/1986,24,0,0,9,3,3900,5150,5550,130,110,699928,180,78,M/AM C,3,1,3,2,3,3,3,5,2,2,2,14,12,13,12,13,16,7,16,5,6,13,15,9,15,11,11,12,11,13,13,11,12,10,7,11,10,11,11,11,11,10,10,10,10,12,20,10,10,9,7,14,16,8,8,14,14,13,7,12,8,7,1,1,18,20,1,1,20,M/AM C,521,1,1,1,20,1,1,1,1,1,1,18,1,1,1,1,35253091567616,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
13/6/2011,Yuri Papi,43089240,776,4/24/1993,18,0,0,0,0,500,1500,1500,105,53,3609,182,83,AM C,2,2,2,1,1,2,1,1,2,3,1,4,6,7,7,6,7,3,8,2,2,9,7,5,8,10,8,2,7,2,10,6,8,7,6,9,7,13,13,11,8,8,10,7,10,9,20,9,7,8,5,8,13,10,10,15,10,11,12,12,11,18,1,1,7,20,1,1,20,AM C,501,1,1,1,20,1,1,1,1,1,1,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,156,105,2962318,179,70,M/AM RC,2,3,2,2,1,2,1,5,1,1,1,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,10,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,14,12,12,13,14,15,10,14,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yuki Ohtsu,45015203,116,3/24/1990,21,0,0,1,0,2000,5150,5000,125,101,800000,180,73,M/AM C,2,3,2,2,1,1,2,1,2,1,2,9,9,12,11,13,9,8,11,6,11,12,7,10,13,9,12,10,11,13,10,13,11,12,8,13,11,13,14,13,13,9,10,11,13,13,20,11,3,10,6,10,15,10,6,2,10,11,9,12,13,3,1,1,20,17,1,1,20,M/AM C,411,1,1,12,17,1,1,1,1,1,1,20,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
