GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zoumana Camara,3801463,769,4/3/1979,32,1,0,20,0,5100,5650,5650,150,126,3160422,182,76,D C,2,1,2,3,1,1,1,4,3,1,2,4,8,7,6,10,6,14,9,7,14,9,8,14,10,12,14,17,11,10,7,12,14,8,15,7,14,14,14,11,12,15,11,8,12,13,20,16,15,11,12,14,10,8,11,14,12,10,16,14,14,5,20,1,1,1,10,10,20,D C,101,1,1,1,1,1,1,20,10,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zito,55014062,788,1/9/1980,31,0,0,0,0,500,1000,1000,76,65,0,185,0,D C,3,1,3,2,1,2,3,1,1,3,3,4,1,1,1,7,2,12,7,2,12,7,2,12,3,6,11,8,9,8,4,12,10,4,10,5,12,13,11,8,8,6,10,8,16,7,20,7,3,10,5,10,10,10,7,7,5,15,15,12,6,13,20,1,1,1,1,1,20,D C,101,1,10,1,1,1,1,20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Pedro,55027719,788,2/16/1991,20,0,0,0,0,450,2250,2250,109,70,51182,187,88,D C,3,3,1,2,1,3,1,1,1,1,3,3,3,4,5,10,1,12,4,3,13,8,4,11,5,15,9,8,7,10,3,12,10,3,8,5,8,7,11,13,12,13,12,5,11,13,20,7,6,10,17,10,12,10,14,18,8,10,14,9,11,12,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zdenek Grygera,133001,763,5/14/1980,31,65,2,14,1,5500,7095,6450,145,129,2898531,185,78,D RC,2,3,2,2,1,1,3,1,2,2,2,8,11,10,8,13,6,14,13,16,12,12,13,14,10,14,14,14,14,13,10,14,11,10,9,11,14,15,15,12,13,15,11,5,14,12,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,20,6,1,1,20,12,18,D RC,103,1,14,1,1,1,1,18,12,20,1,1,1,1,1,6,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zat Knight,115850,765,5/2/1980,31,2,0,4,0,4850,6600,6700,148,135,3017412,198,86,D C,1,3,2,3,3,2,1,9,1,2,3,2,6,8,8,11,10,15,8,4,14,7,5,14,12,14,12,14,9,11,11,10,15,9,11,12,11,14,15,15,15,12,19,9,16,13,20,13,15,10,11,12,14,12,14,16,14,14,12,14,12,14,20,1,1,1,1,1,20,D C,101,1,1,1,1,1,1,20,1,1,1,1,1,1,1,1,17179869248,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zarko Tomasevic,62055352,62002127,2/22/1990,21,2,0,7,0,1750,5775,5250,133,105,903692,190,78,D C,3,3,3,2,2,1,2,3,1,1,3,8,9,7,8,9,8,13,7,10,13,8,10,12,9,13,12,10,13,12,7,9,13,6,12,9,12,11,11,11,9,8,15,20,14,11,10,11,14,11,9,10,8,12,13,12,9,14,14,14,14,5,20,1,1,1,10,10,20,D C,101,1,10,1,1,1,1,20,10,10,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zargo Touré,85022455,41,11/11/1989,21,0,0,0,0,4100,5174,5150,160,115,485246,183,73,D/DM C,2,1,2,2,3,2,2,3,1,3,1,5,7,9,6,10,9,14,11,7,13,9,7,11,10,14,14,16,13,13,8,11,17,8,11,7,13,15,17,11,12,15,11,5,15,12,20,17,15,13,14,15,7,14,16,12,14,14,15,14,14,5,18,12,10,1,12,1,18,D/DM C,321,1,1,1,1,1,1,18,1,12,20,10,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zak Whitbread,5111961,390,3/4/1984,27,0,0,5,0,3450,5264,5850,135,117,2878044,188,72,D C,1,1,3,2,3,1,1,2,2,1,3,2,9,10,4,12,8,14,4,1,12,12,2,13,13,12,13,13,13,12,10,12,14,11,9,11,13,14,13,10,10,11,14,20,12,12,10,13,14,12,9,13,12,12,15,15,5,10,9,15,15,12,20,9,1,1,1,14,20,D C,101,1,16,1,1,1,1,20,14,1,1,1,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yvan Erichot,34001053,769,3/25/1990,21,0,0,0,0,1600,3250,3250,135,99,753853,190,80,D C,2,3,3,3,1,1,1,1,1,2,1,5,9,7,5,8,6,14,7,8,12,7,6,10,8,13,13,13,8,8,7,9,10,6,7,6,11,13,12,15,12,15,16,5,11,14,20,11,15,11,13,13,7,6,7,14,13,12,7,13,5,15,20,14,1,1,14,1,20,D C,101,1,1,1,1,1,1,20,1,14,1,1,1,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Younes Kaboul,918434,769,1/4/1986,25,2,1,20,1,5650,6659,7150,166,148,16141397,191,85,D RC,1,2,2,1,2,2,3,1,1,1,2,7,13,8,10,14,10,15,14,8,13,11,8,14,12,15,11,14,13,12,13,14,14,6,12,9,15,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,20,1,10,1,15,1,20,D RC,103,1,1,1,1,1,1,20,1,15,14,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
