GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zé Eduardo,19070329,1651,8/16/1991,19,0,0,7,0,2500,5350,5000,144,105,1242092,186,80,DM/M/AM C,2,3,3,3,3,2,3,3,3,3,3,1,9,12,10,10,4,12,9,4,12,11,11,13,12,12,11,15,11,11,9,11,11,5,11,11,11,12,12,14,13,13,13,6,15,14,20,14,13,11,11,11,12,15,5,16,5,9,10,11,7,15,1,1,20,16,11,1,20,DM/M/AM C,431,1,1,1,16,1,7,1,1,1,19,20,1,11,1,1,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Alberto,7004872,788,4/10/1979,32,0,0,0,0,500,3750,3750,90,80,8531,172,77,D/DM R,2,1,3,3,2,2,1,3,2,3,1,5,9,4,5,7,2,10,10,3,12,9,7,10,9,11,13,13,6,5,6,10,8,9,12,9,12,12,11,13,10,9,8,7,11,13,20,12,4,10,6,5,15,10,11,14,17,13,13,13,8,16,20,12,12,1,20,4,12,D/DM R,112,1,1,1,1,1,1,1,4,20,16,12,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zdravko Kuzmanovic,5727648,802,9/22/1987,23,38,4,0,0,6500,7150,7050,159,141,21909769,186,72,DM/M C,2,1,3,1,1,3,3,2,3,2,3,9,14,8,13,14,13,12,15,10,9,16,15,11,14,9,14,12,17,17,14,16,10,8,13,10,12,18,12,8,8,17,14,13,16,13,20,15,14,14,12,11,3,12,16,15,3,15,12,2,5,12,1,1,20,8,12,10,20,DM/M C,421,1,1,1,8,1,1,1,1,1,18,20,10,12,1,1,35184376283136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13/6/2011,Zargo Touré,85022455,41,11/11/1989,21,0,0,0,0,4100,5174,5150,160,115,485246,183,73,D/DM C,2,1,2,2,3,2,2,3,1,3,1,5,7,9,6,10,9,14,11,7,13,9,7,11,10,14,14,16,13,13,8,11,17,8,11,7,13,15,17,11,12,15,11,5,15,12,20,17,15,13,14,15,7,14,16,12,14,14,15,14,14,5,18,12,10,1,12,1,18,D/DM C,321,1,1,1,1,1,1,18,1,12,20,10,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yuki Abe,775013,116,9/6/1981,29,50,3,13,3,5100,6600,5900,153,120,3335211,177,78,DM/M RLC,1,1,3,1,1,3,1,8,1,1,2,12,11,7,7,13,14,8,11,8,14,14,9,13,12,6,16,10,15,15,12,10,10,14,14,13,15,16,15,9,10,12,9,14,12,10,20,13,8,15,6,12,13,19,11,7,14,8,15,14,15,4,1,1,20,1,17,15,20,DM/M RLC,316,1,1,1,1,1,1,1,1,1,20,20,15,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Youssuf Mulumbu,8440126,53,1/25/1987,24,12,0,0,0,5900,7500,7400,157,144,17343608,177,69,DM/M C,3,1,1,3,2,2,1,4,3,3,2,3,7,12,9,14,5,10,9,7,12,14,4,14,14,13,16,16,13,12,13,13,17,9,14,13,16,16,18,13,13,13,9,12,17,12,20,18,15,17,8,14,6,13,15,14,15,14,13,13,11,7,8,8,20,1,8,1,20,DM/M C,311,1,1,1,1,1,1,3,1,8,20,20,1,5,1,8,557120,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Younousse Sankharé,34011678,769,9/10/1989,21,0,0,16,2,4250,5354,5350,150,119,10227859,184,76,DM/M C,3,2,2,1,1,1,3,7,3,3,1,10,10,13,7,13,12,13,10,6,8,14,9,9,15,12,13,12,11,11,13,11,12,13,10,11,10,11,12,15,13,15,13,20,15,13,5,16,15,13,12,14,5,12,11,15,15,7,11,11,13,11,8,8,20,14,1,12,20,DM/M C,421,1,1,1,14,12,1,5,8,1,17,20,12,1,8,1,34359739040,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yohannes Bahcecioglu,35011015,771,2/26/1988,23,0,0,0,0,3000,4500,4500,107,90,45528,176,0,DM ,3,3,1,1,3,3,2,3,3,1,3,10,8,7,6,9,7,4,8,7,11,8,14,12,7,10,9,10,9,8,8,8,10,10,10,10,11,14,15,11,8,8,7,16,16,12,20,16,12,10,5,10,11,10,7,15,4,11,17,6,16,5,5,7,12,4,12,5,10,DM ,300,1,1,1,1,1,4,5,1,1,20,10,5,12,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yohan Hautcoeur,913547,769,10/30/1981,29,0,0,0,0,4200,5300,5300,130,118,1021918,179,67,DM C,1,3,3,2,1,3,2,3,2,1,2,11,10,9,6,12,11,10,12,9,7,12,10,12,12,12,14,14,14,14,11,11,14,6,12,7,13,15,16,13,12,13,9,8,13,12,20,17,9,13,8,12,11,14,9,13,14,11,16,15,15,6,12,12,15,10,14,1,15,DM C,301,1,1,1,10,1,1,1,1,12,20,15,1,14,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yohan Cabaye,919628,769,1/14/1986,25,4,0,16,3,6650,7400,6900,160,148,29722570,175,72,DM/M C,3,3,1,1,2,2,2,2,2,1,2,14,14,13,10,14,15,9,16,7,8,17,15,12,14,12,15,14,14,14,14,14,16,9,14,10,13,16,15,14,14,13,8,10,15,12,20,16,12,15,12,14,8,8,11,17,13,15,11,12,12,10,1,1,20,12,1,1,20,DM/M C,311,1,1,1,12,1,1,1,1,1,20,20,1,1,1,1,8813272891648,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
