GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zeljko Brkic,5775744,802,7/9/1986,24,5,0,11,0,4750,6750,6350,147,126,2927893,196,93,GK ,12,18,17,7,15,11,13,14,9,9,13,4,10,9,5,6,9,9,9,10,8,4,12,10,10,14,13,9,14,10,5,8,12,9,17,12,13,9,13,11,11,9,17,5,13,12,20,13,15,14,7,11,8,10,13,14,13,13,13,11,12,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zacharie Boucher,85018050,769,3/7/1992,19,0,0,0,0,1150,2350,2350,147,94,877289,178,72,GK ,7,10,10,7,11,7,13,14,13,11,8,7,2,3,3,8,10,3,2,2,1,7,2,1,8,7,13,11,12,12,8,11,9,2,8,3,11,10,7,14,15,12,9,1,15,11,20,12,11,14,7,15,5,1,9,16,13,10,7,7,10,10,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yoel,67010473,796,8/28/1988,22,0,0,2,0,3000,5000,5000,132,104,972439,186,78,GK ,9,10,13,4,11,10,15,14,8,13,14,3,1,1,1,8,7,10,1,3,1,8,2,2,7,12,11,8,10,10,7,14,13,1,8,2,8,2,8,10,9,10,12,15,10,10,20,10,10,10,9,10,10,10,7,14,15,10,9,12,7,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yoann Collas,85056995,769,6/16/1992,18,0,0,0,0,1100,2200,2200,103,88,741990,188,85,GK ,13,10,8,8,10,11,12,10,8,11,7,6,1,1,2,9,8,1,3,2,1,8,3,2,9,8,10,13,11,11,8,11,12,6,9,3,11,10,6,9,11,14,14,1,14,8,20,14,14,14,8,10,6,1,10,12,14,9,11,13,13,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yelco,67011254,796,1/23/1990,21,0,0,0,0,1900,4150,4150,116,83,88257,188,80,GK ,4,13,7,12,14,10,14,14,11,9,13,3,2,1,1,8,7,3,1,1,2,2,2,2,6,8,11,11,8,10,3,11,8,2,10,3,11,1,3,11,11,14,13,9,15,13,20,2,5,10,9,10,3,10,17,12,11,11,15,17,7,17,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wolfgang Hesl,8725953,771,1/13/1986,25,0,0,0,0,1750,5000,5000,138,122,418430,186,85,GK ,13,12,12,8,13,12,14,13,15,7,11,5,2,2,2,7,10,2,3,2,1,2,1,1,7,5,11,12,11,11,9,9,10,12,7,1,13,12,13,12,12,13,14,11,12,13,20,15,15,12,5,8,9,10,7,20,11,12,12,9,5,11,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wojciech Szczesny,28009478,787,4/18/1990,21,4,0,7,0,5000,6750,7000,152,140,129178817,195,75,GK ,16,15,12,4,15,9,15,15,16,7,9,5,2,1,2,9,10,7,3,3,3,6,1,1,9,15,11,16,12,13,9,12,16,3,6,4,13,13,13,10,16,12,18,6,12,13,20,10,14,13,5,10,8,10,17,19,15,19,14,10,12,18,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wilfredo Caballero,6300460,1649,9/28/1981,29,0,0,2,0,4500,6000,6400,148,137,23122258,185,83,GK ,13,14,14,8,15,12,14,15,15,14,12,8,2,2,2,10,10,1,2,1,1,3,1,2,10,6,12,12,10,12,11,12,15,12,12,7,14,12,13,9,13,13,13,7,12,11,20,10,12,15,4,13,2,10,10,15,10,8,15,15,15,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wesley Foderingham,28010402,765,1/14/1991,20,0,0,0,0,1200,2500,2500,107,59,11056,186,71,GK ,10,9,10,10,9,9,11,10,8,11,6,2,3,1,3,2,3,2,2,1,3,2,2,2,1,10,4,11,5,8,2,7,9,5,4,3,11,8,6,10,11,7,13,20,10,9,5,5,9,10,8,12,7,10,6,13,11,8,6,9,15,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wayne Hennessey,5006568,801,1/24/1987,24,32,0,6,0,3750,6750,6700,155,130,10482321,196,73,GK ,15,12,12,4,15,16,12,14,13,12,12,5,2,2,1,7,10,2,1,2,1,3,2,2,6,12,13,12,9,12,7,12,12,1,8,6,11,10,9,10,13,10,18,17,13,8,20,11,15,11,8,13,7,10,10,12,15,14,14,11,15,6,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
