GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zakarya Bergdich,85071180,769,1/7/1989,22,0,0,0,0,1200,4274,2350,113,95,46867,178,69,D L,2,1,2,1,2,3,2,1,3,3,3,7,11,9,6,9,7,10,7,10,9,8,6,12,12,10,11,12,11,11,8,10,16,8,8,8,10,12,14,14,12,13,9,20,15,13,5,14,9,13,10,13,6,7,5,14,12,11,11,14,14,8,20,15,12,1,11,20,1,D L,103,1,1,1,1,1,1,1,20,11,1,1,12,1,15,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yuto Nagatomo,45005331,116,9/12/1986,24,42,3,6,1,5250,7000,7000,159,144,13791606,170,65,D/WB RL,3,1,1,2,1,2,1,4,3,2,3,11,13,11,8,11,6,9,10,12,12,11,8,13,11,15,14,14,13,14,8,11,13,11,11,16,13,15,16,17,15,10,8,14,14,14,20,17,10,16,9,14,6,13,5,11,8,12,13,13,6,9,20,18,13,1,19,20,1,D/WB RL,115,1,1,1,1,1,1,1,20,19,1,1,13,12,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yohan Benalouane,8434244,51,3/28/1987,24,0,0,0,0,1700,6350,6200,136,123,2568865,185,79,D LC,1,3,1,1,2,3,1,3,1,2,2,5,8,9,6,12,6,15,8,6,12,8,8,12,12,13,15,13,11,7,8,13,14,9,12,7,14,13,13,14,11,15,15,8,15,13,20,15,16,10,13,14,7,8,9,16,13,13,16,14,13,9,20,1,1,1,1,15,20,D LC,104,1,1,1,1,1,1,20,15,1,12,1,1,1,1,1,8796093022240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13/6/2011,Yassin Mikari,5723487,51,1/9/1983,28,25,1,0,0,5350,6600,5950,140,132,6072866,172,67,AM L,2,2,2,1,2,3,1,1,2,1,1,8,14,12,6,11,8,5,11,16,13,12,7,13,12,11,13,13,12,11,12,12,13,11,6,13,10,13,14,17,12,12,6,20,12,15,10,14,8,13,11,15,9,15,15,13,13,15,14,14,14,6,15,15,15,20,1,20,10,AM L,503,1,1,1,1,20,1,10,15,1,1,1,15,1,15,1,33,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Xabi Castillo,1502591,796,3/29/1986,25,0,0,0,0,4200,6100,6100,130,124,446712,184,75,D L,3,3,1,14,1,3,3,2,1,3,1,12,14,12,10,12,13,12,13,14,11,13,5,12,13,12,12,14,12,10,12,12,11,13,11,15,11,13,14,15,11,13,11,20,10,14,7,12,13,8,8,12,6,8,9,12,8,11,11,14,11,11,20,15,14,9,5,20,1,D L,103,1,1,1,1,9,1,1,20,5,1,1,14,1,15,1,68719477024,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Williams,319778,1651,8/5/1983,27,0,0,0,0,1000,4200,4500,110,92,34024,170,60,D/WB/AM L,1,1,3,1,3,2,2,3,1,1,2,12,12,12,10,11,10,7,10,11,11,11,10,12,11,12,10,11,8,9,8,8,13,13,8,15,9,9,11,14,13,9,8,20,13,13,8,13,7,9,9,11,8,13,11,14,12,13,11,11,10,10,20,20,12,16,4,20,1,D/WB/AM L,123,1,1,1,1,16,1,1,20,4,1,1,12,1,20,1,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Willi Orban,91011532,771,11/3/1992,18,0,0,0,0,50,4600,4600,145,95,2144122,185,83,D RLC,1,3,3,2,1,3,3,3,2,2,2,5,5,2,4,11,2,13,8,2,10,11,2,13,7,10,9,7,7,12,9,11,9,8,9,5,8,12,13,13,11,12,12,15,14,10,20,11,8,8,7,10,7,10,10,11,9,13,6,9,10,17,20,1,1,1,17,17,20,D RLC,106,1,1,1,1,1,1,20,17,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wilfried Moimbé,34001874,769,10/18/1988,22,0,0,0,0,2450,3800,3800,135,114,611760,173,65,D/WB/M/AM L,3,1,1,3,1,1,1,4,3,3,3,9,12,11,6,11,6,6,12,8,6,9,8,8,11,8,11,13,12,12,12,11,12,8,7,11,10,12,14,16,14,11,6,20,13,15,8,15,7,13,8,15,7,12,14,12,12,12,16,16,16,7,20,18,17,17,12,20,10,D/WB/M/AM L,133,1,1,1,1,17,1,1,20,12,10,10,17,1,18,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wesley Lautoa,85060157,769,8/25/1987,23,0,0,0,0,2600,3900,3900,130,117,404538,186,70,D LC,1,3,1,2,1,1,2,2,3,1,2,5,8,9,6,13,7,13,7,5,12,12,6,11,14,11,13,11,13,13,12,12,10,7,8,7,14,12,13,12,10,16,12,20,15,11,5,15,16,15,9,14,7,12,13,17,7,9,12,14,8,16,20,12,8,1,1,15,20,D LC,104,1,1,1,1,1,1,20,15,1,10,8,1,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Wellington,19059012,1651,4/1/1989,22,0,0,0,0,1750,4500,4500,110,90,2311035,179,74,D/WB/M L,1,2,1,2,1,1,2,3,1,3,3,10,11,12,8,10,10,9,10,2,12,14,10,14,13,11,14,10,8,8,9,9,10,10,8,9,10,10,14,13,12,13,8,20,14,13,5,12,9,10,5,4,3,10,9,13,6,8,10,9,6,7,20,18,17,1,1,20,1,D/WB/M L,123,1,1,1,1,1,1,1,20,1,1,1,17,1,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
