GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zé Gomes,728617,788,9/24/1976,34,0,0,0,0,2000,5250,5250,108,105,209734,178,76,D R,2,1,1,1,3,3,2,1,1,3,1,11,12,12,8,10,7,10,10,10,10,10,11,10,13,12,11,12,11,11,10,10,13,11,8,9,10,12,10,14,11,11,8,11,12,11,20,11,11,13,13,11,8,12,13,13,13,14,14,13,12,13,20,9,6,5,20,1,1,D R,102,1,1,1,1,1,5,1,1,20,1,1,1,6,1,9,1116692547588,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
13/6/2011,Zé Alberto,7004872,788,4/10/1979,32,0,0,0,0,500,3750,3750,90,80,8531,172,77,D/DM R,2,1,3,3,2,2,1,3,2,3,1,5,9,4,5,7,2,10,10,3,12,9,7,10,9,11,13,13,6,5,6,10,8,9,12,9,12,12,11,13,10,9,8,7,11,13,20,12,4,10,6,5,15,10,11,14,17,13,13,13,8,16,20,12,12,1,20,4,12,D/DM R,112,1,1,1,1,1,1,1,4,20,16,12,1,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zdenek Pospech,5640732,763,12/14/1978,32,26,2,8,0,5650,6500,6850,136,127,3306311,174,72,D/WB R,1,3,1,1,1,3,1,2,2,2,2,8,15,12,10,14,7,7,14,14,12,13,8,13,12,14,13,17,14,12,13,13,17,14,9,13,7,12,16,14,13,8,6,10,13,15,20,16,8,18,9,16,9,17,13,10,14,17,16,16,8,4,20,18,10,10,20,9,1,D/WB R,112,1,1,1,1,1,10,1,9,20,1,1,1,10,1,18,290,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zdenek Grygera,133001,763,5/14/1980,31,65,2,14,1,5500,7095,6450,145,129,2898531,185,78,D RC,2,3,2,2,1,1,3,1,2,2,2,8,11,10,8,13,6,14,13,16,12,12,13,14,10,14,14,14,14,13,10,14,11,10,9,11,14,15,15,12,13,15,11,5,14,12,20,14,14,16,10,13,12,13,13,11,15,13,15,12,14,12,20,6,1,1,20,12,18,D RC,103,1,14,1,1,1,1,18,12,20,1,1,1,1,1,6,6442483712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yves Deroff,3500176,769,8/29/1978,32,0,0,0,0,4000,5000,5000,130,112,404732,175,72,D R,1,2,1,3,1,1,3,5,2,1,2,9,12,8,6,10,8,11,8,11,13,10,7,12,10,14,12,15,12,12,8,11,11,6,12,7,13,15,14,14,12,13,8,5,13,12,20,15,13,13,14,13,8,9,11,11,15,10,13,13,15,8,20,15,10,1,20,10,12,D R,102,1,1,1,1,1,1,12,10,20,1,1,1,10,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yuto Nagatomo,45005331,116,9/12/1986,24,42,3,6,1,5250,7000,7000,159,144,13791606,170,65,D/WB RL,3,1,1,2,1,2,1,4,3,2,3,11,13,11,8,11,6,9,10,12,12,11,8,13,11,15,14,14,13,14,8,11,13,11,11,16,13,15,16,17,15,10,8,14,14,14,20,17,10,16,9,14,6,13,5,11,8,12,13,13,6,9,20,18,13,1,19,20,1,D/WB RL,115,1,1,1,1,1,1,1,20,19,1,1,13,12,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Younes Kaboul,918434,769,1/4/1986,25,2,1,20,1,5650,6659,7150,166,148,16141397,191,85,D RC,1,2,2,1,2,2,3,1,1,1,2,7,13,8,10,14,10,15,14,8,13,11,8,14,12,15,11,14,13,12,13,14,14,6,12,9,15,12,12,14,9,16,17,12,11,15,20,14,19,12,10,12,12,8,13,16,15,12,15,14,13,8,20,1,10,1,15,1,20,D RC,103,1,1,1,1,1,1,20,1,15,14,10,1,1,1,1,43984760078338,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
13/6/2011,Yohan Demont,3501868,769,5/15/1978,33,0,0,0,0,2100,6209,6200,145,138,1883141,181,73,D/WB/M/AM R,1,1,1,2,3,3,1,9,1,1,2,11,13,11,6,11,12,11,14,11,11,13,9,12,13,15,13,13,13,13,12,12,14,8,14,12,13,15,16,16,12,14,10,8,14,14,20,16,12,15,12,13,6,15,12,13,14,13,15,13,13,7,18,18,20,16,20,1,12,D/WB/M/AM R,442,1,1,1,10,1,16,1,1,18,1,12,1,20,1,18,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yoann Zanoni,917732,769,2/24/1983,28,0,0,0,0,1050,3300,3300,115,100,72685,176,73,D R,2,1,2,3,2,2,2,2,1,3,2,7,12,7,5,10,6,8,11,10,8,9,6,9,10,12,10,13,13,13,7,11,15,7,8,10,12,12,14,15,12,11,8,5,12,14,20,14,11,14,12,14,9,8,19,12,13,13,13,13,13,8,20,15,1,1,20,10,1,D R,102,1,1,1,1,1,1,1,10,20,1,1,1,1,10,15,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yann Songo'o,67095713,11,11/17/1991,19,0,0,0,0,1800,3300,2800,120,56,55990,184,77,D RC,3,2,2,3,3,2,1,2,3,3,3,4,7,7,2,6,4,13,1,8,13,13,5,13,5,11,5,6,6,6,6,6,11,10,6,3,12,12,14,7,8,9,9,8,16,6,20,10,3,8,6,10,10,10,9,20,9,13,8,18,12,10,20,9,1,1,15,1,20,D RC,103,1,8,1,1,1,1,20,1,15,1,1,1,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
