GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,2958833,175,67,AM/S RLC,3,2,3,1,3,1,3,2,1,1,3,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,12,10,14,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zoltán Gera,133359,773,4/22/1979,32,71,21,0,0,5500,7250,6750,140,135,4256374,186,78,M/AM RLC,1,3,2,2,1,1,2,10,3,3,1,8,15,13,12,15,7,14,10,3,9,13,7,12,16,9,13,11,15,10,15,13,15,14,9,14,13,15,15,10,13,15,12,16,13,11,20,13,11,10,5,13,8,15,15,12,14,14,17,15,15,2,1,3,20,16,20,15,15,M/AM RLC,416,1,1,9,15,8,16,1,1,1,1,13,15,20,1,3,563639295672320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13/6/2011,Zlatko Dedic,7982662,795,10/5/1984,26,36,6,0,0,5500,6900,6300,135,126,2051323,182,78,AM/S RL,3,3,1,3,1,1,1,3,3,1,3,7,6,14,13,8,9,9,15,4,5,11,10,7,13,11,10,9,9,11,10,11,15,15,10,15,10,14,14,15,15,12,10,11,12,14,20,17,11,9,5,15,12,11,15,16,11,8,15,10,14,5,1,1,9,20,15,20,1,AM/S RL,515,1,1,20,1,20,15,1,1,1,1,1,9,1,1,1,211106232541184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13/6/2011,Zhang Chengdong,23020214,110,2/9/1989,22,1,0,0,0,1500,4950,4500,121,90,21613,184,73,AM/S RL,1,3,3,2,1,1,1,2,1,3,2,8,11,9,10,11,7,9,4,1,1,10,2,4,10,5,4,9,8,8,8,9,14,13,8,11,7,13,13,14,12,9,10,8,13,14,20,8,9,10,11,7,7,10,14,12,13,13,16,16,16,4,1,1,1,17,17,17,7,AM/S RL,625,1,1,20,7,17,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Manel,7004620,788,2/22/1975,36,0,0,0,0,2500,5250,5250,101,101,33272,167,64,AM R,2,3,1,2,3,1,1,7,3,2,1,9,9,11,11,10,13,6,13,4,4,9,9,4,10,14,5,14,7,11,8,9,17,15,10,13,6,9,13,14,13,6,6,12,13,13,20,9,6,12,9,12,7,13,11,15,14,13,14,10,12,7,1,1,5,20,20,13,10,AM R,502,1,1,10,10,13,20,1,1,1,1,1,1,5,1,1,549755814656,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13/6/2011,Zahir Zerdab,8441135,5,1/9/1982,29,1,0,0,0,2450,5650,5050,124,113,40090,182,73,AM RLC,3,1,1,1,2,1,1,2,1,2,2,14,11,12,7,12,13,8,12,6,4,14,11,4,15,12,9,9,10,10,14,9,10,11,7,13,7,10,11,13,13,14,11,20,11,14,8,12,12,13,12,12,9,12,14,13,8,6,11,5,12,8,1,1,12,20,15,16,20,AM RLC,506,1,1,15,20,16,15,1,1,1,1,12,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yusuf-Muri Adewunmi,8703939,38,11/5/1982,28,0,0,0,0,500,3750,3750,100,75,20380,178,78,M/AM R,2,3,3,3,3,3,2,1,2,2,3,9,12,8,6,9,7,7,5,5,8,10,8,8,11,8,10,8,11,9,9,7,10,11,7,7,6,15,11,12,11,12,9,15,7,12,20,6,3,10,10,9,7,10,10,10,2,7,17,7,5,20,14,14,18,20,20,12,1,M/AM R,522,1,1,8,1,12,20,1,12,14,1,1,12,18,12,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yunus Malli,91017783,771,2/24/1992,19,0,0,0,0,2500,5250,5250,156,105,2962318,179,70,M/AM RC,2,3,2,2,1,2,1,5,1,1,1,9,10,13,8,13,14,4,12,2,6,12,13,4,15,9,12,6,7,11,14,11,10,13,6,14,4,9,8,14,17,7,3,10,11,15,20,13,4,8,7,7,8,10,14,12,12,13,14,15,10,14,1,1,18,20,16,10,20,M/AM RC,523,1,1,1,20,10,16,1,1,1,10,18,10,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yuki Abe,775013,116,9/6/1981,29,50,3,13,3,5100,6600,5900,153,120,3335211,177,78,DM/M RLC,1,1,3,1,1,3,1,8,1,1,2,12,11,7,7,13,14,8,11,8,14,14,9,13,12,6,16,10,15,15,12,10,10,14,14,13,15,16,15,9,10,12,9,14,12,10,20,13,8,15,6,12,13,19,11,7,14,8,15,14,15,4,1,1,20,1,17,15,20,DM/M RLC,316,1,1,1,1,1,1,1,1,1,20,20,15,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Youssef Hida,85096897,769,5/14/1983,28,0,0,0,0,850,1750,1750,90,70,5537,172,65,AM R,1,3,2,2,3,1,1,5,3,1,2,7,9,9,9,9,5,8,7,7,6,10,8,9,12,9,8,9,8,7,7,10,10,11,13,10,7,6,10,12,12,12,5,8,10,12,20,9,2,10,11,10,13,10,6,14,12,13,14,14,5,6,1,1,15,20,20,1,1,AM R,502,1,1,1,1,1,20,1,1,1,1,1,1,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Younès Belhanda,34008669,34,2/25/1990,21,0,0,0,0,4600,5759,5750,165,128,4796943,174,75,AM RL,3,1,3,2,2,2,3,1,2,3,2,13,10,14,7,14,13,8,13,8,6,14,8,9,16,11,14,12,13,13,14,13,14,14,8,11,10,13,16,15,13,13,7,5,15,12,20,13,13,14,11,16,7,12,11,15,9,9,9,12,14,5,10,1,15,20,20,15,10,AM RL,505,1,1,1,10,15,20,10,1,1,10,10,15,15,1,1,256,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yossi Benayoun,2008550,775,5/5/1980,31,82,24,11,5,6400,8470,7500,154,154,12650000,175,67,M/AM RLC,1,2,2,3,2,3,2,4,3,1,2,12,13,16,11,15,13,6,11,12,9,14,14,7,16,7,14,12,15,14,14,15,15,14,9,15,12,15,19,14,15,10,7,14,14,14,20,15,6,14,7,15,10,15,18,17,15,10,20,16,15,5,1,1,18,20,18,17,20,M/AM RLC,526,1,1,7,20,17,17,1,1,1,1,10,15,18,1,1,70918500515872,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
