GameDate,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
13/6/2011,Zoltán Stieber,28000417,773,10/6/1988,22,0,0,1,0,4750,5849,6500,149,130,2958833,175,67,AM/S RLC,3,2,3,1,3,1,3,2,1,1,3,10,15,14,12,13,12,4,7,5,8,11,10,8,13,10,11,9,12,10,13,12,16,16,5,13,7,11,12,16,12,11,6,20,11,15,10,13,7,10,12,10,14,15,12,13,7,13,14,14,14,7,1,1,15,20,15,20,18,AM/S RLC,516,1,1,17,18,20,15,1,1,1,1,1,15,12,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zlatko Dedic,7982662,795,10/5/1984,26,36,6,0,0,5500,6900,6300,135,126,2051323,182,78,AM/S RL,3,3,1,3,1,1,1,3,3,1,3,7,6,14,13,8,9,9,15,4,5,11,10,7,13,11,10,9,9,11,10,11,15,15,10,15,10,14,14,15,15,12,10,11,12,14,20,17,11,9,5,15,12,11,15,16,11,8,15,10,14,5,1,1,9,20,15,20,1,AM/S RL,515,1,1,20,1,20,15,1,1,1,1,1,9,1,1,1,211106232541184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13/6/2011,Zlatan Ibrahimovic,142173,797,10/3/1981,29,69,28,7,6,8500,9000,8700,185,174,81554621,195,95,S ,1,3,3,2,2,2,3,7,3,2,2,6,14,16,18,17,14,14,16,16,4,17,18,6,19,16,15,15,13,8,16,14,7,19,17,18,6,5,10,12,13,19,16,13,17,15,20,15,18,12,15,7,11,8,14,20,5,11,12,6,6,18,1,1,1,11,9,11,10,S ,600,1,1,20,10,11,9,1,1,1,1,1,1,1,1,1,17626545848832,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
13/6/2011,Zhang Chengdong,23020214,110,2/9/1989,22,1,0,0,0,1500,4950,4500,121,90,21613,184,73,AM/S RL,1,3,3,2,1,1,1,2,1,3,2,8,11,9,10,11,7,9,4,1,1,10,2,4,10,5,4,9,8,8,8,9,14,13,8,11,7,13,13,14,12,9,10,8,13,14,20,8,9,10,11,7,7,10,14,12,13,13,16,16,16,4,1,1,1,17,17,17,7,AM/S RL,625,1,1,20,7,17,17,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Luís,55027773,12,1/24/1991,20,1,0,0,0,3000,5500,5500,157,117,1449028,180,78,S ,3,2,3,2,1,2,2,2,3,3,1,9,12,13,14,12,9,12,9,6,6,9,9,6,12,14,12,12,12,9,9,8,14,14,8,13,6,6,9,11,14,10,14,12,14,13,20,7,11,10,8,12,8,10,14,14,13,15,14,12,12,7,1,1,1,6,6,6,6,S ,600,1,1,20,6,6,6,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zé Eduardo,316618,1651,10/29/1987,23,0,0,1,0,3250,6650,6500,145,130,3870858,179,83,M/AM/S C,1,2,3,3,1,3,3,4,3,2,3,5,12,14,12,13,5,11,11,3,7,11,13,7,14,10,13,14,9,12,12,13,12,15,4,14,7,12,16,14,15,13,10,11,14,15,20,14,13,10,7,12,7,12,6,18,5,16,8,11,14,8,1,1,18,19,13,12,19,M/AM/S C,631,1,1,20,19,12,13,1,1,1,11,18,7,9,1,1,134217744,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Zahir Zerdab,8441135,5,1/9/1982,29,1,0,0,0,2450,5650,5050,124,113,40090,182,73,AM RLC,3,1,1,1,2,1,1,2,1,2,2,14,11,12,7,12,13,8,12,6,4,14,11,4,15,12,9,9,10,10,14,9,10,11,7,13,7,10,11,13,13,14,11,20,11,14,8,12,12,13,12,12,9,12,14,13,8,6,11,5,12,8,1,1,12,20,15,16,20,AM RLC,506,1,1,15,20,16,15,1,1,1,1,12,10,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Youssouf Hadji,3503442,34,2/25/1980,31,52,15,0,0,5650,7000,6300,145,140,7871609,183,78,AM/S C,2,2,1,2,3,1,1,7,1,2,1,11,13,14,12,15,11,16,13,5,7,12,13,6,15,6,15,13,12,13,12,12,16,14,14,13,11,13,14,15,15,14,12,12,13,11,20,14,14,13,6,14,12,10,14,12,16,13,14,14,11,7,1,1,10,18,14,14,18,AM/S C,621,1,1,20,18,14,14,1,1,1,1,5,10,10,1,1,1024,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Youssef Adnane,8446446,769,7/16/1985,25,0,0,0,0,4550,5174,5100,125,115,5875793,178,71,S ,2,1,1,3,3,3,3,4,2,1,2,5,8,12,14,12,11,12,11,5,3,10,14,3,12,7,12,9,15,13,8,11,10,13,5,13,6,8,10,14,12,13,10,8,14,13,20,14,12,13,7,14,7,8,14,14,12,12,14,14,16,7,1,1,1,10,10,10,1,S ,600,1,1,20,1,10,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/6/2011,Yonathan Del Valle,86005931,1658,5/28/1990,21,9,0,18,6,3250,5500,5250,142,109,2582166,177,74,S ,2,2,1,3,1,3,1,1,1,2,2,9,12,13,11,14,6,10,13,4,4,11,10,3,13,4,10,9,12,10,11,11,12,11,13,12,11,12,11,13,12,11,10,10,11,15,20,6,8,10,6,10,11,10,11,9,7,6,12,5,11,14,1,1,1,1,1,1,1,S ,600,1,1,20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
