GameDate,FMRTEVersion,Name,UID,NationID,Born,Age,IntCaps,IntGoals,U21Caps,U21Goals,WorldReputation,HomeReputation,CurrentReputation,PA,CA,Price,Height,Weight,PositionsString,GK.AerialAbility,GK.CommandOfArea,GK.Communication,GK.Eccentricity,GK.Handling,GK.Kicking,GK.OneOnOnes,GK.Reflexes,GK.RushingOut,GK.TendencyToPunch,GK.Throwing,Tech.Corners,Tech.Crossing,Tech.Dribbling,Tech.Finishing,Tech.FirstTouch,Tech.Freekicks,Tech.Heading,Tech.LongShots,Tech.Longthrows,Tech.Marking,Tech.Passing,Tech.PenaltyTaking,Tech.Tackling,Tech.Technique,Mental.Aggression,Mental.Anticipation,Mental.Bravery,Mental.Composure,Mental.Concentration,Mental.Vision,Mental.Decisions,Mental.Determination,Mental.Flair,Mental.Leadership,Mental.OffTheBall,Mental.Positioning,Mental.Teamwork,Mental.Workrate,Phy.Acceleration,Phy.Agility,Phy.Balance,Phy.Jumping,Phy.LeftFoot,Phy.NaturalFitness,Phy.Pace,Phy.RightFoot,Phy.Stamina,Phy.Strength,Hidden.Consistency,Hidden.Dirtiness,Hidden.ImportantMatches,Hidden.InjuryProness,Hidden.Versatility,Personality.Adaptability,Personality.Ambition,Personality.Loyalty,Personality.Pressure,Personality.Professional,Personality.Sportsmanship,Personality.Temperament,Personality.Controversy,Positions.Defender,Positions.WingBack,Positions.Midfielder,Positions.AttackingMidfielder,Positions.Right,Positions.Left,Positions.Centre,Positions.PositionsDesc,Positions.PositionsDescVal,Positions.Goalkeeper,Positions.Sweeper,Positions.Striker,Positions.AttackingMidCentral,Positions.AttackingMidLeft,Positions.AttackingMidRight,Positions.DefenderCentral,Positions.DefenderLeft,Positions.DefenderRight,Positions.DefensiveMidfielder,Positions.MidfielderCentral,Positions.MidfielderLeft,Positions.MidfielderRight,Positions.WingBackLeft,Positions.WingBackRight,PPMVal,PPM0,PPM1,PPM2,PPM3,PPM4,PPM5,PPM6,PPM7,PPM8,PPM9,PPM10,PPM11,PPM12,PPM13,PPM14,PPM15,PPM16,PPM17,PPM18,PPM19,PPM20,PPM21,PPM22,PPM23,PPM24,PPM25,PPM26,PPM27,PPM28,PPM29,PPM30,PPM31,PPM32,PPM33,PPM34,PPM35,PPM36,PPM37,PPM38,PPM39,PPM40,PPM41,PPM42,PPM43,PPM44,PPM45,PPM46,PPM47
19/6/2017,18.3.4.28,Robert Green,107539,765,19-Jan-80,37,12,0,0,0,4500,6100,6100,148,122,539204,191,93,GK ,14,14,16,8,15,9,16,13,15,9,11,1,1,1,1,9,1,5,1,1,1,4,1,10,10,5,14,13,14,14,8,14,19,1,12,1,12,15,14,6,11,12,13,8,18,4,20,13,11,14,2,15,7,11,7,14,15,13,13,14,10,12,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Mathew Ryan,15016604,1435,08-Apr-92,25,24,0,0,0,6500,7200,6650,144,133,23412584,184,84,GK ,9,14,10,13,13,15,13,12,15,12,12,8,3,2,1,11,12,8,2,12,1,14,1,1,11,13,14,15,14,12,11,12,18,8,14,2,17,10,12,10,14,14,14,14,14,11,20,15,13,14,8,16,6,12,12,17,14,19,18,14,14,4,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Jonas Lössl,1700114,764,01-Feb-89,28,1,0,15,0,4900,6250,6500,135,130,6979724,195,88,GK ,15,16,12,8,14,12,16,14,14,10,11,4,3,3,3,9,9,7,2,2,3,10,2,1,9,10,12,14,11,13,8,10,12,2,12,1,12,14,10,10,13,15,17,8,13,10,20,10,16,15,5,14,3,3,13,15,13,11,16,14,17,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Thibaut Courtois,18026122,757,11-May-92,25,50,0,4,0,8100,8750,8550,183,165,185684074,199,96,GK ,18,16,12,5,17,15,17,17,10,6,15,7,2,10,1,10,10,10,3,2,3,13,4,1,13,8,15,14,14,15,10,15,15,14,11,3,15,14,10,11,13,12,19,20,12,10,10,9,13,14,5,18,5,13,14,14,15,16,15,14,14,8,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Jack Butland,28044979,765,10-Mar-93,24,5,0,28,0,5750,7550,7400,161,149,52954602,196,94,GK ,18,12,13,11,15,14,16,18,11,10,9,1,2,3,2,5,5,1,3,1,2,9,6,3,10,10,12,14,14,13,10,11,15,3,9,2,11,12,10,13,18,12,14,4,15,11,20,14,12,12,5,10,5,12,9,13,14,11,17,16,16,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Loris Karius,28047501,771,22-Jun-93,23,0,0,1,0,6650,6900,7150,154,145,39494744,189,87,GK ,13,12,13,10,13,14,16,16,15,14,13,4,2,3,1,13,9,6,2,1,1,11,2,1,12,8,15,13,14,13,11,13,14,3,9,1,14,14,10,14,15,13,13,9,14,11,20,12,13,12,6,14,8,12,12,16,11,13,15,14,16,7,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Jordan Pickford,28054565,765,07-Mar-94,23,0,0,14,0,6000,7350,7350,175,152,51577848,187,77,GK ,14,15,17,9,13,18,16,17,12,9,12,6,1,1,3,11,9,8,1,1,1,15,1,2,12,16,14,15,12,14,13,13,14,1,14,3,14,10,11,8,14,12,14,20,13,8,10,13,13,15,3,13,5,13,7,12,13,14,15,10,10,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Karl Darlow,29021698,765,08-Oct-90,26,0,0,0,0,4500,6500,6500,138,130,17475230,186,79,GK ,13,14,12,5,13,13,15,14,16,13,13,6,2,3,2,12,10,10,2,3,2,11,1,3,11,1,13,14,12,12,9,12,13,3,10,11,14,11,14,10,13,13,13,13,13,10,20,12,10,12,2,13,3,12,11,11,13,13,14,16,14,5,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Nick Pope,29083750,765,19-Apr-92,25,0,0,0,0,5350,6950,6950,145,139,22516621,196,78,GK ,16,17,13,2,16,7,16,15,13,8,12,8,1,2,3,7,10,2,2,1,1,10,1,1,7,8,15,13,9,15,6,12,10,4,8,2,14,15,15,8,14,12,18,12,10,9,20,10,13,14,11,10,1,11,10,10,8,11,10,10,11,2,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/6/2017,18.3.4.28,Julián Speroni,3101140,1649,18-May-79,38,0,0,0,0,4700,6000,6200,133,115,556710,186,87,GK ,11,10,12,11,14,9,13,13,12,12,10,7,2,1,2,5,9,1,3,2,4,15,3,10,5,2,15,12,11,15,12,12,15,3,10,2,12,12,10,11,12,13,13,10,12,9,20,15,8,15,2,9,3,11,13,12,15,12,16,14,16,3,1,1,1,1,1,1,1,GK ,0,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
